Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V1	0	0.1057	0.80061	0	8e-05	0.0936
V2	0.42454	0.39202	0	0	0	0.18344
V3	0	0.07149	0	0	0	0.92851
V4	0.01788	0.49445	0	0	0.03142	0.45625
V5	0	0.18445	0.24285	0.13914	0.43356	0
V6	0	0.07093	0	0	0	0.92907
V7	0	0.42437	0.04099	0	0.3778	0.15683
V8	0.24533	0.33339	0	0	0	0.42128
V9	0	0.1561	0	0	0	0.8439
V10	0.22483	0.27764	0.20081	0	0	0.29672
V11	0	0.81626	0	0	0	0.18374
V12	0	0.05672	0	0	0	0.94328
V13	0	0.58799	0.22207	0	0.00022	0.18972
V14	0	0.19391	0.26128	0.48755	0.02235	0.03491
V15	0.04803	0.26462	0.15471	0	0.08422	0.44841
V16	0	0.09506	0.06123	0	0.36366	0.48005
V17	0	0.05921	0	0	0	0.94079
V18	0.2804	0.41096	0	0	0	0.30864
V19	0.16036	0.26897	0.23548	0	0	0.33519
V20	0.29131	0.34581	0	0	0	0.36288
V21	0	0.06235	0	0	0	0.93765
V22	0	0.15383	0.19233	0	0.37274	0.2811
V23	0	0.1125	0.49778	0	0.37888	0.01083
V24	0	0.13136	0.20911	0	0.39421	0.26532
V25	0.27986	0.44048	0	0	0	0.27966
V26	0	0.17438	0.33653	0	0.33229	0.1568
V27	0	0.05009	0	0	0	0.94991
V28	0	0.28009	0.15554	0	0.01234	0.55202
V29	0	0.57879	0	0	0	0.42121
V30	0	0.19407	0.00784	0	0.13064	0.66745
V31	0.27471	0.32047	0.01141	0	0	0.39341
V32	0	0.11902	0.47243	0	0.17717	0.23138
V33	0	0.49359	0.16344	0	0	0.34297
V34	0	0.07193	0.63342	0	0.24587	0.04878
V35	0	0.15429	0.37507	0	0.27071	0.19994
V36	0	0.54931	0.09433	0	0.1558	0.20057
V37	0	0.05793	0.47413	0	0	0.46794
V38	0	0.04894	0	0	0	0.95106
V39	0.3428	0.27342	0.03426	0	0	0.34952
V40	0	0.51393	0	0	0.10109	0.38498
V41	0	0.24059	0	0	0	0.75941
V42	0	0.13945	0.43016	0	0	0.4304
V43	0	0.45819	0	0	0.16165	0.38017
V44	0	0.811	0	0	0	0.189
V45	0	0.33717	0	0	0	0.66283
V46	0	0.07094	0	0	0.22807	0.70099
V47	0	0.43875	0	0	0.21719	0.34405
V48	0	0.67875	0.08081	0	0.11242	0.12802
V49	0.02308	0.82978	0	0	0	0.14714
V50	0	0.0721	0.3699	0	0.28521	0.27279
V51	0	0.07562	0.09723	0	0.82715	0
V52	0	0.57123	0.18699	0	0.02543	0.21635
V53	0	0.13639	0.37416	0	0.42753	0.06192
V54	0	0.15906	0.43674	0	0.03857	0.36563
V55	0	0.11645	0.33317	0	0.53899	0.01139
V56	0	0.10918	0.89082	0	0	0
V57	0	0.30723	0	0	0	0.69277
V58	0	0.06392	0.71724	0	0	0.21883
V59	0	0.17933	0.21835	0.52974	0.07258	0
V60	0.32539	0.27622	0.15626	0	0	0.24213
V61	0	0.13137	0	0	0	0.86863
V62	0.06725	0.23059	0.15051	0	0	0.55164
V63	0	0.31688	0	0	0	0.68312
V64	0	0.16803	0.14399	0	0.66744	0.02054
V65	0	0.22551	0	0	0	0.77449
V66	0	0.25113	0.30415	0	0.13339	0.31132
V67	0	0.16442	0.23573	0	0	0.59985
V68	0.31741	0.34227	0	0	0	0.34032
V69	0	0.14546	0	0	0	0.85454
V70	0	0.13611	0.53622	0.1351	0.14789	0.04468
V71	0	0.25257	0	0	0.24668	0.50075
V72	0.22451	0.34712	0	0	0	0.42838
V73	0	0.1597	0.3647	0.3624	0.0706	0.0426
V74	0	0.31276	0.20083	0.43176	0.05465	0
V75	0	0.81845	0	0	0	0.18155
V76	0	0.0747	0.8922	0	0	0.0331
V77	0	0.24917	0.30299	0.00316	0.06802	0.37666
V78	0.08298	0.25691	0.03515	0	0	0.62497
V79	0	0.32611	0	0	0	0.67389
V80	0	0.33054	0	0	0	0.66946
V81	0.30294	0.38636	0	0	0	0.31071
