Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V1	0.12855	0	0.87145	0	0	0
V2	0.85041	0.01091	0.13867	0	0	0
V3	0.25051	0	0.15155	0	0	0.59795
V4	0.36173	0.55327	0.08419	0	0.00081	0
V5	0.10633	0	0.11869	0.47464	0.30034	0
V6	0.36342	0	0.26642	0	0.03008	0.34008
V7	0.0578	0.39222	0.13099	0	0.41899	0
V8	0.94294	0	0.05706	0	0	0
V9	0.55033	0.11951	0.08727	0.05742	0.02783	0.15764
V10	0.7067	0	0.2037	0.0896	0	0
V11	0	1	0	0	0	0
V12	0.09804	0	0	0	0	0.90196
V13	0.01528	0.65771	0.32702	0	0	0
V14	0.19119	0	0.09406	0.67225	0.0425	0
V15	0.75264	0	0.18307	0	0.06429	0
V16	0.26719	0	0.15273	0.23179	0.34829	0
V17	0.14864	0	0.08288	0	0	0.76847
V18	0.96619	0.03381	0	0	0	0
V19	0.75278	0	0.24722	0	0	0
V20	0.86459	0	0.13541	0	0	0
V21	0.13282	0	0	0	0	0.86718
V22	0.33361	0	0.21459	0	0.4518	0
V23	0.10423	0	0.54375	0	0.35202	0
V24	0.27827	0	0.21385	0	0.50788	0
V25	0.67664	0.25934	0.06402	0	0	0
V26	0.3712	0	0.23353	0	0.39527	0
V27	0.11147	0	0.13062	0	0	0.75792
V28	0.33044	0.23268	0.25837	0.02872	0.06652	0.08328
V29	0.1064	0.82123	0.07237	0	0	0
V30	0.53849	0.10211	0.2488	0	0.07015	0.04045
V31	0.82438	0	0.17562	0	0	0
V32	0.17375	0	0.49709	0.29865	0.03052	0
V33	0.34788	0.43706	0.21506	0	0	0
V34	0.03934	0	0.70399	0	0.25667	0
V35	0.17378	0	0.32709	0.34355	0.15558	0
V36	0.09443	0.58127	0.22962	0	0.09467	0
V37	0.18824	0	0.81176	0	0	0
V38	0.09204	0	0.0767	0	0	0.83126
V39	0.8553	0	0.1447	0	0	0
V40	0.14955	0.65455	0.07215	0	0.12375	0
V41	1	0	0	0	0	0
V42	0.4248	0	0.5752	0	0	0
V43	0.32887	0.44232	0.10974	0	0.11907	0
V44	0	1	0	0	0	0
V45	0.68977	0.30837	0.00186	0	0	0
V46	0.25124	0	0.15377	0.12312	0.31081	0.16105
V47	0.15342	0.49423	0.08483	0	0.26752	0
V48	0	0.77236	0.22764	0	0	0
V49	0	1	0	0	0	0
V50	0.10149	0	0.4791	0	0.41941	0
V51	0	0	0.25249	0	0.74751	0
V52	0	0.68447	0.31553	0	0	0
V53	0.19778	0	0.32001	0	0.48221	0
V54	0.26156	0	0.73844	0	0	0
V55	0.03096	0	0.34899	0	0.62006	0
V56	0.05218	0	0.94782	0	0	0
V57	0.31024	0.34504	0.10852	0	0	0.2362
V58	0.06261	0	0.93739	0	0	0
V59	0.14673	0	0.0764	0.70167	0.0752	0
V60	0.7203	0	0.13186	0.14784	0	0
V61	0.58055	0.04807	0.0965	0	0.02241	0.25247
V62	0.79057	0	0.20943	0	0	0
V63	0.11236	0.62677	0	0	0	0.26087
V64	0.05212	0	0.24461	0	0.70327	0
V65	0.88918	0.03477	0.03025	0	0	0.04579
V66	0.62212	0	0.32184	0	0.05604	0
V67	0.32078	0.06596	0.43868	0.03619	0.03572	0.10266
V68	0.98004	0	0.01996	0	0	0
V69	0.76306	0	0	0	0	0.23694
V70	0.15722	0	0.35717	0.37943	0.10618	0
V71	0.31005	0.19165	0.17132	0	0.32698	0
V72	0.87378	0.01112	0.1151	0	0	0
V73	0.16569	0	0.21128	0.55571	0.06732	0
V74	0.09966	0.12444	0.06087	0.66077	0.05425	0
V75	0	1	0	0	0	0
V76	0.04546	0	0.89873	0	0.05582	0
V77	0.32516	0.08943	0.20179	0.35773	0.02589	0
V78	0.85117	0.03921	0.10962	0	0	0
V79	0	0.64504	0	0	0	0.35496
V80	0.01715	0.69326	0	0	0	0.28959
V81	0.93664	0	0.06336	0	0	0
V82	0	1	0	0	0	0
V83	0.39236	0.08416	0.12844	0.21906	0.17598	0
V84	0.55524	0	0.22279	0.19946	0.02252	0
V85	0.92351	0	0.07649	0	0	0
V86	0.51205	0	0.23788	0.09161	0.01054	0.14792
V87	0.12229	0	0.09541	0.73361	0.04869	0
V88	0.28123	0	0.08799	0.33741	0.0648	0.22857
V89	0.30448	0.02878	0.44533	0	0	0.22142
V90	0.0236	0.8295	0.1469	0	0	0
V91	0.09512	0	0.26978	0	0.6351	0
V92	0.05162	0	0.25287	0	0.69552	0
V93	0.41732	0	0.13202	0	0.17368	0.27698
V94	0.10648	0	0.40388	0.46141	0.02822	0
V95	0.04883	0	0.51546	0	0.43571	0
V96	0.26463	0.36004	0.12404	0	0.22813	0.02316
V97	0	0	0.25784	0	0.74216	0
V98	0.17985	0.00028	0.09021	0.59761	0.13205	0
V99	0.0963	0	0.07455	0.77241	0.05674	0
V100	0.1536	0	0.65398	0.02566	0.16677	0
V101	0.08172	0.32781	0.59047	0	0	0
V102	0.9061	0	0.0939	0	0	0
V103	0.85749	0	0.14251	0	0	0
V104	0.15192	0	0.35055	0.44385	0.05367	0
V105	0.07885	0	0.01603	0	0	0.90512
V106	0.21927	0	0.60906	0	0	0.17167
V107	0.01069	0.79353	0.19578	0	0	0
V108	0.16944	0	0.11381	0	0.09218	0.62458
V109	0.12832	0	0.08108	0	0.06815	0.72244
V110	0.19068	0	0.80932	0	0	0
V111	0.00738	0	0.99262	0	0	0
V112	0.08735	0.3836	0.03502	0.44676	0.04726	0
V113	0.11239	0	0.83662	0	0.05099	0
V114	0.227	0	0.773	0	0	0
