Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V1	0.08136	0.02181	0.89683	0	0	0
V2	0.71888	0.13181	0	0.08397	0.06534	0
V3	0	0.05374	0.1917	0	0	0.75456
V4	0.21388	0.57705	0	0.09517	0.04309	0.07082
V5	0	0.03362	0	0.69015	0.27623	0
V6	0.118	0.02967	0.16951	0.01595	0.11201	0.55485
V7	0	0.43372	0	0	0.56628	0
V8	0.86515	0.06024	0	0.07461	0	0
V9	0.23896	0.1899	0	0.30377	0	0.26738
V10	0.55593	0.05471	0.02102	0.36834	0	0
V11	0	1	0	0	0	0
V12	0	0	0	0	0	1
V13	0	0.60564	0.39436	0	0	0
V14	0	0.03636	0.0122	0.95145	0	0
V15	0.61508	0.09319	0	0.1109	0.18083	0
V16	0	0.01869	0	0.49069	0.38903	0.10159
V17	0	0.00442	0.10459	0	0	0.89099
V18	0.86163	0.13837	0	0	0	0
V19	0.74045	0.06551	0.15538	0	0.03866	0
V20	0.7952	0.07909	0.04463	0.08108	0	0
V21	0	0.01311	0	0	0	0.98689
V22	0.21079	0.06823	0	0.06211	0.65887	0
V23	0.04565	0.02695	0.36507	0	0.56233	0
V24	0.16322	0.02791	0	0.12327	0.6856	0
V25	0.56315	0.30622	0	0.13063	0	0
V26	0.32757	0.03027	0	0	0.64216	0
V27	0	0	0.13969	0	0	0.86031
V28	0	0.30482	0.19395	0.28838	0	0.21285
V29	0	0.76339	0.09899	0.0306	0	0.10702
V30	0.21369	0.24258	0.09408	0	0.21302	0.23663
V31	0.8132	0.03837	0.14843	0	0	0
V32	0	0.0112	0.40716	0.58163	0	0
V33	0.25809	0.4671	0.27482	0	0	0
V34	0	0.00436	0.57684	0.00032	0.41848	0
V35	0	0.05036	0.21519	0.63054	0.10391	0
V36	0.0206	0.6273	0.14083	0	0.21127	0
V37	0	0.01635	0.89361	0	0	0.09004
V38	0	0	0.0844	0	0	0.9156
V39	0.6846	0.05278	0	0.26262	0	0
V40	0	0.6365	0	0.21245	0.07876	0.07229
V41	0.82932	0.03483	0	0	0	0.13585
V42	0.31691	0.03074	0.62989	0	0	0.02245
V43	0.20815	0.50062	0	0.01142	0.25178	0.02803
V44	0	1	0	0	0	0
V45	0.51838	0.36925	0	0	0	0.11237
