Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0.01252	0	0.09147	0	0.40795	0	0	0	0	0.48806
V2	0.66233	0	0	0	0.01465	0.28723	0.03579	0	0	0
V3	0.10244	0	0.10188	0	0.5122	0.01518	0.0526	0.20541	0	0.0103
V4	0.03763	0.05048	0.03141	0.01321	0.09697	0.06309	0.01222	0.01717	0.57502	0.1028
V5	0	0.11566	0.07479	0.08063	0.20209	0.06767	0.00664	0	0	0.45252
V6	0.0116	0	0.20221	0	0.68234	0.01814	0	0.08571	0	0
V7	0.00948	0.38879	0.012	0	0.454	0.005	0.03183	0.0989	0	0
V8	0.01416	0.42136	0.04324	0	0.14832	0.00136	0	0.3662	0	0.00537
V9	0.00336	0.0057	0.0591	0.12418	0.01278	0.02646	0.11733	0.62215	0.02163	0.00731
V10	0.00161	0	0.01528	0	0.74585	0.04898	0.00587	0.1824	0	0
V11	0.02362	0.42458	0.00804	0	0.15258	0.02565	0	0.34198	0.00989	0.01366
V12	0	0.02522	0.14897	0.54744	0.0702	0.00896	0.0833	0.00669	0.00777	0.10145
V13	0.102	0.03378	0.12791	0	0.02273	0.2044	0.31665	0.01386	0.16558	0.01309
V14	0.08144	0.3983	0.15517	0.03272	0.16003	0.06325	0.08868	0.01872	0	0.0017
V15	0.22095	0.00515	0.06213	0.62319	0.01001	0.01578	0.04005	0.00672	0.01602	0
V16	0.00213	0.03889	0.15924	0.57371	0.04125	0.03622	0.02483	0	0.1196	0.00413
V17	0.02256	0.12876	0.04733	0.00168	0.22693	0.08404	0.02352	0.00763	0	0.45755
V18	0.05632	0.07681	0.06795	0.34674	0.11756	0.00038	0.00734	0	0	0.32691
V19	0	0.00134	0.06648	0.0796	0.15924	0.08739	0.00327	0.00853	0	0.59416
V20	0.00406	0.25554	0.02596	0.00501	0.06982	0.09341	0.39136	0.07238	0.00876	0.0737
V21	0.1029	0.36133	0.00584	0	0.12183	0.33027	0.02833	0.04053	0	0.00897
V22	0.00367	0.00225	0.03826	0.00726	0.11466	0	0	0.39354	0.0283	0.41206
V23	0.29126	0.00871	0.59289	0	0.02457	0.00363	0	0.00429	0	0.07466
V24	0.04154	0.5144	0.04524	0	0.19009	0.00076	0.04437	0.10463	0.05588	0.00309
V25	0.03386	0.09237	0.05057	0.0225	0.21336	0.12267	0.02288	0	0.16342	0.27838
V26	0.00789	0	0.04016	0.0246	0.00436	0	0	0.91866	0	0.00432
V27	0.00107	0.00214	0.04445	0	0.62156	0	0.00959	0	0	0.32119
V28	0.30339	0	0.0411	0	0.10802	0.02016	0.01036	0.04285	0	0.47411
V29	0.02193	0.5682	0.00963	0	0.2261	0.08522	0.00596	0.02566	0	0.05729
V30	0.02022	0.02091	0.1049	0.00501	0.00427	0.32904	0.2086	0	0.29654	0.01051
V31	0.0182	0.24171	0.18763	0	0.15057	0	0	0.39827	0	0.00362
V32	0.49599	0	0.0046	0	0.34295	0.04272	0.02316	0	0.08067	0.00992
V33	0.01871	0.02656	0.20022	0.54065	0.00558	0.02715	0.15946	0	0.02032	0.00135
V34	0.0046	0.01976	0.05276	0	0.45409	0	0.00054	0.01888	0.02249	0.42688
V35	0.02662	0.68695	0.00242	0	0.25239	0	0.00466	0.02695	0	0
V36	0.05032	0.08178	0.02549	4e-05	0	0.14151	0.59477	0.05114	0.0423	0.01264
V37	0.01236	0.50208	0.01131	0	0.17964	0.03564	0.19948	0.04712	0	0.01236
V38	0.12368	0.04389	0.0459	0.20111	0	0.09353	0.43904	0.0036	0.04217	0.00709
V39	0.07202	0.04278	0.06086	0.19007	0.03791	0.0899	0.42267	0.02986	0.03824	0.01569
V40	0.1329	0	0.73578	0	0.1255	0	0	0.00374	0	0.00209
V41	0.63977	0.03945	0.01066	0.00086	0.0288	0	0.00377	0.00864	0.25896	0.00908
V42	0.01251	0.45384	0.00998	0	0.49862	0	0	0.00297	0	0.02207
V43	0.13696	0.01527	0.1175	0.07211	0.24196	0.06772	0.15905	0.03507	0.15382	0.00053
V44	0.03427	0	0.51743	0	0	0	0	0.4483	0	0
V45	0.03576	0.011	0.03236	0.02449	0.02766	0.03555	0.17953	0	0.62533	0.02832
V46	0.16107	0.07992	0.06307	0.26092	0.14355	0	0.00238	0.01758	0	0.27152
V47	0	0.06904	0.02901	0.00248	0	0.15693	0.65627	0.00796	0.05797	0.02035
V48	0.01844	0.02541	0.06847	0.00023	0.19234	0	0.00075	0	0.09584	0.59852
V49	0.13683	0	0	0.02039	0	0	0	0.84278	0	0
V50	0.30605	0.13877	0	0	0.06472	0.46133	0.02779	0	0	0.00133
V51	0.17307	0	0.61164	0	0.08122	0	0	0.08732	0.03817	0.00859
V52	0	0.03062	0.1866	0.36858	0	0.06065	0.29978	0.0126	0.03738	0.00379
V53	0.43133	0	0.0983	0.08788	0.04712	0	0	0.20536	0	0.13001
V54	0.00135	0	0.00421	0	0.22391	0.69682	0.05314	0	0.01727	0.0033
V55	0	0.00944	0.0607	0.75956	0.08809	0.00791	0.04667	0	0.01573	0.0119
V56	0.15654	0	0.58648	0	0.0961	0.1446	0.00705	0	0	0.00922
V57	0.0325	0	0.62124	0.16002	0.0089	0.00696	0.01159	0.04231	0.09979	0.01669
V58	0.01372	0.15019	0.06642	0.13992	0.06426	0.49898	0.05011	0	0.01344	0.00294
V59	0.02552	0.12383	0.02741	0	0	0.14555	0.61201	0.00695	0.04623	0.01251
V60	0.77293	0	0	0	0.08271	0	0	0	0.14292	0.00144
V61	0.0016	0	0.03225	0.02273	0.01024	0.81696	0.06786	0.00186	0.03584	0.01066
V62	0.02369	0.03272	0.04717	0.01742	0.08812	0.0682	0.32141	0.0149	0.05817	0.3282
V63	0.00712	0.16926	0.02149	0	0.25885	0.48933	0.03858	0	0	0.01538
V64	0.05766	0	0.29395	0.22821	0.00813	0.00056	0.00425	0.37379	0	0.03345
V65	0.05175	0.01371	0.05608	0.36067	0.01691	0.00063	0.04703	0.33659	0.09975	0.01689
V66	0.00453	0.00602	0.03818	0	0.78334	0.02371	0.01414	0.02839	0	0.1017
