Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0.0177	0	0.10434	0	0.40295	0	0.00145	0	0	0.47355
V2	0.66671	0.00064	0	0	0	0.29728	0.03536	0	0	0
V3	0.10718	2e-04	0.11198	0	0.50817	0.01103	0.04605	0.20712	0	0.00827
V4	0.03934	0.06298	0.02515	0.01045	0.07519	0.06707	0.01419	0.01996	0.58184	0.10382
V5	0.00313	0.11224	0.09003	0.08812	0.19175	0.06697	0.00701	0	0	0.44074
V6	0.01663	0	0.21243	0	0.67395	0.01395	0	0.08304	0	0
V7	0.01812	0.37988	0.03771	0	0.43955	0.00059	0.0252	0.09896	0	0
V8	0.01462	0.40965	0.06986	0	0.12534	0	0	0.37502	0	0.0055
V9	0.0038	0.0118	0.05446	0.13657	0.00455	0.02374	0.10624	0.64151	0.0107	0.00663
V10	0.01567	0	0.016	0	0.74371	0.04314	0	0.18148	0	0
V11	0.02638	0.41458	0.03052	0	0.1291	0.02278	0	0.35159	0.01082	0.01423
V12	0	0.03253	0.14331	0.57303	0.05694	0.01462	0.0737	0.00515	0.00566	0.09506
V13	0.1033	0.05493	0.12773	0	0.01223	0.20106	0.30324	0.01568	0.17189	0.00994
V14	0.08078	0.39297	0.19214	0.03345	0.13945	0.06139	0.08169	0.01711	0	0.00102
V15	0.20577	0.01167	0.05642	0.65171	0	0.025	0.03539	0.0042	0.00984	0
V16	0	0.04392	0.1522	0.60114	0.02507	0.04426	0.02081	0	0.10689	0.00572
V17	0.02716	0.12704	0.06381	0.00012	0.21885	0.08219	0.02372	0.00588	0.00052	0.4507
V18	0.05622	0.07631	0.07458	0.36825	0.1027	0.00479	0.00745	0	0	0.3097
V19	0	0.00378	0.0761	0.08728	0.15344	0.0871	0.00589	0.00658	0	0.57982
V20	0.01073	0.28034	0.03402	0	0.05299	0.08322	0.37606	0.07543	0.0165	0.07072
V21	0.10606	0.35587	0.02881	0	0.10175	0.33811	0.02119	0.03915	0	0.00908
V22	0.00535	0.00189	0.04032	0.00783	0.10835	0	0	0.40105	0.03233	0.40288
V23	0.25535	0.01236	0.62365	0	0.02135	0.00794	0.00132	0.00626	0	0.07177
V24	0.04363	0.50677	0.07704	0	0.16031	0	0.03921	0.10555	0.0643	0.00319
V25	0.03735	0.09314	0.05863	0.02193	0.2013	0.12184	0.02192	0	0.17137	0.27252
V26	0.00275	0	0.03482	0.02777	0	0	0	0.9327	0	0.00196
V27	0.01264	0	0.05288	0	0.61508	0	0.00872	0	0	0.31067
V28	0.30118	0.00143	0.05294	0	0.10159	0.02038	0.01518	0.04179	0	0.4655
V29	0.02584	0.56229	0.04635	0	0.19933	0.08504	0.00038	0.02203	0	0.05874
V30	0.01996	0.03533	0.10126	0.00176	0	0.33404	0.19861	0.00099	0.2997	0.00834
V31	0.01295	0.2291	0.21395	0	0.13671	0	0	0.40468	0	0.00261
V32	0.49226	0	0.01441	0	0.33438	0.04336	0.02401	0	0.08319	0.00838
V33	0.01508	0.03794	0.19294	0.56545	0	0.03098	0.14273	0	0.01458	0.00031
V34	0.01219	0.01858	0.0612	0	0.44442	0	0.0019	0.01678	0.03271	0.41222
V35	0.02997	0.68554	0.04334	0	0.21804	0	0	0.02277	0	0.00034
V36	0.05973	0.1192	0.00783	0	0	0.12867	0.57868	0.05408	0.04645	0.00535
V37	0.01839	0.51382	0.03613	0	0.15492	0.02874	0.18912	0.04709	0	0.01179
V38	0.12781	0.06961	0.04197	0.20989	0	0.08598	0.41521	0.00355	0.04447	0.00151
V39	0.0783	0.06892	0.05781	0.19984	0.02828	0.08251	0.40049	0.03125	0.041	0.01161
V40	0.09533	0	0.76531	0	0.12819	0.00125	0.0018	0.00732	0	8e-04
V41	0.63125	0.04864	0.01818	0	0.00593	0.00313	0.01014	0.00869	0.26531	0.00875
V42	0.02055	0.44014	0.04036	0	0.47662	0	0	0	0	0.02234
V43	0.13783	0.02718	0.12497	0.07191	0.23338	0.06517	0.14822	0.03644	0.1549	0
V44	0.00881	0	0.53553	0	0	0	0	0.45566	0	0
V45	0.03915	0.03636	0.01858	0.01908	0.00369	0.03559	0.17705	0.00049	0.64134	0.02868
V46	0.15788	0.07937	0.07522	0.27955	0.1292	0	0.00359	0.01503	0	0.26016
V47	0.00525	0.11444	0.01043	0	0	0.14337	0.6426	0.00834	0.06293	0.01264
V48	0.01999	0.02821	0.07748	0	0.17881	0	0.00536	0	0.1106	0.57955
V49	0.12918	0	0	0.01863	0	0	0	0.85219	0	0
V50	0.31082	0.13587	0.00679	0	0.05009	0.47333	0.02209	0	0	0.00101
V51	0.14276	0	0.63337	0	0.08254	0.00096	0.00448	0.09049	0.03874	0.00666
V52	0	0.04887	0.18109	0.39043	0	0.05758	0.27537	0.01268	0.03371	0.00028
V53	0.41883	0.00106	0.11266	0.09338	0.03761	0	0.00214	0.20791	0	0.1264
V54	0.00592	0	0	2e-04	0.22753	0.71987	0.04125	0	0.00223	0.003
V55	0	0.01678	0.05585	0.78168	0.07056	0.01737	0.03885	0	0.00587	0.01303
V56	0.13002	0	0.6095	0	0.09775	0.14683	0.00901	0	0	0.00689
V57	0.00948	0	0.624	0.17772	0.00757	0.01265	0.01466	0.04418	0.09398	0.01577
V58	0.01378	0.14683	0.07342	0.15859	0.05191	0.50682	0.0401	0	0.00527	0.00327
V59	0.03383	0.16407	0.01105	0	0	0.13221	0.59563	0.00692	0.05137	0.00493
V60	0.77094	0	0	0	0.06825	0.00339	0.00484	0	0.15126	0.00133
V61	0.00142	0	0.02205	0.03224	0.00657	0.85287	0.05584	0	0.01808	0.01093
V62	0.02993	0.05321	0.04868	0.00913	0.08146	0.05939	0.30822	0.01545	0.07166	0.32289
V63	0.01093	0.16226	0.0312	0	0.25337	0.49852	0.02875	0	0	0.01496
V64	0.04696	0	0.29365	0.24874	0.00143	0.00393	0.00196	0.3722	0	0.03115
V65	0.05142	0.0192	0.04754	0.38713	0.00273	0.00487	0.04097	0.33716	0.09217	0.01681
V66	0.01921	0.00174	0.04504	0	0.78081	0.019	0.0103	0.02673	0	0.09717
V67	0.01544	0.14443	0.58666	0	0.05893	0.05253	0.056	0.01999	0.04822	0.0178
V68	0.04199	0.00345	0.00254	0.02191	0.0205	0	0.0048	0.42499	0.47981	0
V69	0.0123	8e-05	0.95997	0	0.01723	0.00428	0.00613	0	0	0
V70	0.75908	0.00307	0.07952	0	0	0.03824	0.02569	0.00889	0.08552	0
V71	0.01447	0	0	0.03347	0	0	0	0.94081	0	0.01125
V72	0.21487	4e-05	0.05525	0.30994	0.26159	0	0.00599	0.00449	0	0.14783
V73	0.04128	0	0.04103	0	0.9053	0.01036	0.00017	0.00186	0	0
V74	0.00685	0.00569	0.08761	0.24614	0.12345	0.03577	0.00687	0.00553	0	0.4821
V75	0.00806	0.05714	0.18122	0.49208	0.0387	0.01177	0.01793	0.00457	0.18853	0
V76	0	0.00231	0	0.00522	0.00033	0.90101	0.06222	0	0.02466	0.00424
V77	0	0.03361	0.02501	0.37315	0	0.32248	0.21277	0	0.02378	0.0092
V78	0.01634	0.44288	0.08027	0	0.15878	0.04211	0.20435	0	0	0.05527
V79	0.01299	0.01815	0.03874	0.33436	0.01007	0.26026	0.03378	0	0.27215	0.0195
V80	0.44254	0.00433	0.03742	0	0.08361	0.0019	0.02257	0	0.06526	0.34237
V81	0.00207	0	0.01432	0.1821	0.18793	0.57463	0.03576	0	0.00075	0.00244
V82	0.05573	0.38249	0.06278	0.28131	0.12608	0.00638	0.00116	0.08405	0	0
V83	0.01334	0.03179	0.05847	0.5145	0.03221	0	0.0085	0.34118	0	0
V84	0.0251	0.01279	0.01507	0.03335	0.1251	0.60598	0.16388	0	0.01449	0.00425
V85	0.19824	0	0.55402	0	0.04749	0	6e-04	0	0	0.19965
V86	0.25558	0.00379	0.3215	0.38876	0	0.01342	0.01359	0	0	0.00336
V87	0.0486	0.0236	0.01313	0.0274	0.05622	0.00389	0.01652	0	0.81065	0
V88	0	0.25322	0.0817	0.56711	0.07888	0.00037	0.01731	0	0	0.00141
V89	0.00439	0.0902	0.01538	0.03586	0	0.10804	0.53435	0.16615	0.04214	0.00348
V90	0.0078	0.0516	0.50607	0	0.10186	0.01908	0.00027	0	0	0.31331
V91	0.02269	0	0.93076	0	0.02275	0.00298	0.00472	0.01036	0.00285	0.00289
V92	0.00917	0.11521	0.00965	0	0	0.13335	0.59776	0.00725	0.12463	0.00298
V93	0.03896	0.06275	0.0842	0.00149	0.01508	0.03118	0.15831	0.02581	0.58222	0
V94	0.88333	0	0.0088	0	0	0.03467	0.01447	0.0543	0	0.00443
V95	0.00624	0.06075	0.00421	0.0051	0	0.06499	0.33698	0.49524	0.02281	0.00369
V96	0.0108	0.08922	0.37672	0.41986	0.03158	0.01863	0.01346	0.01669	0.01808	0.00496
V97	0.0065	0.10379	0.01944	0	0	0.11826	0.58467	0.00705	0.0655	0.09479
V98	0.02129	0.19595	0.04451	0.05748	0.29332	0.0114	0.02193	0.13724	0.14152	0.07535
V99	0.60712	0.00698	0.00613	0	0	0.01281	0.05555	0.01049	0.29899	0.00193
V100	0.18542	0.00626	0.03253	0.24813	0.02669	0.31982	0.03463	0	0.13425	0.01226
V101	0.00206	0.02651	0.05376	0	0.12103	0.108	0.11166	0.0621	0.0011	0.51378
V102	0.0491	0.17042	0.01236	0	0.14861	0.33552	0.09289	0.17573	0	0.01537
V103	0.10863	0.01548	0.01188	0.0263	0.0145	0.00369	0.0161	0.00814	0.79225	0.00302
V104	0.02414	0	0.93377	0	0.00277	0.00354	0.00546	0	0.03033	0
V105	0.28871	0	0.08308	0.00082	0	0.11769	0	0.5097	0	0
V106	0.02846	0.5224	0.26562	0	0.16854	0.01007	0	0	0	0.00491
V107	0.2702	0.12764	0.03593	0	0.38232	0.01093	0.00415	0.05287	0.11597	0
V108	0	0	0.03445	0.18527	0.06184	0.42347	0.02571	0.03024	0.00841	0.23062
V109	4e-04	0.01664	0	0.013	0.01376	0.86188	0.06199	0	0.02812	0.00421
V110	0.02027	0	0.03283	0	0.85261	0	0	0.09429	0	0
V111	0.00941	0.10188	0.02188	0	0.1048	0.11695	0.5734	0.00686	0.04937	0.01544
V112	0.01007	0.09255	0.02918	0	0.01336	0.09308	0.466	0.00495	0.11719	0.17362
V113	0.05158	0.00639	0.01895	0.01431	0.03385	0.0535	0.0242	0.03295	0.66881	0.09546
V114	0.05951	0.01735	0.02125	0.01907	0.01705	0.00412	0.01677	0.00771	0.83435	0.00283
V115	0.02238	0.68486	0.05622	0	0.22212	0	0.00595	0	0	0.00848
V116	0.38382	0.04475	0.00411	0.00083	0.00517	0	0	0.56132	0	0
V117	0.01899	0.11516	0.0089	0	0	0.1331	0.64935	0.00847	0.06285	0.00318
V118	0.01846	0	0	0.00248	0	0.88316	0.06282	0.01065	0.01931	0.00311
V119	0	0.0241	0.04806	0.60481	0.01306	0.17997	0.04139	0	0.08788	0.00072
V120	0.6676	0	0.22956	0	0	0.09715	0.0057	0	0	0
V121	0.0469	0.11347	0.3215	0	0.04017	0.17735	0.2205	0.02474	0.01739	0.03798
V122	0.0393	0.03286	0.13559	0	0.01795	0.07238	0.09499	0	0.6015	0.00541
V123	0.01955	0	0.0058	0.01651	0.39234	0	0	0.5658	0	0
V124	0.66236	0.02019	0	0	0	0	0	0.31745	0	0
V125	0.00605	0.09422	0.09048	0.02545	0.04106	0.09556	0.00413	0.64305	0	0
V126	0.02372	0.03204	0.03791	0	0.83191	0	0	0.07443	0	0
V127	0.01883	0.02585	0.65373	0	0	0.03069	0.1446	0	0.12284	0.00347
V128	0.01714	0.09928	0.45548	0	0.38468	0.04195	0	0.00148	0	0
V129	0.03876	0.04793	0.06808	0.24679	0.11374	0.00974	0.01594	0	0.44827	0.01075
V130	0.0067	0	0.42963	0	0	0	0	0.56368	0	0
V131	0.03758	0.30367	0.51197	0.02461	0.09955	0.00535	0.00653	0	0.01075	0
V132	0.12241	0.07115	0.01828	0	0.05472	0.09075	0.44961	0.16163	0.02701	0.00444
V133	5e-05	0.01422	0.00283	0.20386	0.00296	0.09747	0.0332	0.64542	0	0
V134	0.02236	0.03508	0.28381	0.02228	0.35603	0.01885	0.1088	0.008	0.0086	0.13619
V135	0.04107	0.14065	0.1863	0	0.06098	0.00192	0.01947	0	0.54962	0
V136	0.01139	0.46333	0.06679	0.16898	0.18616	0	0	0	0	0.10335
V137	0.00875	0.0616	0.01855	0.00434	0.01136	0.44351	0.33818	0.00321	0.10477	0.00572
V138	0.02136	0.09722	0.04458	0	0.05542	0.08022	0.40513	0.00348	0.08456	0.20804
V139	0.61689	0.00305	0.00789	0.00041	0.0725	0.08408	0.00935	0	0.20582	0
V140	0.01563	0.00618	0.34042	0.50614	0.04261	0.05436	0.02243	0	0.00105	0.01119
V141	0	0.01561	0.06311	0.81528	0.01904	0.03009	0.02363	0	0.00758	0.02566
V142	0	0.07743	0.04788	0.28499	0	0.0904	0.4369	0.00326	0.04085	0.01829
V143	0.02166	0.64906	0.05841	0.04653	0.22068	0	0	0	0	0.00366
V144	0.00281	0.05735	0.0032	0.00533	0	0.46997	0.38567	0.0331	0.03912	0.00344
V145	0.02313	0.06198	0.04613	0.56019	0.02487	0.02181	0.01254	0.24935	0	0
V146	0.00916	0	0.5498	0	0.04681	0.01575	0.02209	0.18651	0	0.16989
V147	0.03847	0.00117	0.03014	0.01855	0.20581	0	0.00953	0.03122	0.54246	0.12266
V148	0.05717	0.02626	0.00939	0.01696	0.01365	0.04979	0.03667	0	0.7901	0
V149	0.00052	0.0159	0.04308	0.63201	0.00507	0.00344	0.01816	0.13536	0.14091	0.00555
V150	0.07959	0.00121	0.06582	0	0.29281	0.00175	0.0036	0.00648	0.03076	0.51799
V151	0.01269	0.00367	0.10503	0	0.17184	0.07843	0.00404	0	0	0.62431
V152	0.00073	0	0	0.02417	0.01822	0	0	0.89246	0	0.06442
V153	0.01918	0	0.02953	0	0.82313	0	0	0.12815	0	0
V154	0.05272	0.0082	0.63783	0.26264	0.00383	0.02173	0.01305	0	0	0
V155	0.04709	0	0	0.01707	0	0.07104	0	0.68002	0.18153	0.00325
V156	0.10897	0.01249	0.18783	0	0	0.48836	0.03991	0.05838	0.09756	0.00651
V157	0.01617	0.31432	0.04899	0.03868	0.34773	0.21666	0.00917	0	0	0.00827
V158	0.28933	0.43126	0.03969	0	0.19404	0	0	0.04569	0	0
V159	0.03018	0.00644	0.29259	0.01056	0.42601	0.01633	0.00094	0.12946	0	0.08749
V160	0.04055	0.68412	0.04532	0	0.22281	0	0	0	0	0.0072
V161	0	0.01761	0.06123	0.83545	0.0146	0.01516	0.02386	0	0.0247	0.00739
V162	0.00366	0.00705	0.106	0	0.19967	0	0.00042	0	0.01009	0.67311
V163	0.0933	0	0.84393	0	0.00364	0.01698	0.00317	0.03182	0	0.00717
V164	0.01205	0	0.94119	0	0.00345	0.02152	0.01476	0	0.00394	0.00309
V165	0.00725	0	0.41923	0	0.13777	0	0	0.01789	0.00093	0.41694
V166	0.03533	0.0777	0.05054	0.61954	0.0278	0.01108	0.02434	0.08696	0.04253	0.02419
V167	0.91329	0	0	0	0	0.00512	0.00597	0	0.07562	0
V168	0.05698	0.00204	0	0.011	0	0.24046	0.0138	0.50834	0.1563	0.01109
V169	0	0.00085	0.06832	0.20124	0.10731	0.19219	0.01379	0.01751	0	0.39879
V170	0.06002	0.01108	0.01034	0.02104	0.01338	0.00487	0.01785	0	0.86142	0
V171	0.01023	0	0.25522	0.05156	0.02339	0.41451	0.04783	0.0725	0.11839	0.00638
V172	0.00797	0.09995	0.01782	0	0	0.27881	0.48466	0.02029	0.08601	0.0045
V173	0.01892	0.06827	0.03586	0	0.03903	0.09738	0.39024	0.00345	0.07451	0.27234
V174	0	0.04991	0.2574	0.40855	0.17432	0.0243	0.01486	0.01473	0	0.05592
V175	0.8476	0	0.12101	0	0	0.00632	0.01595	0.00912	0	0
V176	0.17928	0	0	0	0	0.72318	0.0397	0	0.05045	0.0074
V177	0.72209	0	0.01227	0.11619	0.01882	0.00253	0.00404	0.01895	0	0.1051
V178	0.19534	0	0.00042	0.0289	0.0624	0.63634	0.03673	0	0	0.03988
V179	0.16511	0	0.03595	0	0.79894	0	0	0	0	0
V180	0.44294	0.09489	0.03339	0.37647	0.02665	0.01128	0.01439	0	0	0
V181	0.01538	0.12555	0.72158	0	0.06881	0.0164	0.04968	0	0	0.00261
V182	0.01155	0	0.00783	0.04009	0.33567	0.00971	0	0.57931	0.01194	0.0039
V183	0.00521	0.14261	0.05582	0.63943	0.03338	0.02616	0.09063	0	0.00476	0.002
V184	0.18402	0	0.00455	0.01257	0.01572	0.60067	0.02853	0.04261	0	0.11133
V185	0.59408	0	0.00734	0.21222	0	0.0025	0.00567	0.1258	0.05146	0.00094
V186	0.84331	0.00649	0.00265	0.11752	0	0.00657	0.01451	0.00896	0	0
V187	0.76757	0	0.1207	0	0	0.00444	0.00829	0.0091	0.06404	0.02586
V188	0.08587	0.06455	0.0406	0.0654	0.71924	0	0.00441	0.01247	0	0.00748
V189	0.87086	0	0.00134	0.08089	0	0.01929	0.006	0.00878	0	0.01284
V190	0.04481	0.01119	0.01055	0.0151	0.09088	0.088	0.01925	0	0.72021	0
V191	0.01379	0	0.0987	0.38705	0.43433	0.00409	0.03296	0.02589	0	0.00319
V192	0.0076	0	0.08445	0	0.41582	0	0	0.01629	0	0.47583
V193	0.07884	0.01932	0.21126	0.33201	0.14107	0.01666	0.08653	0.09758	0.01221	0.00452
V194	0	0.01093	0	0.01102	0	0.78208	0.15325	0.01296	0.02608	0.00369
V195	0.0441	0.09573	0.02047	0	0.08869	0.23348	0.39334	0.07737	0.03428	0.01255
V196	0.74749	0.00551	0.00973	0.22333	0	0.00498	0.00805	0	0	0.00091
V197	0.0216	0.00348	0.012	0.20724	0.01425	0	0.0106	0.54094	0.18989	0
V198	0.01819	0	0.04228	0	0.64816	0.23369	0.02469	0	0.03299	0
V199	0.0302	0.02509	0.11975	0.00103	0.42293	0.02053	0.08949	0	0	0.29098
V200	0.01211	0.00873	0.02438	0	0.51967	0.13634	0.14679	0.14628	0	0.0057
V201	0.24588	0.04434	0.01614	0.00476	0.01262	0.01384	0.07217	0.01051	0.55442	0.02532
V202	0.02937	0.24102	0.55807	0	0.07151	0.00743	0.05143	0.00682	0.03435	0
V203	0.01863	0.06412	0.43168	0.13583	0.03019	0.02319	0.07188	0	0.21335	0.01113
V204	0.00494	0.1455	0.30271	0.29835	0.05521	0.08133	0.0112	0.09118	0.00959	0
V205	0.07531	0.12308	0.02185	0	0	0.10485	0.4208	0.11122	0.13917	0.0037
