Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0.01979	0	0.09054	0	0.4063	0	0	0	0	0.48336
V2	0.66712	0	0	0	0	0.30156	0.03133	0	0	0
V3	0.108	0	0.10818	0	0.50383	0.01295	0.04526	0.21742	0	0.00435
V4	0.03968	0.06805	0.02149	0.01405	0.07436	0.06779	0.01219	0.02155	0.58091	0.09993
V5	0.00356	0.11122	0.07624	0.09851	0.19341	0.06865	0.00409	0	0	0.44431
V6	0.01584	0	0.20723	0	0.67009	0.0164	0	0.09044	0	0
V7	0.01662	0.38863	0.03326	5e-05	0.43086	0.0014	0.02445	0.10473	0	0
V8	0.01302	0.414	0.06661	0	0.12302	0	0	0.3803	0	0.00305
V9	0.00215	0.01097	0.05694	0.14155	0.00956	0.02347	0.1022	0.64465	0.00485	0.00366
V10	0.01497	0	0.00865	0.00023	0.74001	0.04542	0	0.19071	0	0
V11	0.02456	0.41858	0.02747	0	0.12577	0.02246	0	0.35595	0.014	0.0112
V12	0	0.02927	0.136	0.58859	0.06149	0.01499	0.0698	0.00742	0.00307	0.08937
V13	0.10276	0.06167	0.13242	0	0.01282	0.20504	0.29753	0.02006	0.16499	0.0027
V14	0.07857	0.39904	0.18519	0.04099	0.1336	0.06277	0.0785	0.02134	0	0
V15	0.19504	0.00914	0.05612	0.66619	0.0014	0.02498	0.03337	0.0061	0.00766	0
V16	0	0.04066	0.14704	0.61477	0.03111	0.04401	0.0194	0	0.10183	0.00117
V17	0.02834	0.12774	0.04931	0.00645	0.21905	0.08433	0.02048	0.00829	0	0.456
V18	0.05399	0.07247	0.06413	0.38607	0.10645	0.00521	0.00543	0	0	0.30624
V19	0.00152	0	0.05942	0.09731	0.15813	0.08853	0.00197	0.00782	0	0.58529
V20	0.00916	0.29116	0.03407	0.00509	0.05127	0.08377	0.36779	0.07997	0.01143	0.06629
V21	0.10422	0.36174	0.028	0	0.09973	0.34097	0.01852	0.0425	0	0.0043
V22	0.00648	0	0.02971	0.01	0.11154	0	0	0.40828	0.02781	0.40618
V23	0.25634	0.00995	0.62028	0	0.02398	0.01122	0	0.01156	0	0.06667
V24	0.04137	0.51453	0.0735	0	0.15402	0	0.03734	0.10955	0.0697	0
V25	0.03783	0.09513	0.04975	0.02831	0.20121	0.12463	0.01938	0	0.17085	0.27291
V26	0.00185	0	0.0368	0.02409	0	0	0	0.93648	0	0.00077
V27	0.01403	0	0.04148	0	0.61926	0	0.00679	0	0	0.31845
V28	0.30672	0	0.03895	0	0.10351	0.02155	0.01179	0.04484	0	0.47265
V29	0.02433	0.57216	0.0414	0	0.19396	0.0862	0	0.02555	0	0.0564
V30	0.01901	0.04131	0.10339	0.00718	0	0.33886	0.19315	0.0041	0.29167	0.00131
V31	0.01182	0.23121	0.20934	0	0.13524	0	0	0.41238	0	0
V32	0.50092	0	0.00717	0	0.33108	0.0457	0.02247	0	0.089	0.00366
V33	0.01026	0.03748	0.1895	0.5839	0	0.03132	0.13647	0	0.01107	0
V34	0.01377	0.01541	0.04775	0.00119	0.4466	0	0	0.01954	0.03533	0.4204
V35	0.02787	0.69482	0.03947	0	0.21172	0	0	0.02612	0	0
V36	0.0583	0.13089	0.0148	0	0	0.13036	0.57032	0.0591	0.03623	0
V37	0.01619	0.52592	0.0354	0	0.14975	0.02891	0.18464	0.05131	0	0.00788
V38	0.12394	0.07515	0.0417	0.22917	0	0.08572	0.40195	0.00671	0.03566	0
