Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0	0.02622	0.12102	0	0.3831	2e-05	9e-04	0	0.00502	0.46373
V2	0.60559	0.00297	0	0	0.03981	0.28833	0.05421	0.0089	0	0.00019
V3	0.09979	0.02399	0.12165	0	0.45073	0.02917	0.06017	0.19555	0.0049	0.01404
V4	0	0.05951	0.04148	0.00806	0.13322	0.05876	0.01905	0.0062	0.59089	0.08282
V5	0	0.12597	0.10824	0.06449	0.19498	0.0704	0.0135	0.00211	0.00327	0.41704
V6	0.01037	0.01278	0.23442	0	0.63908	0.02677	0	0.07659	0	0
V7	0.01246	0.38628	0.03425	0.00279	0.42178	0.01309	0.03654	0.09282	0	0
V8	0.01585	0.40086	0.05164	0.0219	0.16328	0.00925	0	0.33723	0	0
V9	0	0.00847	0.05023	0.1555	0.02148	0.04528	0.11758	0.58007	0.02141	0
V10	0.00319	0.01437	0.04039	0.00189	0.69655	0.0629	0.00769	0.17301	0	0
V11	0.0219	0.39363	0.01086	0.0258	0.1658	0.03323	0	0.30917	0.03292	0.00669
V12	0	0.04039	0.18647	0.49064	0.06448	0.02089	0.08333	0.01909	0.0114	0.08333
V13	0.06285	0.04155	0.12421	0	0.04037	0.20224	0.32066	0.03846	0.16776	0.0019
V14	0.07133	0.36552	0.17239	0.02593	0.16112	0.07093	0.09896	0.03075	0.00307	0
V15	0.1833	0.01872	0.12326	0.57291	0.00961	0.02641	0.03756	0.01743	0.0108	0
V16	0	0.04811	0.19595	0.5267	0.04282	0.04241	0.02158	0	0.12243	0
V17	0	0.13503	0.08031	0	0.21599	0.08466	0.03274	0.01359	0.01897	0.41873
V18	0.01769	0.09352	0.12978	0.31328	0.12186	0.00826	0.00731	0.00418	0.00465	0.29948
V19	0	0.02126	0.09595	0.0597	0.15313	0.0863	0.00867	0.01284	0.01044	0.5517
V20	0	0.23074	0.03434	0.00525	0.07342	0.10721	0.37809	0.09656	0.02393	0.05045
V21	0.09194	0.32126	0.0221	0.00371	0.13518	0.31708	0.04833	0.0425	0.01032	0.00757
V22	0	0.01408	0.04648	0.02401	0.1222	0.0049	0	0.35554	0.05097	0.38183
V23	0.27817	0.01301	0.58892	0	0.04183	4e-05	0	0	0.00307	0.07496
V24	0.03299	0.47381	0.06102	0	0.1941	0.00713	0.04906	0.09781	0.08408	0
V25	0	0.09893	0.08485	0.0117	0.21231	0.11946	0.03247	0	0.19134	0.24893
V26	0.00459	0	0.00565	0.09922	0.00641	0.00454	0	0.8796	0	0
V27	0	0.03696	0.07027	0	0.56756	0.00532	0.01261	0	0	0.30729
V28	0.26907	0.01959	0.05768	0	0.11931	0.02498	0.01582	0.04876	0	0.4448
V29	0.02003	0.53793	0.03551	0.00042	0.23094	0.08663	0.01417	0.02571	0	0.04867
V30	0	0.02459	0.1026	0.00601	0.0309	0.3066	0.22388	0.01257	0.29286	0
V31	0.01645	0.23637	0.21256	0.00096	0.16222	0	0	0.37145	0	0
V32	0.47384	0.01174	0	0	0.32239	0.04886	0.02901	0.00062	0.10032	0.01323
V33	0	0.03921	0.2411	0.47977	0.00309	0.04049	0.16103	0.01636	0.01895	0
V34	0	0.04582	0.07371	0	0.41318	0.00075	0.00214	0.01688	0.05164	0.3959
V35	0.02912	0.65868	0.02154	0	0.2613	0	0.00709	0.02227	0	0
V36	0.02414	0.08911	0.03043	0	0.00579	0.14938	0.5582	0.09501	0.04794	0
V37	0.00734	0.45607	0.02924	0	0.17811	0.04903	0.20598	0.06391	0.00907	0.00126
V38	0.08409	0.05938	0.06815	0.16078	0.00067	0.1112	0.42547	0.04629	0.04399	0
V39	0.03824	0.05675	0.08305	0.15424	0.04032	0.1086	0.41006	0.06661	0.04087	0.00126
V40	0.12155	0	0.74269	0	0.12802	0	0	0	0.00575	0.00199
V41	0.58832	0.04967	0	0	0.06353	0	0.00459	0.0089	0.27703	0.00795
V42	0.01401	0.45682	0.03495	0	0.48234	0	0	0	0	0.01188
V43	0.10293	0.0329	0.13419	0.05315	0.21759	0.07913	0.16781	0.04624	0.16605	0
V44	0.02543	0	0.54505	0	0.00076	0	0	0.42461	0.00414	0
V45	0	0.02678	0.03639	0.01354	0.06433	0.03893	0.18724	0.00362	0.62213	0.00705
V46	0.12952	0.09701	0.11282	0.23425	0.14638	0	0.00286	0.02652	0	0.25064
V47	0	0.07885	0.02286	0	0	0.15682	0.61164	0.06573	0.0641	0
V48	0	0.044	0.08854	0	0.19399	0	0.00165	0	0.12514	0.54668
V49	0.11949	0	0	0.06794	0.0034	0	0	0.80916	0	0
V50	0.27899	0.12594	0	0	0.08665	0.43986	0.05197	0.00269	0.01035	0.00355
V51	0.15895	0	0.60957	0	0.08952	0	0	0.07331	0.06068	0.00797
V52	0	0.04212	0.19637	0.31171	0	0.07606	0.29535	0.04096	0.03743	0
V53	0.41574	0.01118	0.10893	0.07553	0.06402	0.00032	0	0.1993	0	0.12497
V54	0	0	0.00685	0.01941	0.20672	0.6553	0.08443	0	0.02262	0.00468
V55	0	0.02528	0.11656	0.71144	0.07413	0.01937	0.0421	0.00297	0.00815	0
V56	0.14213	0	0.58534	0	0.10088	0.13861	0.01468	0	0.00745	0.01091
V57	0	0	0.67353	0.12257	0.02109	0.00694	0.00956	0.03894	0.11787	0.0095
V58	0	0.13195	0.08144	0.14245	0.07776	0.46845	0.0737	0.00153	0.02272	0
V59	0.00361	0.12589	0.03221	0	6e-05	0.14959	0.57366	0.06051	0.05446	0
V60	0.72172	0.00287	0	0	0.11103	0	0	0.00139	0.1612	0.00178
V61	0	0	0.02364	0.04824	0.02106	0.75195	0.10385	0.00141	0.03724	0.01261
V62	0	0.0514	0.07173	0.00146	0.08808	0.08157	0.31598	0.04423	0.07555	0.27
V63	0	0.15427	0.0402	0.00499	0.24364	0.4637	0.06423	0	0.01552	0.01345
V64	0.03825	0	0.32167	0.23354	0.01753	0.00935	0	0.35176	0	0.0279
V65	0.02043	0.02239	0.08001	0.35973	0.02915	0.01428	0.04468	0.31456	0.10784	0.00692
V66	0	0.04038	0.06462	0	0.70765	0.03355	0.01855	0.026	0.01058	0.09866
V67	0.01126	0.13568	0.55534	0	0.07717	0.05182	0.06404	0.02033	0.07029	0.01407
V68	3e-05	0.00083	0.01106	0.0468	0.07218	0	0.00303	0.36598	0.5001	0
V69	0.04296	0	0.92504	0	0.01744	0	0	0	0.01456	0
V70	0.7525	0.00834	0.04226	0	0.02448	0.03566	0.02374	0.01644	0.09566	0.00092
V71	0	0	0	0.0938	0.00965	0.00269	0	0.89026	0	0.0036
V72	0.19226	0.02034	0.09503	0.26141	0.25507	0.00385	0.00511	0.01487	0.00524	0.14683
V73	0.0229	0.03967	0.05875	0	0.85129	0.02268	0.00471	0	0	0
V74	0	0.02284	0.12169	0.19732	0.12904	0.0384	0.00665	0.01338	0.00845	0.46221
V75	0	0.06049	0.21755	0.42229	0.06209	0.0087	0.01573	0.00419	0.20895	0
V76	0	0	0	0.02918	0.01825	0.78435	0.11268	0.00426	0.0453	0.00598
