Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0.00146	0	0.10395	0	0.40682	0	0	0	0	0.48777
V2	0.64675	0	0	0	0.00123	0.31002	0.042	0	0	0
V3	0.10073	0	0.12554	0	0.50357	0.01521	0.05477	0.19806	0	0.00211
V4	0.01889	0.05181	0.04752	0.00466	0.08147	0.06512	0.01112	0.01587	0.60428	0.09926
V5	0	0.10263	0.09691	0.06724	0.20578	0.06767	0.00786	0	0	0.45191
V6	0.0132	0	0.2301	0	0.65984	0.01354	0	0.08331	0	0
V7	0.00614	0.36626	0.03585	0	0.44793	0.00876	0.03403	0.10103	0	0
V8	0.0164	0.40867	0.0666	0	0.15017	0	0	0.35817	0	0
V9	0.0167	0.0081	0.09091	0.10287	0.0018	0.02863	0.12881	0.61354	0.0079	0.00074
V10	0.00429	0	0.03961	0	0.73214	0.04462	0.0026	0.17673	0	0
V11	0.02277	0.41441	0.03041	0	0.15739	0.01793	0	0.3374	0.01153	0.00817
V12	0	0.03027	0.17311	0.53359	0.04619	0.02061	0.0896	0.01365	0	0.09298
V13	0.08878	0.02479	0.12422	0	0.00786	0.23587	0.34273	0.01815	0.15463	0.00297
V14	0.07267	0.37313	0.1888	0.02056	0.14839	0.07472	0.09777	0.02395	0	0
V15	0.21246	0.00915	0.08491	0.61257	0	0.0244	0.04122	0.01277	0.00252	0
V16	0.00419	0.04688	0.18227	0.56991	0.01164	0.0429	0.02544	2e-05	0.11676	0
V17	0.01003	0.11177	0.06419	0	0.23644	0.08536	0.02783	0.00782	0	0.45657
V18	0.04736	0.07456	0.09547	0.33958	0.1067	0.00268	0.0066	0	0	0.32704
V19	0	0	0.08244	0.06236	0.16268	0.0861	0.00468	0.00686	0	0.59487
V20	0.00083	0.22512	0.02697	0	0.05799	0.13335	0.41885	0.07546	0	0.06144
V21	0.08943	0.34708	0.02863	0	0.1212	0.33801	0.03399	0.03904	0	0.00262
V22	0.00371	0	0.05655	0	0.1252	0	0	0.38235	0.0033	0.42889
V23	0.28123	0.00934	0.61785	0	0.01623	0.00035	0	0.00455	0	0.07045
V24	0.03272	0.48589	0.0664	0	0.18876	0.00498	0.04903	0.10723	0.06498	0
V25	0.01919	0.08353	0.08071	0.00738	0.2168	0.12476	0.02613	0	0.1622	0.2793
V26	0.02657	0	0.06561	0	0	0	0	0.90781	0	0
V27	0	0	0.05832	0	0.61492	0	0.00924	0	0	0.31752
V28	0.28169	0	0.04348	0	0.10927	0.02014	0.01113	0.04149	0	0.49281
