Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0.0047	0	0.09332	0	0.37296	0	0	0	0	0.52902
V2	0.64305	0	0	0	0	0.32643	0.03052	0	0	0
V3	0.10283	0	0.1371	0	0.48216	0.0099	0.05052	0.21284	0	0.00466
V4	0.02783	0.04907	0.04268	0	0.04534	0.06612	0	0.02017	0.64455	0.10424
V5	0	0.09509	0.09214	0.06709	0.17891	0.07101	0.00219	0	0	0.49358
V6	0.01747	0	0.24627	0	0.63118	0.01081	0	0.09427	0	0
V7	0.00788	0.38094	0.03108	0	0.42499	0.00795	0.03635	0.11081	0	0
V8	0.02316	0.41526	0.0636	0	0.11741	0	0	0.37926	0	0.00131
V9	0.02903	0.00384	0.11753	0.08264	0	0.01446	0.11472	0.63382	0.00229	0.00168
V10	0.00682	0	0.04539	0	0.71435	0.0423	0	0.19114	0	0
V11	0.02828	0.43333	0.02548	0	0.12619	0.00985	0	0.36585	0.00043	0.01059
V12	0.00124	0.02311	0.18102	0.54553	0.0289	0.0173	0.0852	0.01208	0	0.10562
V13	0.09646	0.01213	0.12345	0	0.00283	0.23932	0.35419	0.01531	0.15491	0.0014
V14	0.07636	0.38163	0.20553	0.00934	0.1189	0.07824	0.10496	0.02505	0	0
V15	0.20411	0.00482	0.10212	0.623	0	0.02197	0.03246	0.01151	0	0
V16	0.01052	0.04237	0.1908	0.57643	0	0.04245	0.01539	0.00045	0.12124	0.00035
V17	0.01253	0.10329	0.05252	0	0.21071	0.09005	0.02417	0.00771	0	0.49903
V18	0.04548	0.06581	0.09479	0.35374	0.07811	8e-04	0	0	0	0.36127
V19	0	0	0.07482	0.05799	0.1353	0.08946	0	0.0071	0	0.63533
V20	0.00847	0.21337	0.01001	0	0.04825	0.13164	0.44927	0.07229	0	0.06669
V21	0.09171	0.36608	0.01856	0	0.09223	0.36793	0.01944	0.04058	0	0.00349
V22	0.0112	0	0.05	0	0.09438	0	0	0.39019	0	0.45423
V23	0.26836	0.0017	0.63821	0	0.00282	0	0	0.01642	0	0.07248
V24	0.03746	0.50228	0.06244	0	0.15882	0.00333	0.05315	0.11812	0.06439	0
V25	0.02295	0.08045	0.08132	0	0.18845	0.13269	0.01804	0	0.1698	0.3063
V26	0.03977	0	0.07011	0	0	0	0	0.88968	0	0.00045
V27	0	0	0.05195	0	0.58855	0	0.00762	0	0	0.35188
V28	0.27299	0	0.03574	0	0.07928	0.01909	0.00629	0.04528	0	0.54133
V29	0.01377	0.56122	0.0223	0	0.1988	0.10129	0.00696	0.03258	0	0.06307
V30	0.02045	0.0026	0.10653	0	0	0.35205	0.22031	0	0.29806	0
V31	0.03313	0.23283	0.22337	0	0.11947	0	0	0.3912	0	0
V32	0.45653	0	0.02394	0	0.33321	0.04842	0.02295	0.00371	0.10156	0.00969
V33	0.02877	0.01221	0.22465	0.5181	0	0.04327	0.17004	0.00295	0	0
V34	0	0	0.06204	0	0.44211	0	0	0.0211	0	0.47475
V35	0.01872	0.69493	0.01191	0	0.22292	0.00254	0.01125	0.03774	0	0
V36	0.05283	0.03557	0	0	0	0.19644	0.66603	0.04913	0	0
V37	0.00992	0.47611	0.00647	0	0.14675	0.05955	0.24295	0.05344	0	0.00482
V38	0.1187	0.01167	0.04803	0.17811	0	0.13828	0.49967	0.00554	0	0
V39	0.07432	0.01902	0.06839	0.1685	0.01747	0.13125	0.48106	0.03157	0.00376	0.00465
V40	0.13646	0	0.74962	0	0.09421	0	0	0.01972	0	0
V41	0.6096	0.03748	0.01189	0	0	0	0	0.01466	0.31806	0.00829
V42	0.00471	0.45364	0.02967	0	0.47755	0	0	0.01126	0	0.02317
V43	0.12692	0.01025	0.17151	0.03007	0.20133	0.08347	0.17565	0.03914	0.16165	0
V44	0.05873	0	0.52514	0	0	0	0	0.41614	0	0
V45	0.03038	0	0.03565	0.00229	0	0.05399	0.18919	0.00117	0.66757	0.01976
V46	0.143	0.07041	0.10766	0.24914	0.10572	0	0	0.01956	0	0.30451
V47	0.00572	0.01549	0	0	0	0.22045	0.74327	0.00504	0.00103	0.009
V48	0.00667	0	0.06823	0	0.18877	0	0	0	0.05891	0.67742
V49	0.15564	0	0.01821	0	0	0	0	0.82615	0	0
V50	0.28609	0.13954	0.0048	0	0.04502	0.51504	0.00951	0	0	0
V51	0.16759	0	0.63628	0	0.05474	0	0	0.0978	0.04248	0.00112
V52	0.0107	0.00762	0.20327	0.34584	0	0.08831	0.32826	0.0159	1e-04	0
V53	0.41775	0	0.19879	0.00281	0.02156	0	0	0.21324	0	0.14585
V54	0	0	0.02072	0	0.21267	0.7342	0.0319	0	0.00051	0
V55	0	0.01892	0.0811	0.7864	0.04112	0.01493	0.0418	0	0.00419	0.01154
V56	0.15287	0	0.62488	0	0.0703	0.14602	0.00088	0.00438	0	0.00069
V57	0.05033	0	0.68741	0.09162	0	0.00389	0.00601	0.05262	0.10219	0.00592
V58	0.0088	0.15151	0.09798	0.14354	0.03288	0.53279	0.03249	0	0	0
V59	0.02844	0.07147	0	0	0	0.20542	0.69022	0.00445	0	0
V60	0.7684	0	0	0	0.05878	0	0	0.00372	0.16601	0.00309
V61	0	0	0.05486	0.01127	0	0.87506	0.04001	0	0.01514	0.00367
V62	0.0224	0	0.04407	0	0.07833	0.10033	0.38091	0.01473	0.00991	0.34932
V63	0.00069	0.16756	0.0398	0	0.23672	0.52218	0.02427	0	0	0.00878
V64	0.07459	0	0.36993	0.17134	0	0	0	0.3579	0	0.02624
V65	0.06102	0.01423	0.10426	0.34661	0	0	0.02751	0.33671	0.09661	0.01305
V66	0.00096	0.00152	0.06788	0	0.75216	0.02174	0.01302	0.03544	0	0.10728
V67	0.04289	0.13129	0.58561	0	0.03439	0.05582	0.06341	0.02736	0.04948	0.00974
V68	0.04799	3e-04	0.03536	0	0	0	0	0.3921	0.52426	0
V69	0.07843	0	0.91145	0	0	0	0	0.01012	0	0
V70	0.75709	0	0.07349	0	0	0.04045	0.02062	0.01583	0.09251	0
V71	0.05093	0	0.03059	0	0	0	0	0.90609	0	0.0124
V72	0.19753	0	0.10656	0.28043	0.23647	0	0	0.0103	0	0.16872
V73	0.01917	0.00511	0.07261	0	0.87235	0.01377	0.00336	0.01364	0	0
V74	0	0	0.10141	0.21366	0.09783	0.03299	0	0.00786	0	0.54624
V75	0.01771	0.05782	0.22099	0.45648	0.00288	0.00642	0.00984	0.01211	0.21575	0
V76	0	0	0.01032	0	0	0.92821	0.0441	0	0.01736	0
V77	0	0.00539	0.04001	0.34486	0	0.35556	0.25085	0	5e-04	0.00283
V78	0.00926	0.40483	0.04906	0	0.14618	0.07605	0.25981	0.00259	0	0.05223
