Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0	0	0.09683	0	0.3144	0	0	0	0	0.58877
V2	0.67759	0.00549	0	0	0	0.31435	0.00257	0	0	0
V3	0	0.14525	0.22653	0	0.44463	0	0.18359	0	0	0
V4	0	0.18573	0.0144	0	0	0	0.01492	0	0.76185	0.02309
V5	0	0.15185	0.16695	0	0.08429	0	0.05605	0	0	0.54085
V6	0	0.09646	0.30302	0	0.57183	0	0.02869	0	0	0
V7	0	0.55358	0.06459	0	0.27065	0	0.11118	0	0	0
V8	0	0.63924	0.09848	0	0	0	0.06592	0.19636	0	0
V9	0	0.09912	0.05104	0.04845	0	0.02608	0.29	0.4853	0	0
V10	0	0.11599	0.05862	0	0.69358	0.0073	0.12452	0	0	0
V11	0	0.63452	0.04878	0	0.0393	0	0.0966	0.1808	0	0
V12	0	0.09651	0.15261	0.61181	0	0	0.11516	0	0	0.02391
V13	0	0.15086	0.08272	0	0	0.21492	0.43095	0	0.12056	0
V14	0	0.50228	0.2773	0	0	0.0177	0.20272	0	0	0
V15	0.19332	0.00083	0.02299	0.78286	0	0	0	0	0	0
V16	0	0.15511	0.17249	0.63844	0	0	0.03396	0	0	0
V17	0	0.14916	0.07455	0	0.16803	0	0.08123	0	0	0.52703
V18	0	0.10659	0.20558	0.29696	0	0	0	0	0	0.39086
V19	0	0	0.13802	0	0.0542	0	0.05296	0	0.01321	0.7416
V20	0	0.32017	0	0	0	0.14094	0.52952	0.00937	0	0
V21	0.04433	0.4435	0.09178	0	0.0167	0.35264	0.05105	0	0	0
V22	0	0.02072	0.01592	0	0.05997	0	0	0.24412	0.0978	0.56147
V23	0.18903	0	0.81097	0	0	0	0	0	0	0
V24	0	0.67696	0.09647	0	0.08304	0	0.14352	0	0	0
V25	0	0.16238	0.08357	0	0.16429	0.02471	0.09501	0	0.17808	0.29195
V26	0	0	0	0	0	0	0	1	0	0
V27	0	0.00586	0.07538	0	0.57698	0	0	0	0	0.34179
V28	0.22621	0	0.11769	0	0.03331	0	0	0	0	0.62279
V29	0	0.69354	0.10459	0	0.05325	0.05119	0.06939	0	0	0.02803
V30	0	0.10523	0.00971	0	0	0.32095	0.29184	0	0.27227	0
