Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0.00705	0	0.09987	0	0.40431	0	0	0	0	0.48878
V2	0.64632	0	0	0	0.00892	0.29803	0.04086	0.00587	0	0
V3	0.10544	0	0.10803	0	0.49979	0.01553	0.05383	0.20913	0	0.00826
V4	0.03107	0.05258	0.02663	0.00511	0.10245	0.0608	0.01057	0.02044	0.59167	0.0987
V5	0	0.10907	0.07706	0.08358	0.21173	0.06719	0.00485	0	0	0.44651
V6	0.01368	0	0.21553	0	0.66505	0.01659	0	0.08915	0	0
V7	0.00966	0.36864	0.02606	0	0.46561	0.00473	0.02914	0.09616	0	0
V8	0.01671	0.39641	0.05343	0	0.17452	0.00251	0	0.35441	0	0.00201
V9	0.01081	0.00675	0.0532	0.12049	0.00936	0.03363	0.12153	0.61932	0.01945	0.00546
V10	0.00428	0	0.02401	0	0.73028	0.05001	0.00398	0.18742	0	0
V11	0.02527	0.39829	0.01727	0	0.18029	0.02705	0	0.33002	0.01124	0.01056
V12	0	0.02882	0.13189	0.55671	0.06212	0.01599	0.08309	0.013	0.00867	0.0997
V13	0.09742	0.03591	0.1174	0	0.0221	0.20965	0.32275	0.01915	0.16685	0.00878
V14	0.07846	0.3748	0.16403	0.03122	0.18088	0.06414	0.08752	0.01894	0	0
V15	0.22404	0.00916	0.03627	0.63573	0	0.02454	0.04007	0.01327	0.01692	0
V16	0.0064	0.04215	0.13799	0.58486	0.0323	0.04397	0.02358	0	0.12678	0.00198
V17	0.01698	0.12092	0.05516	0.00182	0.23846	0.08254	0.02287	0.01085	0	0.45041
V18	0.05447	0.07656	0.0605	0.35271	0.1215	0.00343	0.00535	0	0	0.32548
V19	0	0.00113	0.06393	0.08202	0.16434	0.08652	0.00245	0.013	0	0.58662
V20	0.00209	0.24809	0.02901	0	0.08334	0.09945	0.39584	0.07329	0.00118	0.06771
V21	0.09777	0.33693	0.01393	0	0.14385	0.32999	0.03022	0.04164	0	0.00567
V22	0.00399	0.00219	0.04045	0.00449	0.12145	0	0	0.3882	0.02924	0.40998
V23	0.28761	0.0089	0.58846	0	0.0267	0.00265	0	0.01002	0	0.07566
V24	0.03923	0.48228	0.05493	0	0.22067	0.00096	0.04218	0.09939	0.06035	0
V25	0.02887	0.08794	0.05393	0.01955	0.22122	0.12148	0.02264	0.00024	0.16982	0.27433
V26	0.01746	0	0.03819	0.01848	9e-04	0.00081	0.00088	0.91932	0	0.00396
V27	0	0	0.05403	0	0.61385	0	0.00715	0	0	0.32497
V28	0.29299	0	0.03881	0	0.11515	0.01927	0.00975	0.04717	0	0.47685
