Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0.02049	0	0.10313	0	0.4179	0	0.00049	0	0.00533	0.45266
V2	0.67732	0	0	0	0	0.28821	0.03447	0	0	0
V3	0.10857	0	0.09074	0.00609	0.50449	0.01063	0.04277	0.23117	0	0.00556
V4	0.02423	0.07118	0.02155	0.01261	0.04323	0.06573	0.00843	0.0184	0.63074	0.10388
V5	0.00136	0.11108	0.09041	0.09929	0.19489	0.06907	0.00653	0	0.00262	0.42476
V6	0.01918	0	0.19816	0	0.67241	0.0141	0	0.09615	0	0
V7	0.02022	0.37983	0.03714	0.00187	0.42115	0.00191	0.02701	0.11087	0	0
V8	0.01391	0.40479	0.07091	0	0.09634	0.00066	0	0.40777	0	0.00562
V9	0.00366	0.01124	0.04456	0.14711	0	0.02146	0.08961	0.66413	0.01125	0.00698
V10	0.0216	0	0	0.00402	0.73445	0.0415	0	0.19843	0	0
V11	0.02428	0.40815	0.02829	0	0.09651	0.02332	0	0.3809	0.02657	0.01198
V12	0	0.03996	0.14383	0.60901	0.04574	0.01221	0.05352	0.00622	0.00271	0.08681
V13	0.09973	0.0639	0.14042	0	0.00651	0.19467	0.29011	0.0196	0.17736	0.00769
V14	0.07779	0.40051	0.19291	0.04959	0.11755	0.06028	0.08034	0.02103	0	0
V15	0.19529	0.0187	0.06002	0.68399	0	0.02052	0.01568	0.00327	0.00252	0
V16	0	0.05241	0.15596	0.63401	0.00673	0.04023	0.00241	0	0.10276	0.0055
V17	0.02654	0.12385	0.05782	0.00151	0.22146	0.08327	0.02455	0.00912	0.01849	0.43337
V18	0.05278	0.07757	0.07565	0.39798	0.09615	0.00424	0	0	0.004	0.29163
V19	0	0	0.07332	0.09355	0.1604	0.08663	0.00338	0.01	0.01171	0.56099
V20	0.01016	0.285	0.04496	0.0136	0.04425	0.076	0.35415	0.08262	0.02496	0.06431
V21	0.10625	0.36413	0.03342	0	0.08358	0.33554	0.02456	0.04669	0	0.00584
V22	0.00482	0	0.02767	0.00843	0.10079	0	0	0.43789	0.04792	0.37248
V23	0.24902	0.00679	0.63961	0	0.0171	0.0069	0.00171	0.01317	0	0.06571
V24	0.03901	0.51245	0.0827	0	0.12642	0	0.04	0.11608	0.08308	0.00026
V25	0.03255	0.09508	0.05289	0.02703	0.1945	0.12305	0.02065	0	0.19395	0.2603
V26	0.00685	0	0.02353	0.0323	0	0	0	0.9327	0	0.00462
V27	0.01852	0	0.04834	0	0.63057	0	0.00753	0	0	0.29503
V28	0.31422	0	0.04004	0	0.1093	0.02014	0.01594	0.04957	0.00059	0.4502
V29	0.02443	0.57508	0.05442	0	0.17314	0.08612	0.00554	0.02649	0	0.05478
V30	0.01027	0.04156	0.1066	0.0142	0	0.32346	0.18811	0.00163	0.30889	0.00527
V31	0.01069	0.22291	0.20854	0	0.11454	0	0	0.44093	0	0.00239
V32	0.50301	0	0	0	0.33867	0.03962	0.02189	0	0.08996	0.00683
V33	0.007	0.04614	0.19777	0.59824	0	0.02582	0.11676	0	0.00827	0
V34	0.01396	0.01044	0.05418	0	0.4557	0	0.00012	0.02103	0.05135	0.39323
V35	0.02968	0.69302	0.06024	0	0.18623	0	0.00545	0.02532	0	5e-05
V36	0.06085	0.12982	0.02666	0.01104	0	0.11524	0.54297	0.05952	0.04882	0.00508
V37	0.01705	0.51794	0.05193	0	0.13214	0.02675	0.18444	0.05206	0.0086	0.00909
V38	0.12421	0.08039	0.05001	0.24167	0	0.07544	0.37909	0.00401	0.04343	0.00173
V39	0.0758	0.07886	0.06177	0.23294	0.02751	0.07333	0.36505	0.03435	0.03988	0.01052
V40	0.08241	0	0.7776	0	0.12276	0.00047	0.00086	0.01592	0	0
V41	0.64939	0.04666	1e-04	0	0	0	0.00666	0.00439	0.28349	0.00931
V42	0.02374	0.44302	0.0481	0	0.46363	0	0	0.00041	0	0.0211
V43	0.13479	0.03217	0.11041	0.09366	0.22924	0.06121	0.13701	0.04128	0.16023	0
V44	0	0	0.51535	0	0	0	0	0.48465	0	0
