mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V1	0.26313	0.22881	0.22244	0.17701	0.1086
V2	0.04937	0.70312	0.07131	0.12492	0.05127
V3	0.05569	0.16649	0.35057	0.40925	0.018
V4	0.014	0.14465	0.22175	0.06895	0.55065
V5	0.01898	0.09974	0.07608	0.10822	0.69699
V6	0.26673	0.15822	0.23511	0.25301	0.08693
V7	0.01017	0.19105	0.36016	0.0953	0.34332
V8	0.01226	0.24302	0.61776	0.11185	0.01511
V9	0.05078	0.11906	0.22278	0.5954	0.01197
V10	0.35433	0.2012	0.3552	0.05884	0.03042
V11	0.03517	0.12416	0.11299	0.07621	0.65147
V12	0.07216	0.13261	0.2025	0.30684	0.28589
V13	0.11755	0.11802	0.05219	0.4294	0.28283
V14	0.13793	0.08327	0.07809	0.62918	0.07152
V15	0.02681	0.0687	0.01555	0.86715	0.02179
V16	0.45605	0.14243	0.02806	0.35807	0.01539
V17	0.06219	0.28091	0.03655	0.08385	0.53649
V18	0.07287	0.42181	0.23197	0.2534	0.01995
V19	0.03165	0.09497	0.02194	0.12494	0.72651
V20	0.00532	0.20587	0.53278	0.23646	0.01957
V21	0.02028	0.3042	0.13677	0.18788	0.35087
V22	0.6377	0.17743	0.07218	0.07845	0.03424
V23	0.07479	0.10389	0.04183	0.14581	0.63369
V24	0.3894	0.19014	0.03761	0.09517	0.28767
V25	0.02663	0.09496	0.03244	0.4331	0.41287
V26	0.39583	0.25602	0.07133	0.09761	0.17921
V27	0.10652	0.49012	0.18114	0.06261	0.1596
V28	0.02905	0.156	0.18124	0.60282	0.03089
V29	0.00906	0.12531	0.27517	0.572	0.01846
V30	0.58721	0.18494	0.04136	0.09492	0.09158
V31	0.35527	0.19641	0.03012	0.27108	0.14712
V32	0.71994	0.11248	0.02467	0.08938	0.05353
V33	0.02418	0.24018	0.03653	0.13591	0.5632
V34	0.11219	0.75324	0.02884	0.08495	0.02078
V35	0.08131	0.57183	0.23908	0.09135	0.01643
V36	0.02673	0.25157	0.16841	0.11315	0.44013
V37	0.60567	0.10546	0.01747	0.08118	0.19022
V38	0.09863	0.18996	0.38123	0.21606	0.11412
V39	0.26112	0.18458	0.27841	0.06024	0.21565
V40	0.20008	0.55037	0.03713	0.17068	0.04175
V41	0.0458	0.76232	0.03591	0.0736	0.08238
V42	0.67346	0.1394	0.0353	0.08893	0.06291
V43	0.37048	0.24449	0.27855	0.08627	0.02021
V44	0.02973	0.37471	0.44688	0.05358	0.0951
V45	0.0335	0.60725	0.10717	0.20307	0.04901
V46	0.10344	0.68062	0.08537	0.09999	0.03058
V47	0.00502	0.2544	0.66522	0.05271	0.02265
V48	0.13861	0.2143	0.19923	0.34249	0.10537
V49	0.36447	0.23313	0.19507	0.18774	0.0196
V50	0.02089	0.26155	0.6488	0.05224	0.01652
V51	0.09017	0.32057	0.18917	0.09957	0.30052
V52	0.05099	0.81027	0.03044	0.0867	0.02161
V53	0.0294	0.18252	0.02398	0.74996	0.01415
