mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V1	0.2841	0.19592	0.21554	0.18223	0.12221
V2	0.05771	0.67922	0.07311	0.12711	0.06284
V3	0.06236	0.13536	0.34538	0.42857	0.02833
V4	0.01486	0.11611	0.20829	0.08567	0.57507
V5	0.0186	0.07975	0.06666	0.12839	0.7066
V6	0.28521	0.12923	0.2257	0.26006	0.0998
V7	0.01199	0.15713	0.35276	0.10751	0.37061
V8	0.01578	0.20918	0.64367	0.11499	0.01638
V9	0.0553	0.09481	0.21298	0.61095	0.02596
V10	0.38845	0.16956	0.35228	0.05387	0.03584
V11	0.03581	0.10019	0.10201	0.09588	0.66611
V12	0.0765	0.10523	0.19024	0.32179	0.30623
V13	0.12067	0.09665	0.04638	0.43685	0.29945
V14	0.14241	0.06632	0.07156	0.63064	0.08907
V15	0.02817	0.05668	0.01359	0.85966	0.0419
V16	0.47185	0.12164	0.02557	0.35332	0.02763
V17	0.06484	0.24498	0.03172	0.09847	0.56
V18	0.08285	0.38761	0.23412	0.26666	0.02876
V19	0.03094	0.07721	0.01632	0.14455	0.73098
V20	0.00785	0.17149	0.54483	0.25102	0.0248
V21	0.02241	0.26698	0.13028	0.20279	0.37755
V22	0.66669	0.15339	0.06814	0.06952	0.04225
V23	0.07545	0.08409	0.03514	0.16329	0.64204
V24	0.40307	0.16289	0.0334	0.09884	0.3018
V25	0.02719	0.07715	0.02737	0.44124	0.42705
V26	0.41812	0.22357	0.06684	0.09826	0.19322
V27	0.11989	0.45533	0.18215	0.06393	0.17871
V28	0.03225	0.12946	0.17285	0.61917	0.04626
V29	0.01131	0.09959	0.26589	0.59151	0.0317
V30	0.61075	0.15979	0.03812	0.08965	0.10169
V31	0.36908	0.16908	0.02699	0.2731	0.16174
V32	0.74144	0.09581	0.02227	0.07856	0.06192
V33	0.02491	0.20711	0.03131	0.15218	0.58449
V34	0.12948	0.73495	0.02931	0.07873	0.02753
V35	0.09484	0.54586	0.24847	0.08945	0.02139
V36	0.02892	0.21648	0.15974	0.12776	0.4671
V37	0.61876	0.08858	0.01478	0.07824	0.19963
V38	0.10918	0.15638	0.3775	0.2284	0.12854
V39	0.28177	0.15247	0.26989	0.06369	0.23218
V40	0.22225	0.51504	0.03654	0.17318	0.05299
V41	0.05366	0.74259	0.03636	0.0703	0.0971
V42	0.69615	0.11936	0.03239	0.08021	0.07189
V43	0.40427	0.2125	0.27521	0.08197	0.02604
V44	0.03539	0.3427	0.46191	0.05312	0.10688
V45	0.03927	0.57705	0.10911	0.21356	0.061
V46	0.11934	0.65587	0.08775	0.09808	0.03897
V47	0.00734	0.22105	0.70044	0.04837	0.0228
V48	0.14926	0.18171	0.19158	0.35596	0.1215
V49	0.39216	0.20181	0.1894	0.18855	0.02808
V50	0.02576	0.22843	0.68199	0.04767	0.01616
V51	0.09828	0.28318	0.18349	0.10906	0.32599
V52	0.05995	0.79994	0.0313	0.08066	0.02815
V53	0.03168	0.15823	0.02186	0.75591	0.03233
V54	0.19182	0.05952	0.02489	0.55608	0.1677
V55	0.07223	0.04607	0.01303	0.8343	0.03437
V56	0.07048	0.04266	0.0189	0.75334	0.11463
V57	0.13976	0.23724	0.43876	0.0747	0.10955
V58	0.06932	0.08203	0.12825	0.23146	0.48894
V59	0.68408	0.11967	0.084	0.08135	0.0309
V60	0.37099	0.22771	0.11657	0.17639	0.10835
V61	0.17851	0.07739	0.03934	0.2551	0.44965
V62	0.05736	0.1304	0.25638	0.16667	0.38919
V63	0.3568	0.26093	0.0692	0.0926	0.22047
V64	0.74516	0.10902	0.03394	0.07738	0.0345
V65	0.08206	0.1092	0.04658	0.62645	0.1357
V66	0.03148	0.06937	0.11715	0.74598	0.03602
V67	0.01264	0.12982	0.28774	0.12939	0.44041
V68	0.38427	0.14422	0.30331	0.08944	0.07876
V69	0.491	0.18989	0.16944	0.08075	0.06893
V70	0.06324	0.60033	0.06258	0.23379	0.04007
V71	0.09986	0.66839	0.06482	0.13457	0.03236
V72	0.04085	0.36356	0.04202	0.08469	0.46889
V73	0.05861	0.06983	0.09559	0.58166	0.1943
V74	0.01908	0.08412	0.02033	0.78771	0.08875
V75	0.40115	0.24604	0.25092	0.06977	0.03212
V76	0.01759	0.04727	0.02686	0.833	0.07529
V77	0.02433	0.21006	0.66493	0.08461	0.01607
V78	0.00753	0.22352	0.69073	0.05556	0.02265
V79	0.07831	0.35945	0.05499	0.19385	0.3134
V80	0.12929	0.62456	0.02534	0.12008	0.10074
V81	0.01628	0.22095	0.69847	0.04808	0.01621
V82	0.20968	0.16625	0.04024	0.549	0.03483
V83	0.09257	0.10822	0.03308	0.56144	0.20468
V84	0.09148	0.18449	0.02336	0.10129	0.59938
V85	0.00745	0.22074	0.69952	0.05593	0.01636
V86	0.02777	0.26689	0.26028	0.41525	0.02982
V87	0.38289	0.08094	0.04899	0.44814	0.03904
V88	0.27644	0.18606	0.06122	0.23947	0.23681
V89	0.04506	0.24995	0.60434	0.0842	0.01644
