mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V1	0.27392	0.21133	0.22098	0.17329	0.12048
V2	0.05292	0.68816	0.07033	0.12416	0.06444
V3	0.05829	0.15264	0.3497	0.41049	0.02888
V4	0.01419	0.13421	0.2183	0.06432	0.56898
V5	0.01886	0.09241	0.07201	0.10301	0.71371
V6	0.27564	0.14441	0.23221	0.24916	0.09857
V7	0.0105	0.17782	0.36083	0.09186	0.359
V8	0.01286	0.22906	0.63142	0.10867	0.01799
V9	0.05267	0.10763	0.2191	0.59403	0.02656
V10	0.37018	0.18585	0.35581	0.05141	0.03675
V11	0.03582	0.1151	0.10896	0.07135	0.66878
V12	0.07445	0.12118	0.19836	0.30484	0.30117
V13	0.12003	0.1071	0.04952	0.42443	0.29891
V14	0.14035	0.0744	0.0755	0.62092	0.08883
V15	0.02733	0.06133	0.01465	0.85426	0.04243
V16	0.46575	0.1288	0.02698	0.34928	0.0292
V17	0.06432	0.2624	0.033	0.07914	0.56113
V18	0.07744	0.40002	0.23522	0.25699	0.03032
V19	0.03167	0.08818	0.01847	0.11913	0.74255
V20	0.00565	0.19169	0.54003	0.23701	0.02563
V21	0.02097	0.28476	0.13471	0.18725	0.37231
V22	0.65522	0.1621	0.07081	0.06782	0.04405
V23	0.07627	0.09581	0.03839	0.14065	0.64888
V24	0.40051	0.17462	0.03533	0.08793	0.30161
V25	0.02706	0.08656	0.02974	0.42768	0.42896
V26	0.41087	0.23664	0.06931	0.09075	0.19244
V27	0.11393	0.46934	0.18347	0.05766	0.17561
V28	0.0303	0.14194	0.17822	0.60317	0.04637
V29	0.00975	0.11379	0.27199	0.5724	0.03207
V30	0.60311	0.16889	0.03989	0.0855	0.10262
V31	0.36487	0.17947	0.02828	0.26553	0.16185
V32	0.73372	0.10187	0.02392	0.07662	0.06387
V33	0.0245	0.22356	0.03298	0.13195	0.58702
V34	0.12225	0.74177	0.02537	0.07938	0.03123
V35	0.08775	0.55386	0.24672	0.08763	0.02404
V36	0.02761	0.23527	0.16618	0.1101	0.46084
V37	0.61654	0.09552	0.01628	0.071	0.20066
V38	0.10316	0.17533	0.38195	0.2149	0.12467
V39	0.27187	0.17045	0.27713	0.05417	0.22637
V40	0.21433	0.52658	0.03465	0.16959	0.05486
V41	0.04905	0.7518	0.03257	0.06853	0.09805
V42	0.68823	0.12658	0.03423	0.07755	0.07341
V43	0.38742	0.22662	0.27914	0.07917	0.02765
V44	0.03152	0.35721	0.4591	0.04851	0.10366
V45	0.03546	0.58751	0.10765	0.2072	0.06218
V46	0.11224	0.66427	0.0853	0.09667	0.04152
V47	0.00497	0.24098	0.68352	0.04638	0.02415
V48	0.14384	0.19729	0.19693	0.34234	0.1196
V49	0.37907	0.21482	0.19371	0.18288	0.02953
V50	0.02203	0.24774	0.66625	0.04596	0.01802
V51	0.09478	0.30103	0.18852	0.09616	0.3195
V52	0.05478	0.80478	0.0268	0.08156	0.03207
V53	0.03034	0.16607	0.02245	0.74794	0.0332
V54	0.19115	0.0662	0.02698	0.54784	0.16783
V55	0.07109	0.05034	0.01418	0.82942	0.03497
V56	0.06975	0.04776	0.02055	0.74739	0.11455
V57	0.1311	0.25507	0.43923	0.06838	0.10622
V58	0.06875	0.09639	0.13596	0.21214	0.48676
V59	0.67193	0.12808	0.08748	0.0797	0.03282
V60	0.36161	0.24072	0.12006	0.16959	0.10802
V61	0.17943	0.08761	0.04264	0.239	0.45131
V62	0.05518	0.14937	0.26535	0.14965	0.38044
V63	0.34999	0.27533	0.07141	0.08432	0.21895
V64	0.73536	0.1155	0.03589	0.07642	0.03684
V65	0.08073	0.11857	0.04916	0.61636	0.13518
V66	0.03011	0.07849	0.1221	0.73305	0.03625
V67	0.01148	0.14945	0.29738	0.11161	0.43008
V68	0.369	0.16018	0.30895	0.08395	0.07793
V69	0.4773	0.20243	0.17408	0.07686	0.06934
V70	0.05875	0.61034	0.06015	0.22844	0.04231
V71	0.09367	0.67668	0.06192	0.13252	0.03521
V72	0.03954	0.38271	0.04237	0.06871	0.46668
V73	0.05749	0.08004	0.10086	0.56871	0.19291
V74	0.01828	0.09043	0.02159	0.78092	0.08878
V75	0.38498	0.25948	0.2545	0.06745	0.0336
V76	0.01689	0.05235	0.02865	0.82673	0.07539
V77	0.02079	0.2301	0.65111	0.08023	0.01777
V78	0.00515	0.24314	0.67471	0.05302	0.02398
V79	0.0759	0.37647	0.05562	0.18157	0.31043
V80	0.12319	0.63648	0.02214	0.11654	0.10165
V81	0.01325	0.24081	0.68154	0.04632	0.01808
V82	0.20589	0.17528	0.0417	0.54119	0.03594
V83	0.09166	0.11775	0.03521	0.55109	0.20429
V84	0.09156	0.20014	0.02487	0.08053	0.6029
V85	0.00507	0.24053	0.68257	0.05362	0.0182
V86	0.02502	0.28092	0.26327	0.39993	0.03085
V87	0.37804	0.08796	0.0517	0.44229	0.04002
V88	0.27266	0.19916	0.06398	0.22881	0.23539
V89	0.0401	0.26773	0.59383	0.08014	0.01819
V90	0.02237	0.21759	0.07101	0.12796	0.56108
V91	0.01495	0.06494	0.07884	0.80877	0.0325
V92	0.21911	0.11516	0.04357	0.08477	0.53739
V93	0.01434	0.14652	0.15082	0.51752	0.1708
V94	0.04042	0.19654	0.03863	0.26851	0.45589
V95	0.06272	0.24731	0.0397	0.13582	0.51444
V96	0.63541	0.10751	0.03888	0.08721	0.131
V97	0.15112	0.10836	0.05856	0.1401	0.54187
V98	0.0508	0.37166	0.17672	0.16445	0.23637
V99	0.43412	0.1694	0.0216	0.25881	0.11607
V100	0.4525	0.20616	0.06105	0.105	0.17529
V101	0.06387	0.78994	0.03449	0.08027	0.03143
V102	0.27003	0.2699	0.13254	0.15002	0.17751
V103	0.12546	0.07789	0.02444	0.07817	0.69404
V104	0.04652	0.39664	0.09673	0.07164	0.38847
V105	0.01963	0.09544	0.05647	0.11279	0.71566
V106	0.04935	0.66807	0.1594	0.06885	0.05432
V107	0.04533	0.32009	0.51975	0.08988	0.02495
V108	0.01874	0.31451	0.60089	0.04701	0.01885
V109	0.05868	0.23299	0.06822	0.30606	0.33404
V110	0.16079	0.45673	0.17835	0.16697	0.03716
V111	0.2378	0.30619	0.37728	0.05765	0.02108
V112	0.1602	0.08246	0.1058	0.46982	0.18172
V113	0.21417	0.10158	0.10772	0.18014	0.39638
V114	0.47186	0.14381	0.05876	0.21305	0.11253
V115	0.69373	0.09706	0.02262	0.07921	0.10738
V116	0.02282	0.0847	0.01959	0.08911	0.78378
V117	0.04493	0.21676	0.58942	0.11376	0.03512
