mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V1	0.27674	0.21233	0.22742	0.17506	0.10845
V2	0.05317	0.69425	0.06837	0.13143	0.05278
V3	0.0604	0.1532	0.37179	0.39343	0.02117
V4	0.01273	0.15227	0.22341	0.07627	0.53532
V5	0.01571	0.12864	0.07427	0.11144	0.66994
V6	0.28063	0.14573	0.24213	0.24374	0.08776
V7	0.01075	0.1814	0.3711	0.10014	0.33661
V8	0.01593	0.20911	0.64198	0.11662	0.01637
V9	0.05397	0.11976	0.23833	0.5718	0.01613
V10	0.37004	0.17141	0.35868	0.06867	0.0312
V11	0.03332	0.14435	0.11167	0.08289	0.62777
V12	0.075	0.13556	0.21019	0.29431	0.28493
V13	0.12189	0.13525	0.05278	0.40665	0.28343
V14	0.14637	0.09646	0.08208	0.59857	0.07652
V15	0.0247	0.09424	0.0158	0.83678	0.02848
V16	0.47218	0.14537	0.02709	0.3364	0.01896
V17	0.06214	0.29295	0.03358	0.09119	0.52014
V18	0.07938	0.40713	0.24136	0.24963	0.0225
V19	0.02808	0.13062	0.01981	0.12663	0.69487
V20	0.00745	0.1809	0.55856	0.23151	0.02158
V21	0.02046	0.30542	0.13896	0.18675	0.34841
V22	0.64117	0.16731	0.06879	0.08758	0.03515
V23	0.07334	0.13038	0.04015	0.14467	0.61146
V24	0.39601	0.19203	0.03532	0.10108	0.27556
V25	0.02419	0.12253	0.03196	0.40955	0.41177
V26	0.40584	0.24758	0.06936	0.10371	0.1735
V27	0.11361	0.47189	0.18298	0.07323	0.1583
V28	0.02981	0.16072	0.19356	0.58039	0.03552
V29	0.00865	0.12368	0.29458	0.55044	0.02265
V30	0.59271	0.17794	0.03895	0.10147	0.08893
V31	0.36788	0.19902	0.02853	0.25893	0.14564
V32	0.71402	0.11244	0.02251	0.09772	0.05331
V33	0.02215	0.25831	0.03399	0.1375	0.54805
V34	0.11887	0.73836	0.02367	0.09619	0.02291
V35	0.0881	0.55104	0.24316	0.09963	0.01807
V36	0.02694	0.25251	0.17055	0.11732	0.43269
V37	0.60428	0.111	0.01567	0.08947	0.17959
V38	0.106	0.16887	0.39889	0.21127	0.11496
V39	0.27229	0.16644	0.28249	0.06946	0.20931
V40	0.21151	0.53876	0.03342	0.1725	0.04381
V41	0.04901	0.75154	0.03098	0.0854	0.08306
V42	0.67289	0.13581	0.03287	0.09661	0.06182
V43	0.38634	0.21726	0.28088	0.09379	0.02172
V44	0.03401	0.34508	0.46215	0.06368	0.09508
V45	0.03669	0.60148	0.10738	0.20325	0.05121
V46	0.11049	0.66589	0.08273	0.10867	0.03222
V47	0.00861	0.2203	0.68497	0.06254	0.02358
V48	0.14773	0.20742	0.20755	0.32944	0.10787
V49	0.3811	0.21451	0.19774	0.18489	0.02175
V50	0.02547	0.22728	0.66778	0.06201	0.01747
V51	0.09483	0.31073	0.19248	0.10565	0.29631
V52	0.05439	0.79869	0.02507	0.09812	0.02373
V53	0.02856	0.20431	0.02392	0.72343	0.01978
V54	0.19894	0.09232	0.02875	0.52536	0.15463
V55	0.0729	0.08047	0.01523	0.81044	0.02096
V56	0.07086	0.07729	0.02238	0.72656	0.10291
V57	0.1329	0.24085	0.44746	0.0812	0.0976
V58	0.06761	0.11866	0.14237	0.20848	0.46288
V59	0.65911	0.13266	0.08547	0.09777	0.02499
V60	0.36178	0.24823	0.12203	0.17268	0.09527
V61	0.18061	0.11556	0.04467	0.23334	0.42583
V62	0.05527	0.15797	0.27619	0.15208	0.3585
V63	0.34605	0.28598	0.0714	0.098	0.19857
V64	0.71459	0.12462	0.034	0.09791	0.02887
V65	0.08256	0.14781	0.05322	0.59342	0.123
V66	0.02881	0.09975	0.13449	0.71315	0.0238
V67	0.01091	0.15897	0.30687	0.11779	0.40546
V68	0.36886	0.15083	0.31444	0.09651	0.06937
V69	0.47301	0.2007	0.17449	0.09217	0.05964
V70	0.05939	0.62697	0.05922	0.22251	0.03191
V71	0.09267	0.6819	0.05997	0.13938	0.02608
V72	0.03853	0.40735	0.04242	0.0827	0.429
V73	0.05783	0.10335	0.10975	0.54759	0.18147
V74	0.01517	0.12508	0.02345	0.76011	0.07619
V75	0.38276	0.25109	0.25522	0.08377	0.02715
V76	0.01344	0.08344	0.03139	0.80897	0.06276
V77	0.02409	0.20956	0.6582	0.09153	0.01662
V78	0.00874	0.22289	0.67709	0.06814	0.02314
V79	0.07569	0.3996	0.0563	0.18208	0.28633
V80	0.12119	0.64525	0.02089	0.12592	0.08676
V81	0.01669	0.21986	0.68305	0.06257	0.01783
V82	0.21389	0.20161	0.04378	0.51682	0.0239
V83	0.09326	0.14879	0.03776	0.52893	0.19126
V84	0.08853	0.23316	0.02562	0.09247	0.56022
V85	0.00876	0.22004	0.68426	0.06901	0.01794
V86	0.02567	0.29292	0.277	0.38203	0.02238
V87	0.38949	0.10467	0.0539	0.42321	0.02873
V88	0.275	0.21811	0.06564	0.22516	0.21608
V89	0.04325	0.2483	0.60077	0.09147	0.01621
V90	0.02035	0.24803	0.07294	0.13348	0.52521
V91	0.01187	0.09102	0.08688	0.79105	0.01918
V92	0.21695	0.14166	0.04465	0.09633	0.50041
V93	0.0127	0.16927	0.16262	0.49629	0.1591
V94	0.03873	0.23039	0.04041	0.26022	0.43026
V95	0.06091	0.27781	0.04069	0.14076	0.47983
V96	0.625	0.11822	0.03816	0.10317	0.11545
V97	0.1498	0.1358	0.06059	0.14437	0.50944
V98	0.0514	0.384	0.18084	0.16611	0.21764
V99	0.43606	0.18717	0.02146	0.25342	0.10189
V100	0.44793	0.21728	0.06109	0.11627	0.15743
V101	0.06265	0.78502	0.03251	0.09668	0.02313
V102	0.27069	0.27829	0.13497	0.15475	0.16131
V103	0.12202	0.11353	0.02558	0.09064	0.64823
V104	0.04621	0.414	0.09722	0.08482	0.35776
V105	0.01638	0.13311	0.05847	0.12016	0.67188
