mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V1	0.26165	0.22152	0.21616	0.18052	0.12015
V2	0.05152	0.69027	0.06358	0.1323	0.06233
V3	0.05827	0.16735	0.34526	0.39017	0.03896
V4	0.01751	0.14838	0.21074	0.09451	0.52886
V5	0.02276	0.10616	0.07012	0.13809	0.66287
V6	0.26525	0.1537	0.22956	0.24984	0.10165
V7	0.01348	0.19195	0.34718	0.10998	0.3374
V8	0.01586	0.24366	0.60035	0.1124	0.02773
V9	0.0537	0.12119	0.21962	0.56715	0.03834
V10	0.35133	0.19271	0.34768	0.0677	0.04058
V11	0.03825	0.12829	0.1058	0.10649	0.62117
V12	0.07374	0.13416	0.1955	0.30455	0.29205
V13	0.11815	0.11894	0.04908	0.4199	0.29394
V14	0.13955	0.08405	0.07587	0.60277	0.09776
V15	0.0301	0.07272	0.01408	0.82647	0.05663
V16	0.45439	0.13477	0.02523	0.35091	0.03469
V17	0.06393	0.27561	0.03162	0.11002	0.51882
V18	0.07506	0.41439	0.22577	0.24863	0.03615
V19	0.03501	0.10174	0.01851	0.15554	0.68921
V20	0.00875	0.20757	0.52098	0.22722	0.03548
V21	0.02305	0.29944	0.12975	0.19785	0.34993
V22	0.63067	0.16498	0.06778	0.09156	0.04501
V23	0.07604	0.10796	0.03782	0.1698	0.60837
V24	0.38249	0.18206	0.03367	0.11348	0.28832
V25	0.02968	0.09998	0.02954	0.42586	0.41495
V26	0.39114	0.24512	0.06682	0.11198	0.18494
V27	0.1079	0.47798	0.1732	0.07624	0.16468
V28	0.03206	0.15756	0.17776	0.57546	0.05715
V29	0.01244	0.12898	0.27098	0.5435	0.04411
V30	0.58007	0.17296	0.03745	0.10879	0.10073
V31	0.352	0.18849	0.02671	0.27255	0.16025
V32	0.70993	0.10069	0.02104	0.10445	0.0639
V33	0.02709	0.23792	0.03193	0.15839	0.54467
V34	0.11364	0.73873	0.02099	0.09539	0.03125
V35	0.08326	0.56085	0.23051	0.09764	0.02775
V36	0.02947	0.24859	0.16002	0.13163	0.43029
V37	0.5951	0.09649	0.0143	0.09987	0.19423
V38	0.09983	0.18776	0.37335	0.21336	0.1257
V39	0.25843	0.1788	0.27026	0.07513	0.21738
V40	0.20102	0.53708	0.03096	0.17607	0.05487
