mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V1	0.25044	0.19609	0.24946	0.19086	0.11315
V2	0.06296	0.64659	0.09908	0.13376	0.0576
V3	0.06984	0.13559	0.37577	0.382	0.0368
V4	0.03369	0.13815	0.23867	0.10716	0.48233
V5	0.04036	0.10423	0.08153	0.15087	0.62301
V6	0.25462	0.12741	0.26123	0.2592	0.09755
V7	0.02891	0.17138	0.38119	0.11872	0.2998
V8	0.02786	0.20169	0.63902	0.10967	0.02176
V9	0.0685	0.09506	0.24316	0.55542	0.03786
V10	0.32523	0.16297	0.39257	0.07663	0.04261
V11	0.05351	0.12433	0.12266	0.12077	0.57873
V12	0.0856	0.11542	0.22064	0.31452	0.26382
V13	0.12824	0.10506	0.06245	0.43255	0.2717
V14	0.147	0.06401	0.09039	0.60412	0.09448
V15	0.05319	0.05422	0.02249	0.81593	0.05416
V16	0.43196	0.11457	0.04227	0.36671	0.04448
V17	0.07774	0.27358	0.04739	0.12481	0.47648
V18	0.083	0.37878	0.25883	0.24464	0.03475
V19	0.0533	0.1021	0.02313	0.16873	0.65273
V20	0.02379	0.17055	0.55604	0.21983	0.0298
V21	0.04022	0.28377	0.15534	0.20841	0.31227
V22	0.59902	0.14512	0.09293	0.10688	0.05604
V23	0.08998	0.10494	0.04685	0.18689	0.57133
V24	0.36875	0.17176	0.05126	0.13186	0.27637
V25	0.04979	0.09076	0.03824	0.44005	0.38116
V26	0.37193	0.23137	0.09104	0.12753	0.17813
V27	0.11028	0.4506	0.20816	0.08462	0.14634
V28	0.05014	0.13251	0.19993	0.56319	0.05422
V29	0.03216	0.10147	0.29637	0.52861	0.04139
V30	0.55197	0.15728	0.05835	0.12533	0.10708
V31	0.33849	0.17299	0.04418	0.28805	0.15628
V32	0.68221	0.07945	0.03871	0.12163	0.07799
V33	0.04506	0.23537	0.04562	0.17275	0.50121
V34	0.11772	0.69154	0.05644	0.09981	0.0345
V35	0.08772	0.51747	0.26747	0.10027	0.02706
V36	0.04516	0.23572	0.18621	0.14442	0.38849
V37	0.57239	0.08191	0.02839	0.11848	0.19883
V38	0.10464	0.15807	0.40823	0.21662	0.11244
V39	0.24714	0.15561	0.30836	0.08765	0.20124
V40	0.19405	0.50852	0.06186	0.17993	0.05564
V41	0.06092	0.70149	0.06395	0.09085	0.0828
V42	0.63684	0.10832	0.05077	0.12003	0.08404
V43	0.34048	0.20556	0.31499	0.10294	0.03604
V44	0.04267	0.33027	0.47336	0.06634	0.08738
V45	0.04984	0.55749	0.13392	0.20152	0.05723
V46	0.10828	0.62567	0.11323	0.11187	0.04095
V47	0.02152	0.21261	0.68253	0.05733	0.02601
V48	0.14291	0.1848	0.22174	0.33719	0.11336
V49	0.33935	0.19824	0.22448	0.1986	0.03933
V50	0.0344	0.21898	0.668	0.05723	0.02139
V51	0.09867	0.29515	0.2122	0.12612	0.26785
V52	0.06678	0.73997	0.05914	0.09995	0.03415
V53	0.0539	0.16295	0.03543	0.70282	0.04491
V54	0.19232	0.05795	0.0372	0.54814	0.16439
V55	0.09054	0.04132	0.02182	0.7974	0.04892
V56	0.08842	0.04022	0.02845	0.72568	0.11723
V57	0.12271	0.23259	0.46425	0.08698	0.09346
V58	0.08195	0.0968	0.15347	0.24222	0.42556
V59	0.61716	0.10739	0.11092	0.11788	0.04665
V60	0.32737	0.23005	0.14527	0.19208	0.10524
V61	0.17947	0.08788	0.05384	0.27382	0.405
V62	0.06738	0.14374	0.28904	0.17542	0.32443
V63	0.3169	0.27104	0.0935	0.12081	0.19775
V64	0.68088	0.09306	0.05289	0.11982	0.05335
V65	0.09531	0.11365	0.06265	0.59579	0.1326
V66	0.05201	0.06843	0.13963	0.69271	0.04723
V67	0.03079	0.14684	0.3193	0.14137	0.3617
V68	0.3268	0.13973	0.34656	0.1092	0.07771
V69	0.42795	0.18647	0.20469	0.10811	0.07277
V70	0.06917	0.58023	0.08813	0.21971	0.04276
V71	0.09468	0.63678	0.091	0.14115	0.03639
V72	0.05565	0.38598	0.06189	0.10921	0.38728
V73	0.07458	0.07376	0.11704	0.55369	0.18093
V74	0.04403	0.08663	0.03115	0.74466	0.09353
V75	0.33785	0.23993	0.28848	0.09319	0.04055
V76	0.04366	0.04542	0.03733	0.79116	0.08244
V77	0.03357	0.2023	0.65725	0.08554	0.02133
V78	0.02154	0.2149	0.67502	0.06272	0.02581
V79	0.08573	0.37354	0.07716	0.20253	0.26105
V80	0.11918	0.60664	0.05148	0.13352	0.08917
V81	0.02778	0.21219	0.68135	0.05729	0.02139
V82	0.2008	0.16787	0.05829	0.52463	0.04841
V83	0.10484	0.11502	0.04738	0.54124	0.19152
V84	0.10157	0.21266	0.0366	0.13007	0.5191
V85	0.02174	0.21216	0.68141	0.06316	0.02152
V86	0.04284	0.266	0.28576	0.36822	0.03718
V87	0.35525	0.07246	0.06748	0.45106	0.05374
V88	0.25493	0.19466	0.08282	0.25299	0.2146
V89	0.0489	0.23851	0.6034	0.08716	0.02203
V90	0.04243	0.22684	0.08609	0.1668	0.47784
V91	0.04057	0.05659	0.09236	0.76604	0.04443
V92	0.21271	0.11927	0.05559	0.13564	0.47678
V93	0.03668	0.14168	0.17058	0.49364	0.15742
V94	0.05908	0.20362	0.05187	0.29034	0.39509
V95	0.07654	0.25606	0.05449	0.17401	0.4389
V96	0.58971	0.09035	0.05498	0.12994	0.13502
V97	0.15377	0.11226	0.07103	0.18429	0.47864
V98	0.06284	0.36081	0.19988	0.17839	0.19808
V99	0.39934	0.16119	0.03699	0.28398	0.11849
V100	0.4109	0.19962	0.0818	0.14193	0.16576
V101	0.07318	0.7286	0.06606	0.09864	0.03352
V102	0.24731	0.26035	0.15742	0.17424	0.16068
V103	0.13341	0.08703	0.03074	0.13326	0.61557
V104	0.06003	0.39379	0.11901	0.10715	0.32003
V105	0.04135	0.1078	0.06482	0.16043	0.6256
V106	0.05866	0.62251	0.1834	0.08661	0.04882
V107	0.05306	0.29033	0.53282	0.09646	0.02733
V108	0.03239	0.28347	0.60294	0.05917	0.02204
V109	0.07368	0.23466	0.08573	0.31745	0.28848
V110	0.1484	0.43486	0.20458	0.17211	0.04005
V111	0.21005	0.27969	0.40508	0.07757	0.0276
V112	0.16241	0.07291	0.12376	0.46854	0.17238
V113	0.20697	0.09785	0.12592	0.2159	0.35336
V114	0.43402	0.13124	0.0778	0.24169	0.11524
V115	0.64586	0.07748	0.03658	0.12416	0.11593
V116	0.04647	0.09987	0.02376	0.14283	0.68708
V117	0.05293	0.19062	0.60447	0.11609	0.0359
V118	0.06788	0.04113	0.02167	0.80926	0.06005
V119	0.23946	0.13478	0.33833	0.25478	0.03265
V120	0.02803	0.1856	0.61036	0.13523	0.04078
V121	0.17414	0.59601	0.05151	0.10057	0.07777
V122	0.05171	0.35834	0.11731	0.27894	0.19369
V123	0.38001	0.11155	0.09946	0.25109	0.15789
V124	0.18752	0.16186	0.08976	0.27533	0.28554
V125	0.04882	0.41935	0.43099	0.0722	0.02864
V126	0.13633	0.23424	0.22593	0.17303	0.23047
V127	0.19666	0.16519	0.50165	0.10598	0.03052
V128	0.18251	0.61825	0.06068	0.09319	0.04537
V129	0.20939	0.13845	0.25843	0.21688	0.17686
V130	0.04859	0.43823	0.08111	0.27764	0.15444
V131	0.04149	0.08834	0.21874	0.61266	0.03877
V132	0.29429	0.07762	0.02446	0.38376	0.21987
V133	0.02618	0.18905	0.46746	0.13022	0.18708
V134	0.06612	0.1954	0.59178	0.07797	0.06873
V135	0.03624	0.23283	0.56665	0.07976	0.08453
V136	0.69782	0.08097	0.04043	0.12459	0.05619
V137	0.65511	0.09893	0.03836	0.14122	0.06638
V138	0.21149	0.19076	0.10697	0.20392	0.28684
V139	0.11801	0.07081	0.16195	0.60263	0.04661
V140	0.05051	0.11307	0.17178	0.11553	0.5491
V141	0.03421	0.28586	0.51798	0.13397	0.02799
V142	0.1723	0.12481	0.30712	0.17968	0.21609
V143	0.03622	0.26114	0.41905	0.17376	0.10983
V144	0.38505	0.23153	0.0984	0.19527	0.08976
V145	0.02129	0.21192	0.66808	0.06835	0.03036
V146	0.05544	0.31815	0.04287	0.3555	0.22803
V147	0.08302	0.20345	0.53167	0.1396	0.04227
V148	0.14372	0.63312	0.06096	0.11796	0.04423
V149	0.04614	0.04231	0.0221	0.81087	0.07858
V150	0.11572	0.27132	0.4793	0.06706	0.06659
V151	0.34651	0.06947	0.0387	0.42917	0.11614
V152	0.04495	0.06033	0.12378	0.6826	0.08834
V153	0.13648	0.25276	0.39845	0.1096	0.10271
V154	0.11435	0.51298	0.06895	0.11623	0.18748
V155	0.05926	0.06864	0.13925	0.68573	0.04711
V156	0.0933	0.15304	0.35859	0.18818	0.20688
V157	0.0965	0.12937	0.17958	0.30663	0.28792
V158	0.15626	0.1449	0.38964	0.11157	0.19762
V159	0.11584	0.20757	0.04528	0.56618	0.06513
V160	0.35411	0.20364	0.12011	0.13237	0.18978
V161	0.1933	0.11292	0.08697	0.11937	0.48744
V162	0.0221	0.21815	0.6804	0.0577	0.02164
V163	0.07514	0.09558	0.03877	0.15555	0.63496
V164	0.66574	0.11375	0.04717	0.12487	0.04848
V165	0.45006	0.23122	0.11203	0.13974	0.06694
V166	0.06874	0.08913	0.22967	0.52512	0.08734
V167	0.05275	0.54329	0.06344	0.20105	0.13947
V168	0.0221	0.21815	0.6804	0.0577	0.02164
V169	0.06304	0.56468	0.1884	0.14562	0.03825
V170	0.20633	0.34537	0.09091	0.2485	0.10889
V171	0.2301	0.17299	0.32371	0.21238	0.06081
V172	0.16283	0.25562	0.1028	0.1211	0.35765
V173	0.18294	0.14765	0.11218	0.41135	0.14587
V174	0.17083	0.12327	0.32176	0.22987	0.15427
V175	0.08544	0.19934	0.142	0.23587	0.33735
V176	0.3002	0.06038	0.0317	0.56038	0.04734
V177	0.14885	0.16739	0.45616	0.19528	0.03233
V178	0.207	0.16364	0.39032	0.16101	0.07803
V179	0.10907	0.10157	0.03118	0.13331	0.62487
V180	0.04413	0.15195	0.32635	0.09512	0.38245
V181	0.07932	0.29	0.03273	0.15427	0.44368
V182	0.43068	0.22697	0.04117	0.23437	0.0668
V183	0.08105	0.72833	0.05831	0.09284	0.03947
V184	0.24133	0.11257	0.27256	0.32366	0.04988
V185	0.10445	0.42535	0.0647	0.21266	0.19284
V186	0.13206	0.20714	0.06022	0.30447	0.29611
V187	0.08694	0.55405	0.04906	0.26915	0.0408
V188	0.60766	0.09887	0.06284	0.18203	0.04861
V189	0.35206	0.23193	0.06936	0.30127	0.04538
V190	0.31444	0.15749	0.21973	0.10647	0.20187
V191	0.18986	0.21549	0.03851	0.43865	0.1175
V192	0.25573	0.21688	0.14701	0.2602	0.12018
V193	0.06923	0.27504	0.44442	0.09975	0.11156
V194	0.22592	0.13054	0.11154	0.18649	0.34551
V195	0.40827	0.22111	0.23346	0.09857	0.03859
V196	0.04045	0.09758	0.08145	0.1519	0.62861
V197	0.07903	0.70642	0.05691	0.11892	0.03872
V198	0.19897	0.23731	0.06966	0.26371	0.23035
V199	0.53918	0.11597	0.21266	0.09486	0.03734
V200	0.57327	0.0797	0.06077	0.12941	0.15685
V201	0.06369	0.04657	0.04366	0.67945	0.16663
V202	0.66708	0.11715	0.03449	0.12684	0.05444
V203	0.41064	0.25464	0.06295	0.14733	0.12443
V204	0.28551	0.14658	0.06485	0.11649	0.38658
V205	0.11554	0.12664	0.13743	0.16174	0.45866
V206	0.06798	0.11193	0.02485	0.72597	0.06928
V207	0.05319	0.05422	0.02249	0.81593	0.05416
V208	0.12832	0.27323	0.41085	0.10719	0.08041
V209	0.14921	0.11814	0.11967	0.13599	0.47698
V210	0.02137	0.21064	0.67942	0.06276	0.02582
V211	0.14206	0.13401	0.21143	0.12344	0.38906
V212	0.06839	0.62496	0.12119	0.11776	0.0677
V213	0.11007	0.0785	0.08574	0.31288	0.41281
V214	0.03912	0.47799	0.36185	0.08181	0.03923
V215	0.20718	0.25155	0.15793	0.15759	0.22576
V216	0.06641	0.15911	0.312	0.11915	0.34333
V217	0.04275	0.04158	0.04475	0.77097	0.09995
V218	0.07856	0.22807	0.27266	0.33391	0.0868
V219	0.11182	0.28857	0.34545	0.22061	0.03355
V220	0.16972	0.59469	0.10356	0.09462	0.03741
V221	0.05405	0.19262	0.43225	0.08486	0.23622
V222	0.05264	0.09878	0.03147	0.14599	0.67113
V223	0.37084	0.12258	0.28455	0.17924	0.04279
V224	0.05809	0.48165	0.06763	0.16223	0.23041
V225	0.51204	0.2036	0.14388	0.09769	0.04279
V226	0.36793	0.43906	0.04654	0.1013	0.04516
V227	0.10124	0.23523	0.03926	0.55927	0.065
V228	0.41239	0.13092	0.25339	0.14602	0.05728
V229	0.20861	0.36613	0.26028	0.11601	0.04896
V230	0.05289	0.09217	0.03139	0.14711	0.67643
V231	0.07285	0.50877	0.10017	0.2294	0.08881
V232	0.56292	0.11039	0.18476	0.1034	0.03854
V233	0.07364	0.12447	0.16336	0.1747	0.46383
V234	0.04031	0.34308	0.21981	0.34859	0.04821
V235	0.68939	0.08343	0.03377	0.14174	0.05167
V236	0.07684	0.16479	0.50398	0.19994	0.05446
V237	0.11581	0.15852	0.25462	0.32201	0.14904
V238	0.0431	0.0789	0.03011	0.34723	0.50067
V239	0.07759	0.37156	0.08507	0.2373	0.22849
V240	0.07572	0.68612	0.06321	0.10389	0.07106
V241	0.06653	0.74185	0.05903	0.09308	0.03951
V242	0.05061	0.31542	0.28337	0.28344	0.06716
V243	0.34429	0.13095	0.29785	0.10927	0.11764
V244	0.04788	0.38518	0.20904	0.1492	0.2087
V245	0.06273	0.71498	0.08051	0.10976	0.03202
V246	0.46252	0.26418	0.06389	0.10862	0.10079
V247	0.14709	0.21495	0.48813	0.10669	0.04315
V248	0.09895	0.52191	0.06939	0.10325	0.2065
V249	0.20766	0.15485	0.21098	0.17023	0.25629
V250	0.03654	0.18931	0.52316	0.09295	0.15803
V251	0.1863	0.08258	0.10704	0.54881	0.07526
V252	0.04026	0.22143	0.45911	0.17659	0.1026
V253	0.24127	0.47065	0.11881	0.12613	0.04314
V254	0.40312	0.33413	0.04047	0.17166	0.05062
V255	0.60224	0.13333	0.03213	0.13227	0.10004
V256	0.05605	0.63535	0.0676	0.09879	0.14221
V257	0.33619	0.29539	0.16221	0.12138	0.08483
V258	0.14708	0.28402	0.07983	0.44431	0.04475
V259	0.39038	0.27943	0.18671	0.09511	0.04836
V260	0.22376	0.12089	0.12691	0.17174	0.3567
V261	0.03991	0.15334	0.42852	0.2765	0.10173
V262	0.64749	0.1013	0.07776	0.12392	0.04954
V263	0.57864	0.13003	0.04482	0.20201	0.04448
V264	0.07827	0.69973	0.06429	0.12486	0.03285
V265	0.58735	0.14498	0.09936	0.12214	0.04616
V266	0.04648	0.10139	0.10579	0.13941	0.60694
