mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V1	0.28106	0.20664	0.21567	0.17453	0.12209
V2	0.06716	0.69793	0.08762	0.10973	0.03757
V3	0.05411	0.15123	0.34397	0.42892	0.02177
V4	0.01405	0.10024	0.20077	0.10015	0.58479
V5	0.01882	0.05014	0.06274	0.15199	0.71631
V6	0.28077	0.1375	0.22456	0.25726	0.09991
V7	0.0095	0.15669	0.34329	0.11097	0.37954
V8	0.01011	0.24145	0.63684	0.09637	0.01523
V9	0.04553	0.10351	0.21213	0.62265	0.01618
V10	0.3883	0.18926	0.35841	0.03088	0.03316
V11	0.03573	0.07526	0.09775	0.11622	0.67503
V12	0.07029	0.09971	0.18548	0.33143	0.31309
V13	0.11447	0.08516	0.04282	0.45313	0.30442
V14	0.13462	0.06378	0.06873	0.64943	0.08344
V15	0.01618	0.05188	0.00986	0.89299	0.02909
V16	0.48315	0.12246	0.02046	0.35755	0.01639
V17	0.06704	0.22349	0.03234	0.11105	0.56608
V18	0.08248	0.41019	0.23946	0.25484	0.01302
V19	0.03092	0.04281	0.0132	0.16973	0.74334
V20	0.00078	0.19712	0.53968	0.23996	0.02246
V21	0.02281	0.26045	0.13	0.20863	0.3781
V22	0.69937	0.15854	0.06399	0.04295	0.03515
V23	0.07376	0.05672	0.03185	0.18391	0.65375
V24	0.40658	0.15337	0.02991	0.09486	0.31528
V25	0.02202	0.05789	0.0242	0.46085	0.43503
V26	0.42337	0.22547	0.06615	0.08792	0.1971
V27	0.12403	0.46772	0.18734	0.05092	0.16999
V28	0.02361	0.13708	0.17251	0.6307	0.03609
V29	0.00125	0.11008	0.26515	0.60028	0.02325
V30	0.63611	0.16025	0.0332	0.07042	0.10002
V31	0.37128	0.16676	0.02351	0.27609	0.16237
V32	0.786	0.09022	0.01301	0.05258	0.05818
V33	0.02672	0.18414	0.03139	0.16901	0.58874
V34	0.14131	0.76208	0.04397	0.05265	0
V35	0.10009	0.57211	0.25778	0.06819	0.00184
V36	0.0291	0.20511	0.15719	0.13719	0.47141
V37	0.64432	0.07625	0.00655	0.06386	0.20902
V38	0.10376	0.16964	0.37299	0.22272	0.13089
V39	0.27867	0.15738	0.2677	0.05452	0.24173
V40	0.22972	0.53707	0.04404	0.15749	0.03168
V41	0.06571	0.76034	0.05237	0.05073	0.07085
V42	0.73214	0.11736	0.02524	0.05657	0.0687
V43	0.40715	0.23383	0.27952	0.06026	0.01925
V44	0.03496	0.36631	0.45786	0.03747	0.1034
V45	0.0448	0.59463	0.1207	0.20076	0.03912
V46	0.12931	0.67909	0.10102	0.07699	0.01358
V47	0.00214	0.25508	0.69312	0.02692	0.02274
V48	0.14509	0.18954	0.19012	0.35752	0.11773
V49	0.39408	0.21838	0.19226	0.17614	0.01913
V50	0.02066	0.26217	0.67606	0.02583	0.01528
V51	0.09881	0.28231	0.18282	0.10759	0.32848
V52	0.07261	0.82496	0.04854	0.05389	0
V53	0.02331	0.16199	0.02117	0.77773	0.0158
V54	0.18575	0.05031	0.02004	0.57606	0.16784
V55	0.06127	0.04073	0.0086	0.8681	0.0213
V56	0.06044	0.03448	0.01467	0.78094	0.10947
V57	0.13647	0.25921	0.4344	0.05958	0.11034
V58	0.06496	0.06589	0.1234	0.24655	0.4992
V59	0.71772	0.12261	0.08016	0.05543	0.02409
V60	0.37262	0.23685	0.1176	0.16781	0.10512
V61	0.17348	0.05859	0.03498	0.27072	0.46223
V62	0.05362	0.12498	0.25044	0.17366	0.3973
V63	0.36084	0.26331	0.06927	0.08331	0.22327
V64	0.79154	0.10664	0.026	0.04904	0.02678
V65	0.07467	0.1061	0.0444	0.64422	0.1306
V66	0.02061	0.072	0.11597	0.76617	0.02525
V67	0.01046	0.12287	0.2795	0.13773	0.44943
V68	0.38313	0.1581	0.30623	0.07222	0.08031
V69	0.501	0.20277	0.16966	0.06079	0.06577
V70	0.06986	0.62007	0.07456	0.22053	0.01498
V71	0.10947	0.69182	0.0785	0.1149	0.00531
V72	0.04538	0.34904	0.04568	0.09131	0.46859
V73	0.05006	0.06452	0.09226	0.59813	0.19504
V74	0.00886	0.07976	0.01771	0.81445	0.07921
V75	0.40445	0.26903	0.25494	0.04714	0.02443
V76	0.00573	0.04132	0.02329	0.86364	0.06602
V77	0.01879	0.2428	0.65822	0.06469	0.01549
V78	0.00248	0.25715	0.68327	0.03465	0.02246
V79	0.08047	0.35579	0.05809	0.19513	0.31052
V80	0.13845	0.64151	0.037	0.10408	0.07896
V81	0.011	0.25497	0.69216	0.02605	0.01582
V82	0.20716	0.17127	0.03859	0.56232	0.02067
