mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V1	0.30879	0.19667	0.19609	0.18001	0.11844
V2	0.09939	0.67206	0.08041	0.11911	0.02904
V3	0.05663	0.15334	0.31524	0.46357	0.01122
V4	0.01155	0.09483	0.18394	0.10914	0.60054
V5	0.01608	0.04002	0.05495	0.16513	0.72382
V6	0.30279	0.13372	0.20195	0.26801	0.09353
V7	0.00747	0.15609	0.32154	0.12286	0.39205
V8	0.00889	0.25838	0.61862	0.10518	0.00892
V9	0.04462	0.1038	0.18995	0.65852	0.00311
V10	0.43154	0.18892	0.3308	0.01928	0.02946
V11	0.03582	0.06491	0.0877	0.12549	0.68607
V12	0.07342	0.09559	0.16787	0.35408	0.30904
V13	0.1206	0.07534	0.03606	0.47489	0.29312
V14	0.13981	0.06087	0.05997	0.66914	0.07021
V15	0.01064	0.04749	0.00695	0.92223	0.01269
V16	0.51655	0.10603	0.01556	0.35384	0.00802
V17	0.07655	0.19778	0.02624	0.11991	0.57952
V18	0.10121	0.38975	0.22556	0.2814	0.00208
V19	0.0291	0.03032	0.00922	0.18287	0.74849
V20	0	0.20525	0.51121	0.26881	0.01472
V21	0.02639	0.2409	0.11918	0.22759	0.38594
V22	0.75507	0.13847	0.05338	0.0219	0.03118
V23	0.07727	0.0457	0.02651	0.19532	0.65519
V24	0.44399	0.13237	0.02398	0.08747	0.31218
V25	0.01902	0.04857	0.01952	0.48703	0.42586
V26	0.46909	0.19912	0.05698	0.07976	0.19504
V27	0.15445	0.44413	0.17669	0.0486	0.17613
V28	0.02196	0.13055	0.15487	0.67	0.02262
V29	0	0.11146	0.23921	0.63909	0.01024
V30	0.69249	0.13509	0.026	0.05226	0.09415
V31	0.39978	0.14646	0.0183	0.28071	0.15476
V32	0.82968	0.07847	0.00861	0.02922	0.05401
V33	0.02945	0.16172	0.02557	0.18434	0.59891
V34	0.19016	0.7337	0.03491	0.04123	0
V35	0.13129	0.55391	0.24893	0.06587	0
V36	0.03186	0.19113	0.14523	0.14967	0.48213
V37	0.69141	0.06065	0.00274	0.04556	0.19965
V38	0.11552	0.17118	0.34343	0.24143	0.12844
V39	0.3077	0.15488	0.24482	0.0499	0.24269
V40	0.27758	0.49969	0.03603	0.16432	0.02238
V41	0.10082	0.73977	0.04402	0.04778	0.06761
V42	0.77964	0.10123	0.01939	0.03555	0.06419
V43	0.45511	0.22583	0.25444	0.05038	0.01424
V44	0.0447	0.36799	0.44362	0.03706	0.10662
V45	0.06614	0.56463	0.11298	0.22639	0.02987
V46	0.17322	0.6536	0.09343	0.07732	0.00242
V47	0	0.27518	0.68198	0.02466	0.01819
V48	0.1601	0.17841	0.17164	0.38031	0.10953
V49	0.43497	0.20414	0.17255	0.17588	0.01246
V50	0.02236	0.2804	0.66436	0.02297	0.00991
V51	0.11518	0.26364	0.16935	0.11332	0.33851
V52	0.11102	0.80585	0.0393	0.04383	0
V53	0.0225	0.14463	0.0165	0.81633	4e-05
V54	0.19474	0.04493	0.01592	0.59043	0.15398
V55	0.05896	0.0383	0.00596	0.89128	0.0055
V56	0.0587	0.0323	0.01142	0.80347	0.0941
V57	0.15836	0.26161	0.40934	0.05929	0.1114
V58	0.06714	0.06123	0.11117	0.26364	0.49682
V59	0.76813	0.10875	0.06797	0.0346	0.02056
V60	0.41064	0.21548	0.10527	0.16838	0.10023
V61	0.1859	0.05011	0.02914	0.28306	0.45178
V62	0.05663	0.12249	0.23108	0.18859	0.40122
