mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V1	0.24133	0.24084	0.21802	0.18405	0.11576
V2	0.04105	0.6996	0.06956	0.13158	0.05821
V3	0.05115	0.18304	0.34021	0.39117	0.03443
V4	0.01206	0.16521	0.21153	0.09478	0.51642
V5	0.0173	0.12206	0.07233	0.1385	0.64981
V6	0.24582	0.17107	0.23111	0.25467	0.09733
V7	0.00831	0.20971	0.34428	0.11077	0.32692
V8	0.01069	0.26102	0.58894	0.11381	0.02553
V9	0.04765	0.13533	0.2174	0.56702	0.0326
V10	0.32822	0.21215	0.34949	0.07103	0.03911
V11	0.03167	0.1448	0.10796	0.10675	0.60882
V12	0.06559	0.15002	0.19599	0.30688	0.28152
V13	0.1078	0.13423	0.05178	0.42332	0.28289
V14	0.12835	0.09758	0.07782	0.60613	0.09012
V15	0.02696	0.08602	0.01699	0.82159	0.04844
V16	0.42758	0.15153	0.02989	0.35938	0.03161
V17	0.05509	0.29558	0.03568	0.11031	0.50334
V18	0.06461	0.43112	0.22395	0.24771	0.03262
V19	0.02912	0.11774	0.02113	0.15601	0.676
V20	0.00459	0.22411	0.51078	0.22834	0.03218
V21	0.01699	0.31795	0.13147	0.19775	0.33583
V22	0.60113	0.18374	0.07384	0.09708	0.04422
V23	0.06789	0.12384	0.0405	0.17126	0.59651
V24	0.35952	0.20153	0.03821	0.11691	0.28384
V25	0.02495	0.11473	0.03211	0.428	0.40022
V26	0.36536	0.26643	0.07177	0.11555	0.18089
V27	0.09399	0.49687	0.17451	0.0773	0.15733
V28	0.0273	0.17219	0.1765	0.57348	0.05053
V29	0.00926	0.14319	0.2669	0.5424	0.03825
V30	0.55106	0.19234	0.0431	0.1142	0.0993
V31	0.32868	0.20717	0.0312	0.27802	0.15493
V32	0.68159	0.11662	0.02708	0.11116	0.06355
V33	0.02089	0.25695	0.03553	0.15866	0.52797
V34	0.0974	0.74696	0.02979	0.09618	0.02967
V35	0.07071	0.57619	0.22872	0.09856	0.02582
V36	0.02297	0.2674	0.16141	0.13195	0.41627
V37	0.56923	0.11283	0.01926	0.10519	0.19349
V38	0.08938	0.20521	0.36941	0.21578	0.12022
V39	0.23971	0.19773	0.27212	0.07747	0.21297
V40	0.17984	0.55436	0.03787	0.17651	0.05142
V41	0.03757	0.75435	0.03613	0.08682	0.08513
V42	0.63654	0.14461	0.0374	0.10921	0.07224
V43	0.34276	0.2549	0.27488	0.09746	0.03
V44	0.02519	0.38624	0.427	0.06418	0.09739
V45	0.02771	0.60857	0.10367	0.20199	0.05806
V46	0.09006	0.67895	0.08308	0.1089	0.039
V47	0.00425	0.27401	0.63026	0.05981	0.03167
V48	0.12635	0.22838	0.1943	0.33534	0.11562
V49	0.33737	0.24365	0.19351	0.19379	0.03168
V50	0.01846	0.28052	0.61579	0.05929	0.02594
V51	0.08009	0.33308	0.18226	0.11558	0.28898
V52	0.04204	0.79916	0.03116	0.09725	0.03039
V53	0.02805	0.19768	0.02506	0.71113	0.03808
V54	0.17554	0.08801	0.02934	0.5433	0.1638
V55	0.06693	0.0729	0.01644	0.8026	0.04112
V56	0.0651	0.06995	0.02279	0.72668	0.11549
V57	0.11135	0.28517	0.41878	0.08319	0.10151
V58	0.06092	0.12394	0.13541	0.22923	0.4505
V59	0.62039	0.14639	0.09083	0.10838	0.03401
V60	0.32031	0.27108	0.121	0.18393	0.10368
V61	0.16159	0.11262	0.04501	0.25815	0.42263
V62	0.0476	0.17967	0.25797	0.16518	0.34958
V63	0.30787	0.30637	0.07342	0.10886	0.20348
V64	0.68122	0.13177	0.0391	0.11006	0.03785
V65	0.07316	0.14636	0.05134	0.5967	0.13244
V66	0.02833	0.10385	0.12285	0.7029	0.04206
V67	0.00944	0.18079	0.28648	0.13142	0.39187
V68	0.32778	0.186	0.30631	0.10254	0.07737
V69	0.42823	0.22924	0.17504	0.09926	0.06823
V70	0.04699	0.63076	0.06074	0.22092	0.04059
V71	0.07476	0.69031	0.06216	0.1391	0.03367
V72	0.03239	0.41387	0.04459	0.097	0.41214
V73	0.0524	0.1056	0.10228	0.55342	0.1863
V74	0.01805	0.11755	0.02395	0.74994	0.09052
V75	0.33906	0.28884	0.25007	0.08694	0.03509
V76	0.01738	0.07641	0.03075	0.7963	0.07916
V77	0.01746	0.26253	0.60567	0.08883	0.02551
V78	0.00432	0.27597	0.6229	0.06549	0.03133
V79	0.0637	0.40842	0.05719	0.19213	0.27857
V80	0.10003	0.65419	0.02665	0.12889	0.09024
V81	0.01115	0.27378	0.62899	0.05973	0.02634
V82	0.18564	0.20488	0.04422	0.52612	0.03914
V83	0.08272	0.14585	0.03762	0.53821	0.1956
V84	0.07968	0.23257	0.02783	0.11398	0.54594
V85	0.00441	0.27357	0.62945	0.06604	0.02653
V86	0.02094	0.31479	0.25293	0.37645	0.03489
V87	0.34827	0.10832	0.05463	0.44582	0.04297
V88	0.24243	0.22866	0.06625	0.24159	0.22107
V89	0.03344	0.29921	0.55334	0.08916	0.02485
V90	0.01884	0.25073	0.07161	0.15321	0.50561
V91	0.01525	0.08974	0.08022	0.77568	0.03912
V92	0.19614	0.14146	0.04592	0.11799	0.49849
V93	0.01285	0.17761	0.14944	0.49652	0.16358
V94	0.03519	0.22892	0.04103	0.27803	0.41683
V95	0.05385	0.28036	0.04207	0.15956	0.46417
V96	0.58735	0.12489	0.04216	0.11798	0.12761
V97	0.13467	0.13532	0.06044	0.16761	0.50195
V98	0.04178	0.40302	0.16964	0.17215	0.2134
V99	0.39308	0.19593	0.02463	0.27341	0.11295
V100	0.40624	0.23417	0.06391	0.12952	0.16615
V101	0.04917	0.78718	0.03783	0.09592	0.0299
V102	0.23613	0.30135	0.1319	0.16475	0.16587
V103	0.11226	0.10402	0.02688	0.11753	0.63931
V104	0.03798	0.4269	0.09497	0.09601	0.34414
V105	0.01803	0.12512	0.05745	0.14767	0.65173
V106	0.03792	0.67998	0.14826	0.08361	0.05023
V107	0.0373	0.35085	0.4838	0.09818	0.02987
V108	0.01516	0.34546	0.55327	0.06058	0.02553
V109	0.05075	0.26626	0.06949	0.30741	0.30609
V110	0.13491	0.48599	0.1711	0.17058	0.03742
V111	0.20472	0.33619	0.36048	0.07394	0.02467
V112	0.14526	0.10644	0.10773	0.46474	0.17583
V113	0.19172	0.12646	0.10911	0.2008	0.37191
V114	0.42951	0.16741	0.06192	0.23116	0.11
V115	0.6441	0.11223	0.0257	0.11285	0.10512
V116	0.02176	0.11508	0.02225	0.13133	0.70958
V117	0.03788	0.24815	0.55491	0.1191	0.03997
V118	0.04261	0.07226	0.01659	0.81439	0.05415
V119	0.23259	0.18395	0.30181	0.25483	0.02683
V120	0.01032	0.24245	0.56152	0.13969	0.04603
V121	0.15862	0.64334	0.027	0.09462	0.07641
V122	0.02829	0.39811	0.09387	0.27425	0.20549
V123	0.37282	0.14677	0.08265	0.24038	0.15739
V124	0.17056	0.19264	0.0741	0.26267	0.30002
V125	0.03119	0.48199	0.38473	0.07158	0.03051
V126	0.11957	0.27452	0.19671	0.16323	0.24597
V127	0.19251	0.21873	0.45537	0.10425	0.02915
V128	0.16677	0.67015	0.03479	0.08809	0.0402
V129	0.1981	0.17943	0.22926	0.20854	0.18467
V130	0.02468	0.47954	0.05815	0.27506	0.16257
V131	0.0183	0.12649	0.19473	0.62626	0.03422
V132	0.28291	0.10699	0.01721	0.37195	0.22094
V133	0.00628	0.23471	0.42553	0.12651	0.20698
V134	0.05224	0.25133	0.54215	0.07747	0.07681
V135	0.01931	0.28921	0.51701	0.07925	0.09522
V136	0.69725	0.11991	0.0283	0.11495	0.03959
V137	0.65478	0.13599	0.02634	0.13056	0.05233
V138	0.19605	0.22271	0.08854	0.19028	0.30242
V139	0.09923	0.10751	0.14273	0.61127	0.03926
V140	0.02927	0.13542	0.15185	0.10231	0.58116
V141	0.01595	0.3453	0.47054	0.13773	0.03048
V142	0.15938	0.16516	0.27388	0.17083	0.23074
V143	0.01634	0.31217	0.3782	0.17317	0.12011
V144	0.38054	0.27043	0.07768	0.18661	0.08475
V145	0.00405	0.27253	0.61614	0.07113	0.03615
V146	0.03035	0.35232	0.02834	0.34994	0.23905
V147	0.06938	0.25909	0.48467	0.14149	0.04537
V148	0.12645	0.68471	0.03457	0.11405	0.04023
V149	0.01893	0.073	0.01717	0.81652	0.07438
V150	0.10433	0.32801	0.4318	0.06386	0.07201
V151	0.33771	0.10228	0.02904	0.4206	0.11037
V152	0.02055	0.09393	0.10876	0.69033	0.08643
V153	0.1246	0.30327	0.35653	0.10525	0.11035
V154	0.09502	0.5533	0.04523	0.10809	0.19836
V155	0.03602	0.10404	0.12249	0.69576	0.04169
V156	0.0762	0.19554	0.32258	0.18201	0.22368
V157	0.07645	0.16223	0.15764	0.29699	0.30669
V158	0.14482	0.18847	0.34995	0.10342	0.21334
V159	0.09442	0.24408	0.03196	0.57103	0.05851
V160	0.34707	0.23917	0.09898	0.12026	0.19452
V161	0.17641	0.13546	0.07422	0.10222	0.51169
V162	0.00476	0.27982	0.62852	0.06025	0.02665
V163	0.05265	0.11225	0.03466	0.14149	0.65894
V164	0.66714	0.15185	0.03346	0.1148	0.03275
V165	0.44998	0.27045	0.08945	0.13087	0.05925
V166	0.04773	0.12746	0.2055	0.53264	0.08667
V167	0.02925	0.58685	0.03905	0.1976	0.14726
V168	0.00476	0.27982	0.62852	0.06025	0.02665
V169	0.04271	0.61958	0.15415	0.14547	0.03809
V170	0.19181	0.38694	0.06901	0.2431	0.10913
V171	0.22223	0.22174	0.28743	0.20992	0.05868
V172	0.14542	0.28514	0.08369	0.10656	0.37919
V173	0.16724	0.18339	0.0946	0.40722	0.14755
V174	0.15842	0.16667	0.28774	0.22458	0.16259
V175	0.06411	0.23077	0.12187	0.22337	0.35988
V176	0.2891	0.09404	0.02284	0.55889	0.03512
V177	0.13955	0.21957	0.41292	0.19736	0.0306
V178	0.19906	0.21373	0.3496	0.15772	0.07989
V179	0.0874	0.11826	0.02725	0.11806	0.64904
V180	0.02422	0.18514	0.29192	0.08408	0.41464
V181	0.0562	0.31366	0.02205	0.13961	0.46849
V182	0.42649	0.26417	0.02599	0.22635	0.05701
V183	0.05778	0.78612	0.03063	0.08939	0.03608
V184	0.23333	0.15693	0.24216	0.32324	0.04434
V185	0.08339	0.46405	0.04365	0.20563	0.20329
V186	0.11129	0.23703	0.04676	0.29213	0.3128
V187	0.06477	0.60231	0.0256	0.27112	0.0362
V188	0.60776	0.13677	0.0482	0.17209	0.03519
V189	0.34574	0.27079	0.05137	0.29695	0.03516
V190	0.30899	0.19571	0.19083	0.09461	0.20985
V191	0.17345	0.25094	0.02563	0.43535	0.11463
V192	0.24468	0.2581	0.12354	0.2529	0.12079
V193	0.05286	0.32735	0.40014	0.09698	0.12267
V194	0.21122	0.15927	0.09475	0.17149	0.36327
V195	0.41089	0.26697	0.19984	0.0915	0.0308
V196	0.0173	0.11532	0.07238	0.13935	0.65565
V197	0.05583	0.76261	0.02964	0.11635	0.03557
V198	0.18289	0.27117	0.05356	0.25263	0.23975
V199	0.54603	0.15824	0.18205	0.08657	0.0271
V200	0.57059	0.1131	0.04785	0.11689	0.15156
