mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V1	0.23536	0.19466	0.24791	0.2154	0.10667
V2	0.03388	0.5578	0.14839	0.18634	0.0736
V3	0.01976	0.13918	0.38436	0.4247	0.032
V4	0	0.18725	0.19741	0.1962	0.41913
V5	0	0.18093	0.03747	0.26106	0.52054
V6	0.23653	0.13819	0.25357	0.28145	0.09026
V7	0	0.18733	0.3591	0.17643	0.27714
V8	0	0.17143	0.74253	0.07861	0.00743
V9	0.0123	0.11302	0.23762	0.60192	0.03515
V10	0.37601	0.13935	0.43226	0.02175	0.03063
V11	0	0.19841	0.08181	0.22807	0.49171
V12	0.02386	0.15989	0.19779	0.38035	0.23811
V13	0.06831	0.15808	0.0434	0.49135	0.23885
V14	0.09664	0.10335	0.07776	0.63535	0.0869
V15	0	0.08902	0.00945	0.84884	0.05269
V16	0.45359	0.11893	0.0316	0.35909	0.0368
V17	0.00635	0.3119	0.03175	0.23034	0.41966
V18	0.04923	0.33571	0.28946	0.28533	0.04026
V19	0	0.1822	0	0.27758	0.54023
V20	0	0.14416	0.60611	0.23053	0.0192
V21	0	0.28596	0.14673	0.28621	0.28111
V22	0.71699	0.13058	0.07933	0.0369	0.0362
V23	0.00566	0.1999	0.0095	0.29596	0.48898
V24	0.3482	0.2008	0.03624	0.17238	0.24238
V25	0	0.15294	0.0101	0.50695	0.33
V26	0.37336	0.22863	0.08665	0.14979	0.16157
V27	0.08109	0.4047	0.23304	0.13194	0.14923
V28	0	0.14392	0.19512	0.60983	0.05112
V29	0	0.1028	0.29134	0.57089	0.03497
V30	0.62464	0.14978	0.04511	0.09031	0.09016
V31	0.31488	0.18714	0.03714	0.31874	0.1421
V32	0.82412	0.08092	0.00747	0.03501	0.05249
V33	0	0.27135	0.02398	0.27582	0.42885
V34	0.09966	0.60206	0.11254	0.13706	0.04868
V35	0.0649	0.45401	0.32272	0.12311	0.03525
V36	0	0.26006	0.16603	0.22993	0.34398
V37	0.6371	0.1039	0	0.09076	0.16824
V38	0.06405	0.16381	0.41422	0.24982	0.1081
V39	0.2337	0.17051	0.30252	0.10878	0.18449
V40	0.18184	0.43679	0.09459	0.22035	0.06642
V41	0.03005	0.60838	0.11644	0.14629	0.09884
V42	0.75244	0.10555	0.02772	0.05185	0.06244
V43	0.3869	0.18099	0.3403	0.06416	0.02765
V44	0	0.30999	0.52684	0.07368	0.08949
V45	0.0155	0.48129	0.1744	0.25896	0.06985
V46	0.0895	0.53979	0.16292	0.15171	0.05608
V47	0	0.17608	0.81431	0.00132	0.00829
V48	0.10453	0.19253	0.21833	0.37834	0.10627
V49	0.35962	0.18141	0.23001	0.19332	0.03564
V50	0	0.18976	0.80383	0.00179	0.00463
V51	0.04812	0.30016	0.21007	0.19245	0.24921
V52	0.03871	0.64815	0.12067	0.14312	0.04935
V53	0	0.17318	0.03366	0.74646	0.0467
V54	0.14032	0.11006	0.02003	0.58254	0.14705
V55	0.02733	0.08375	0.00899	0.8327	0.04722
V56	0.02439	0.09237	0.01085	0.76265	0.10973
V57	0.09939	0.22109	0.50074	0.08812	0.09066
V58	0.00713	0.1731	0.11952	0.33109	0.36916
V59	0.7448	0.09535	0.0952	0.03968	0.02496
V60	0.32543	0.21907	0.14457	0.2112	0.09973
V61	0.11311	0.16395	0.02586	0.35226	0.34482
V62	0.00015	0.19065	0.26454	0.24793	0.29673
V63	0.30736	0.26358	0.09222	0.15582	0.181
V64	0.83365	0.08739	0.02668	0.02582	0.02646
V65	0.03907	0.1476	0.05226	0.63865	0.12243
V66	0	0.09674	0.12871	0.73031	0.04424
V67	0	0.17723	0.28587	0.21211	0.32479
V68	0.35492	0.12958	0.36384	0.08283	0.06882
V69	0.48085	0.17044	0.20614	0.07898	0.06359
V70	0.04015	0.49909	0.12995	0.27414	0.05667
V71	0.07216	0.54857	0.14114	0.18683	0.05129
V72	0	0.38054	0.06147	0.20692	0.35107
V73	0.01137	0.12319	0.0973	0.60408	0.16407
V74	0	0.115	0.01814	0.779	0.08787
V75	0.38177	0.21058	0.31399	0.05998	0.03369
V76	0	0.08145	0.02049	0.82057	0.07749
V77	0	0.1747	0.77658	0.04294	0.00578
V78	0	0.17851	0.80134	0.01095	0.0092
V79	0.0349	0.35831	0.08356	0.27988	0.24336
V80	0.09702	0.52347	0.0913	0.18745	0.10077
V81	0	0.17873	0.81829	0	0.00298
V82	0.16436	0.17422	0.06004	0.55244	0.04894
V83	0.04679	0.15724	0.0335	0.59038	0.17209
V84	0.02706	0.27235	0.01309	0.23779	0.44971
V85	0	0.17468	0.81499	0.00739	0.00293
V86	0	0.24402	0.30187	0.416	0.03811
V87	0.34095	0.09527	0.05687	0.45793	0.04898
V88	0.22007	0.21284	0.07462	0.29984	0.19263
V89	0.0044	0.21881	0.71043	0.05591	0.01045
V90	0	0.26166	0.06239	0.26609	0.40986
V91	0	0.08208	0.07838	0.79844	0.04109
V92	0.14747	0.19458	0.02592	0.22299	0.40905
V93	0	0.15672	0.15637	0.54387	0.14303
V94	0	0.24383	0.03287	0.37808	0.34523
V95	0.00803	0.29353	0.03944	0.27317	0.38583
V96	0.6672	0.10133	0.03113	0.08891	0.11143
V97	0.08303	0.19252	0.03941	0.27622	0.40883
V98	0.01266	0.34215	0.20899	0.24458	0.19162
V99	0.39531	0.17015	0.02855	0.2992	0.1068
V100	0.42056	0.20211	0.07364	0.15508	0.14861
V101	0.04678	0.63722	0.12697	0.14053	0.0485
V102	0.22578	0.25389	0.15815	0.21297	0.14921
V103	0.04555	0.18707	0	0.24287	0.52451
V104	0.00316	0.38237	0.12345	0.19266	0.29835
V105	0	0.18465	0.02248	0.27108	0.52179
V106	0.02917	0.54374	0.23874	0.12497	0.06338
V107	0.01446	0.26796	0.61107	0.08528	0.02123
V108	0	0.25201	0.71839	0.01968	0.00991
V109	0.01234	0.2571	0.07595	0.39446	0.26015
V110	0.13368	0.37726	0.23735	0.20413	0.04759
V111	0.22392	0.24726	0.46214	0.04523	0.02145
V112	0.11091	0.11823	0.10642	0.51108	0.15336
V113	0.1509	0.16041	0.0989	0.28406	0.30574
V114	0.44455	0.14187	0.06558	0.24479	0.10322
V115	0.75543	0.08487	0.00664	0.06095	0.09212
V116	0	0.17838	0	0.25473	0.56689
V117	0.0092	0.17529	0.69106	0.09821	0.02624
V118	0.00026	0.08559	0.00718	0.84773	0.05924
V119	0.23564	0.12708	0.3536	0.25597	0.02771
V120	0	0.16115	0.68538	0.12339	0.03008
V121	0.16153	0.51615	0.09242	0.14105	0.08885
V122	0	0.33991	0.12525	0.34895	0.18589
V123	0.36637	0.13688	0.08525	0.27136	0.14014
V124	0.13786	0.19955	0.07375	0.3386	0.25024
V125	0.01169	0.38113	0.50668	0.07096	0.02954
V126	0.09189	0.24663	0.21967	0.22959	0.21223
V127	0.2063	0.14273	0.5641	0.0684	0.01846
V128	0.17651	0.53759	0.10665	0.12229	0.05696
V129	0.17827	0.16066	0.24474	0.25603	0.1603
V130	0.00087	0.39667	0.09951	0.34877	0.15418
V131	0	0.10061	0.20925	0.65633	0.03381
V132	0.25212	0.1283	0.00637	0.42036	0.19285
V133	0	0.18504	0.46915	0.16548	0.18033
V134	0.02752	0.18498	0.6665	0.05783	0.06316
V135	0	0.21915	0.62436	0.07422	0.08226
V136	0.86229	0.077	0.0091	0.02454	0.02707
V137	0.78256	0.09534	0.0127	0.06595	0.04346
V138	0.16745	0.22043	0.09344	0.26503	0.25365
V139	0.06839	0.09823	0.15323	0.63728	0.04286
V140	0	0.18531	0.1269	0.21656	0.47123
V141	0	0.25892	0.58061	0.13725	0.02321
V142	0.13305	0.15396	0.29112	0.22384	0.19804
V143	0	0.24581	0.43499	0.20996	0.10924
V144	0.39444	0.21686	0.09982	0.20436	0.08452
V145	0	0.17738	0.78538	0.0221	0.01515
V146	0	0.31396	0.04452	0.42923	0.21229
V147	0.05181	0.18902	0.58485	0.13789	0.03644
V148	0.1308	0.54586	0.10877	0.15665	0.05792
V149	0	0.07833	0.00544	0.84364	0.07259
V150	0.09612	0.2536	0.53055	0.0558	0.06394
V151	0.32016	0.10428	0.02396	0.44629	0.10531
V152	0	0.09218	0.10706	0.71932	0.08143
V153	0.11219	0.23865	0.4242	0.12463	0.10033
V154	0.07969	0.45534	0.0944	0.18465	0.18592
V155	0	0.09974	0.12963	0.72616	0.04447
V156	0.04166	0.1773	0.34722	0.23901	0.19481
V157	0.03529	0.17539	0.15666	0.37639	0.25627
V158	0.12164	0.16307	0.38763	0.14143	0.18623
V159	0.06989	0.20977	0.04821	0.6084	0.06373
V160	0.3491	0.21014	0.11229	0.15785	0.17061
V161	0.12667	0.19186	0.05377	0.20775	0.41995
V162	0	0.18028	0.81644	0.00029	0.00299
V163	0	0.19193	0	0.27146	0.53661
V164	0.81456	0.10415	0.02305	0.0357	0.02253
V165	0.50055	0.20719	0.11227	0.12087	0.05912
V166	0.01021	0.11588	0.2183	0.57501	0.08061
V167	0.01329	0.47566	0.09305	0.27212	0.14589
V168	0	0.18028	0.81644	0.00029	0.00299
V169	0.03346	0.48973	0.23682	0.18946	0.05053
V170	0.18027	0.31404	0.10555	0.29149	0.10865
V171	0.22163	0.16531	0.33533	0.22101	0.05673
V172	0.11291	0.28084	0.09131	0.19873	0.31622
V173	0.14056	0.17029	0.10461	0.45118	0.13336
V174	0.13579	0.14403	0.31073	0.26717	0.14227
V175	0.02226	0.23631	0.12487	0.3163	0.30027
V176	0.27104	0.08947	0.0204	0.57464	0.04445
V177	0.13138	0.15354	0.49105	0.19724	0.02679
V178	0.19803	0.15741	0.40858	0.16374	0.07224
V179	0.02053	0.19955	0	0.24668	0.53324
V180	0	0.18996	0.2956	0.167	0.34743
V181	0.01113	0.31954	0.02118	0.25521	0.39294
V182	0.45585	0.20722	0.04064	0.23467	0.06162
V183	0.05573	0.63734	0.11838	0.13415	0.05439
V184	0.22753	0.11754	0.26958	0.33974	0.04561
V185	0.06298	0.38887	0.08065	0.28097	0.18654
V186	0.07675	0.23547	0.04921	0.37507	0.26349
