cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V1	0.56515	0.00877	0.17512	0.25095
V2	0.14997	0.08036	0.05721	0.71247
V3	0.04924	0.65336	0.01349	0.2839
V4	0.86309	0.11862	0	0.01829
V5	0.10228	0.48685	0.26406	0.14681
V6	0.06812	0.89467	0.01913	0.01808
V7	0.14133	0.36728	0.08745	0.40394
V8	0.12465	0.03318	0.81443	0.02774
V9	0.23952	0.23361	0.04003	0.48684
V10	0.01876	0.03907	0.89788	0.04429
V11	0.20389	0.35671	0.43395	0.00544
V12	0.02244	0.59998	0.36578	0.0118
V13	0.25445	0.72264	0.00496	0.01794
V14	0.06249	0.92553	0.00639	0.00558
V15	0.11154	0.6251	0.12032	0.14304
V16	0.91258	0.04493	0.0177	0.02478
V17	0.07771	0.89211	0.01208	0.0181
V18	0.57513	0.35172	0.04089	0.03226
V19	0.14841	0.8348	0.00536	0.01143
V20	0.16126	0.47968	0.02098	0.33808
V21	0.12512	0.05761	0.78959	0.02769
V22	0.01604	0.08211	0.22983	0.67201
V23	0.3799	0.04531	0.56885	0.00594
V24	0.92607	0.04223	0.03113	0.00056
V25	0.35274	0.22711	0.13542	0.28473
V26	0.39663	0.39692	0.01849	0.18795
V27	0.10088	0.05309	0.02695	0.81909
V28	0.00377	0.08586	0.90821	0.00216
V29	0.43936	0.03006	0.5047	0.02588
V30	0.09453	0.20095	0.30379	0.40073
V31	0.2015	0.17576	0.32229	0.30045
V32	0.08177	0.02628	0.04015	0.85179
V33	0.03912	0.5065	0.36749	0.08689
V34	0.12465	0.04354	0.80411	0.02771
V35	0.15077	0.74731	0.07676	0.02516
V36	0.00704	0.03305	0.51872	0.44119
V37	0.56532	0.05908	0.0988	0.27679
V38	0.43666	0.0048	0.1832	0.37534
V39	0.15698	0.58871	0.13039	0.12392
V40	0.09125	0.83699	0.07146	0.00031
V41	0.00577	0.70696	0.0451	0.24217
V42	0.22527	0.02214	0.22959	0.52299
V43	0.12458	0.33445	0.51429	0.02668
V44	0.01393	0.06459	0.7718	0.14968
V45	0.08936	0.61135	0.22222	0.07707
V46	0.80239	0.07415	0.11819	0.00526
V47	0.4576	0.17675	0.32387	0.04178
V48	0.80352	0.17418	0.00437	0.01793
V49	0.74299	0.18662	0	0.07039
V50	0.06002	0.85758	0.07731	0.0051
V51	0.30819	0.40578	0.26029	0.02574
V52	0.02463	0.1067	0.84049	0.02818
V53	0.7264	0.12559	0.14755	0.00046
V54	0.42778	0.18185	0.37205	0.01832
V55	0.21543	0.11145	0.26465	0.40847
V56	0.04611	0.01433	0.10399	0.83557
V57	0.08801	0.88106	0.01956	0.01136
V58	0.66044	0.00779	0.04315	0.28862
