cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V1	0.61162	0.03739	0.20774	0.14325
V2	0.29206	0.1288	0.18449	0.39464
V3	0.12029	0.70399	0.01757	0.15815
V4	0.8519	0.1481	0	0
V5	0.13263	0.48045	0.29595	0.09097
V6	0.095	0.89676	0	0.00824
V7	0.2269	0.42445	0.1336	0.21505
V8	0.05522	0	0.89701	0.04777
V9	0.35347	0.30542	0.08803	0.25308
V10	0	0	0.95631	0.04369
V11	0.19274	0.33398	0.45276	0.02052
V12	0.00473	0.56847	0.40118	0.02562
V13	0.30085	0.6909	0	0.00826
V14	0.0767	0.9233	0	0
V15	0.15857	0.63175	0.12481	0.08487
V16	0.89829	0.09727	0	0.00444
V17	0.10777	0.88375	0	0.00848
V18	0.6081	0.36847	0	0.02343
V19	0.18979	0.80592	0	0.00429
V20	0.24929	0.54259	0.03226	0.17586
V21	0.07509	0.00996	0.86711	0.04784
V22	0.09189	0.11291	0.42028	0.37491
V23	0.36491	0.00449	0.60036	0.03024
V24	0.90584	0.09416	0	0
V25	0.41338	0.27665	0.15826	0.15171
V26	0.46123	0.43315	0	0.10562
V27	0.25425	0.0876	0.16903	0.48913
V28	0	0	0.98442	0.01558
V29	0.4273	0.00475	0.52727	0.04068
V30	0.15252	0.23272	0.40606	0.2087
V31	0.24433	0.21582	0.38029	0.15956
V32	0.2382	0.04965	0.19607	0.51607
V33	0.04254	0.48398	0.40433	0.06915
V34	0.0656	0	0.8869	0.0475
V35	0.19739	0.74114	0.03843	0.02304
V36	0.01879	0.01407	0.70325	0.2639
V37	0.61745	0.11234	0.11818	0.15203
V38	0.51913	0.02633	0.24894	0.20561
V39	0.20381	0.59529	0.12292	0.07798
V40	0.11363	0.85349	0.03289	0
V41	0.04614	0.74752	0.06858	0.13776
V42	0.32417	0.03484	0.35741	0.28358
V43	0.11832	0.30057	0.53922	0.04189
V44	0	0.02346	0.86971	0.10683
V45	0.12132	0.5942	0.22413	0.06035
V46	0.8124	0.11316	0.06689	0.00754
V47	0.44679	0.19497	0.31245	0.04579
V48	0.80457	0.19118	0	0.00425
V49	0.75627	0.21288	0	0.03085
V50	0.0778	0.87792	0.04082	0.00346
V51	0.33501	0.38704	0.24332	0.03463
V52	0	0.03965	0.91804	0.04231
V53	0.74023	0.15277	0.09827	0.00873
V54	0.42045	0.18198	0.36489	0.03268
V55	0.28042	0.15388	0.34965	0.21606
V56	0.18224	0.03326	0.28499	0.49952
V57	0.11843	0.87713	0	0.00444
V58	0.73194	0.06655	0.04777	0.15374
V59	0.46758	0.43221	0.06344	0.03677
V60	0.17817	0.16625	0.45763	0.19795
V61	0.81844	0.14598	0	0.03557
V62	0.88618	0.09609	0.01437	0.00335
V63	0.02451	0.87055	0.08507	0.01987
V64	0.03599	0.89622	0	0.06778
V65	0.14762	0.02305	0.30892	0.52041
V66	0.25651	0.70922	0	0.03426
V67	0.13353	0.29159	0.54353	0.03135
V68	0.30118	0.2025	0.12712	0.3692
V69	0	0.25851	0.69282	0.04867
V70	0.5676	0.17825	0.17486	0.07928
V71	0.20976	0.07304	0.51792	0.19929
V72	0.62042	0.19848	0.08213	0.09896
V73	0.18755	0.63539	0.12216	0.05489
V74	0	0.17744	0.79753	0.02503
V75	0.72768	0.03571	0.17895	0.05766
V76	0.06469	0.20187	0.38323	0.3502
V77	0.14958	0.38097	0.10217	0.36727
V78	0.38269	0.14581	0.27119	0.20031
V79	0	0.02853	0.8994	0.07207
V80	0.34558	0	0.58345	0.07097
V81	0	0.10523	0.86368	0.0311
V82	0	0	0.97507	0.02493
V83	0.24874	0.23075	0.20269	0.31782
V84	0.47924	0.07902	0.24113	0.20061
V85	0.11506	0.30884	0.47442	0.10168
V86	0	0	0.95147	0.04853
V87	0.0597	0.88502	0.0189	0.03638
V88	0.24109	0.06691	0.4294	0.2626
V89	0.10532	0.01711	0.44518	0.43239
V90	0.03636	0.94336	0.01376	0.00652
V91	0.04494	0.75364	0.17478	0.02663
V92	0.46622	0.02224	0.42261	0.08894
V93	0.89737	0.06808	0	0.03455
