cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V1	0.55434	0.01085	0.17964	0.25518
V2	0.1415	0.08698	0.05536	0.71616
V3	0.05063	0.63506	0.01393	0.30038
V4	0.86888	0.11254	0	0.01858
V5	0.10311	0.46593	0.27884	0.15212
V6	0.07227	0.88758	0.02126	0.0189
V7	0.13987	0.35088	0.08979	0.41947
V8	0.11962	0.02502	0.82824	0.02713
V9	0.23503	0.22408	0.0402	0.50069
V10	0.01715	0.02997	0.909	0.04389
V11	0.20335	0.33501	0.45655	0.00508
V12	0.02319	0.57626	0.38885	0.0117
V13	0.26446	0.71134	0.00564	0.01856
V14	0.06647	0.92035	0.00752	0.00566
V15	0.11412	0.60715	0.12843	0.1503
V16	0.91448	0.04122	0.01922	0.02508
V17	0.08234	0.88519	0.01353	0.01893
V18	0.58559	0.33776	0.04381	0.03284
V19	0.15574	0.82625	0.0062	0.0118
V20	0.16182	0.46256	0.02151	0.3541
V21	0.12024	0.04719	0.80559	0.02698
V22	0.01492	0.08612	0.22594	0.67301
V23	0.37121	0.03755	0.58568	0.00556
V24	0.92734	0.03878	0.03352	0.00036
V25	0.35056	0.21594	0.14021	0.29329
V26	0.40163	0.38207	0.01944	0.19685
V27	0.09317	0.06731	0.02511	0.81441
V28	0.00347	0.07243	0.92221	0.00188
V29	0.43029	0.02435	0.51995	0.02542
V30	0.09154	0.18981	0.30989	0.40876
V31	0.1973	0.1652	0.33108	0.30642
V32	0.07533	0.04449	0.03767	0.8425
V33	0.03945	0.48307	0.38833	0.08915
V34	0.11965	0.03463	0.81871	0.02701
V35	0.15713	0.73349	0.08342	0.02597
V36	0.0062	0.03492	0.51748	0.4414
V37	0.55783	0.05763	0.10142	0.28312
V38	0.42368	0.00955	0.18545	0.38132
V39	0.16063	0.57062	0.13906	0.1297
V40	0.09589	0.826	0.07806	5e-05
V41	0.00658	0.68848	0.04774	0.25719
V42	0.21531	0.02813	0.22916	0.52739
V43	0.12357	0.3117	0.53834	0.02639
V44	0.01265	0.0561	0.78214	0.14911
V45	0.09147	0.59129	0.23738	0.07985
V46	0.80223	0.06794	0.12484	0.005
V47	0.45551	0.16416	0.33865	0.04168
V48	0.8112	0.16548	0.00516	0.01816
V49	0.74961	0.17782	0	0.07257
V50	0.06346	0.84691	0.08456	0.00508
V51	0.31225	0.38604	0.2759	0.02581
V52	0.0231	0.09256	0.85679	0.02755
V53	0.727	0.11715	0.15559	0.00026
V54	0.4251	0.16831	0.38866	0.01792
V55	0.20912	0.10669	0.26882	0.41537
V56	0.04197	0.03322	0.09864	0.82617
V57	0.09302	0.87355	0.0217	0.01173
V58	0.64921	0.01151	0.04389	0.29539
V59	0.44463	0.40131	0.11237	0.04168
V60	0.12487	0.12598	0.36659	0.38256
V61	0.82402	0.09297	0.01096	0.07205
V62	0.8844	0.035	0.06937	0.01123
V63	0.01541	0.8432	0.12268	0.01872
V64	0.00857	0.87071	0.00096	0.11975
V65	0.01528	0.02785	0.11736	0.83951
V66	0.21254	0.70867	0.01965	0.05914
V67	0.14648	0.30268	0.53926	0.01158
V68	0.15263	0.14118	0.0267	0.6795
V69	0.02152	0.27831	0.65742	0.04275
V70	0.5626	0.12833	0.19487	0.11419
V71	0.15605	0.05454	0.41778	0.37163
V72	0.59854	0.1374	0.10117	0.16288
V73	0.1477	0.62501	0.14789	0.0794
V74	0.05471	0.20411	0.74013	0.00104
V75	0.71253	0.00734	0.20051	0.07961
V76	7e-04	0.16234	0.20255	0.63441
V77	0.03533	0.29459	0.01147	0.65861
V78	0.30803	0.09552	0.2074	0.38904
V79	0.00625	0.07807	0.83902	0.07665
V80	0.33997	0.01779	0.5677	0.07454
V81	0.05245	0.14182	0.79946	0.00627
V82	0.00161	0.07275	0.91724	0.00839
V83	0.12911	0.1666	0.0821	0.62219
V84	0.3984	0.03732	0.17881	0.38547
V85	0.10192	0.28648	0.44967	0.16192
V86	0.04134	0.04465	0.87867	0.03535
V87	0.03162	0.85418	0.05503	0.05918
V88	0.1584	0.04892	0.30092	0.49175
V89	0.01791	0.02795	0.22853	0.72562
V90	0.025	0.9067	0.05646	0.01183
V91	0.03174	0.74623	0.1959	0.02613
V92	0.4523	0.01883	0.40906	0.11981
V93	0.8948	0.0194	0	0.08579
V94	0.01473	0.45434	0.02482	0.50611
V95	0.26001	0.42649	0.17246	0.14104
V96	0.06849	0.10836	0.03204	0.79111
V97	0.68775	0.0935	0.2139	0.00485
V98	0.69145	0.29695	0	0.0116
V99	0.7982	0.04436	0.1524	0.00503
V100	0.07121	0.0336	0.8747	0.0205
V101	0.027	0.07803	0.01017	0.8848
V102	0.92773	0.05448	0.00589	0.0119
V103	0.01039	0.06223	0.10856	0.81882
V104	0.02857	0.95732	0.0082	0.00591
V105	0.05556	0.92363	0.01525	0.00557
V106	0.11355	0.50456	0.34748	0.03441
V107	0.17866	0.17046	0.6084	0.04247
V108	0.14779	0.75622	0.0959	8e-05
V109	0.01232	0.12907	0.64353	0.21508
V110	0.05249	0.8906	0.03808	0.01883
V111	0.91186	0.01111	0.07145	0.00558
V112	0.1211	0.04751	0.47547	0.35592
V113	0.18515	0.09141	0.19938	0.52406
V114	0.24249	0.04607	0.09049	0.62096
V115	0.008	0.75339	0.23327	0.00535
V116	0.13669	0.28651	0.41416	0.16264
V117	0.69246	0.24021	0.03471	0.03262
V118	0.16048	0.5913	0.03759	0.21063
V119	0.10938	0.08187	0.05726	0.75148
V120	0.07168	0.06146	0.8538	0.01306
V121	0.61949	0.10894	0.10048	0.17108
V122	0.95696	0.01713	0.01376	0.01216
V123	0.00665	0.52082	0.05004	0.42249
V124	0.67007	0.28143	0	0.0485
V125	0.39261	0.4048	0.18462	0.01796
V126	0.03578	0.15143	0.05825	0.75453
V127	0.15836	0.04196	0.28864	0.51104
V128	0.03101	0.03215	0.12868	0.80816
V129	0.59361	0.21189	0.16947	0.02503
V130	0.00764	0.64856	0.33837	0.00543
V131	0.02488	0.90725	0.00084	0.06704
V132	0.93904	0.01455	0.028	0.0184
V133	0.91429	0.02144	0.0528	0.01146
V134	0.10446	0.38575	0.144	0.36578
V135	0.07399	0.02982	0.20302	0.69316
V136	0.24516	0.40104	0.0133	0.3405
V137	0.65719	0.0299	0.25685	0.05605
V138	0.21246	0.39311	0.19823	0.1962
V139	0.36232	0.18314	0.21826	0.23628
V140	0.02864	0.10166	0.0623	0.8074
V141	0.05731	0.12741	0.59562	0.21966
V142	0.77597	0.01623	0.20732	0.00048
V143	0.44786	0.24591	0.07449	0.23173
V144	0.16307	0.1388	0.18951	0.50862
V145	0.00182	0.76066	0.23204	0.00548
V146	0.05803	0.0379	0.04171	0.86237
V147	0.92318	0.02543	0.01916	0.03224
V148	0.1192	0.05724	0.63018	0.19338
V149	0.26085	0.5074	0.22695	0.00481
V150	0.07877	0.21138	0.64021	0.06965
V151	0.20541	0.64133	0.03656	0.1167
V152	0.23353	0.43784	0.23888	0.08975
V153	0.10171	0.77313	0.02013	0.10503
V154	0.24076	0.44484	0.28839	0.026
V155	0.4844	0.1215	0.30782	0.08628
V156	0.02916	0.11308	0.74358	0.11418
V157	0.30628	0.13296	0.34803	0.21272
V158	0.02707	0.02898	0.04839	0.89557
V159	0.89543	0.06457	0	0.04
V160	0.70458	0.01091	0.06852	0.21599
V161	0.2108	0.02484	0.03882	0.72554
V162	0.06189	0.2973	0.09189	0.54892
V163	0.09231	0.49217	0.18683	0.22868
V164	0.3504	0.2951	0.11805	0.23645
V165	0.01011	0.28244	0.0057	0.70175
V166	0.00905	0.11197	0.08283	0.79615
V167	0.35466	0.0161	0.01181	0.61742
V168	0.28749	0.57782	0.08369	0.051
V169	0.18704	0.06032	0.04551	0.70713
V170	0.09762	0.02328	0.56681	0.31228
V171	0.12248	0.21426	0.62872	0.03454
V172	0.70575	0.01298	0.27592	0.00535
V173	0.02672	0.15488	0.04982	0.76858
V174	0.0162	0.1696	0.08734	0.72687
V175	0.05716	0.0225	0.81073	0.10961
V176	0.00825	0.81422	0.17218	0.00534
V177	0.01196	0.97392	0.00105	0.01308
V178	0.00711	0.78682	0.00712	0.19895
V179	0.1532	0.01752	0.41874	0.41054
V180	0.02915	0.89115	0.07963	8e-05
V181	0.15545	0.1075	0.59073	0.14632
V182	0.29755	0.15735	0.49411	0.051
V183	0.17812	0.80994	0.0066	0.00534
V184	0.9668	0.01834	0.01432	0.00054
V185	0.56956	0.41268	0.01277	0.00499
V186	0.11432	0.4764	0.28901	0.12027
