cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V1	0.41694	0.01942	0.12224	0.4414
V2	0.06182	0.05227	0.02815	0.85776
V3	0.02624	0.49927	0.00644	0.46805
V4	0.85149	0.11899	0.00043	0.02909
V5	0.06096	0.43772	0.21771	0.28361
V6	0.04854	0.90654	0.0099	0.03502
V7	0.07061	0.23839	0.04526	0.64574
V8	0.07849	0.07938	0.80227	0.03986
V9	0.12035	0.13724	0.01775	0.72466
V10	0.01389	0.08528	0.83884	0.06199
V11	0.15789	0.36809	0.46369	0.01033
V12	0.01195	0.59727	0.36844	0.02234
V13	0.21589	0.7491	0.00076	0.03426
V14	0.04954	0.93332	0.0025	0.01463
V15	0.06917	0.57142	0.08327	0.27614
V16	0.89987	0.049	0.01187	0.03927
V17	0.05588	0.90429	0.00482	0.03501
V18	0.56204	0.35206	0.02651	0.05939
V19	0.11737	0.8583	9e-04	0.02342
V20	0.08786	0.3427	0.00944	0.56
V21	0.07794	0.09244	0.78896	0.04065
V22	0.00466	0.0571	0.13025	0.80799
V23	0.31165	0.08068	0.59935	0.00832
V24	0.89297	0.06692	0.04011	0
V25	0.23416	0.16087	0.08552	0.51945
V26	0.29993	0.33233	0.0089	0.35885
V27	0.0466	0.04499	0.01672	0.8917
V28	0.00543	0.1613	0.8298	0.00347
V29	0.37246	0.06196	0.5239	0.04168
V30	0.04165	0.12818	0.19467	0.6355
V31	0.11441	0.12678	0.23202	0.52679
V32	0.04065	0.0299	0.0258	0.90365
V33	0.01949	0.47379	0.34489	0.16184
V34	0.07691	0.08488	0.79805	0.04016
V35	0.11576	0.78051	0.05607	0.04766
V36	0.00236	0.04729	0.35128	0.59907
V37	0.40752	0.04421	0.06084	0.48744
V38	0.26869	0.0184	0.11854	0.59437
V39	0.1073	0.55305	0.09405	0.2456
V40	0.07638	0.84453	0.07271	0.00639
V41	0.00422	0.56073	0.02529	0.40976
V42	0.10731	0.02485	0.13454	0.7333
V43	0.08451	0.32916	0.54056	0.04576
V44	0.00454	0.08155	0.68386	0.23005
V45	0.05723	0.60073	0.19277	0.14927
V46	0.80031	0.08301	0.10984	0.00683
V47	0.41479	0.17386	0.33421	0.07714
V48	0.79896	0.16915	0.003	0.0289
V49	0.70519	0.16819	2e-05	0.1266
V50	0.0443	0.87783	0.06387	0.014
V51	0.26661	0.42273	0.26219	0.04847
V52	0.01159	0.12966	0.81843	0.04032
V53	0.70615	0.13977	0.15375	0.00033
V54	0.38544	0.18577	0.39776	0.03103
V55	0.11098	0.0725	0.16521	0.65131
V56	0.02333	0.02354	0.07053	0.8826
V57	0.06441	0.90021	0.01171	0.02368
V58	0.47629	0.01533	0.02664	0.48174
V59	0.40774	0.42824	0.085	0.07902
V60	0.0618	0.08859	0.24295	0.60665
V61	0.78226	0.08585	0.00603	0.12586
V62	0.88144	0.04863	0.05355	0.01638
V63	0.00916	0.86441	0.09168	0.03475
V64	0.01049	0.79646	0	0.19305
V65	0.0111	0.0233	0.09723	0.86837
V66	0.1579	0.72748	0.00787	0.10675
V67	0.10654	0.32645	0.54675	0.02026
V68	0.06738	0.08211	0.01317	0.83734
V69	0.00959	0.28226	0.63761	0.07054
V70	0.50485	0.11902	0.15413	0.22199
V71	0.08232	0.04806	0.28921	0.58041
V72	0.51105	0.11414	0.06716	0.30765
V73	0.10215	0.64064	0.10679	0.15042
V74	0.03947	0.23973	0.7173	0.00349
V75	0.65982	0.02739	0.17062	0.14216
V76	0.00059	0.10448	0.11755	0.77737
V77	0.01766	0.17714	0.0072	0.798
V78	0.18224	0.06427	0.12509	0.6284
V79	0.00265	0.10966	0.77222	0.11548
V80	0.26249	0.05538	0.55333	0.1288
V81	0.03221	0.17413	0.78355	0.01011
V82	3e-04	0.13525	0.8519	0.01255
V83	0.05647	0.09566	0.03863	0.80924
V84	0.24749	0.03011	0.10705	0.61535
V85	0.05866	0.25816	0.38583	0.29735
V86	0.02445	0.09325	0.83119	0.05112
V87	0.01722	0.84924	0.03132	0.10222
V88	0.07736	0.03742	0.18399	0.70124
V89	0.0088	0.02592	0.14568	0.8196
V90	0.01554	0.92373	0.03669	0.02404
V91	0.01744	0.77367	0.16163	0.04725
V92	0.36376	0.04428	0.37653	0.21543
V93	0.82595	0.03094	0.00093	0.14218
V94	0.00551	0.29747	0.01376	0.68325
V95	0.19429	0.40705	0.12429	0.27436
V96	0.03174	0.06738	0.01905	0.88183
V97	0.67467	0.11067	0.20764	0.00702
V98	0.66868	0.3119	0	0.01942
V99	0.78862	0.06331	0.14141	0.00666
V100	0.04265	0.08839	0.83958	0.02938
V101	0.02396	0.07235	0.00775	0.89593
V102	0.91289	0.06571	0.00436	0.01705
V103	0.00388	0.04539	0.07485	0.87588
V104	0.02241	0.95835	0.00389	0.01536
V105	0.03886	0.93784	0.00877	0.01454
V106	0.07741	0.5317	0.32801	0.06288
V107	0.12782	0.18416	0.61473	0.0733
V108	0.12074	0.78751	0.08586	0.00589
V109	0.00456	0.12093	0.52889	0.34562
V110	0.03509	0.90817	0.02187	0.03487
V111	0.8954	0.03423	0.0631	0.00727
V112	0.06146	0.0473	0.34074	0.5505
V113	0.08946	0.0573	0.1095	0.74373
V114	0.11926	0.03075	0.04515	0.80483
V115	0.00562	0.77228	0.20841	0.01369
V116	0.08351	0.25893	0.35439	0.30318
V117	0.68141	0.24066	0.02039	0.05754
V118	0.09967	0.51487	0.01759	0.36787
V119	0.04817	0.05038	0.02975	0.8717
V120	0.04364	0.10879	0.82835	0.01922
V121	0.52382	0.0894	0.0662	0.32058
V122	0.93523	0.03586	0.01162	0.01729
V123	0.00335	0.36303	0.0253	0.60832
V124	0.63501	0.28026	0	0.08473
V125	0.35915	0.44543	0.16186	0.03356
V126	0.01528	0.09051	0.03016	0.86405
V127	0.07647	0.03313	0.17511	0.7153
V128	0.017	0.02397	0.08938	0.86965
V129	0.58625	0.22331	0.14537	0.04507
V130	0.00514	0.66716	0.31447	0.01323
V131	0.01865	0.87157	0	0.10978
V132	0.92088	0.03022	0.0211	0.02781
V133	0.90412	0.03863	0.04076	0.01649
V134	0.05094	0.27827	0.07951	0.59128
V135	0.03316	0.0242	0.11965	0.82299
V136	0.14408	0.30062	0.00599	0.54932
V137	0.62201	0.04515	0.23162	0.10122
V138	0.14333	0.34597	0.13845	0.37224
V139	0.2599	0.14795	0.15111	0.44103
V140	0.01333	0.06532	0.03626	0.8851
V141	0.02678	0.11621	0.48819	0.36882
V142	0.73697	0.05227	0.21076	0
V143	0.33313	0.19687	0.04335	0.42665
V144	0.07849	0.08557	0.10176	0.73418
V145	0.00315	0.77527	0.20766	0.01393
V146	0.03475	0.02454	0.03219	0.90851
V147	0.90031	0.03548	0.01247	0.05173
V148	0.06877	0.07278	0.53515	0.3233
V149	0.21659	0.55898	0.21302	0.01141
V150	0.04588	0.2128	0.62094	0.12038
V151	0.14479	0.62399	0.01744	0.21378
V152	0.18011	0.44664	0.1975	0.17575
V153	0.06498	0.74336	0.00802	0.18363
V154	0.19651	0.48403	0.27088	0.04858
V155	0.42881	0.12437	0.28069	0.16613
V156	0.01239	0.12346	0.67933	0.18482
V157	0.21447	0.1141	0.27597	0.39546
V158	0.0227	0.01959	0.06069	0.89702
V159	0.86699	0.06756	0.00014	0.0653
V160	0.56867	0.01862	0.04219	0.37052
V161	0.10931	0.01791	0.02342	0.84936
V162	0.02538	0.18382	0.0441	0.74669
V163	0.05001	0.42079	0.12	0.4092
V164	0.24712	0.2412	0.07312	0.43856
V165	0.00695	0.17838	0.0048	0.80987
V166	0.00298	0.07294	0.05071	0.87337
V167	0.20575	0.01639	0.01107	0.7668
V168	0.23447	0.61213	0.0572	0.0962
V169	0.08758	0.03791	0.02384	0.85067
V170	0.05109	0.04224	0.42714	0.47952
V171	0.08363	0.22868	0.62936	0.05833
V172	0.6666	0.04628	0.27962	0.0075
V173	0.01137	0.09554	0.02701	0.86609
V174	0.0058	0.10335	0.04551	0.84534
V175	0.03211	0.06985	0.73079	0.16724
V176	0.00586	0.83385	0.14615	0.01415
V177	0.01362	0.9611	0	0.02528
V178	0.00483	0.67557	0.00528	0.31432
V179	0.07928	0.03023	0.28672	0.60377
V180	0.02622	0.88877	0.07836	0.00665
V181	0.09891	0.11042	0.53282	0.25785
V182	0.23965	0.17051	0.49666	0.09318
V183	0.14183	0.84292	0.00161	0.01363
V184	0.91234	0.04891	0.03875	0
V185	0.53859	0.44451	0.00703	0.00987
V186	0.07176	0.46348	0.23723	0.22752
V187	0.9294	0.03823	0.0251	0.00727
V188	0.02711	0.15124	0.0044	0.81726
V189	0.73824	0.02636	0.01145	0.22395
V190	0.60624	0.05319	0.33322	0.00735
V191	0.13022	0.19592	0.61527	0.05859
V192	0.22392	0.42943	0.02905	0.3176
V193	0.54136	0.0427	0.21348	0.20247
V194	0.0247	0.93861	0.00164	0.03504
V195	0.01091	0.10657	0.86967	0.01285
V196	0.00787	0.08414	0.01622	0.89178
V197	0.24604	0.03204	0.01509	0.70684
