cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V1	0.65159	0.01119	0.20783	0.1294
V2	0.30665	0.12331	0.09429	0.47576
V3	0.10523	0.70448	0.02261	0.16768
V4	0.87405	0.11496	2e-05	0.01097
V5	0.16717	0.45319	0.30021	0.07943
V6	0.11664	0.84017	0.03034	0.01286
V7	0.24392	0.40927	0.12431	0.2225
V8	0.15908	0.00406	0.82108	0.01577
V9	0.38079	0.28355	0.06117	0.27449
V10	0.02758	0.00431	0.94333	0.02478
V11	0.25416	0.29947	0.4427	0.00367
V12	0.043	0.53731	0.4114	0.00829
V13	0.32423	0.65438	0.00921	0.01218
V14	0.10218	0.88215	0.0114	0.00427
V15	0.18402	0.58471	0.15173	0.07954
V16	0.92582	0.04032	0.02103	0.01283
V17	0.12817	0.83865	0.02033	0.01284
V18	0.61711	0.31174	0.05199	0.01917
V19	0.21298	0.76884	0.01004	0.00814
V20	0.27188	0.50766	0.03245	0.18801
V21	0.16083	0.03414	0.7892	0.01584
V22	0.04604	0.12368	0.36935	0.46092
V23	0.43427	0.02489	0.5375	0.00334
V24	0.94235	0.02882	0.02881	2e-05
V25	0.44923	0.24134	0.16664	0.14279
V26	0.48321	0.39047	0.02769	0.09863
V27	0.23137	0.08492	0.04174	0.64196
V28	0.00091	0.01836	0.98053	2e-04
V29	0.46961	0.01768	0.49797	0.01475
V30	0.16834	0.23338	0.3835	0.21478
V31	0.29547	0.18805	0.36721	0.14927
V32	0.18794	0.0436	0.06485	0.70361
V33	0.07501	0.46644	0.40842	0.05013
V34	0.15955	0.01809	0.80662	0.01575
V35	0.21629	0.66825	0.09871	0.01675
V36	0.01851	0.03029	0.68405	0.26714
V37	0.65555	0.07403	0.12726	0.14315
V38	0.56695	0.0046	0.23155	0.1969
V39	0.23026	0.54204	0.15929	0.06841
V40	0.13919	0.77061	0.09004	0.00016
V41	0.0185	0.76131	0.07104	0.14915
V42	0.36145	0.03104	0.31022	0.29728
V43	0.16925	0.29066	0.52377	0.01633
V44	0.02917	0.05275	0.83539	0.08269
V45	0.1441	0.55362	0.25721	0.04508
V46	0.80108	0.06757	0.12802	0.00334
V47	0.47648	0.16449	0.3344	0.02463
V48	0.81735	0.16414	0.00751	0.011
V49	0.77625	0.18403	4e-05	0.03968
V50	0.1011	0.7933	0.10147	0.00413
V51	0.35395	0.35289	0.27726	0.0159
V52	0.04097	0.07981	0.86285	0.01636
V53	0.74413	0.10518	0.15067	3e-05
V54	0.45554	0.16027	0.37297	0.01123
V55	0.33342	0.13257	0.32424	0.20977
V56	0.1081	0.02596	0.17926	0.68667
V57	0.14082	0.82082	0.03007	0.00829
V58	0.78171	0.01281	0.05766	0.14782
V59	0.48291	0.36946	0.12311	0.02452
