cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V1	0.56379	0.01215	0.17788	0.24619
V2	0.14754	0.09173	0.05598	0.70475
V3	0.05174	0.64678	0.01374	0.28774
V4	0.86751	0.1147	0.00017	0.01761
V5	0.10495	0.47481	0.27467	0.14557
V6	0.07221	0.88927	0.02085	0.01768
V7	0.14372	0.36144	0.08872	0.40611
V8	0.12123	0.02805	0.82468	0.02604
V9	0.24174	0.23186	0.03987	0.48653
V10	0.01773	0.03337	0.90673	0.04217
V11	0.20435	0.34057	0.45027	0.00482
V12	0.02368	0.58298	0.38232	0.01103
V13	0.26288	0.71403	0.0057	0.01739
V14	0.06621	0.92091	0.00769	0.0052
V15	0.11562	0.61568	0.12544	0.14327
V16	0.91426	0.04283	0.01907	0.02384
V17	0.08216	0.88676	0.01336	0.01772
V18	0.5847	0.34141	0.04278	0.03111
V19	0.1547	0.82804	0.00628	0.01098
V20	0.16505	0.47326	0.02115	0.34054
V21	0.12186	0.05102	0.80122	0.0259
V22	0.01569	0.09143	0.22985	0.66303
V23	0.37347	0.0405	0.58069	0.00534
V24	0.9258	0.04038	0.0335	0.00032
V25	0.35709	0.22194	0.13814	0.28283
V26	0.40497	0.38827	0.01893	0.18783
V27	0.09747	0.07155	0.02587	0.80511
V28	0.00382	0.07685	0.91746	0.00188
V29	0.43346	0.02677	0.51541	0.02436
V30	0.09464	0.19749	0.31005	0.39782
V31	0.20241	0.17135	0.32946	0.29678
V32	0.07892	0.04771	0.03884	0.83452
V33	0.04033	0.49165	0.38288	0.08514
V34	0.12128	0.03812	0.81467	0.02593
V35	0.15692	0.73746	0.08122	0.02439
V36	0.00665	0.03808	0.52334	0.43193
V37	0.56706	0.06004	0.09991	0.27299
V38	0.43417	0.0108	0.18486	0.37018
V39	0.16221	0.57836	0.13584	0.12359
V40	0.09547	0.82811	0.07641	0
V41	0.00698	0.7005	0.04669	0.24582
V42	0.22305	0.03043	0.23066	0.51586
V43	0.12496	0.318	0.53187	0.02516
V44	0.01323	0.06023	0.78246	0.14407
V45	0.09249	0.59889	0.23271	0.07591
V46	0.80206	0.07007	0.12314	0.00474
V47	0.45803	0.16823	0.33398	0.03976
V48	0.80949	0.16802	0.0053	0.01719
V49	0.75033	0.18064	0	0.06903
V50	0.06345	0.84923	0.08264	0.00467
V51	0.31318	0.39142	0.27093	0.02446
V52	0.02375	0.09739	0.85243	0.02643
V53	0.72657	0.11982	0.1534	0.00021
V54	0.42694	0.17249	0.38349	0.01708
V55	0.21555	0.11147	0.26882	0.40416
V56	0.04403	0.0359	0.10139	0.81868
V57	0.09268	0.87509	0.02132	0.01091
V58	0.65941	0.01255	0.0433	0.28473
V59	0.44478	0.406	0.10966	0.03955
V60	0.12894	0.13163	0.36717	0.37226
V61	0.82542	0.09509	0.01085	0.06863
V62	0.88415	0.03671	0.06848	0.01066
V63	0.01578	0.8469	0.11979	0.01753
V64	0.00894	0.87666	0.00126	0.11314
V65	0.01592	0.03036	0.1211	0.83261
V66	0.21225	0.71278	0.01913	0.05584
V67	0.14775	0.30865	0.5326	0.011
V68	0.1586	0.14796	0.02695	0.66648
V69	0.02216	0.28522	0.65173	0.04089
V70	0.56728	0.13176	0.19171	0.10926
V71	0.16106	0.05811	0.41892	0.3619
V72	0.60416	0.14078	0.09903	0.15602
V73	0.14867	0.63162	0.14431	0.07539
V74	0.05546	0.20986	0.73369	0.001
V75	0.71727	0.00862	0.19791	0.0762
V76	0.00085	0.17062	0.20521	0.62331
V77	0.03683	0.30729	0.01174	0.64414
V78	0.31628	0.09962	0.20653	0.37758
V79	0.00668	0.08265	0.83693	0.07374
V80	0.34418	0.02007	0.56418	0.07157
V81	0.05331	0.14707	0.79364	0.00598
V82	0.00194	0.07724	0.91277	0.00804
V83	0.13413	0.17418	0.08235	0.60933
V84	0.40836	0.03962	0.17786	0.37416
V85	0.1042	0.29427	0.44582	0.15571
V86	0.04223	0.04861	0.87521	0.03395
V87	0.03202	0.85872	0.05351	0.05576
V88	0.16422	0.05219	0.30281	0.48079
V89	0.01874	0.03048	0.23376	0.71701
V90	0.02529	0.9085	0.05519	0.01102
V91	0.0322	0.75154	0.19166	0.0246
V92	0.45839	0.02086	0.40561	0.11514
V93	0.89746	0.02058	0.00015	0.0818
V94	0.01535	0.46895	0.02473	0.49096
V95	0.26267	0.43364	0.16891	0.13478
V96	0.07164	0.11452	0.03276	0.78108
V97	0.68823	0.09614	0.21101	0.00461
V98	0.68894	0.30001	0.00012	0.01094
V99	0.79848	0.04637	0.15036	0.00479
V100	0.0723	0.0372	0.87082	0.01968
V101	0.02794	0.08283	0.01076	0.87846
V102	0.92639	0.05617	0.00615	0.01129
V103	0.01088	0.06653	0.11146	0.81114
V104	0.02873	0.95744	0.00839	0.00544
V105	0.05546	0.92426	0.01517	0.0051
V106	0.11452	0.5112	0.34165	0.03263
V107	0.1808	0.17581	0.60273	0.04065
V108	0.14711	0.75907	0.09382	0
V109	0.01292	0.13491	0.64392	0.20825
V110	0.05262	0.89257	0.0372	0.01761
V111	0.91148	0.01248	0.07075	0.0053
V112	0.12508	0.05096	0.47731	0.34664
V113	0.19178	0.09596	0.20005	0.51221
V114	0.25159	0.04894	0.09098	0.60849
V115	0.00837	0.75793	0.22872	0.00498
V116	0.13939	0.29401	0.41023	0.15637
V117	0.69161	0.24347	0.03397	0.03095
