cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V1	0.56001	0.01116	0.17825	0.25059
V2	0.14505	0.08827	0.05567	0.711
V3	0.05178	0.63605	0.01407	0.2981
V4	0.87118	0.11073	0	0.01809
V5	0.10519	0.46421	0.2797	0.1509
V6	0.07315	0.88678	0.02155	0.01853
V7	0.14303	0.35034	0.09018	0.41645
V8	0.12122	0.02634	0.82568	0.02676
V9	0.24004	0.2234	0.04029	0.49627
V10	0.01744	0.03159	0.90764	0.04333
V11	0.20606	0.33353	0.45538	0.00503
V12	0.02359	0.57597	0.38892	0.01153
V13	0.26727	0.70871	0.00585	0.01817
V14	0.06714	0.91946	0.00793	0.00547
V15	0.11639	0.60569	0.12891	0.14901
V16	0.91619	0.04045	0.01893	0.02443
V17	0.08331	0.88428	0.01384	0.01856
V18	0.59055	0.33372	0.04352	0.03221
V19	0.15732	0.82467	0.0065	0.01151
V20	0.16532	0.46183	0.02161	0.35124
V21	0.12189	0.04811	0.80335	0.02665
V22	0.01534	0.08771	0.22786	0.66909
V23	0.37474	0.0381	0.58166	0.00551
V24	0.92811	0.03854	0.03301	0.00034
V25	0.35641	0.21354	0.14004	0.29001
V26	0.40775	0.37871	0.01939	0.19415
V27	0.09574	0.06956	0.02529	0.80941
V28	0.00355	0.0754	0.91912	0.00193
V29	0.43413	0.02478	0.51609	0.02499
V30	0.09358	0.18924	0.31131	0.40587
V31	0.20098	0.16391	0.33145	0.30365
V32	0.07748	0.04673	0.03794	0.83785
V33	0.04023	0.48197	0.38937	0.08843
V34	0.12126	0.03576	0.8163	0.02667
V35	0.15925	0.73175	0.08346	0.02553
V36	0.00636	0.03626	0.51983	0.43755
V37	0.56405	0.05698	0.10064	0.27833
V38	0.42963	0.01016	0.18462	0.37558
V39	0.16358	0.56854	0.13938	0.12851
V40	0.09692	0.82507	0.07802	0
V41	0.00677	0.68998	0.04808	0.25517
V42	0.21963	0.02894	0.22956	0.52188
V43	0.12551	0.31038	0.53801	0.0261
V44	0.0129	0.05694	0.78261	0.14755
V45	0.09315	0.58982	0.23792	0.07912
V46	0.80497	0.06691	0.12323	0.00489
V47	0.46037	0.16185	0.33676	0.04102
V48	0.81425	0.16293	0.00512	0.0177
V49	0.75418	0.17484	0	0.07098
V50	0.06421	0.84624	0.08461	0.00493
V51	0.31634	0.38319	0.27505	0.02542
V52	0.02349	0.09335	0.85591	0.02725
V53	0.73025	0.11574	0.15377	0.00024
V54	0.42956	0.16637	0.38643	0.01765
V55	0.2132	0.10618	0.26928	0.41133
V56	0.04318	0.03526	0.09958	0.82198
V57	0.09406	0.87252	0.02197	0.01145
V58	0.65518	0.01176	0.04345	0.28961
V59	0.44965	0.39743	0.11188	0.04104
V60	0.12745	0.12547	0.36772	0.37936
V61	0.82778	0.09103	0.01081	0.07039
V62	0.88623	0.03446	0.06836	0.01095
V63	0.01565	0.84323	0.12275	0.01837
V64	0.00875	0.87192	0.00116	0.11817
V65	0.01574	0.0299	0.11857	0.83578
V66	0.21552	0.70638	0.01979	0.05831
V67	0.14862	0.30155	0.53841	0.01142
V68	0.15642	0.14215	0.02683	0.6746
V69	0.02193	0.27782	0.65793	0.04232
V70	0.56827	0.12601	0.19347	0.11224
V71	0.15896	0.05487	0.4183	0.36787
V72	0.60463	0.13492	0.1004	0.16006
V73	0.15026	0.62297	0.14815	0.07862
V74	0.05552	0.20487	0.73855	0.00105
V75	0.71637	0.00762	0.19813	0.07788
V76	0.00074	0.16381	0.20427	0.63118
V77	0.0363	0.29713	0.01157	0.655
V78	0.3134	0.09487	0.20723	0.38451
V79	0.00639	0.07883	0.83897	0.07581
V80	0.34369	0.01845	0.56453	0.07333
V81	0.05325	0.14246	0.7981	0.00619
V82	0.00167	0.07472	0.91534	0.00827
V83	0.1323	0.16704	0.08258	0.61808
V84	0.4043	0.03749	0.17813	0.38008
V85	0.10389	0.2848	0.45077	0.16053
V86	0.04197	0.04595	0.87715	0.03494
V87	0.03213	0.85423	0.05529	0.05836
V88	0.16165	0.04959	0.30171	0.48704
V89	0.01841	0.02969	0.23051	0.7214
V90	0.02533	0.90642	0.05668	0.01157
V91	0.03226	0.74594	0.19606	0.02574
V92	0.45683	0.01917	0.40629	0.11771
V93	0.89719	0.01925	0	0.08356
V94	0.01513	0.45645	0.02503	0.50339
V95	0.26449	0.42334	0.17256	0.13961
V96	0.07039	0.11055	0.03229	0.78677
V97	0.6915	0.09215	0.21159	0.00476
V98	0.695	0.29369	0	0.01131
V99	0.80082	0.04383	0.15041	0.00494
V100	0.07222	0.03507	0.87247	0.02024
V101	0.02777	0.08206	0.01028	0.87989
V102	0.92901	0.05358	0.00582	0.01159
V103	0.01071	0.06476	0.10962	0.81491
V104	0.02888	0.95676	0.00864	0.00572
V105	0.05614	0.92288	0.01561	0.00537
V106	0.11541	0.50298	0.34761	0.034
V107	0.1813	0.16929	0.60742	0.04198
V108	0.1494	0.75485	0.09573	2e-05
V109	0.01259	0.12896	0.64519	0.21326
V110	0.05315	0.89006	0.03833	0.01846
V111	0.91296	0.01124	0.07036	0.00544
V112	0.12338	0.04805	0.47623	0.35234
V113	0.18911	0.09148	0.19996	0.51946
V114	0.24766	0.04698	0.09069	0.61467
V115	0.00814	0.75358	0.23303	0.00525
V116	0.13925	0.28457	0.41494	0.16124
V117	0.69706	0.23658	0.03441	0.03195
V118	0.16371	0.58996	0.03774	0.20859
V119	0.11225	0.08345	0.05762	0.74667
V120	0.0727	0.06258	0.85176	0.01296
V121	0.62544	0.1069	0.09963	0.16803
V122	0.95762	0.01701	0.01353	0.01183
V123	0.00686	0.52261	0.05045	0.42008
V124	0.67479	0.27774	0	0.04747
V125	0.39702	0.4015	0.18384	0.01763
V126	0.03681	0.15347	0.0588	0.75092
V127	0.16164	0.04273	0.28945	0.50618
V128	0.03191	0.03414	0.12991	0.80404
V129	0.59851	0.20878	0.16814	0.02457
V130	0.00779	0.64882	0.33804	0.00535
V131	0.02526	0.90763	0.00111	0.066
V132	0.94009	0.01443	0.02756	0.01791
V133	0.91562	0.0212	0.05201	0.01117
V134	0.10685	0.38503	0.14474	0.36338
V135	0.07593	0.03127	0.20452	0.68828
V136	0.24997	0.39953	0.01332	0.33717
V137	0.66132	0.02965	0.25413	0.0549
V138	0.21643	0.39062	0.19856	0.19439
V139	0.36796	0.18087	0.2178	0.23338
V140	0.02947	0.10402	0.06288	0.80363
V141	0.05842	0.12699	0.59692	0.21767
V142	0.77838	0.01661	0.20454	0.00047
V143	0.45442	0.24283	0.07423	0.22852
V144	0.16666	0.1385	0.19019	0.50464
V145	0.00187	0.761	0.23175	0.00538
V146	0.05971	0.04017	0.04203	0.85809
V147	0.92478	0.02496	0.01885	0.03141
V148	0.12118	0.05757	0.62999	0.19127
V149	0.26406	0.50501	0.22621	0.00472
V150	0.08013	0.21032	0.64059	0.06896
V151	0.20889	0.63904	0.03667	0.11539
V152	0.23737	0.43493	0.23889	0.08881
V153	0.10341	0.77252	0.02033	0.10375
V154	0.2442	0.44224	0.28791	0.02564
V155	0.48958	0.11954	0.30597	0.08491
V156	0.02971	0.11304	0.74427	0.11299
V157	0.31102	0.1314	0.34741	0.21016
V158	0.02789	0.03111	0.04883	0.89217
V159	0.89767	0.06337	0	0.03896
V160	0.70974	0.01109	0.06772	0.21145
V161	0.21577	0.02617	0.03895	0.71911
V162	0.06347	0.298	0.09253	0.546
V163	0.09431	0.49108	0.1877	0.22692
V164	0.35623	0.29219	0.11795	0.23363
V165	0.01042	0.28588	0.00575	0.69795
V166	0.00934	0.1145	0.08366	0.7925
V167	0.36153	0.01709	0.01179	0.60959
V168	0.29156	0.57449	0.08365	0.05031
V169	0.19147	0.0616	0.04568	0.70125
V170	0.09942	0.02421	0.56744	0.30894
V171	0.12441	0.21321	0.62823	0.03415
V172	0.70881	0.01337	0.27258	0.00523
V173	0.0275	0.15716	0.05026	0.76508
V174	0.01668	0.17165	0.08817	0.7235
V175	0.05806	0.02381	0.80992	0.10821
V176	0.00839	0.81437	0.17202	0.00522
V177	0.0121	0.97365	0.00152	0.01274
V178	0.00729	0.78859	0.00729	0.19683
V179	0.15608	0.01847	0.41928	0.40617
V180	0.02949	0.89085	0.07965	1e-05
V181	0.15799	0.10681	0.59043	0.14476
V182	0.30144	0.15568	0.49257	0.05032
V183	0.17979	0.80812	0.00691	0.00517
V184	0.9669	0.0185	0.01407	0.00052
V185	0.57335	0.40898	0.0128	0.00486
V186	0.11652	0.4745	0.28971	0.11927
V187	0.94685	0.01797	0.02958	0.0056
V188	0.0578	0.24743	0.00519	0.68958
V189	0.833	0.02195	0.01803	0.12702
V190	0.65135	0.01925	0.32422	0.00518
V191	0.18162	0.18044	0.60413	0.03381
V192	0.31217	0.46492	0.05516	0.16775
V193	0.61515	0.02864	0.24874	0.10747
V194	0.03563	0.93812	0.00727	0.01897
V195	0.01275	0.04947	0.92928	0.00849
V196	0.01489	0.1099	0.02144	0.85378
V197	0.42549	0.04926	0.03052	0.49473
V198	0.06086	0.49186	0.39601	0.05126
V199	0.16307	0.03251	0.19915	0.60527
V200	0.1281	0.57918	0.02107	0.27165
V201	0.09373	0.5592	0.2077	0.13937
