cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V1	0.53525	0.00801	0.18674	0.27
V2	0.13291	0.07364	0.05894	0.73451
V3	0.04584	0.63626	0.01592	0.30198
V4	0.85714	0.12291	0	0.01995
V5	0.09437	0.47495	0.27617	0.15452
V6	0.06531	0.8923	0.02298	0.01941
V7	0.1291	0.35321	0.09167	0.42602
V8	0.11267	0.02658	0.83281	0.02795
V9	0.21967	0.22385	0.04272	0.51376
V10	0.0163	0.031	0.90789	0.04481
V11	0.18991	0.34725	0.45754	0.00531
V12	0.02068	0.58327	0.38398	0.01207
V13	0.24642	0.72724	0.00703	0.01931
V14	0.06029	0.92406	0.00972	0.00593
V15	0.10406	0.6154	0.12841	0.15213
V16	0.90629	0.04639	0.02018	0.02713
V17	0.07466	0.89053	0.01536	0.01945
V18	0.56113	0.35821	0.04578	0.03487
V19	0.14365	0.83623	0.00788	0.01224
V20	0.14933	0.46805	0.02341	0.35921
V21	0.11281	0.05043	0.80891	0.02785
V22	0.01397	0.07378	0.22755	0.68471
V23	0.35494	0.04124	0.59808	0.00574
V24	0.92145	0.04329	0.03509	0.00017
V25	0.32973	0.22368	0.14334	0.30325
V26	0.37787	0.39716	0.02114	0.20383
V27	0.08787	0.04729	0.02902	0.83582
V28	0.00312	0.07339	0.92186	0.00164
V29	0.41337	0.02715	0.53253	0.02696
V30	0.08488	0.19003	0.30961	0.41548
V31	0.18416	0.16923	0.33256	0.31405
V32	0.07129	0.022	0.04229	0.86442
V33	0.03576	0.4911	0.3826	0.09054
V34	0.11232	0.03707	0.82275	0.02785
V35	0.14417	0.74488	0.08419	0.02677
V36	0.00582	0.02762	0.51618	0.45038
V37	0.53717	0.05822	0.10595	0.29865
V38	0.40503	0.0035	0.19159	0.39988
V39	0.14733	0.58139	0.13917	0.13211
V40	0.08784	0.83268	0.07933	0.00015
V41	0.00553	0.68763	0.04936	0.25749
V42	0.20275	0.01967	0.23348	0.54411
V43	0.11452	0.32236	0.5358	0.02732
V44	0.01179	0.05708	0.77856	0.15257
V45	0.08326	0.60058	0.23492	0.08124
V46	0.78877	0.07542	0.13053	0.00529
V47	0.43435	0.17631	0.34527	0.04407
V48	0.79533	0.1796	0.00558	0.01949
V49	0.73037	0.19194	0	0.07769
V50	0.05727	0.85194	0.08541	0.00537
V51	0.29263	0.40238	0.27793	0.02706
V52	0.02144	0.09679	0.85362	0.02815
V53	0.7105	0.12739	0.16198	0.00013
V54	0.4051	0.18017	0.39573	0.019
V55	0.19584	0.10534	0.27141	0.42741
V56	0.03977	0.01152	0.1033	0.8454
V57	0.08463	0.87984	0.02339	0.01213
V58	0.63143	0.00745	0.04694	0.31418
V59	0.42043	0.42099	0.1148	0.04377
V60	0.11628	0.12574	0.36696	0.39102
V61	0.80883	0.10182	0.01184	0.07751
V62	0.87526	0.03984	0.07282	0.01208
V63	0.01315	0.84535	0.12231	0.0192
V64	0.00703	0.8697	0.00279	0.12049
V65	0.0146	0.00495	0.12256	0.85789
