B_cells	NK_cells	T_cells_CD4.	Monocytes
V1	0.56898	0	0.20091	0.2301
V2	0.21999	0.05957	0.09425	0.62619
V3	0.10111	0.58613	0.04929	0.26347
V4	0.86121	0.08267	0.01676	0.03936
V5	0.14256	0.42829	0.30659	0.12256
V6	0.12347	0.78286	0.08117	0.01251
V7	0.19265	0.33007	0.12274	0.35454
V8	0.16286	0	0.8123	0.02484
V9	0.29562	0.20918	0.06454	0.43066
V10	0.056	0	0.89909	0.04491
V11	0.23076	0.30567	0.46357	0
V12	0.05904	0.52032	0.42065	0
V13	0.30968	0.63309	0.05191	0.00531
V14	0.11654	0.82049	0.06297	0
V15	0.15937	0.54279	0.17484	0.123
V16	0.85787	0.01182	0.07469	0.05562
V17	0.13438	0.78724	0.0656	0.01278
V18	0.58773	0.29393	0.09086	0.02748
V19	0.20517	0.73851	0.05604	0.00028
V20	0.21433	0.42999	0.04964	0.30604
V21	0.16196	0.04914	0.76745	0.02145
V22	0.05978	0.06725	0.2721	0.60087
V23	0.3931	0.02368	0.58322	0
V24	0.89245	0.00067	0.10688	0
V25	0.38193	0.20416	0.16598	0.24793
V26	0.4333	0.34319	0.04955	0.17396
V27	0.18424	0.03414	0.05243	0.72919
V28	0.00559	0.05808	0.93633	0
V29	0.44977	0.00564	0.52438	0.02021
V30	0.13943	0.19192	0.32678	0.34187
V31	0.24009	0.16383	0.34118	0.2549
V32	0.16649	0	0.09004	0.74347
V33	0.07625	0.45046	0.4084	0.06489
V34	0.16212	0.02868	0.78548	0.02373
V35	0.20339	0.64256	0.14522	0.00883
V36	0.03958	0.02138	0.53818	0.40086
V37	0.57242	0.03022	0.14208	0.25528
V38	0.46433	0	0.2002	0.33547
V39	0.2045	0.50859	0.18232	0.10459
V40	0.13379	0.72372	0.14249	0
V41	0.03707	0.63567	0.10478	0.22249
V42	0.27944	0	0.26107	0.45949
V43	0.16301	0.30158	0.53487	0.00054
V44	0.04136	0.06829	0.76182	0.12853
V45	0.13507	0.52925	0.27678	0.05891
V46	0.77957	0.03798	0.18245	0
V47	0.46179	0.15436	0.35522	0.02863
V48	0.79988	0.1268	0.04477	0.02856
V49	0.75699	0.15532	0.00244	0.08525
V50	0.10668	0.73671	0.15661	0
V51	0.33972	0.35072	0.30956	0
V52	0.05666	0.10468	0.81238	0.02628
V53	0.71893	0.07969	0.20138	0
V54	0.43776	0.15755	0.40468	0
V55	0.25922	0.09887	0.29084	0.35107
V56	0.11959	0	0.15423	0.72619
V57	0.14454	0.7719	0.08356	0
V58	0.65859	0	0.07212	0.26929
V59	0.45907	0.35586	0.15667	0.0284
V60	0.17357	0.12807	0.37729	0.32107
V61	0.79934	0.06626	0.04573	0.08867
V62	0.83686	0.00267	0.13342	0.02705
V63	0.05435	0.74284	0.19756	0.00525
V64	0.05326	0.82403	0.01937	0.10334
V65	0.07195	0	0.17084	0.75721
V66	0.25993	0.62812	0.06541	0.04654
V67	0.17985	0.28558	0.53457	0
V68	0.23069	0.12128	0.04944	0.59859
V69	0.05421	0.28171	0.64049	0.02359
V70	0.55211	0.11527	0.22616	0.10646
V71	0.20821	0.04373	0.42793	0.32014
V72	0.59151	0.12072	0.13675	0.15102
V73	0.19132	0.55182	0.19707	0.05978
V74	0.08266	0.19282	0.72452	0
V75	0.69255	0	0.22587	0.08158
V76	0.01701	0.15571	0.2523	0.57499
V77	0.09481	0.27274	0.03134	0.60111
V78	0.35191	0.08294	0.23409	0.33105
V79	0.03066	0.0941	0.80793	0.06731
V80	0.37333	0	0.56122	0.06546
V81	0.08769	0.14385	0.76846	0
V82	0.00957	0.07746	0.9018	0.01117
V83	0.19732	0.15152	0.11832	0.53284
V84	0.44247	0.00601	0.2121	0.33943
V85	0.13999	0.28324	0.44552	0.13125
V86	0.08068	0.04834	0.83414	0.03684
V87	0.0753	0.7529	0.12486	0.04694
V88	0.21905	0.02721	0.32727	0.42647
V89	0.07443	0	0.2694	0.65617
V90	0.07179	0.79066	0.13601	0.00154
V91	0.0723	0.66228	0.25763	0.0078
V92	0.47307	0	0.41583	0.1111
V93	0.89008	0	0	0.10992
V94	0.05931	0.42438	0.06702	0.44929
V95	0.29301	0.38652	0.20357	0.11689
V96	0.15283	0.08196	0.06056	0.70466
V97	0.67495	0.06893	0.25611	0
V98	0.71874	0.25635	0.00994	0.01496
V99	0.77686	0.01347	0.207	0.00268
V100	0.11224	0.02371	0.84103	0.02301
V101	0.11675	0.0546	0	0.82865
V102	0.88389	0.02636	0.04955	0.04021
V103	0.06149	0.02213	0.17165	0.74473
V104	0.08358	0.84783	0.06603	0.00256
V105	0.10606	0.81643	0.07752	0
V106	0.15387	0.46089	0.37615	0.00909
V107	0.21546	0.17648	0.58343	0.02463
V108	0.18377	0.66143	0.15481	0
V109	0.03941	0.1458	0.63084	0.18395
V110	0.102	0.77758	0.10885	0.01156
V111	0.8559	0	0.12852	0.01558
V112	0.17233	0.03776	0.48042	0.3095
V113	0.24463	0.07623	0.23361	0.44554
V114	0.31306	0.00607	0.13727	0.5436
V115	0.04006	0.66919	0.29076	0
V116	0.17461	0.2799	0.41341	0.13208
V117	0.68097	0.2056	0.07959	0.03383
V118	0.20967	0.53508	0.07476	0.18049
V119	0.18995	0.05139	0.10039	0.65826
V120	0.11278	0.06742	0.81441	0.00539
V121	0.61186	0.09068	0.13786	0.1596
V122	0.87649	0	0.07555	0.04797
V123	0.04009	0.48959	0.09882	0.3715
V124	0.68749	0.25013	0.00993	0.05245
V125	0.41327	0.36113	0.2256	0
V126	0.10157	0.12813	0.0999	0.6704
V127	0.22066	0.01536	0.31829	0.44569
V128	0.10067	0	0.17906	0.72028
V129	0.58369	0.18966	0.21312	0.01353
V130	0.03802	0.57994	0.38204	0
V131	0.07257	0.84011	0.02985	0.05747
V132	0.86168	0	0.08906	0.04926
V133	0.85193	0	0.11595	0.03212
V134	0.1539	0.36519	0.17576	0.30515
V135	0.14326	0	0.24385	0.61289
V136	0.29749	0.36953	0.03713	0.29586
V137	0.64553	0.00418	0.28983	0.06046
V138	0.24883	0.36316	0.22579	0.16223
V139	0.38589	0.17198	0.24144	0.2007
V140	0.09554	0.07126	0.11492	0.71829
V141	0.09725	0.14031	0.5776	0.18484
V142	0.76069	0	0.23931	0
V143	0.46803	0.22601	0.10308	0.20287
V144	0.22033	0.13023	0.22214	0.4273
V145	0.01114	0.6914	0.29746	0
V146	0.14888	0	0.09917	0.75195
V147	0.86169	0	0.07499	0.06331
V148	0.16506	0.05825	0.60902	0.16767
V149	0.28768	0.44612	0.2662	0
V150	0.11908	0.21979	0.6092	0.05193
