B_cells	NK_cells	T_cells_CD4.	Monocytes
V1	1	0	0	0
V2	0.63142	0	0	0.36858
V3	0.24538	0.75462	0	0
V4	1	0	0	0
V5	0.46939	0.53046	0.00016	0
V6	0.06688	0.93312	0	0
V7	0.48035	0.49348	0	0.02617
V8	0.53407	0	0.46593	0
V9	0.57438	0.33169	0	0.09393
V10	0.46294	0	0.53706	0
V11	0.54398	0.19346	0.26256	0
V12	0.29234	0.591	0.11667	0
V13	0.31899	0.68101	0	0
V14	0.00972	0.99028	0	0
V15	0.36765	0.63235	0	0
V16	1	0	0	0
V17	0.07425	0.92575	0	0
V18	0.88351	0.11649	0	0
V19	0.16979	0.83021	0	0
V20	0.42361	0.57639	0	0
V21	0.52838	0	0.47162	0
V22	0.60102	0.12236	0	0.27662
V23	0.77656	0	0.22344	0
V24	1	0	0	0
V25	0.7299	0.2701	0	0
V26	0.68094	0.31906	0	0
V27	0.42838	0	0	0.57162
V28	0.40666	0	0.59334	0
V29	0.82925	0	0.17075	0
V30	0.5922	0.39373	0.01407	0
V31	0.61849	0.25134	0.13017	0
V32	0.36029	0	0	0.63971
V33	0.39931	0.50751	0.09318	0
V34	0.54271	0	0.45729	0
V35	0.29559	0.70441	0	0
V36	0.59545	0.16618	0.23837	0
V37	0.99997	0	3e-05	0
V38	0.99096	0	0.00904	0
V39	0.43008	0.56992	0	0
V40	0.15489	0.84511	0	0
V41	0.19214	0.80786	0	0
V42	0.81698	0.0869	0.02036	0.07577
V43	0.49923	0.21377	0.287	0
V44	0.45348	0	0.54652	0
V45	0.38627	0.61373	0	0
V46	1	0	0	0
V47	0.83051	0	0.16949	0
V48	1	0	0	0
V49	1	0	0	0
V50	0.12874	0.87126	0	0
V51	0.63812	0.26123	0.10065	0
V52	0.44905	0	0.55095	0
V53	1	0	0	0
V54	0.79586	0	0.20414	0
V55	0.72731	0.20983	0.06287	0
V56	0.41775	0	0	0.58225
V57	0.09933	0.90067	0	0
V58	1	0	0	0
V59	0.74806	0.25194	0	0
V60	0.63001	0.25746	0.11253	0
V61	1	0	0	0
V62	1	0	0	0
V63	0.10485	0.89515	0	0
V64	0.00704	0.99296	0	0
V65	0.35068	0	0	0.64932
V66	0.31256	0.68744	0	0
V67	0.51038	0.1783	0.31132	0
V68	0.59895	0.08828	0	0.31277
V69	0.41699	0.19557	0.38744	0
V70	0.93508	0	0.06492	0
V71	0.69034	0.12095	0.18871	0
V72	1	0	0	0
V73	0.37413	0.62587	0	0
V74	0.46445	0.01308	0.52246	0
V75	1	0	0	0
V76	0.52967	0.24143	0	0.2289
V77	0.3789	0.29751	0	0.32359
V78	0.7729	0.17833	0.04877	0
V79	0.41529	0	0.58471	0
V80	0.77365	0	0.22635	0
V81	0.46552	0	0.53448	0
V82	0.42864	0	0.57136	0
V83	0.57613	0.20551	0	0.21836
V84	0.91598	0.02429	0.05974	0
V85	0.50504	0.34381	0.15116	0
V86	0.45566	0	0.54434	0
V87	0.08552	0.91448	0	0
V88	0.74973	0.16055	0.07663	0.0131
V89	0.63068	0	0	0.36932
V90	0.01834	0.98166	0	0
V91	0.20549	0.79451	0	0
V92	0.86919	0	0.13081	0
V93	1	0	0	0
V94	0.25708	0.57804	0	0.16487
V95	0.5786	0.4214	0	0
V96	0.47389	0	0	0.52611
V97	0.98976	0	0.01024	0
V98	1	0	0	0
V99	1	0	0	0
V100	0.50035	0	0.49965	0
V101	0.09581	0	0	0.90419
V102	1	0	0	0
V103	0.42857	0	0	0.57143
V104	0	1	0	0
V105	0.00717	0.99283	0	0
V106	0.4163	0.49191	0.09178	0
V107	0.58871	0.02542	0.38587	0
V108	0.2565	0.7435	0	0
V109	0.46334	0.18629	0.35038	0
V110	0.05253	0.94747	0	0
V111	1	0	0	0
V112	0.64358	0.10547	0.25095	0
V113	0.71574	0.21441	0	0.06985
V114	0.76438	0	0	0.23562
V115	0.17549	0.82451	0	0
V116	0.53772	0.32845	0.13383	0
V117	1	0	0	0
V118	0.37916	0.62084	0	0
V119	0.58541	0	0	0.41459
V120	0.50645	0	0.49355	0
V121	1	0	0	0
V122	1	0	0	0
V123	0.255	0.69431	0	0.0507
V124	0.98644	0.01356	0	0
V125	0.69193	0.27448	0.03358	0
V126	0.51196	0.0586	0	0.42944
V127	0.75356	0.14405	0.06161	0.04079
V128	0.47401	0	0	0.52599
V129	0.91555	0	0.08445	0
V130	0.25133	0.69595	0.05271	0
V131	0	1	0	0
V132	1	0	0	0
V133	1	0	0	0
V134	0.4726	0.5274	0	0
V135	0.69035	0	0	0.30965
V136	0.5084	0.4916	0	0
V137	1	0	0	0
V138	0.56994	0.43006	0	0
V139	0.75433	0.17101	0.07466	0
V140	0.45471	0	0	0.54529
V141	0.49447	0.1823	0.32323	0
V142	1	0	0	0
V143	0.78189	0.21811	0	0
V144	0.66704	0.28123	0	0.05174
V145	0.16812	0.83188	0	0
V146	0.28289	0	0	0.71711
V147	1	0	0	0
V148	0.55668	0.01017	0.43315	0
V149	0.55812	0.41748	0.0244	0
V150	0.4801	0.1349	0.38501	0
V151	0.35228	0.64772	0	0
V152	0.5722	0.41823	0.00957	0
V153	0.19623	0.80377	0	0
V154	0.557	0.37673	0.06627	0
V155	0.86474	0	0.13526	0
V156	0.44826	0.04088	0.51086	0
V157	0.72907	0.11249	0.15843	0
V158	0.10591	0	0	0.89409
V159	1	0	0	0
V160	1	0	0	0
V161	0.63693	0	0	0.36307
V162	0.41849	0.44473	0	0.13678
V163	0.43344	0.56656	0	0
V164	0.69083	0.30917	0	0
V165	0.33354	0.25307	0	0.41339
V166	0.46126	0	0	0.53874
V167	0.74963	0	0	0.25037
V168	0.50041	0.49959	0	0
V169	0.65925	0	0	0.34075
V170	0.6188	0.01991	0.36129	0
V171	0.52437	0.09038	0.38525	0
V172	1	0	0	0
V173	0.47137	0.02836	0	0.50027
V174	0.48861	0.13225	0	0.37915
V175	0.4896	0	0.5104	0
V176	0.1138	0.8862	0	0
V177	0	1	0	0
V178	0.06541	0.93459	0	0
V179	0.7418	0.03657	0.22163	0
V180	0.02893	0.97107	0	0
V181	0.58243	0.06448	0.35309	0
V182	0.70071	0.00064	0.29865	0
V183	0.19567	0.80433	0	0
V184	1	0	0	0
V185	0.83511	0.16489	0	0
V186	0.4661	0.51638	0.01753	0
V187	1	0	0	0
V188	0.40274	0.21766	0	0.3796
V189	1	0	0	0
V190	0.97846	0	0.02154	0
V191	0.58567	0.03353	0.3808	0
V192	0.54864	0.45136	0	0
V193	0.98691	0	0.01309	0
V194	0	1	0	0
V195	0.4191	0	0.5809	0
V196	0.24056	0	0	0.75944
V197	0.873	0	0	0.127
V198	0.38284	0.49698	0.12017	0
V199	0.75514	0.03273	0	0.21214
V200	0.35262	0.64738	0	0
V201	0.40531	0.59469	0	0
V202	0.4727	0	0.5273	0
V203	0.48406	0.34478	0.17116	0
V204	0.17247	0.71971	0	0.10782
V205	0.46264	0	0.53736	0
V206	0.47279	0	0.52721	0
V207	0.56208	0.22106	0	0.21686
V208	0.65365	0	0.34635	0
V209	0.55984	0.44016	0	0
V210	0.19436	0.80564	0	0
V211	0.87006	0	0	0.12994
V212	0.87104	0	0.12896	0
V213	1	0	0	0
V214	0.76889	0.20357	0.02754	0
V215	0.73011	0.05415	0	0.21574
V216	0.17801	0	0	0.82199
V217	0.40002	0.59998	0	0
V218	0.43589	0.56411	0	0
V219	0.28404	0.71596	0	0
V220	0.04465	0.95535	0	0
V221	1	0	0	0
V222	0.75001	0.03972	0.21027	0
V223	0.42507	0	0.57493	0
V224	1	0	0	0
V225	0.06111	0.93889	0	0
V226	0.69642	0	0.30358	0
V227	1	0	0	0
V228	1	0	0	0
V229	0.46037	0	0.53963	0
V230	0.15777	0	0	0.84223
V231	0.41324	0.41381	0	0.17295
V232	0.1965	0.8035	0	0
V233	0.95751	0	0.04249	0
V234	0.00581	0.99419	0	0
V235	0.75685	0	0.24315	0
V236	0.44791	0	0.55209	0
V237	0.5288	0	0	0.4712
V238	0.42742	0.56354	0.00904	0
V239	0.34207	0.52021	0	0.13773
V240	0.87191	0	0.12809	0
V241	0.442	0	0.558	0
V242	0.23261	0.76739	0	0
V243	0.6513	0	0.3487	0
V244	0.63983	0	0.36017	0
V245	0.94009	0.05991	0	0
V246	0.47255	0	0.52745	0
V247	0.57476	0	0.42524	0
V248	0.29852	0	0	0.70148
V249	0.42808	0	0.57192	0
V250	1	0	0	0
V251	1	0	0	0
V252	0.0829	0.9171	0	0
V253	0.85788	0.08351	0.0586	0
V254	0	1	0	0
V255	0	1	0	0
V256	0.5624	0.09055	0.34704	0
V257	0.84873	0.01875	0.13252	0
V258	0.54606	0.22602	0.22793	0
V259	0.42468	0.17562	0.39969	0
V260	0.39771	0.12229	0.48	0
V261	1	0	0	0
V262	0.44841	0	0	0.55159
V263	0	1	0	0
V264	0.69095	0.04677	0.26228	0
V265	0.51533	0	0	0.48467
V266	0.95251	0.04749	0	0
V267	0.52959	0.38199	0	0.08842
V268	0.95261	0.01788	0.00753	0.02197
V269	0.2758	0.57923	0.14498	0
V270	1	0	0	0
V271	1	0	0	0
V272	0.105	0.895	0	0
V273	0.34145	0	0	0.65855
V274	1	0	0	0
V275	0.4048	0	0.5952	0
V276	0.79394	0.20606	0	0
V277	0.51676	0.3299	0	0.15334
V278	0.6887	0.15875	0	0.15254
V279	1	0	0	0
V280	0.10591	0	0	0.89409
V281	1	0	0	0
V282	0.46215	0	0.53785	0
V283	0.40525	0.59475	0	0
V284	0.01362	0.98638	0	0
V285	0.4775	0	0.5225	0
V286	0.4834	0.5166	0	0
V287	0.09439	0.90561	0	0
V288	0.47034	0.37586	0.15379	0
V289	0.6493	0.0663	0.2844	0
V290	1	0	0	0
V291	0.83879	0	0.16121	0
V292	1	0	0	0
V293	0.72387	0	0.27613	0
V294	0.34984	0.47059	0	0.17957
V295	0.52807	0.29645	0	0.17548
V296	0.57815	0	0.42185	0
V297	0.44539	0	0	0.55461
V298	0.70155	0	0.29845	0
V299	0.43163	0.2931	0	0.27527
V300	0.64815	0.01615	0	0.3357
V301	0.55036	0	0.44964	0
V302	0.95312	0.04688	0	0
V303	0.2539	0.63744	0.10866	0
V304	0.51304	0	0.48696	0
V305	0.54667	0.20517	0.24816	0
V306	1	0	0	0
V307	0	1	0	0
V308	0.62734	0.25678	0.11588	0
V309	0.62961	0.37039	0	0
V310	0.48464	0.49009	0	0.02527
V311	0.73732	0.26268	0	0
V312	0.24074	0.75926	0	0
V313	0.32649	0	0	0.67351
V314	0.31807	0.67332	0	0.00861
V315	0.32149	0.67851	0	0
V316	0.73577	0.03146	0.23277	0
V317	0.24133	0.75867	0	0
V318	0.22588	0.71227	0	0.06185
V319	0.48525	0	0.51475	0
V320	0.49295	0.0597	0.44736	0
V321	0.94388	0.05612	0	0
V322	0.51839	0.45918	0	0.02243
V323	0.485	0	0	0.515
V324	0.98462	0	0.01538	0
V325	0.45092	0.54908	0	0
V326	0.26767	0.73233	0	0
V327	0.4961	0.14776	0	0.35613
V328	0.5044	0	0.4956	0
V329	0.68385	0.22593	0	0.09022
V330	0.8434	0	0.1566	0
V331	0.7692	0.09883	0	0.13197
V332	0.6052	0	0	0.3948
V333	0.84318	0	0.15682	0
V334	0.84944	0	0.15056	0
V335	0.41069	0.35249	0.23682	0
V336	0.2825	0.7175	0	0
V337	0.59869	0.28465	0.11666	0
V338	0	1	0	0
V339	0.53192	0	0.46808	0
V340	0.47849	0.25239	0.26913	0
V341	0.36309	0	0	0.63691
V342	0.67764	0	0.32236	0
V343	1	0	0	0
V344	0.97452	0	0.02548	0
V345	0.41441	0	0.58559	0
V346	0.73618	0.17273	0.09109	0
V347	0.52523	0	0	0.47477
V348	0.28734	0.71266	0	0
V349	0.74541	0.01017	0.24441	0
V350	0.15167	0.84833	0	0
V351	0.68686	0.13413	0.11474	0.06427
V352	0.46407	0	0.53593	0
V353	1	0	0	0
V354	0.26727	0.73273	0	0
V355	0.69298	0	0.30702	0
V356	0.46107	0	0	0.53893
V357	0.50911	0.44105	0.04984	0
V358	0.99335	0.00665	0	0
V359	1	0	0	0
V360	0.81044	0.18956	0	0
V361	0.32591	0.37468	0.29942	0
V362	0	1	0	0
V363	0.60193	0.11586	0.28221	0
V364	0.55214	0	0.44786	0
V365	0.6819	0	0	0.3181
V366	0.25117	0.74883	0	0
V367	0.9608	0.0392	0	0
V368	0.22661	0.77339	0	0
V369	0.35319	0.31298	0.33382	0
V370	0.67147	0.10961	0.21892	0
V371	0.2738	0.7262	0	0
V372	0.71403	0.01707	0	0.2689
V373	0.54681	0.2251	0.2281	0
V374	1	0	0	0
V375	0.59408	0	0	0.40592
V376	0.47836	0	0	0.52164
V377	1	0	0	0
V378	0.67631	0.13303	0.12288	0.06778
V379	0.68255	0.23901	0	0.07844
V380	0.72876	0.14038	0	0.13085
V381	1	0	0	0
V382	0.49902	0	0.50098	0
V383	1	0	0	0
V384	0.99567	0	0.00433	0
V385	1	0	0	0
V386	0.86872	0.01584	0	0.11543
V387	0.95256	0	0.04744	0
V388	0.71169	0.27522	0.0131	0
V389	0.59643	0.40357	0	0
V390	0.65461	0.07068	0.27471	0
V391	0.81475	0.09862	0	0.08663
V392	0.78824	0.15108	0.06067	0
V393	0.65472	0.15691	0.18838	0
V394	0.51803	0.33985	0	0.14212
V395	0.58129	0.41124	0.00747	0
V396	0	1	0	0
V397	1	0	0	0
V398	0.86047	0.13935	0.00018	0
V399	0.45055	0.54945	0	0
V400	0.24465	0.75257	0	0.00278
V401	0.44929	0.01831	0.5324	0
V402	1	0	0	0
V403	0.36725	0	0	0.63275
V404	0.49144	0.08875	0.41981	0
V405	0.8088	0.04353	0	0.14767
V406	0.96823	0.03177	0	0
V407	0	1	0	0
V408	0.51146	0.3291	0.15945	0
V409	0.09773	0	0	0.90227
V410	0.09797	0.90203	0	0
V411	0.82813	0	0	0.17187
V412	0.61483	0.06918	0.316	0
V413	0.38988	0.61012	0	0
V414	0.40226	0.5497	0.04804	0
V415	0.91618	0	0.08382	0
V416	0.43445	0	0.56555	0
V417	0.49263	0.50737	0	0
V418	0.60313	0.11927	0	0.2776
V419	0.14253	0	0	0.85747
V420	0	1	0	0
V421	0.57788	0	0.42212	0
V422	0.30946	0	0	0.69054
V423	0.50035	0	0.49965	0
V424	0.46364	0.09006	0.44629	0
V425	0.45719	0.16998	0.37283	0
V426	0.50054	0	0.49946	0
V427	0.45171	0.54829	0	0
V428	0.19259	0.80741	0	0
V429	0.1653	0	0	0.8347
V430	1	0	0	0
V431	0.68471	0.01343	0.30185	0
V432	0.58124	0	0	0.41876
V433	0.16193	0.83807	0	0
V434	0.76973	0.08538	0	0.14489
V435	1	0	0	0
V436	0.93632	0	0	0.06368
V437	0.56218	0.28431	0	0.15351
V438	0.98847	0.01153	0	0
V439	0.35617	0	0	0.64383
V440	0.9364	0	0	0.0636
V441	0.50647	0.12619	0.36733	0
V442	0.6655	0.3345	0	0
V443	1	0	0	0
V444	0.41441	0	0.58559	0
V445	0.93609	0	0.06391	0
V446	0.1006	0.8994	0	0
V447	1	0	0	0
V448	0.61089	0.05567	0	0.33344
V449	0.93838	0	0.06162	0
V450	0.12904	0.87096	0	0
V451	1	0	0	0
V452	0.37114	0	0	0.62886
V453	1	0	0	0
