B_cells	NK_cells	T_cells_CD4.	Monocytes
V1	0.6116	0	0.11941	0.269
V2	0.16614	0.07067	0	0.76319
V3	0.00935	0.68728	0	0.30337
V4	0.93442	0.06558	0	0
V5	0.05926	0.56096	0.23637	0.14341
V6	0.00087	0.99913	0	0
V7	0.13281	0.42375	0.01721	0.42623
V8	0.05727	0.01641	0.91287	0.01345
V9	0.24736	0.24507	0	0.50757
V10	0	0.00916	0.98546	0.00538
V11	0.14427	0.41609	0.43964	0
V12	0	0.65066	0.34934	0
V13	0.23204	0.76796	0	0
V14	0	1	0	0
V15	0.07751	0.69812	0.08483	0.13954
V16	0.99403	0.00597	0	0
V17	0.01289	0.98711	0	0
V18	0.60883	0.39045	0	0.00072
V19	0.09706	0.90294	0	0
V20	0.14856	0.50109	0	0.35035
V21	0.05803	0.07756	0.85318	0.01122
V22	0	0.10773	0.14418	0.74808
V23	0.36236	0.04027	0.59737	0
V24	1	0	0	0
V25	0.35763	0.27874	0.07461	0.28901
V26	0.40635	0.4128	0	0.18084
V27	0.11191	0.00589	0	0.8822
V28	0	0.03912	0.96088	0
V29	0.4516	0.0282	0.51878	0.00142
V30	0.07046	0.26161	0.24347	0.42446
V31	0.18603	0.23262	0.26806	0.31329
V32	0.08961	0	0	0.91039
V33	0	0.58386	0.35099	0.06516
V34	0.05737	0.05231	0.8781	0.01222
V35	0.11549	0.83698	0.04753	0
V36	0	0.0413	0.46793	0.49077
V37	0.60178	0.07302	0.0343	0.29089
V38	0.47859	0	0.10888	0.41253
V39	0.12978	0.65797	0.09551	0.11673
V40	0.01309	0.95019	0.03671	0
V41	0	0.76331	0	0.23669
V42	0.24351	0.02152	0.1583	0.57667
V43	0.06536	0.41083	0.52176	0.00205
V44	0	0.092	0.76763	0.14038
V45	0.03933	0.69058	0.20664	0.06346
V46	0.86339	0.06721	0.0694	0
V47	0.45673	0.22391	0.30049	0.01887
V48	0.86221	0.13779	0	0
V49	0.79546	0.16141	0	0.04313
V50	0	0.95457	0.04543	0
V51	0.28894	0.46884	0.24222	0
V52	0	0.13303	0.86697	0
V53	0.77557	0.1219	0.10253	0
V54	0.41769	0.22454	0.35777	0
V55	0.21386	0.15156	0.20124	0.43334
V56	0.06232	0	0	0.93768
V57	0.02232	0.97768	0	0
V58	0.70507	0	0	0.29493
V59	0.44445	0.47542	0.06596	0.01417
V60	0.10856	0.18549	0.30409	0.40186
V61	0.88167	0.07368	0	0.04465
V62	0.96982	0.02471	0.00547	0
V63	0	0.92117	0.07883	0
V64	0	0.92457	0	0.07543
V65	0.02283	0	0	0.97717
V66	0.18685	0.78192	0	0.03123
V67	0.08153	0.39121	0.52726	0
V68	0.16953	0.12028	0	0.71019
V69	0	0.36804	0.6287	0.00326
V70	0.57759	0.17566	0.14488	0.10188
V71	0.14976	0.08303	0.36348	0.40373
V72	0.62471	0.18113	0.04032	0.15384
V73	0.10975	0.71746	0.11207	0.06072
V74	0	0.24991	0.75009	0
V75	0.78637	0	0.14891	0.06472
V76	0	0.20336	0.11712	0.67952
V77	0.01902	0.28215	0	0.69882
V78	0.32638	0.13312	0.13884	0.40166
V79	0	0.1217	0.83561	0.04269
V80	0.35078	0.01643	0.56277	0.07001
V81	0	0.18621	0.81379	0
V82	0	0.07043	0.92957	0
V83	0.14277	0.20389	0	0.65334
V84	0.43847	0.04083	0.11311	0.40759
