B_cells	NK_cells	T_cells_CD4.	Monocytes
V1	0.57757	0	0.19279	0.22964
V2	0.22072	0.07244	0.08045	0.62639
V3	0.10205	0.59641	0.04055	0.26098
V4	0.86932	0.09644	0	0.03424
V5	0.14281	0.44056	0.29697	0.11965
V6	0.12431	0.79146	0.075	0.00923
V7	0.1938	0.34264	0.11099	0.35258
V8	0.16367	0.00309	0.80855	0.02469
V9	0.29796	0.22249	0.05	0.42955
V10	0.05501	0.00722	0.89302	0.04475
V11	0.23009	0.31926	0.45065	0
V12	0.0578	0.53261	0.40959	0
V13	0.3119	0.64366	0.04263	0.00181
V14	0.11653	0.82763	0.05585	0
V15	0.16019	0.55405	0.16576	0.12001
V16	0.86368	0.02699	0.05886	0.05047
V17	0.13539	0.79657	0.05859	0.00945
V18	0.59234	0.3066	0.07757	0.02349
V19	0.20556	0.74679	0.04765	0
V20	0.21607	0.44145	0.03878	0.3037
V21	0.16091	0.06539	0.75471	0.01899
V22	0.05705	0.08089	0.26147	0.60059
V23	0.39354	0.03925	0.56722	0
V24	0.89238	0.01659	0.09103	0
V25	0.38461	0.21715	0.15347	0.24477
V26	0.43712	0.35532	0.03694	0.17062
V27	0.18516	0.04678	0.03601	0.73205
V28	0.00317	0.07561	0.92122	0
V29	0.45244	0.02099	0.5098	0.01677
V30	0.13898	0.20547	0.31576	0.33979
V31	0.2407	0.17747	0.3296	0.25223
V32	0.168	0.0022	0.08	0.74979
V33	0.07567	0.46381	0.39845	0.06207
V34	0.16096	0.04516	0.77258	0.0213
V35	0.20439	0.65289	0.13721	0.0055
V36	0.03665	0.03406	0.5278	0.40149
V37	0.57867	0.04005	0.12821	0.25307
V38	0.47093	0	0.19286	0.33621
V39	0.20555	0.52012	0.17275	0.10157
V40	0.13351	0.73122	0.13527	0
V41	0.03731	0.64506	0.09792	0.21971
V42	0.28264	0	0.25494	0.46242
V43	0.16197	0.31603	0.52199	0
V44	0.03881	0.08394	0.75008	0.12718
V45	0.13542	0.54135	0.26738	0.05585
V46	0.78168	0.05178	0.16654	0
V47	0.46403	0.16892	0.34212	0.02494
V48	0.80812	0.13914	0.02869	0.02405
V49	0.75988	0.1616	0	0.07852
V50	0.10625	0.74412	0.14964	0
V51	0.33982	0.36275	0.29743	0
V52	0.05477	0.12132	0.79986	0.02405
V53	0.72181	0.0922	0.18599	0
V54	0.43829	0.17169	0.39002	0
V55	0.26	0.11192	0.27911	0.34897
V56	0.12013	0	0.14946	0.73041
V57	0.14447	0.77957	0.07597	0
V58	0.66814	0	0.06325	0.26861
V59	0.4624	0.36849	0.14435	0.02476
V60	0.17332	0.14183	0.36569	0.31916
V61	0.8077	0.07957	0.02852	0.08421
V62	0.84112	0.01816	0.11882	0.0219
V63	0.05442	0.75252	0.19088	0.00217
V64	0.05455	0.83287	0.01237	0.10021
V65	0.06964	0	0.16779	0.76257
V66	0.2619	0.639	0.05588	0.04322
V67	0.17881	0.29992	0.52127	0
V68	0.23204	0.13484	0.03338	0.59973
V69	0.05251	0.29789	0.62852	0.02108
V70	0.55636	0.12848	0.21248	0.10268
V71	0.20815	0.05698	0.41621	0.31866
V72	0.5968	0.13314	0.12278	0.14728
V73	0.19216	0.5634	0.18782	0.05661
V74	0.08036	0.20906	0.71058	0
V75	0.70238	0	0.21807	0.07955
V76	0.01404	0.16989	0.24217	0.5739
V77	0.09465	0.28585	0.01825	0.60125
V78	0.35408	0.09497	0.22206	0.32889
V79	0.02831	0.1105	0.79578	0.06541
V80	0.37592	0.01171	0.54936	0.06301
V81	0.08529	0.1601	0.75461	0
V82	0.00734	0.09469	0.8892	0.00878
V83	0.19786	0.16466	0.10571	0.53176
V84	0.44624	0.01632	0.19956	0.33788
V85	0.13964	0.29749	0.43424	0.12863
V86	0.07872	0.06506	0.82154	0.03468
V87	0.07575	0.76153	0.11899	0.04374
