B_cells	NK_cells	T_cells_CD4.	Monocytes
V1	0.60752	0	0.24549	0.14699
V2	0.1931	0.08088	0.04505	0.68096
V3	0.07918	0.69015	0.01384	0.21683
V4	0.8885	0.1115	0	0
V5	0.10266	0.5232	0.36469	0.00945
V6	0.09387	0.8762	0.02993	0
V7	0.16782	0.4128	0.08514	0.33424
V8	0.08336	0	0.91664	0
V9	0.29423	0.27078	0	0.43499
V10	0	0	1	0
V11	0.16426	0.33686	0.49887	0
V12	0	0.55934	0.44066	0
V13	0.28726	0.71274	0	0
V14	0.08811	0.91189	0	0
V15	0.13909	0.66049	0.18248	0.01794
V16	0.92056	0.05972	0.01971	0
V17	0.10814	0.88408	0.00779	0
V18	0.61246	0.3503	0.03723	0
V19	0.17728	0.82272	0	0
V20	0.20375	0.52329	0.002	0.27095
V21	0.08888	0.05938	0.85174	0
V22	0	0.08396	0.28563	0.63041
V23	0.32905	0.02775	0.64319	0
V24	0.91527	0.03103	0.05369	0
V25	0.39579	0.27081	0.15975	0.17365
V26	0.47332	0.43641	0.01267	0.07761
V27	0.15374	0.03813	0	0.80814
V28	0	0.05245	0.94755	0
V29	0.407	0.00416	0.58884	0
V30	0.08405	0.24814	0.36144	0.30638
V31	0.21336	0.22086	0.38242	0.18336
V32	0.14045	0	0.02607	0.83348
V33	0.00567	0.52924	0.46508	0
V34	0.09209	0.02906	0.87884	0
V35	0.17022	0.73103	0.09874	0
V36	0	0.03967	0.60019	0.36014
V37	0.61185	0.06608	0.14445	0.17762
V38	0.46893	0	0.24064	0.29042
V39	0.19377	0.62668	0.17955	0
V40	0.08883	0.79385	0.11732	0
V41	0	0.75352	0.07893	0.16755
V42	0.2555	0	0.283	0.4615
V43	0.07844	0.33305	0.58851	0
V44	0	0.11401	0.88002	0.00597
V45	0.08602	0.61839	0.29558	0
V46	0.77761	0.06246	0.15993	0
V47	0.4391	0.17814	0.38276	0
V48	0.8294	0.1706	0	0
V49	0.80442	0.19558	0	0
V50	0.05934	0.80766	0.133	0
V51	0.29681	0.39049	0.3127	0
V52	0	0.12159	0.87841	0
V53	0.71166	0.0972	0.19114	0
V54	0.3992	0.17433	0.42647	0
V55	0.23843	0.13586	0.30876	0.31695
V56	0.04299	0	0.15004	0.80696
V57	0.11421	0.85534	0.03045	0
V58	0.71192	0	0.08519	0.20289
V59	0.46432	0.41408	0.1216	0
V60	0.12511	0.17061	0.43253	0.27175
V61	0.86785	0.13215	0	0
V62	0.8632	0.02984	0.10696	0
V63	0	0.8156	0.1844	0
V64	0.03501	0.96499	0	0
V65	0	0	0.17722	0.82278
V66	0.25093	0.73589	0.01318	0
V67	0.0976	0.31364	0.58875	0
V68	0.20254	0.1528	0	0.64466
V69	0	0.30493	0.69507	0
V70	0.58608	0.16796	0.24596	0
V71	0.16226	0.0632	0.5042	0.27034
V72	0.64175	0.18328	0.14355	0.03143
V73	0.15756	0.6439	0.19854	0
V74	0	0.20042	0.79958	0
V75	0.72455	0	0.27545	0
V76	0	0.17482	0.24388	0.5813
V77	0.03429	0.31608	0	0.64964
V78	0.35157	0.11643	0.24336	0.28865
V79	0	0.11823	0.88177	0
V80	0.33741	0.00893	0.65366	0
V81	0	0.1608	0.8392	0
V82	0	0.07625	0.92375	0
V83	0.16849	0.20032	0.05909	0.57211
V84	0.45552	0.01983	0.22838	0.29628
V85	0.0926	0.36448	0.52239	0.02053
V86	0.00369	0.06413	0.93218	0
V87	0.03413	0.8596	0.10627	0
V88	0.1805	0.03113	0.37452	0.41385
V89	0	0	0.29455	0.70545
V90	0.01429	0.8674	0.11831	0
V91	0.00438	0.73377	0.26185	0
V92	0.48021	0.01701	0.50278	0
V93	0.96216	0.03784	0	0
V94	0.01149	0.50199	0.01737	0.46915
V95	0.30104	0.48857	0.21039	0
V96	0.10288	0.11554	0	0.78158
V97	0.6664	0.08339	0.25021	0
V98	0.72465	0.27535	0	0
V99	0.7784	0.03025	0.19135	0
V100	0.04178	0.02038	0.93784	0
V101	0.01669	0.05652	0	0.92679
V102	0.93039	0.06961	0	0
V103	0	0.02852	0.15759	0.81389
V104	0.04793	0.93603	0.01605	0
V105	0.07156	0.89492	0.03353	0
V106	0.0808	0.51149	0.40771	0
V107	0.14377	0.20007	0.65617	0
V108	0.14018	0.73485	0.12497	0
V109	0	0.19174	0.72443	0.08382
V110	0.05941	0.85482	0.08578	0
