B_cells	NK_cells	T_cells_CD4.	Monocytes
V1	0.55295	0	0.19825	0.24879
V2	0.20145	0.08158	0.10525	0.61172
V3	0.08444	0.58347	0.06547	0.26661
V4	0.83151	0.11271	0.00669	0.04909
V5	0.12462	0.446	0.29399	0.13539
V6	0.10853	0.77894	0.08405	0.02849
V7	0.1725	0.34153	0.13304	0.35293
V8	0.14554	0.02613	0.78867	0.03966
V9	0.27141	0.22652	0.07721	0.42486
V10	0.03551	0.03211	0.87302	0.05936
V11	0.21808	0.34092	0.44101	0
V12	0.0472	0.54301	0.40228	0.00751
V13	0.28657	0.6388	0.05257	0.02205
V14	0.10432	0.8179	0.06702	0.01076
V15	0.14087	0.54997	0.17447	0.1347
V16	0.84468	0.04191	0.04567	0.06773
V17	0.11843	0.78115	0.07198	0.02845
V18	0.56035	0.3198	0.07672	0.04313
V19	0.1868	0.73665	0.05953	0.01703
V20	0.19304	0.43571	0.06454	0.30671
V21	0.14479	0.08311	0.73704	0.03506
V22	0.04559	0.09395	0.26501	0.59545
V23	0.37861	0.06058	0.55061	0.0102
V24	0.89911	0.0358	0.06508	0
V25	0.3545	0.22648	0.16436	0.25466
V26	0.40397	0.36127	0.0511	0.18366
V27	0.16751	0.05589	0.07405	0.70255
V28	0	0.08999	0.91001	0
V29	0.4335	0.04374	0.48791	0.03485
V30	0.12169	0.21691	0.31599	0.34541
V31	0.21964	0.19292	0.32391	0.26354
V32	0.15354	0.01996	0.10346	0.72305
V33	0.06047	0.47003	0.38916	0.08035
V34	0.14474	0.06348	0.75482	0.03696
V35	0.18545	0.64947	0.13923	0.02585
V36	0.02236	0.05299	0.51621	0.40844
V37	0.54475	0.0633	0.12667	0.26528
V38	0.44752	0	0.20063	0.35185
V39	0.18467	0.51883	0.17928	0.11722
V40	0.12436	0.73849	0.13715	0
V41	0.0244	0.63536	0.11042	0.22983
V42	0.26124	0.02213	0.25389	0.46275
V43	0.14571	0.33154	0.50505	0.01771
V44	0.02323	0.10128	0.73255	0.14294
V45	0.11779	0.5422	0.26638	0.07362
V46	0.76788	0.07392	0.14346	0.01474
V47	0.44138	0.18821	0.32611	0.0443
V48	0.7758	0.15827	0.02443	0.04149
V49	0.71963	0.18275	0.00148	0.09614
V50	0.09885	0.75172	0.14943	0
V51	0.3191	0.37684	0.2864	0.01766
V52	0.03737	0.13675	0.78605	0.03982
V53	0.71016	0.12	0.16984	0
V54	0.41953	0.19279	0.37305	0.01462
V55	0.2385	0.12765	0.27884	0.35501
V56	0.11052	0.00344	0.16378	0.72227
V57	0.12939	0.77068	0.08378	0.01615
V58	0.64631	0	0.06476	0.28893
V59	0.4327	0.37857	0.14459	0.04413
V60	0.15496	0.15756	0.36036	0.32712
V61	0.7736	0.09883	0.02729	0.10029
V62	0.82937	0.03734	0.09297	0.04032
V63	0.04173	0.74922	0.18646	0.02259
V64	0.04073	0.80373	0.04321	0.11234
V65	0.06693	0	0.17859	0.75449
V66	0.23795	0.63122	0.06957	0.06126
V67	0.1677	0.32155	0.51074	0
V68	0.20995	0.14128	0.06734	0.58143
V69	0.0373	0.31168	0.61149	0.03953
V70	0.52744	0.14779	0.20513	0.11964
V71	0.1889	0.07786	0.40561	0.32763
V72	0.56319	0.15014	0.12372	0.16296
V73	0.17263	0.56221	0.19073	0.07443
V74	0.06906	0.22961	0.70132	0
V75	0.68677	0	0.21121	0.10203
V76	0.00438	0.1781	0.2497	0.56783
V77	0.07854	0.28461	0.05445	0.5824
V78	0.32776	0.11181	0.22426	0.33617
V79	0.01141	0.12602	0.78006	0.08251
V80	0.35596	0.0343	0.52938	0.08036
V81	0.07455	0.18083	0.74461	0
V82	0	0.10574	0.87016	0.0241
V83	0.17903	0.17059	0.12777	0.52261
V84	0.41543	0.03902	0.20082	0.34473
V85	0.12213	0.31044	0.42284	0.14458
V86	0.0622	0.08007	0.80764	0.05009
V87	0.06206	0.75182	0.12286	0.06326
V88	0.1999	0.05961	0.3128	0.4277
V89	0.06364	0.0124	0.26699	0.65696
V90	0.05976	0.79451	0.12704	0.01869
V91	0.05856	0.67101	0.24495	0.02548
V92	0.45526	0.02936	0.38858	0.1268
V93	0.8575	0.0227	0	0.1198
V94	0.04468	0.43241	0.07958	0.44334
V95	0.26981	0.40364	0.19783	0.12872
V96	0.13642	0.09996	0.08283	0.68079
V97	0.66171	0.10628	0.22301	0.00901
V98	0.68072	0.27842	0.01175	0.02911
V99	0.76575	0.05055	0.16604	0.01765
V100	0.09452	0.05787	0.81241	0.03521
V101	0.09942	0.07945	0.03453	0.7866
V102	0.86797	0.0559	0.02517	0.05096
V103	0.05078	0.04722	0.16902	0.73299
V104	0.07072	0.83989	0.07193	0.01747
V105	0.09517	0.81625	0.07948	0.00909
V106	0.13698	0.48146	0.35461	0.02696
V107	0.19775	0.20995	0.55208	0.04021
V108	0.17249	0.67863	0.14889	0
V109	0.02193	0.17738	0.60364	0.19704
V110	0.08861	0.77783	0.1054	0.02816
V111	0.86624	0	0.0993	0.03446
V112	0.15349	0.07278	0.45556	0.31818
V113	0.22505	0.10355	0.22682	0.44458
V114	0.29129	0.03596	0.13568	0.53707
V115	0.03039	0.68445	0.28047	0.00468
V116	0.15605	0.30678	0.39189	0.14527
V117	0.65505	0.23538	0.06124	0.04833
V118	0.18849	0.5378	0.08522	0.1885
V119	0.17307	0.0734	0.11097	0.64257
V120	0.09581	0.10014	0.78561	0.01845
V121	0.58408	0.12219	0.12208	0.17165
V122	0.87766	0.01022	0.04849	0.06362
V123	0.0263	0.4956	0.10835	0.36975
V124	0.65175	0.27424	0.00913	0.06489
V125	0.39129	0.38651	0.20891	0.01329
V126	0.0863	0.14536	0.11567	0.65267
V127	0.20164	0.04816	0.304	0.44621
V128	0.0908	0.0084	0.18424	0.71655
V129	0.56109	0.22117	0.18799	0.02975
V130	0.02762	0.60014	0.36783	0.00441
V131	0.05862	0.81978	0.05104	0.07056
V132	0.86595	0.00496	0.06277	0.06631
V133	0.85283	0.01838	0.08143	0.04736
V134	0.13498	0.37647	0.18168	0.30688
V135	0.13014	0.01557	0.24214	0.61215
V136	0.27237	0.38026	0.04969	0.29768
V137	0.62707	0.04046	0.25872	0.07375
V138	0.22717	0.38122	0.21909	0.17252
V139	0.36062	0.20102	0.22754	0.21082
V140	0.08189	0.09167	0.12389	0.70255
V141	0.07894	0.17204	0.55133	0.1977
V142	0.77568	0.00047	0.22385	0
V143	0.43703	0.24828	0.10325	0.21144
V144	0.20123	0.15545	0.21754	0.42578
V145	0.0014	0.70356	0.28578	0.00927
V146	0.1387	0.00512	0.11711	0.73907
V147	0.85115	0.02531	0.04662	0.07692
V148	0.14626	0.09295	0.58004	0.18075
V149	0.27329	0.47345	0.25326	0
V150	0.10113	0.25093	0.58035	0.06759
V151	0.22888	0.57606	0.0851	0.10997
V152	0.24494	0.41525	0.25616	0.08364
V153	0.13691	0.68841	0.07536	0.09932
V154	0.25519	0.42707	0.30108	0.01667
V155	0.46342	0.14729	0.29756	0.09173
V156	0.04339	0.16459	0.68118	0.11085
V157	0.31417	0.16121	0.33158	0.19305
V158	0.0976	0	0.13046	0.77194
V159	0.84521	0.07402	0.00029	0.08049
V160	0.68746	0	0.0901	0.22245
V161	0.26944	0	0.08804	0.64252
V162	0.09928	0.29525	0.14183	0.46363
V163	0.11735	0.46497	0.22059	0.19708
V164	0.35125	0.29419	0.14452	0.21004
V165	0.05025	0.27509	0.03424	0.64042
V166	0.04645	0.10266	0.14468	0.70621
V167	0.39746	0	0.04063	0.5619
V168	0.29886	0.52197	0.12816	0.05101
V169	0.24522	0.0501	0.09427	0.61041
V170	0.12937	0.03925	0.54249	0.2889
V171	0.14554	0.25027	0.57395	0.03024
V172	0.68973	0	0.28225	0.02801
V173	0.07491	0.14641	0.10868	0.67001
V174	0.05136	0.1669	0.14518	0.63656
V175	0.08291	0.03703	0.7698	0.11026
V176	0.03266	0.73242	0.23017	0.00476
V177	0.04826	0.86514	0.05249	0.03411
V178	0.03539	0.71502	0.06871	0.18088
V179	0.19258	0.01814	0.41532	0.37397
V180	0.05896	0.79708	0.14395	0
V181	0.17753	0.14947	0.53563	0.13737
V182	0.30402	0.19076	0.45453	0.05069
V183	0.20527	0.7238	0.06068	0.01025
V184	0.9305	0	0.06703	0.00247
V185	0.56151	0.37362	0.04738	0.01749
V186	0.13674	0.45344	0.30122	0.1086
V187	0.88006	0.01103	0.0662	0.04271
V188	0.10713	0.24595	0.02569	0.62123
V189	0.79103	0.01785	0.03951	0.15161
V190	0.63219	0.02436	0.31874	0.0247
V191	0.19846	0.21984	0.5518	0.02989
V192	0.31619	0.43472	0.09313	0.15596
V193	0.58636	0.03726	0.25388	0.1225
V194	0.07361	0.82618	0.0655	0.03471
V195	0.03643	0.07333	0.85784	0.0324
V196	0.06422	0.09192	0.07691	0.76695
V197	0.44718	0.04307	0.06141	0.44834
V198	0.08459	0.47612	0.3949	0.04438
V199	0.21244	0.02151	0.23339	0.53267
V200	0.15722	0.5322	0.06879	0.24179
V201	0.11652	0.51786	0.23947	0.12614
V202	0.03275	0.05451	0.76412	0.14862
V203	0.18094	0.4085	0.40456	0.006
V204	0.03723	0.51601	0.06306	0.3837
V205	0.03649	0.09769	0.83389	0.03192
V206	0.0683	0.13255	0.79915	0
V207	0.17939	0.19064	0.10691	0.52307
V208	0.25656	0.09283	0.63853	0.01208
V209	0.31463	0.43503	0.11168	0.13866
V210	0.11341	0.689	0.15213	0.04547
V211	0.45759	0.00306	0.07457	0.46478
V212	0.49248	0.05737	0.42061	0.02954
V213	0.6278	0.02663	0.13891	0.20666
V214	0.34611	0.16024	0.20281	0.29085
V215	0.3349	0.09703	0.05673	0.51134
V216	0.12686	0	0.11328	0.75986
V217	0.06066	0.47038	0.28202	0.18695
V218	0.11758	0.42844	0.22034	0.23363
V219	0.13635	0.59682	0.06246	0.20437
V220	0.03696	0.76368	0.07116	0.1282
V221	0.79338	0.00168	0.02449	0.18045
V222	0.32116	0.14452	0.37589	0.15843
V223	0.01162	0.16988	0.74524	0.07325
V224	0.92088	0	0.07431	0.00481
V225	0.09251	0.78182	0.12567	0
V226	0.31011	0.10722	0.57338	0.00929
V227	0.75501	0	0.21017	0.03482
V228	0.73879	0.06543	0.09014	0.10564
V229	0.03936	0.0654	0.85138	0.04387
V230	0.07892	0.0413	0.11228	0.7675
V231	0.03933	0.28185	0.1749	0.50392
V232	0.07641	0.63043	0.03547	0.2577
V233	0.54945	0.09156	0.22144	0.13755
V234	0.07237	0.80551	0.09955	0.02258
V235	0.37313	0.08231	0.51395	0.03061
V236	0.06051	0.10413	0.76181	0.07355
V237	0.22248	0	0.09759	0.67993
V238	0.14892	0.51366	0.30074	0.03668
V239	0.10129	0.3915	0.07258	0.43463
