B_cells	NK_cells	T_cells_CD4.	Monocytes
V1	0.57437	0	0.16479	0.26084
V2	0.18044	0.08286	0.05947	0.67722
V3	0.0596	0.64341	0.01265	0.28434
V4	0.87391	0.08968	0	0.0364
V5	0.10612	0.48972	0.26291	0.14125
V6	0.08228	0.86489	0.0302	0.02263
V7	0.155	0.37637	0.08835	0.38028
V8	0.11836	0.02596	0.81955	0.03614
V9	0.2611	0.24516	0.03262	0.46113
V10	0	0.03062	0.91368	0.0557
V11	0.20169	0.37037	0.42794	0
V12	0.01651	0.59963	0.37983	0.00403
V13	0.28004	0.7014	0.00194	0.01662
V14	0.07499	0.90785	0.01171	0.00545
V15	0.12257	0.6055	0.13188	0.14006
V16	0.90767	0.02985	0.00726	0.05521
V17	0.09327	0.86534	0.01892	0.02247
V18	0.58063	0.34604	0.03549	0.03784
V19	0.16966	0.81267	0.0064	0.01127
V20	0.17853	0.47957	0.01464	0.32726
V21	0.119	0.07976	0.76864	0.0326
V22	0.01903	0.09776	0.22919	0.65402
V23	0.38217	0.052	0.56193	0.0039
V24	0.95921	0.02006	0.02073	0
V25	0.35496	0.24542	0.12912	0.2705
V26	0.4091	0.3941	0.00665	0.19015
V27	0.1365	0.0484	0.02829	0.78681
V28	0	0.07278	0.92722	0
V29	0.44325	0.03479	0.49151	0.03046
V30	0.10047	0.23519	0.29003	0.37431
V31	0.20614	0.20849	0.30216	0.28321
V32	0.11864	0.0142	0.05381	0.81335
V33	0.03561	0.51604	0.36516	0.08319
V34	0.11854	0.05848	0.78873	0.03425
V35	0.16885	0.71595	0.09269	0.02251
V36	0	0.04794	0.50841	0.44365
V37	0.56587	0.06188	0.09226	0.27999
V38	0.45746	0	0.16507	0.37747
V39	0.16908	0.57073	0.13896	0.12123
V40	0.09769	0.81696	0.08535	0
V41	0	0.69898	0.05809	0.24293
V42	0.24907	0.01939	0.22426	0.50728
V43	0.12462	0.36055	0.49706	0.01777
V44	0	0.09947	0.74873	0.1518
V45	0.0969	0.59627	0.23165	0.07518
V46	0.8135	0.06767	0.11154	0.00729
V47	0.45029	0.19892	0.30844	0.04235
V48	0.81594	0.15286	0	0.0312
V49	0.74542	0.16751	0	0.08708
V50	0.06982	0.83157	0.09861	0
V51	0.31364	0.41078	0.25883	0.01675
V52	0.0038	0.13896	0.82106	0.03619
V53	0.74337	0.11745	0.13918	0
V54	0.42547	0.20358	0.3592	0.01175
V55	0.22627	0.13603	0.25234	0.38536
V56	0.07792	0	0.11144	0.81064
V57	0.10485	0.85356	0.03043	0.01116
V58	0.67757	0	0.01868	0.30375
V59	0.43958	0.41262	0.1065	0.04131
V60	0.13534	0.16854	0.34118	0.35494
V61	0.8171	0.08978	0	0.09312
V62	0.88749	0.02613	0.05581	0.03057
V63	0.01459	0.82858	0.13876	0.01807
V64	0.0078	0.87517	0	0.11703
V65	0.03412	0	0.11996	0.84592
V66	0.22666	0.69328	0.02056	0.0595
V67	0.14698	0.34897	0.50405	0
V68	0.19014	0.14796	0.02148	0.64041
V69	0.00729	0.33815	0.61405	0.04051
V70	0.54719	0.15429	0.17822	0.1203
V71	0.17142	0.07906	0.39314	0.35638
V72	0.58635	0.15716	0.08998	0.1665
V73	0.15608	0.61854	0.15019	0.07518
V74	0.0357	0.24455	0.71976	0
V75	0.72339	0	0.17926	0.09735
V76	0	0.18838	0.20403	0.60758
V77	0.05112	0.31044	0.00257	0.63587
V78	0.32516	0.11789	0.19421	0.36274
V79	0	0.12562	0.7954	0.07898
V80	0.35666	0.02519	0.53613	0.08202
V81	0.04032	0.18829	0.77139	0
V82	0	0.09636	0.89183	0.01181
V83	0.15808	0.18403	0.08417	0.57372
V84	0.42238	0.03584	0.17039	0.37139
V85	0.10255	0.33843	0.40672	0.1523
V86	0.02557	0.07696	0.85026	0.04721
V87	0.03566	0.83201	0.07098	0.06135
V88	0.18206	0.06005	0.28936	0.46853
V89	0.03061	0.00728	0.2319	0.73021
V90	0.03036	0.88366	0.07276	0.01322
V91	0.03192	0.74104	0.20425	0.02279
V92	0.46791	0.0214	0.38075	0.12994
V93	0.89363	0	0	0.10637
V94	0.016	0.47985	0.02421	0.47994
V95	0.26163	0.44289	0.16269	0.1328
V96	0.1071	0.09822	0.036	0.75868
V97	0.69487	0.10428	0.19868	0.00217
V98	0.70457	0.27849	0	0.01695
V99	0.81199	0.04111	0.13724	0.00966
V100	0.06014	0.05259	0.85613	0.03114
V101	0.06359	0.0533	0	0.88311
V102	0.92748	0.03471	0	0.03781
V103	0.02564	0.04153	0.11715	0.81568
V104	0.037	0.93634	0.01556	0.0111
V105	0.06448	0.9075	0.02365	0.00437
V106	0.11711	0.52788	0.32833	0.02668
V107	0.18048	0.22392	0.55503	0.04056
V108	0.15132	0.74851	0.10017	0
V109	0	0.18718	0.6031	0.20972
V110	0.06052	0.8656	0.05167	0.02221
V111	0.9268	0	0.05049	0.02271
V112	0.13272	0.07269	0.44824	0.34635
V113	0.21027	0.11005	0.19344	0.48625
V114	0.28202	0.03472	0.09331	0.58994
V115	0	0.75742	0.24258	0
V116	0.13844	0.33487	0.37391	0.15278
V117	0.68591	0.24925	0.02275	0.0421
V118	0.17361	0.59112	0.03756	0.19771
V119	0.14796	0.07353	0.06418	0.71433
V120	0.06188	0.09774	0.82477	0.01561
V121	0.60966	0.12538	0.08897	0.17599
V122	0.94658	0	0.00528	0.04815
V123	0	0.54696	0.05588	0.39716
V124	0.6713	0.27208	0	0.05662
V125	0.3931	0.42075	0.17612	0.01003
V126	0.05993	0.15341	0.06625	0.72041
V127	0.18371	0.04781	0.27928	0.4892
V128	0.05993	0.0031	0.13557	0.80141
V129	0.58205	0.23476	0.15748	0.02572
V130	0	0.66172	0.33828	0
V131	0.02928	0.90138	0	0.06934
V132	0.93189	0	0.01687	0.05124
V133	0.91602	0.00665	0.04138	0.03596
V134	0.11499	0.41478	0.14073	0.3295
V135	0.10302	0.01234	0.20622	0.67842
V136	0.26392	0.41804	0.00064	0.3174
V137	0.65809	0.03306	0.23899	0.06986
V138	0.21575	0.4179	0.18567	0.18068
V139	0.36221	0.21688	0.1987	0.22221
V140	0.05533	0.09016	0.07328	0.78122
V141	0.05317	0.18306	0.55103	0.21273
V142	0.81268	0	0.18732	0
V143	0.44613	0.26835	0.06468	0.22084
V144	0.1843	0.16742	0.18304	0.46525
V145	0	0.76226	0.23774	0
V146	0.10077	0.00012	0.0652	0.8339
V147	0.91518	0.01252	0.00799	0.06431
V148	0.12464	0.09423	0.58663	0.1945
V149	0.26224	0.51755	0.22021	0
V150	0.07627	0.27056	0.58344	0.06973
V151	0.2173	0.63246	0.03782	0.11243
V152	0.2346	0.45566	0.22472	0.08502
V153	0.1161	0.75809	0.02389	0.10193
V154	0.2439	0.46718	0.2729	0.01602
V155	0.47622	0.15354	0.27876	0.09149
V156	0.0139	0.17236	0.69596	0.11778
V157	0.31105	0.17177	0.3133	0.20388
V158	0.06073	0	0.06724	0.87203
V159	0.89078	0.04312	0	0.0661
V160	0.72265	0	0.04786	0.22949
V161	0.25476	0	0.03561	0.70963
V162	0.07583	0.325	0.09501	0.50416
V163	0.09798	0.51098	0.18292	0.20812
V164	0.35146	0.32001	0.10808	0.22045
V165	0.01733	0.28656	0	0.69611
V166	0.02137	0.10328	0.09346	0.7819
V167	0.39471	0	0	0.60529
V168	0.2931	0.57278	0.08496	0.04916
V169	0.22867	0.04826	0.04821	0.67487
V170	0.10546	0.03447	0.54501	0.31507
V171	0.1231	0.26923	0.57725	0.03043
V172	0.72764	0	0.25632	0.01603
V173	0.04842	0.15371	0.05813	0.73974
V174	0.02645	0.17919	0.09576	0.69859
V175	0.05031	0.03062	0.79991	0.11916
V176	0.00218	0.81166	0.18617	0
V177	0.01671	0.95826	0	0.02503
V178	0.00471	0.79184	0.01166	0.19179
V179	0.17455	0.01142	0.40497	0.40906
V180	0.02664	0.88389	0.08947	0
V181	0.15939	0.15725	0.53771	0.14566
V182	0.2983	0.20258	0.44857	0.05054
V183	0.19065	0.79963	0.00653	0.00319
V184	0.99163	0	0.00837	0
V185	0.58309	0.40738	0.00181	0.00772
V186	0.118	0.49816	0.2713	0.11255
V187	0.94736	0	0.02187	0.03077
V188	0.07884	0.2481	0	0.67306
V189	0.83992	0.00699	0.00133	0.15176
V190	0.66567	0.01256	0.307	0.01476
V191	0.18087	0.2347	0.55447	0.02997
V192	0.31252	0.47649	0.04991	0.16108
V193	0.61294	0.03078	0.23339	0.12289
V194	0.04241	0.91848	0.01156	0.02755
V195	0	0.06563	0.90913	0.02524
V196	0.03653	0.07838	0.02869	0.8564
V197	0.4566	0.03972	0.01822	0.48546
V198	0.06001	0.52248	0.37193	0.04557
V199	0.19393	0.01954	0.19922	0.58731
V200	0.14034	0.58505	0.01868	0.25594
V201	0.09685	0.56938	0.20263	0.13114
V202	0	0.04822	0.79037	0.1614
V203	0.16248	0.44665	0.3855	0.00537
V204	0.0061	0.57279	0.00646	0.41465
V205	8e-04	0.09317	0.87926	0.02677
V206	0.03056	0.13248	0.83696	0
V207	0.15851	0.20586	0.06208	0.57355
V208	0.24556	0.08973	0.65621	0.0085
V209	0.31095	0.47659	0.07008	0.14238
V210	0.09012	0.76221	0.10486	0.0428
V211	0.46837	0	0.02768	0.50395
V212	0.50948	0.05016	0.41722	0.02314
V213	0.65788	0.02014	0.10784	0.21414
V214	0.34586	0.17146	0.1712	0.31148
V215	0.33037	0.09876	0.01252	0.55835
V216	0.08445	0	0.05552	0.86003
V217	0.03737	0.51717	0.24763	0.19782
V218	0.09858	0.47031	0.18304	0.24808
V219	0.11693	0.65646	0.01117	0.21543
V220	0.00618	0.84499	0.01377	0.13506
V221	0.8255	0	0	0.1745
V222	0.3189	0.15267	0.36256	0.16587
V223	0	0.17508	0.75599	0.06893
V224	0.98245	0	0.01755	0
V225	0.06187	0.86671	0.07142	0
V226	0.30504	0.10562	0.58365	0.00569
V227	0.79923	0	0.17677	0.024
V228	0.78305	0.06026	0.05561	0.10109
V229	0.00102	0.05993	0.90084	0.03821
V230	0.04976	0.02842	0.05836	0.86346
V231	0.01322	0.30889	0.12954	0.54835
V232	0.04802	0.67999	0	0.27199
V233	0.57181	0.09193	0.19661	0.13966
V234	0.04159	0.89805	0.04402	0.01634
V235	0.3755	0.07857	0.51869	0.02724
V236	0.02659	0.1038	0.7935	0.07611
V237	0.19938	0	0.04534	0.75528
V238	0.13007	0.56419	0.26929	0.03645
V239	0.0769	0.4325	0.02019	0.4704
