B_cells	NK_cells	T_cells_CD4.	Monocytes
V1	0.5765	0	0.21111	0.21238
V2	0.23798	0.09749	0.08085	0.58368
V3	0.11626	0.60265	0.05025	0.23085
V4	0.86488	0.11944	0	0.01568
V5	0.15748	0.44396	0.30501	0.09355
V6	0.14283	0.78035	0.07682	0
V7	0.20208	0.36045	0.11378	0.32368
V8	0.18701	0.00592	0.80364	0.00343
V9	0.30544	0.24596	0.04639	0.40221
V10	0.08906	0.0138	0.87261	0.02452
V11	0.2385	0.31548	0.44602	0
V12	0.07971	0.51695	0.40334	0
V13	0.31053	0.64611	0.04336	0
V14	0.13568	0.81606	0.04826	0
V15	0.17213	0.55948	0.17303	0.09535
V16	0.85476	0.05	0.0595	0.03573
V17	0.15274	0.78522	0.06203	0
V18	0.58766	0.327	0.08057	0.00478
V19	0.21158	0.73976	0.04867	0
V20	0.22063	0.45752	0.04525	0.27661
V21	0.18418	0.07118	0.74465	0
V22	0.07329	0.10118	0.2692	0.55633
V23	0.38942	0.04559	0.56499	0
V24	0.87425	0.03572	0.09003	0
V25	0.38595	0.23468	0.1603	0.21906
V26	0.43611	0.37364	0.0421	0.14815
V27	0.21069	0.07307	0.03205	0.68419
V28	0.04002	0.07622	0.88377	0
V29	0.44855	0.03262	0.51883	0
V30	0.15302	0.21925	0.32041	0.30732
V31	0.25083	0.19202	0.33334	0.2238
V32	0.19622	0.02761	0.07632	0.69986
V33	0.09667	0.46363	0.40191	0.0378
V34	0.18479	0.05176	0.76319	0.00026
V35	0.21135	0.65304	0.13561	0
V36	0.06468	0.05031	0.52294	0.36207
V37	0.57279	0.06101	0.13431	0.23189
V38	0.4718	0	0.21396	0.31424
V39	0.21617	0.52998	0.17563	0.07822
V40	0.14741	0.71645	0.13615	0
V41	0.05546	0.65552	0.09757	0.19145
V42	0.29163	0.01892	0.25935	0.43011
V43	0.17503	0.30979	0.51518	0
V44	0.06921	0.0919	0.73837	0.10052
V45	0.15117	0.54285	0.27344	0.03254
V46	0.76125	0.06676	0.17198	0
V47	0.46269	0.18208	0.35165	0.00357
V48	0.80073	0.16248	0.02937	0.00742
V49	0.7541	0.18404	0	0.06186
V50	0.12383	0.72878	0.14739	0
V51	0.33939	0.36379	0.29682	0
V52	0.08878	0.12514	0.7833	0.00278
V53	0.69935	0.10476	0.19589	0
V54	0.4315	0.17859	0.38991	0
V55	0.26949	0.13005	0.28088	0.31958
V56	0.14365	0.0041	0.1638	0.68845
V57	0.15869	0.76536	0.07595	0
V58	0.66694	0	0.07788	0.25518
V59	0.46186	0.3829	0.15093	0.00432
V60	0.18535	0.15521	0.3721	0.28733
V61	0.79863	0.10202	0.02956	0.06979
V62	0.82914	0.03862	0.12792	0.00432
V63	0.07348	0.73578	0.19074	0
V64	0.07723	0.82484	0.02243	0.0755
V65	0.09369	0	0.18983	0.71648
V66	0.26771	0.64802	0.06222	0.02205
V67	0.19155	0.29397	0.51448	0
V68	0.24757	0.16028	0.02872	0.56343
V69	0.07911	0.29624	0.62466	0
V70	0.5501	0.14561	0.22256	0.08172
V71	0.21918	0.07114	0.42306	0.28663
V72	0.58909	0.15249	0.13158	0.12684
V73	0.20305	0.5668	0.19577	0.03438
V74	0.10491	0.20082	0.69427	0
V75	0.69389	0	0.24249	0.06363
V76	0.02957	0.18735	0.25358	0.52949
V77	0.10812	0.31067	0.01473	0.56648
V78	0.35845	0.11421	0.2255	0.30184
V79	0.05824	0.11652	0.78143	0.0438
V80	0.37929	0.02364	0.55557	0.04149
V81	0.11254	0.15689	0.73057	0
V82	0.03752	0.09613	0.86634	0
V83	0.21213	0.18921	0.09975	0.49891
V84	0.44575	0.03548	0.20641	0.31236
V85	0.15649	0.3052	0.43501	0.1033
V86	0.11211	0.0702	0.8038	0.0139
V87	0.09714	0.75706	0.12326	0.02254
V88	0.22928	0.05631	0.3239	0.39051
V89	0.09649	0.01434	0.27477	0.61441
V90	0.09182	0.77769	0.13049	0
V91	0.08957	0.65685	0.25357	0
V92	0.47686	0.02006	0.41544	0.08764
V93	0.88912	0.02051	0	0.09037
V94	0.07529	0.4539	0.05561	0.4152
V95	0.30317	0.41258	0.1942	0.09005
V96	0.17395	0.12375	0.0425	0.6598
V97	0.65896	0.09448	0.24656	0
V98	0.71408	0.28592	0	0
V99	0.762	0.04199	0.19602	0
V100	0.14167	0.04543	0.8129	0
V101	0.13092	0.08928	0	0.7798
V102	0.89034	0.06803	0.02245	0.01918
V103	0.07402	0.06171	0.16603	0.69823
V104	0.10639	0.83265	0.06096	0
V105	0.12582	0.80187	0.07231	0
V106	0.16702	0.46678	0.3662	0
V107	0.22991	0.19731	0.57278	0
V108	0.19124	0.66131	0.14745	0
V109	0.06125	0.16943	0.61541	0.15391
V110	0.12246	0.7686	0.10895	0
V111	0.85786	0	0.14214	0
V112	0.18674	0.06742	0.46696	0.27888
V113	0.25556	0.10856	0.22448	0.4114
V114	0.3245	0.0403	0.125	0.51021
V115	0.06028	0.66186	0.27786	0
V116	0.18933	0.29989	0.40739	0.10339
V117	0.67981	0.24046	0.06834	0.0114
V118	0.21824	0.55916	0.06978	0.15282
V119	0.21068	0.09135	0.08204	0.61592
V120	0.13817	0.08695	0.77488	0
V121	0.61174	0.12392	0.12763	0.13671
V122	0.88324	0.01395	0.06984	0.03297
V123	0.05591	0.51334	0.09312	0.33762
V124	0.6884	0.28357	0	0.02803
V125	0.41033	0.37827	0.2114	0
V126	0.11484	0.16778	0.09179	0.62559
V127	0.23228	0.04514	0.31104	0.41153
V128	0.12188	0.00934	0.18759	0.68119
V129	0.57939	0.21961	0.201	0
V130	0.05941	0.5774	0.36319	0
V131	0.09399	0.84802	0.02412	0.03387
V132	0.86919	0.0039	0.09215	0.03476
V133	0.85438	0.02024	0.11252	0.01285
V134	0.16311	0.38855	0.17563	0.27271
V135	0.16329	0.01441	0.24423	0.57807
V136	0.30382	0.39863	0.03098	0.26657
V137	0.64278	0.03244	0.2872	0.03759
V138	0.25932	0.38522	0.22209	0.13337
V139	0.38861	0.20101	0.23858	0.1718
V140	0.11185	0.11591	0.09591	0.67633
V141	0.11586	0.16343	0.5661	0.15461
V142	0.7532	0	0.2468	0
V143	0.47248	0.26078	0.08875	0.17799
V144	0.23136	0.16252	0.21318	0.39293
V145	0.0246	0.68361	0.29179	0
V146	0.18227	0.0085	0.09101	0.71822
V147	0.85766	0.03001	0.06718	0.04515
V148	0.181	0.08352	0.5968	0.13869
V149	0.29095	0.45384	0.25522	0
V150	0.13981	0.23797	0.59624	0.02598
V151	0.26062	0.59747	0.06962	0.07228
V152	0.27676	0.41585	0.26477	0.04262
V153	0.16908	0.71012	0.05949	0.06131
V154	0.27757	0.41135	0.31108	0
V155	0.48588	0.14194	0.32002	0.05217
V156	0.08491	0.15395	0.69108	0.07006
V157	0.34298	0.15722	0.34663	0.15318
V158	0.13169	0	0.11828	0.75003
V159	0.87446	0.07631	0	0.04923
V160	0.70909	0	0.10313	0.18778
V161	0.30832	0	0.07264	0.61904
V162	0.12605	0.31344	0.12429	0.43623
V163	0.14887	0.47353	0.21894	0.15867
V164	0.38655	0.30681	0.13077	0.17587
V165	0.07946	0.29404	0	0.6265
V166	0.06974	0.12654	0.12621	0.67751
V167	0.42244	0	0.04584	0.53172
V168	0.33095	0.53345	0.12513	0.01047
V169	0.28425	0.06228	0.06333	0.59014
V170	0.16452	0.03032	0.55726	0.24789
V171	0.17872	0.23308	0.5882	0
V172	0.69618	0	0.30382	0
V173	0.10148	0.16973	0.0848	0.64399
V174	0.07621	0.18883	0.1233	0.61167
V175	0.12691	0.01922	0.78297	0.07089
V176	0.06252	0.71044	0.22704	0
V177	0.08788	0.89385	0.0181	0.00017
V178	0.06956	0.72885	0.06202	0.13957
V179	0.22291	0.00984	0.43507	0.33218
V180	0.08739	0.76298	0.14963	0
V181	0.21115	0.13981	0.55237	0.09667
V182	0.3323	0.18198	0.47636	0.00936
V183	0.22531	0.71928	0.05541	0
V184	0.89542	0	0.10458	0
V185	0.57485	0.37057	0.05459	0
V186	0.16923	0.44975	0.31406	0.06696
V187	0.8787	0.01357	0.09951	0.00822
V188	0.13421	0.26037	0	0.60541
V189	0.80846	0.01803	0.05395	0.11957
V190	0.6397	0.01641	0.3439	0
V191	0.22782	0.20424	0.56794	0
V192	0.35208	0.45428	0.07319	0.12045
V193	0.60622	0.02773	0.28047	0.08558
V194	0.11195	0.83213	0.05592	0
V195	0.09061	0.0644	0.84499	0
V196	0.09038	0.12056	0.03529	0.75377
V197	0.48228	0.04638	0.04476	0.42658
V198	0.12036	0.46742	0.40971	0.00251
V199	0.24367	0.01957	0.23645	0.50031
V200	0.18604	0.558	0.04691	0.20906
V201	0.14878	0.52584	0.23891	0.08647
V202	0.08116	0.04811	0.76366	0.10707
V203	0.2036	0.38337	0.41303	0
V204	0.07136	0.53397	0.04451	0.35016
V205	0.08959	0.08723	0.82319	0
V206	0.10936	0.11184	0.77879	0
V207	0.21327	0.21053	0.0769	0.49929
V208	0.27767	0.0753	0.64704	0
V209	0.34845	0.44951	0.10077	0.10126
V210	0.14661	0.69003	0.15937	0.00399
V211	0.48624	0.00181	0.07555	0.43639
V212	0.50407	0.04656	0.44936	0
V213	0.65243	0.02039	0.15489	0.17228
V214	0.37591	0.16364	0.20598	0.25447
V215	0.37257	0.1088	0.0257	0.49293
V216	0.16871	0	0.10009	0.7312
V217	0.09224	0.47259	0.28841	0.14676
V218	0.14843	0.43917	0.21555	0.19684
V219	0.16419	0.61724	0.05043	0.16814
V220	0.07115	0.77437	0.06813	0.08635
V221	0.81057	0.00397	0.0372	0.14827
V222	0.34678	0.1362	0.39971	0.1173
V223	0.05892	0.15976	0.747	0.03431
V224	0.89282	0	0.10718	0
V225	0.11843	0.757	0.12457	0
V226	0.32589	0.0889	0.58521	0
V227	0.75925	0	0.24075	0
V228	0.75582	0.06462	0.10706	0.0725
V229	0.09229	0.05423	0.84395	0.00953
V230	0.10892	0.06139	0.0927	0.73698
V231	0.06561	0.29737	0.16353	0.47348
V232	0.11089	0.6623	0	0.22681
V233	0.57171	0.08759	0.24048	0.10022
V234	0.10595	0.79043	0.10362	0
V235	0.39166	0.07001	0.53833	0
V236	0.10703	0.09432	0.76306	0.03559
V237	0.26502	0	0.07766	0.65732
V238	0.18031	0.5062	0.31349	0
V239	0.12879	0.41348	0.0491	0.40863
V240	0.49448	0.04585	0.44626	0.01341
V241	0.08548	0.02159	0.85938	0.03354
V242	0.17807	0.67088	0.15105	0
V243	0.27886	0.05602	0.63169	0.03343
