Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0.00847	0.00718	0.03171	0.00862	0.08901	0.00311	0.03534	0	0.0127	0.80384
V2	0.63716	0.00763	0.04228	0.00427	0.03251	0.22978	0.04638	0	0	0
V3	0.12627	0.09415	0.1033	0.02193	0.36021	0.0119	0.11157	0.11213	0.01279	0.04576
V4	0.00702	0.08004	0.04258	0.00969	0.04339	0.07622	0.02561	0.00819	0.42993	0.27732
V5	0	0.08594	0.02917	0.05933	0	0.0549	0.0292	0	0.00878	0.73268
V6	0.00987	0.1289	0.20104	0.03432	0.49993	0.02976	0.02641	0.04573	0.00019	0.02385
V7	0	0.58239	0.01459	0.0199	0.22994	0.01114	0.07291	0.05365	0.00123	0.01425
V8	0.004	0.60683	0.0463	0.01633	0.02744	0.02427	0.02233	0.21471	0.01818	0.01961
V9	0.01748	0	0.09416	0.12719	0.06178	0.01984	0.22935	0.39631	0.03691	0.01698
V10	0	0.14619	0.01742	0.00923	0.58062	0.07339	0.03762	0.11344	0	0.0221
V11	0.01247	0.59544	0.00927	0.01227	0.02674	0.04848	0.02195	0.19557	0.04391	0.0339
V12	0.01619	0.02436	0.18986	0.40769	0.04179	0	0.10114	0.003	0.01105	0.20491
V13	0.1057	0.00828	0.1278	0.01821	0.08318	0.11561	0.41329	0	0.10225	0.02568
V14	0.07798	0.47186	0.13612	0.06742	0.05304	0.04512	0.12494	0.00613	0.00852	0.00886
V15	0.25443	0.01183	0.16871	0.45662	0.03302	0.01467	0.04549	0.00394	0.01128	0
V16	0.02133	0.06123	0.23575	0.47428	0.04534	0.04138	0.01939	0	0.08185	0.01943
V17	0.01443	0.09869	0.00419	0.01015	4e-04	0.06254	0.04822	0.00272	0.01575	0.74292
V18	0.06017	0.05594	0.07036	0.21866	0	0.00719	0.02392	0	0.0092	0.55455
V19	0	0	0.01489	0.04596	0	0.06149	0.02751	0.0025	0.01101	0.83663
V20	6e-04	0.23249	0.02342	0.01755	0.05329	0.00018	0.49665	0.02738	0.01253	0.13591
V21	0.10238	0.45078	0.02156	0.01189	0.02776	0.31227	0.02585	0.02104	0.00854	0.01791
V22	0.00098	0	0.00013	0.00213	0	0.0132	0.03168	0.17109	0.04185	0.73894
V23	0.27084	0.02507	0.44936	0.04757	0.01719	0.00412	0.0212	0	0.00913	0.15553
V24	0.02412	0.64967	0.04888	0.01712	0.0406	0.00205	0.08211	0.05454	0.0705	0.01042
V25	0.0203	0.09739	0.02503	0.02403	0.04312	0.10504	0.04027	0	0.10966	0.53514
V26	0.02384	0	0.06441	0.01199	0.0457	0.02953	0.05975	0.72214	0.03059	0.01204
V27	0	0.05927	0.00979	0.00721	0.24757	0.00314	0.04568	0	0.00782	0.61951
V28	0.2244	0	0.01728	0.0019	0	0.01543	0.04237	0.0139	0.00549	0.67923
V29	0.00544	0.68512	0.00924	0.01939	0.02296	0.09184	0.02097	0.01298	0.00195	0.13012
V30	0.00892	0.00532	0.1131	0.02531	0.06264	0.28174	0.2744	0	0.19883	0.02975
V31	0.01578	0.38753	0.19107	0.02829	0.07143	0.00809	0.0238	0.23667	0.01458	0.02274
V32	0.5011	0.04934	0.05284	0.00679	0.20741	0.03636	0.05398	0	0.06134	0.03085
V33	0.04538	0.01869	0.24774	0.42975	0.04811	0	0.19464	0	0.01165	0.00403
V34	0	0.03863	0.00895	0.00629	0.12393	0.00367	0.03496	0.00613	0.03619	0.74126
V35	0.00657	0.86312	0.0159	0.01802	0.0312	0.01037	0.02829	0.01363	0.00455	0.00836
V36	0.05867	0.01371	0.03922	0.01086	0.09606	0	0.7432	0.01389	0.01687	0.00754
V37	0	0.57772	0.01697	0.01437	0.05724	0	0.2781	0.0195	0.01272	0.02338
V38	0.13805	0	0.08619	0.15409	0.07103	0	0.52875	0	0.01796	0.00394
V39	0.08739	0.0035	0.09093	0.15194	0.09807	0	0.52257	0.0065	0.01793	0.02118
V40	0.13146	0.03755	0.60246	0.06524	0.10353	0	0.01945	0	0.01129	0.02902
V41	0.61405	0.0577	0.07412	0.00748	0.02234	0.00134	0.03153	0.00124	0.16503	0.02517
V42	0	0.65577	0.0144	0.01529	0.21887	0.00332	0.01997	0	0.00215	0.07023
V43	0.14911	0.04685	0.1302	0.08222	0.19516	0.03292	0.22837	0.01278	0.10982	0.01257
V44	0.04377	0.00524	0.52258	0.05618	0.03627	0.00691	0.02702	0.26889	0.02345	0.0097
V45	0.00954	0	0.05919	0.01897	0.064	0	0.28311	0	0.47198	0.09321
V46	0.15289	0.07539	0.07007	0.17281	0.00794	0.00188	0.02426	0.00785	0.00748	0.47943
V47	0.00395	0	0.04328	0.01238	0.08503	0	0.80871	0	0.02182	0.02483
V48	0.00666	0	0.01021	0.00457	0	0.00221	0.03481	0	0.06493	0.8766
V49	0.23384	0	0.01821	0.01129	0.03328	0.02252	0.04384	0.61788	0.01915	0
V50	0.318	0.17614	0.03228	0.00881	0.03689	0.4103	0.01639	0	0.00119	0
V51	0.17808	0.01957	0.51447	0.05417	0.08119	0	0.0266	0.04081	0.04525	0.03987
V52	0.01853	0.00302	0.21277	0.30231	0.06044	0	0.37583	0.00102	0.01968	0.00641
V53	0.41511	0.00244	0.10823	0.07835	0.0105	0.00322	0.03192	0.09164	0.00569	0.2529
V54	0	0.04319	0.01838	0.01159	0.18773	0.71352	0.01771	0	0	0.00787
V55	0.01849	0.02506	0.18722	0.59532	0.07881	0.00881	0.04691	0	0.01019	0.02918
V56	0.15852	0.02782	0.47106	0.06876	0.08505	0.12839	0.01726	0	0.00557	0.03758
V57	0.03928	0.00952	0.5136	0.21832	0.03663	0.00627	0.02506	0.01854	0.07768	0.05511
V58	0.01591	0.19825	0.09132	0.13731	0.04457	0.47566	0.0269	0	0.00544	0.00463
V59	0.03024	0.05498	0.0394	0.01196	0.08352	0	0.75348	0	0.01813	0.0083
V60	0.72672	0.01393	0.0634	0.00572	0.06034	0.00123	0.02831	0	0.09153	0.00881
V61	0.00114	0	0.05252	0.03571	0.05235	0.82195	0.01777	0.00075	0	0.01781
V62	0.02023	0	0.01955	0.01696	0.01746	0	0.35331	0.00101	0.0368	0.53468
V63	0	0.26119	0.02851	0.01272	0.15294	0.48183	0.02186	0	0.00288	0.03807
V64	0.08752	0.00369	0.29795	0.23782	0.02711	0.0137	0.02634	0.20392	0.01315	0.08881
V65	0.08147	0.0227	0.12692	0.31682	0.0368	0.00644	0.08095	0.1939	0.08673	0.04728
V66	0	0.13498	0.02356	0.00912	0.47205	0.02752	0.04728	0.00927	0.0166	0.25962
V67	0.02916	0.17958	0.43122	0.08826	0.04296	0.03586	0.08604	0.00476	0.04558	0.05658
V68	0.03083	0.01572	0.04721	0.00937	0.068	0.01503	0.0353	0.29057	0.47197	0.01598
V69	0.05405	0.02315	0.73465	0.09252	0.04386	0	0.01782	0	0.0161	0.01785
V70	0.70343	0.00882	0.12477	0.01116	0.02043	0.02394	0.05092	0.00115	0.05537	0
V71	0.0472	0	0.01106	0.0134	0.04078	0.03025	0.05292	0.73107	0.03013	0.04319
V72	0.22336	0.02601	0.08258	0.20625	0.119	0.00211	0.02616	0.00189	0.01009	0.30255
V73	0.02187	0.18824	0.03651	0.01877	0.63846	0.02104	0.03497	0	0	0.04013
V74	0.00914	0	0.04662	0.13103	0	0.02881	0.02617	0.00273	0.01062	0.74488
V75	0.02302	0.08428	0.24893	0.40338	0.05427	0.00953	0.02038	0.00265	0.14442	0.00913
V76	0	0.00489	0.02543	0.01495	0.05129	0.87781	0.02001	0.00132	0.00123	0.00305
V77	0.00863	0	0.09862	0.27776	0.0559	0.25607	0.27631	0	0.00827	0.01843
V78	0	0.47279	0.04589	0.01555	0.05653	0.00286	0.28584	0	0.00765	0.1129
V79	0.01154	0.02304	0.11246	0.26661	0.04313	0.26617	0.02631	0	0.19499	0.05576
V80	0.34375	0	0.0255	0.0072	0	0.00048	0.04754	0	0.03844	0.53709
V81	0.00173	0.03993	0.05716	0.15076	0.15985	0.56679	0.01731	0	0	0.00646
V82	0.06217	0.50887	0.08245	0.22321	0.03309	0.01737	0.01774	0.04642	0.00401	0.00467
V83	0.04426	0.06175	0.15806	0.42958	0.0539	0.00821	0.02715	0.20449	0.01259	0
V84	0.02474	0.01544	0.03923	0.03889	0.13688	0.53655	0.20041	0	0.00116	0.0067
V85	0.1969	0	0.35465	0.0437	0	0	0.02368	0	0.01149	0.36958
V86	0.29546	0.01146	0.31154	0.30139	0.02991	0.0062	0.02224	0	0.00784	0.01396
V87	0.01323	0.03865	0.07744	0.02299	0.09422	0.00684	0.02814	0	0.69024	0.02824
V88	0.01323	0.33144	0.1514	0.43282	0.0342	0.00133	0.0241	0	0.00806	0.00343
V89	0.00605	0	0.04436	0.04167	0.08775	0	0.72441	0.07012	0.01966	0.00597
V90	0.01815	0.0399	0.2902	0.03852	0	0.01729	0.02238	0	0.01173	0.56183
V91	0.06362	0.01474	0.72014	0.08403	0.04784	0	0.01821	0	0.02065	0.03077
V92	0.00455	0.00139	0.04422	0.01258	0.08855	0	0.77728	0	0.06129	0.01013
V93	0.01348	0.04724	0.1139	0.01747	0.0755	0	0.26029	0.00712	0.44312	0.02188
V94	0.79495	0.00119	0.08113	0.0059	0.01533	0.02328	0.04256	0.02052	0.00263	0.01249
V95	0.00916	0.00438	0.027	0.00942	0.08619	0.00074	0.56351	0.2671	0.02842	0.00408
V96	0.03945	0.12169	0.36087	0.35549	0.03572	0.0146	0.01792	0.00777	0.02554	0.02095
V97	0.00235	0	0.03356	0.0099	0.06318	0	0.69823	0	0.02464	0.16814
V98	0.00167	0.29805	0.0315	0.05678	0.14907	0.0203	0.05605	0.07214	0.12144	0.193
V99	0.59931	0.00206	0.06805	0.00644	0.0336	0.00017	0.09012	0.00094	0.18478	0.01454
V100	0.21081	0.01474	0.09197	0.18618	0.0523	0.29378	0.03171	0	0.08771	0.03081
V101	0	0	0.00125	0.00265	0	0.06005	0.13561	0.02111	0.01034	0.769
V102	0.0485	0.23675	0.01388	0.00931	0.10577	0.31146	0.13865	0.09249	0.00757	0.0356
V103	0.10048	0.01639	0.07657	0.02042	0.05823	0.0061	0.02809	0.00069	0.65077	0.04227
V104	0.06484	0.01278	0.7307	0.0799	0.03893	0	0.01808	0	0.03673	0.01804
V105	0.37499	0	0.11215	0.01859	0.0294	0.14399	0.02838	0.28207	0.01044	0
V106	0.01952	0.6621	0.19272	0.0326	0.02787	0.02215	0.01441	0	0.00475	0.02388
V107	0.28503	0.23778	0.04678	0.01609	0.23048	0.01853	0.03057	0.02465	0.09836	0.01174
V108	0.00125	0	0.03999	0.12179	0.00198	0.34656	0.02129	0.01598	0.00948	0.44169
V109	0	0.02585	0.02537	0.02079	0.05589	0.83689	0.02508	0.00073	0.00594	0.00346
V110	0	0.1875	0.03043	0.01151	0.63892	0.00589	0.03077	0.05462	0	0.04035
V111	0.00278	0.01006	0.03941	0.01891	0.15643	0	0.7282	0	0.01694	0.02728
