Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0	0.07497	0.04561	0.02377	0.09881	0	0.08393	0.01102	0	0.66188
V2	0.51755	0.05778	0.04439	0.05872	0	0.23019	0.09072	0	0.00064	0
V3	0.0375	0.10266	0.07716	0.04135	0.3009	0.02003	0.14818	0.126	0.14621	0
V4	0	0.13368	0.01921	0.02375	0.04915	0.05479	0.11348	0.05083	0.45496	0.10015
V5	0	0.15617	0.04028	0.11496	0	0.04222	0.10769	0.00807	0	0.5306
V6	0	0.11837	0.11985	0.03522	0.42392	0.02985	0.0595	0.05707	0.1562	0
V7	0	0.5277	0	0	0.16165	0	0.11931	0.06932	0.12202	0
V8	0	0.54073	0	0.02446	0	0.01526	0.09559	0.22285	0.10111	0
V9	0	0.02766	0.06475	0.13452	0.01878	0.0227	0.28748	0.35844	0.08566	0
V10	0	0.11514	0	0	0.47511	0.05144	0.08497	0.1221	0.15124	0
V11	0	0.53135	0	0.00308	0	0.03333	0.10015	0.2056	0.12649	0
V12	0	0.03621	0.18749	0.45703	0	0	0.15854	0.01108	0.04752	0.10212
V13	0.01922	0.04853	0.12596	0.06888	0.0414	0.0895	0.42805	0.04474	0.13373	0
V14	0.0152	0.44958	0.11598	0.10548	0	0.03651	0.17247	0.01666	0.08811	0
V15	0.17116	0.00957	0.16966	0.51282	0	0.01303	0.08592	0.00141	0.03645	0
V16	0	0.06465	0.21086	0.48232	0	0.03022	0.08158	0.00038	0.12998	0
V17	0	0.18845	0.02092	0.04089	0	0.05137	0.14034	0.02467	0	0.53336
V18	0.03258	0.08868	0.09545	0.32565	0	0	0.07572	3e-05	0	0.38189
V19	0.00051	0	0.00427	0.1185	0	0.04453	0.09863	0.00282	0	0.73074
V20	0	0.22879	0.00251	0.06287	0.01724	0	0.5102	0.07746	0.05736	0.04357
V21	0.03498	0.44214	0.0086	0.03876	0	0.25495	0.11554	0.03282	0.07221	0
V22	0	0.03131	0.00878	0.02502	0	0.00143	0.13555	0.25128	0.02025	0.52638
V23	0.2131	0.03956	0.48241	0.12363	0	0.02432	0.02733	0	0.01119	0.07847
V24	0	0.59921	0.00479	0.03221	0	0	0.13138	0.07381	0.1586	0
V25	0	0.16708	0.03348	0.04589	0.04075	0.08968	0.12634	0.02437	0.17968	0.29272
V26	0	0.02785	0.03302	0.02117	0.00803	0.03104	0.17289	0.63456	0.07144	0
V27	0	0.10383	0	0	0.28844	0	0.09342	0.0153	0.09132	0.40768
V28	0.26625	0	0.00723	0.0603	0	0.00561	0.08724	0.01893	0	0.55443
V29	0	0.70034	0	0.01847	0	0.0772	0.08422	0.02363	0.08785	0.00829
V30	0	0.04759	0.08072	0.06112	0.03233	0.19813	0.33597	0.03851	0.20562	0
V31	0	0.35723	0.13789	0.04965	0.00937	0.01243	0.08934	0.23195	0.11214	0
V32	0.35118	0.08946	0.04556	0.03204	0.19072	0.05076	0.07407	0.00444	0.16177	0
V33	0	0.02	0.2362	0.45458	0	0	0.23725	0.00812	0.04386	0
V34	0	0.10638	0.00161	0.01075	0.14771	0	0.09162	0.03076	0.07235	0.53883
V35	0	0.84864	0	0	0	0	0.06349	0.01823	0.06964	0
V36	0	0.04107	0.04137	0.06622	0.05407	0	0.68582	0.07914	0.03231	0
V37	0	0.52807	0	0.02436	0	0	0.31323	0.04927	0.08508	0
V38	0.04677	0.02591	0.09518	0.19691	0.02643	0	0.52087	0.04209	0.04585	0
V39	0.00882	0.03024	0.09865	0.18935	0.05042	0	0.51122	0.05464	0.05666	0
V40	0.07033	0.06321	0.6039	0.12477	0.02416	0.02219	0.02455	0	0.06688	0
V41	0.4703	0.113	0.07033	0.04925	0	0.02229	0.04727	0.00984	0.21772	0
V42	0	0.64272	0	0	0.1709	0	0.04619	0.00601	0.13418	0
V43	0.04332	0.07335	0.11484	0.11261	0.14118	0.03093	0.25292	0.04448	0.18636	0
V44	0	0.01692	0.45203	0.10477	0	0.02671	0.08226	0.25422	0.06309	0
V45	0	0.05364	0.03213	0.04307	0.06121	0	0.31317	0.0509	0.43608	0.0098
V46	0.1166	0.11877	0.09338	0.26067	0	0	0.07004	0.01186	0.02066	0.30803
V47	0	0.01605	0.02588	0.06449	0.05343	0	0.74735	0.06518	0.02763	0
V48	0	0.03625	0.01141	0.04211	0	0	0.09248	0.01072	0	0.80702
V49	0.09371	0.03719	0.03049	0.02701	0.00124	0.0322	0.14138	0.57508	0.0617	0
