Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0.00888	0.00806	0.03995	0.00843	0.10115	0.00182	0.03816	0	0.01818	0.77539
V2	0.63959	0.00283	0.04238	0.0068	0.03931	0.21864	0.04984	0	0.00061	0
V3	0.12776	0.0697	0.10876	0.02048	0.37523	0.00814	0.12182	0.11781	0.02285	0.02743
V4	0.00398	0.07683	0.04727	0.01011	0.06083	0.06842	0.02508	0.01091	0.45116	0.2454
V5	0	0.09405	0.03314	0.06393	0.00151	0.05265	0.03116	0	0.01322	0.71034
V6	0.01081	0.09805	0.21447	0.03233	0.52713	0.02494	0.0342	0.0494	0.00858	9e-05
V7	0	0.57072	0.01901	0.02116	0.23606	0.00734	0.07501	0.05408	0.01053	0.00609
V8	0.00286	0.59463	0.05159	0.01606	0.03	0.02189	0.01914	0.21726	0.02603	0.02056
V9	0.00873	0	0.09495	0.12814	0.06781	0.01991	0.23194	0.39566	0.04284	0.01002
V10	0	0.11042	0.02464	0.00821	0.61036	0.06652	0.04636	0.12193	0.01156	0
V11	0.01154	0.58237	0.01429	0.01276	0.03032	0.04418	0.01866	0.19776	0.0545	0.03362
V12	0.00785	0.01889	0.17537	0.43092	0.05519	0.00238	0.10802	0.00478	0.00766	0.18894
V13	0.10033	0.00583	0.12866	0.01794	0.09444	0.10666	0.41977	0	0.1121	0.01427
V14	0.07677	0.46394	0.13544	0.06978	0.06024	0.04225	0.12821	0.00442	0.01301	0.00594
V15	0.24191	0.00297	0.14951	0.48092	0.04509	0.01747	0.04991	0.00501	0.00721	0
V16	0.01122	0.05269	0.21893	0.49902	0.06021	0.04248	0.02367	0	0.08163	0.01016
V17	0.01441	0.10426	0.00994	0.01122	0.01043	0.05875	0.05041	0.00331	0.02193	0.71535
V18	0.0565	0.06169	0.06593	0.23468	0	0.00889	0.02643	0.00015	0.01059	0.53514
V19	0	0	0.02124	0.05062	0	0.05965	0.02977	0.00447	0.01505	0.8192
V20	0.00073	0.22564	0.02752	0.01892	0.06172	0	0.49941	0.02644	0.01844	0.12119
V21	0.10292	0.44926	0.02392	0.01421	0.03332	0.29744	0.02602	0.01961	0.016	0.01731
V22	0	0	0.00975	0.00252	0	0.01297	0.03324	0.17811	0.05056	0.71286
V23	0.26629	0.0246	0.45559	0.04214	0.02671	0.00588	0.0241	0	0.00647	0.14823
V24	0.02448	0.63499	0.05186	0.01775	0.04608	0.00038	0.08009	0.05353	0.08181	0.00903
V25	0.01935	0.09786	0.02936	0.02572	0.05537	0.09809	0.04241	0	0.12373	0.5081
