Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0.01262	0.02555	0.01964	0.02139	0.07725	0	0.03545	0	0.01954	0.78856
V2	0.62911	0.01148	0.05125	0.00522	0.02788	0.21887	0.05382	0.00236	0	0
V3	0.11343	0.0936	0.08869	0.01737	0.383	0.00833	0.1251	0.11002	0.01759	0.04287
V4	0.00127	0.08819	0.03593	0.01315	0.02112	0.07289	0.02787	0.00731	0.46892	0.26334
V5	0.00071	0.09634	0.01992	0.07595	0	0.05304	0.03029	0	0.01318	0.71057
V6	0.00055	0.12762	0.17407	0.02764	0.54366	0.02342	0.02531	0.04618	0.00673	0.02481
V7	0	0.5713	0.00027	0.01773	0.2512	0.00693	0.07925	0.05442	0.00576	0.01312
V8	0	0.60932	0.04515	0.0157	0.02439	0.0238	0.02504	0.21975	0.02214	0.01471
V9	0.00517	0	0.08817	0.1226	0.0442	0.02323	0.27481	0.39064	0.04034	0.01085
V10	0	0.14403	0	0.00414	0.61687	0.05898	0.03889	0.10958	0.0048	0.02271
V11	0.00946	0.59907	0.00871	0.01231	0.02198	0.04625	0.0247	0.20032	0.04908	0.02814
V12	0.00395	0.02434	0.16475	0.43951	0.02827	0.00283	0.12066	0.00699	0.01668	0.19202
V13	0.09284	0.00904	0.11478	0.01303	0.05662	0.10802	0.47751	0.00182	0.10322	0.02311
V14	0.07162	0.47133	0.12738	0.06639	0.04702	0.04396	0.14603	0.00814	0.01188	0.00626
V15	0.24778	0.00816	0.1411	0.48303	0.0266	0.01863	0.04975	0.00944	0.01552	0
V16	0.00473	0.05851	0.21136	0.51158	0.03919	0.04581	0.01926	0.00189	0.094	0.01368
V17	0.01687	0.11165	0	0.02067	0	0.05971	0.05486	0.00053	0.02059	0.71513
V18	0.05977	0.05941	0.05539	0.24928	0	0.00689	0.02293	0	0.01365	0.53268
V19	0	0	0.00718	0.06551	0	0.0607	0.02878	0.00074	0.01582	0.82126
V20	0	0.22321	0.01008	0.01481	0.02306	0.00159	0.56555	0.02742	0.01482	0.11947
V21	0.10087	0.46048	0.02475	0.01182	0.01935	0.30241	0.03135	0.02432	0.01105	0.01361
