Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0.01245	0.01379	0.04732	0.00832	0.12303	0.00339	0.03774	0	0.02543	0.72853
V2	0.60166	0.00531	0.0361	0.00976	0.05124	0.22767	0.05945	0	0.00881	0
V3	0.11037	0.06593	0.11921	0.02626	0.34905	0.0173	0.13252	0.11779	0.0418	0.01977
V4	0.00106	0.08681	0.05329	0.00893	0.06655	0.07118	0.03268	0.00904	0.45257	0.21789
V5	0.00056	0.0996	0.04364	0.06014	0.02091	0.05642	0.03182	0	0.01989	0.66702
V6	0.0066	0.0869	0.22334	0.03668	0.48711	0.03256	0.04031	0.05383	0.03267	0
V7	0.00021	0.52015	0.03976	0.01571	0.23035	0.01587	0.0862	0.05691	0.02816	0.00668
V8	0.00237	0.55092	0.06684	0.00955	0.04457	0.02794	0.02842	0.21277	0.03524	0.02137
V9	0.00437	0.00815	0.10494	0.12204	0.07061	0.02936	0.24274	0.36563	0.04476	0.00742
V10	0.00015	0.0965	0.04653	0.01486	0.55883	0.07315	0.05287	0.12146	0.03565	0
V11	0.0105	0.54062	0.02966	0.00588	0.04457	0.04995	0.0279	0.19419	0.06363	0.0331
V12	0	0.02825	0.19211	0.40304	0.05556	0.009	0.1201	0.00557	0.01971	0.16667
V13	0.083	0.01859	0.13286	0.02432	0.08013	0.10958	0.42391	0.00327	0.11316	0.01118
V14	0.06673	0.42832	0.14795	0.06176	0.06297	0.04887	0.14286	0.00725	0.02649	0.00681
V15	0.21666	0.01121	0.16028	0.45793	0.04613	0.02304	0.05988	0.00571	0.01916	0
V16	0	0.06046	0.23474	0.46383	0.05881	0.04819	0.03214	0	0.09432	0.00751
V17	0.01682	0.10922	0.01798	0.00878	0.02986	0.06289	0.05351	0.00236	0.02875	0.66984
V18	0.05244	0.06934	0.07843	0.22775	0.01255	0.01172	0.02888	0	0.01883	0.50006
V19	0.0013	0	0.0305	0.05077	0	0.06507	0.02936	0.00322	0.02016	0.79962
V20	0.00261	0.20664	0.04455	0.02195	0.05181	0.01392	0.50411	0.0278	0.02512	0.1015
V21	0.09228	0.41784	0.0388	0.00869	0.04446	0.2974	0.03429	0.02129	0.02789	0.01705
V22	0.00286	0	0.01586	0.00415	0.01063	0.01594	0.0358	0.18293	0.05531	0.67651
V23	0.243	0.02768	0.45986	0.04539	0.03851	0.00699	0.02857	0	0.01568	0.13432
V24	0.0225	0.5878	0.06692	0.00979	0.05286	0.00737	0.09333	0.05423	0.09375	0.01145
V25	0.01844	0.10335	0.03984	0.02372	0.06896	0.10253	0.04693	0	0.13533	0.46089
V26	0.01078	0.0056	0.08519	0.01825	0.0711	0.03513	0.07095	0.66518	0.02939	0.00842
V27	0.00196	0.05045	0.02987	0.00883	0.27406	0.00451	0.05375	0	0.02968	0.54688
V28	0.22967	0	0.02315	0.00449	0	0.01758	0.04887	0.01523	0.01522	0.64579
V29	0.00806	0.64305	0.02895	0.01068	0.03949	0.09145	0.0245	0.01271	0.02168	0.11943
V30	0.00179	0.01918	0.12392	0.02927	0.06838	0.24973	0.28729	0	0.20693	0.01351
V31	0.0077	0.34892	0.20439	0.02335	0.08648	0.01335	0.0329	0.23451	0.03059	0.01779
V32	0.46898	0.03269	0.05172	0.01127	0.22235	0.03779	0.06817	0	0.09037	0.01668
V33	0.023	0.02264	0.24186	0.41095	0.05403	0.00962	0.21842	0	0.01949	0
V34	0.00256	0.04141	0.02511	0.00616	0.15449	0.004	0.03828	0.00796	0.0552	0.66484
V35	0.01242	0.79815	0.0386	0.00664	0.04327	0.01373	0.03146	0.01264	0.02615	0.01693
V36	0.04857	0.02549	0.05707	0.02281	0.07731	0.01546	0.70986	0.01637	0.02707	0
V37	0.00176	0.50867	0.0402	0.01147	0.06104	0.00679	0.29839	0.0202	0.03086	0.02061
V38	0.11005	0.00869	0.09142	0.14857	0.06464	0.00725	0.54039	0	0.02897	0
V39	0.0678	0.01268	0.09823	0.1458	0.08741	0.00778	0.53224	0.01048	0.02994	0.00763
V40	0.10542	0.03433	0.61121	0.06189	0.11989	0.00176	0.03027	0	0.01989	0.01534
V41	0.57191	0.05621	0.06283	0.00989	0.04272	0.00218	0.03903	0.00034	0.19442	0.02047
V42	0.00136	0.60001	0.03937	0.0089	0.22786	0.00652	0.02512	0.00132	0.02992	0.05961
V43	0.12167	0.03933	0.13412	0.08218	0.18665	0.03834	0.24954	0.01675	0.13142	0
V44	0.02082	0.01055	0.51551	0.05276	0.05592	0.01287	0.03898	0.26274	0.02835	0.0015
V45	0.00328	0.01534	0.06808	0.02258	0.07213	0.00745	0.28988	0	0.46208	0.05918
V46	0.14162	0.08131	0.07503	0.17963	0.03353	0.00514	0.02937	0.00829	0.0183	0.42778
V47	0.00785	0.00956	0.06305	0.02582	0.07051	0.01689	0.76558	0	0.03022	0.01052
V48	0.01191	0.01153	0.0239	0.00449	0.0055	0.00308	0.03599	0	0.08067	0.82292
V49	0.19493	0.0012	0.02964	0.0173	0.05709	0.02751	0.05548	0.59182	0.02504	0
V50	0.28959	0.16886	0.04056	0.01099	0.05523	0.39079	0.02536	0	0.01863	0
V51	0.14737	0.01864	0.51784	0.05108	0.09805	0.00332	0.03753	0.04306	0.05778	0.02532
V52	0.0043	0.01221	0.20681	0.28109	0.05926	0.00896	0.39416	0.00499	0.02823	0
V53	0.3866	0.0046	0.10817	0.08288	0.03382	0.00582	0.04001	0.09714	0.01573	0.22523
V54	0	0.03776	0.04573	0.01693	0.1935	0.65281	0.03175	0.00165	0.01985	0
V55	0	0.02394	0.18583	0.58502	0.08859	0.01958	0.06257	0.00148	0.01836	0.01463
V56	0.13065	0.0258	0.47933	0.06638	0.10199	0.12646	0.02819	0	0.01763	0.02357
V57	0.01545	0.01488	0.5108	0.21107	0.05327	0.01246	0.03684	0.02038	0.08742	0.03742
V58	0.00656	0.18571	0.10813	0.13374	0.05966	0.44377	0.03944	0.00018	0.0228	0
V59	0.02758	0.0592	0.05848	0.02342	0.06748	0.01539	0.7203	0	0.02814	0
V60	0.6929	0.00814	0.04911	0.00936	0.08189	0.00174	0.03525	0	0.11594	0.00567
V61	0	0.00795	0.07559	0.03894	0.07104	0.74884	0.03115	0.0026	0.015	0.00888
V62	0.02091	0	0.03647	0.02296	0.03757	0.0044	0.38486	0.00282	0.04888	0.44112
V63	0	0.23566	0.05403	0.01355	0.16203	0.45003	0.03334	0	0.02616	0.02519
V64	0.06096	0.00779	0.29799	0.23271	0.04638	0.02069	0.03826	0.20506	0.02086	0.06931
V65	0.05535	0.02616	0.12691	0.30455	0.05154	0.01557	0.09741	0.19076	0.09955	0.03218
V66	0.00019	0.09949	0.04988	0.01277	0.47459	0.02982	0.06086	0.01711	0.05163	0.20366
V67	0.01276	0.16835	0.43231	0.0813	0.05639	0.03985	0.10216	0.00664	0.05911	0.04113
