Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0.01915	0.04151	0	0	0.12929	0.00339	0.02654	0	0.02798	0.75215
V2	0.6069	0.01708	0.04915	0	0.03371	0.2421	0.04754	0	0.00352	0
V3	0.10939	0.10116	0.08135	0.01066	0.38901	0.01199	0.10087	0.09271	0.03381	0.06906
V4	0.01332	0.09466	0.03014	0.00355	0.04133	0.08655	0.01618	0.00488	0.48568	0.2237
V5	0.01624	0.12445	0.00054	0.05551	0	0.06575	0.02952	0	0.02604	0.68195
V6	0.00707	0.13385	0.15891	0.02044	0.52674	0.0291	0.01213	0.02867	0.02093	0.06216
V7	0	0.56305	0	0.018	0.24764	0.00695	0.07649	0.03682	0.03585	0.01522
V8	0	0.60677	0.04553	0.01867	0.01028	0.02233	0.039	0.19488	0.06234	0.00018
V9	0.0236	0	0.08152	0.1115	0.04052	0.01916	0.25407	0.38445	0.06466	0.02053
V10	0	0.14705	0	0	0.59854	0.06531	0.02469	0.08506	0.02023	0.05913
V11	0.00759	0.59564	0.00642	0.01394	0.01059	0.04795	0.03854	0.17675	0.09112	0.01145
V12	0.05396	0.03264	0.16044	0.40972	0.03134	0	0.102	0	0.02664	0.18326
V13	0.09854	0.01136	0.11914	0.0155	0.05553	0.11627	0.42915	0.00105	0.11816	0.0353
V14	0.07739	0.4675	0.13334	0.06565	0.03539	0.04423	0.1391	0	0.0374	0
V15	0.30236	0.01409	0.13753	0.45166	0.02035	0.0147	0.03309	0	0.02622	0
V16	0.05905	0.06559	0.20559	0.46254	0.0314	0.04583	0.00586	0	0.11265	0.01149
V17	0.01724	0.1394	0	0	0.00348	0.07331	0.05506	0	0.03408	0.67743
V18	0.09427	0.07952	0.04054	0.22638	0	0.00741	0.01619	0	0.02543	0.51024
V19	0.00783	0	0	0.03757	0	0.07919	0.02775	0.00099	0.02438	0.82228
V20	0	0.23678	0.00646	0.02234	0.01929	0	0.53582	0.02824	0.0307	0.12037
V21	0.09326	0.44644	0.02412	0.00825	0.0137	0.32353	0.0452	0.00853	0.03697	0
V22	0.00133	0	0	0	0	0.01739	0.03661	0.18899	0.07015	0.68553
V23	0.27495	0.03326	0.468	0.04095	0.002	0.00901	0.01313	0	0.02065	0.13805
V24	0.01889	0.64429	0.04476	0.0214	0.01992	0	0.09444	0.03969	0.11659	0
V25	0.03045	0.12552	0.00601	0.01519	0.05378	0.11843	0.04083	0	0.1473	0.46248
V26	0.01996	0	0.06283	0.00015	0.02705	0.03103	0.08062	0.69589	0.07024	0.01223
V27	0	0.09107	0	0	0.31242	0.00167	0.03343	0	0.02123	0.54018
V28	0.26271	0	0	0	0	0.02028	0.0432	0.01683	0.01668	0.6403
V29	0.00249	0.7062	0.00157	0.02277	0.00846	0.09375	0.03569	0	0.0401	0.08896
V30	0.01056	0.00876	0.1031	0.0181	0.03589	0.28486	0.28724	0	0.22059	0.0309
V31	0.01646	0.38088	0.19299	0.02568	0.06389	0.00842	0.0342	0.21203	0.04935	0.01609
V32	0.45465	0.06284	0.04448	0	0.23753	0.03755	0.03915	0	0.08012	0.0437
V33	0.07987	0.01785	0.2229	0.42195	0.02432	0	0.20275	0	0.02512	0.00524
V34	0	0.07437	0	0	0.17022	0.00368	0.0261	0.00195	0.05627	0.66742
V35	0	0.86877	0.00458	0.02471	0.00855	0.00436	0.04019	0	0.04885	0
V36	0.05144	0.01342	0.01955	0.01573	0.05472	0	0.77219	0.02154	0.02541	0.026
V37	0	0.57551	0.00383	0.02142	0.03255	0	0.29856	0.01046	0.04559	0.01207
V38	0.14395	0	0.06391	0.14785	0.03833	0	0.56137	0	0.02689	0.0177
V39	0.09305	0.00436	0.06634	0.14369	0.07072	0	0.54964	0.01035	0.02783	0.03403
V40	0.13031	0.04083	0.59864	0.05823	0.0912	0.00257	0.00984	0	0.0221	0.04627
V41	0.58531	0.06907	0.08024	0	0.02303	0.00571	0.0176	0.00118	0.19637	0.0215
V42	0	0.63653	0	0.01334	0.2379	0	0.01898	0	0.03661	0.05664
V43	0.14064	0.05323	0.11197	0.06749	0.19736	0.03416	0.22296	0.00982	0.13152	0.03085
V44	0.05121	0.0034	0.5316	0.04847	0.01275	0.01286	0.03131	0.24252	0.0446	0.02129
V45	0.01292	0.00593	0.04365	0.01646	0.04398	0.00527	0.27219	0	0.51356	0.08604
V46	0.18775	0.10476	0.0487	0.17157	0.00873	0.0012	0.01646	0.00454	0.02375	0.43254
V47	0	0	0.01877	0.01869	0.03481	0	0.85393	0.00125	0.03011	0.04245
V48	0.0107	0.0091	0	0	0	0.00434	0.03075	0	0.09631	0.8488
V49	0.22153	0	0.02127	0	0.02454	0.02453	0.05899	0.59672	0.05242	0
V50	0.29447	0.17529	0.0376	0	0.03053	0.41895	0.02774	0	0.01543	0
V51	0.17701	0.02475	0.5178	0.04551	0.07081	0.00534	0.01978	0.02805	0.06202	0.04893
V52	0.04003	0.00123	0.18896	0.29295	0.02844	0	0.40152	0	0.03209	0.01478
V53	0.43169	0.01569	0.11244	0.06777	0.01102	0.00458	0.02676	0.09156	0.02067	0.21781
V54	0	0.04804	0.00423	0	0.19307	0.69868	0.03634	0	0.00827	0.01137
V55	0.06416	0.02831	0.13647	0.60418	0.07719	0.00666	0.03278	0	0.02679	0.02346
V56	0.15986	0.03231	0.46871	0.05619	0.07559	0.13377	0.0139	0	0.01737	0.04229
V57	0.05994	0.01166	0.51963	0.20297	0.01433	0.01225	0.01693	0.00703	0.09868	0.05658
V58	0.0229	0.196	0.07935	0.11679	0.02761	0.49129	0.04332	0	0.02273	0
V59	0.02473	0.05426	0.01884	0.01836	0.03855	0	0.79172	0	0.02824	0.0253
V60	0.69531	0.02734	0.06431	0	0.07156	0.00417	0.01116	0	0.11303	0.01312
V61	0.00158	0	0.04493	0.01659	0.03559	0.83849	0.04719	0	0.00926	0.00637
V62	0.02768	0	0	0.01364	0.00247	0	0.40493	0.00521	0.05246	0.49361
V63	0	0.25491	0.01862	0.00258	0.15758	0.47719	0.03736	0	0.02202	0.02973
V64	0.11205	0.00502	0.29939	0.22165	0.01222	0.01704	0.02582	0.19585	0.03431	0.07665
V65	0.10682	0.02457	0.10368	0.29691	0.02405	0.00757	0.08461	0.19171	0.1225	0.03758
V66	0	0.14901	0	0	0.52301	0.02593	0.03146	0	0.03605	0.23453
V67	0.04175	0.17841	0.43159	0.08054	0.02041	0.03997	0.08954	0	0.06778	0.05001
V68	0.02914	0.02103	0.0402	0.00189	0.05945	0.02438	0.02941	0.26236	0.51399	0.01814
V69	0.05882	0.02292	0.74234	0.08724	0.01433	0.00208	0.00939	0	0.02432	0.03855
V70	0.68269	0.01952	0.13534	0.00146	0.01837	0.02807	0.04052	0.00125	0.07278	0
V71	0.04233	0	0.00691	6e-04	0.02537	0.03154	0.07382	0.7125	0.07081	0.03613
V72	0.24799	0.04516	0.05694	0.19231	0.14926	0.0016	0.01158	0	0.02556	0.26962
V73	0.00996	0.18921	0	0.00497	0.66539	0.01827	0.0141	0	0.01883	0.07926
V74	0.03576	0	0.01319	0.13869	0	0.03718	0.02219	0.00134	0.02495	0.7267
V75	0.05419	0.08927	0.22302	0.38431	0.04144	0.01228	0.00602	0	0.18401	0.00546
V76	0	0.00676	0.01437	0	0.02973	0.88863	0.05017	0	0.01033	0
V77	0.02711	0	0.06727	0.25974	0.02893	0.27394	0.30852	0	0.01859	0.0159
V78	0	0.47618	0.03394	0.02158	0.03375	0	0.3095	0	0.03403	0.09102
V79	0.03211	0.02777	0.08687	0.23871	0.03063	0.28446	0.02512	0	0.23343	0.0409
V80	0.38364	0	0.01538	0	0	0.00268	0.04389	0	0.05916	0.49524
V81	0.00913	0.04433	0.0358	0.12143	0.16716	0.57496	0.02904	0	0.01046	0.0077
V82	0.07459	0.5246	0.06338	0.21458	0.01691	0.01465	0.02084	0.03366	0.03678	0
V83	0.07715	0.06346	0.12633	0.41579	0.04444	0.00773	0.02317	0.20431	0.03762	0
V84	0.02208	0.01881	0.02695	0.02389	0.12735	0.53664	0.22263	0	0.00991	0.01174
V85	0.21582	0.00253	0.37938	0.03825	0	0.00268	0.01505	0	0.02269	0.32362
V86	0.32417	0.01503	0.3083	0.28758	0.01584	0.00791	0.00777	0	0.01967	0.01374
V87	0.01433	0.04709	0.06009	0.01724	0.08468	0.01914	0.00527	0	0.7222	0.02995
V88	0.04263	0.35126	0.11438	0.42796	0.01471	0	0.01528	0	0.03376	0
V89	0.00389	0	0.02175	0.04404	0.04188	0	0.75751	0.07664	0.03031	0.02399
V90	0.03603	0.05516	0.30975	0.03476	0	0.02253	0.0185	0	0.02597	0.4973
V91	0.06757	0.01567	0.72647	0.07902	0.02028	0.00269	0.01004	0	0.02958	0.04869
V92	0.00029	0.00032	0.02145	0.01852	0.0421	0	0.81214	0.00079	0.07527	0.02913
V93	0.01509	0.05196	0.10063	0.01543	0.05323	0.00522	0.24722	0.00742	0.47521	0.02858
V94	0.78234	0.01259	0.08567	0	0.01534	0.0263	0.03183	0.02117	0.0132	0.01156
V95	0.00464	0.00174	0.01221	0.00986	0.05106	0	0.59155	0.26253	0.04767	0.01875
V96	0.06996	0.12697	0.35455	0.34239	0.01625	0.01696	0.00948	0	0.04674	0.0167
V97	0.00136	0	0.01078	0.01501	0.02187	0	0.75281	0.00053	0.03328	0.16436
V98	0.00506	0.30595	0.0138	0.0483	0.16557	0.02138	0.05608	0.06029	0.1621	0.16147
V99	0.56658	0.01317	0.07261	0	0.03241	0.00416	0.07774	0.0026	0.21405	0.01667
V100	0.21681	0.02012	0.08041	0.16068	0.04703	0.30976	0.03346	0	0.11034	0.0214
V101	0	0	0	0	0	0.07221	0.16655	0.02312	0.02064	0.71749
V102	0.04125	0.2318	0.00989	0.00237	0.09895	0.3157	0.16426	0.07878	0.02899	0.02801
V103	0.09387	0.02666	0.06433	0.01396	0.04885	0.01874	0.00675	0.00036	0.68767	0.03882
V104	0.06802	0.01297	0.73759	0.07574	0.00899	0.00282	0.00918	0	0.04622	0.03847
V105	0.35944	0.00103	0.12464	0.00592	0.02459	0.15247	0.03772	0.26351	0.03068	0
V106	0.01794	0.65853	0.19374	0.03644	0.00602	0.0194	0.02138	0	0.03999	0.00655
V107	0.25378	0.23848	0.03601	0.00823	0.25713	0.01935	0.0203	0.01558	0.12708	0.02407
V108	0.01823	0	0.01914	0.11029	0	0.39925	0.03091	0.01154	0.02218	0.38845
V109	0	0.02737	0.01637	0.00298	0.03649	0.84589	0.05444	0	0.01646	0
V110	0	0.18691	0	0	0.66036	0.00481	0.01242	0.03605	0.02141	0.07803
V111	0	0.01242	0.01364	0.02288	0.12896	0	0.74708	0	0.02591	0.04912
V112	0.00423	0	0.00477	0.0111	0.01523	0	0.60797	8e-05	0.07188	0.28473
V113	0.02813	0.00916	0.03787	0.00265	0.03088	0.07166	0.02894	0.01414	0.5602	0.21637
V114	0.02908	0.02731	0.0714	0.01038	0.05109	0.02	0.00666	0.00054	0.74182	0.0417
V115	0	0.85246	0.00898	0.02602	0.01024	0	0.04235	0	0.05995	0
V116	0.45797	0.08628	0.05113	0	0.0218	0.01796	0.04668	0.28985	0.02834	0
V117	0.0129	0	0.0206	0.01835	0.0357	0	0.85353	0.00112	0.02966	0.02815
V118	0.02069	0	0.01616	0	0.0276	0.87138	0.05573	0	0.00843	0
V119	0.05091	0.03169	0.11994	0.44869	0.03399	0.19281	0.03354	0	0.08843	0
V120	0.61383	0.01227	0.23315	0.01126	0.01343	0.08106	0.01522	0	0.00974	0.01004
V121	0.05663	0.09802	0.23941	0.03372	0.03447	0.11152	0.31822	0.00138	0.0274	0.07923
V122	0.01991	0.03195	0.14855	0.01658	0.04957	0.06647	0.13861	0	0.48749	0.04086
V123	0.01211	0.08985	0	0.00139	0.39444	0.01691	0.03682	0.34182	0.06728	0.03938
V124	0.68057	0.05117	0.05214	0	0.01381	0.0062	0.0295	0.14984	0.01676	0
V125	0.0142	0.17539	0.10118	0.02758	0.03455	0.14906	0.06504	0.38141	0.05159	0
V126	0	0.22584	0	0	0.62273	0.00486	0.01196	0.02373	0.04757	0.0633
V127	0.04618	0.0143	0.51657	0.05297	0.01859	0	0.20625	0	0.10231	0.04283
V128	0.02421	0.21349	0.35252	0.03658	0.253	0.04789	0.01214	0	0.02313	0.03702
V129	0.04242	0.09446	0.10243	0.18897	0.10711	0.01855	0.00569	0	0.39491	0.04545
V130	0.04616	0.01003	0.45261	0.03987	0.01424	0.01579	0.03773	0.32396	0.04328	0.01633
V131	0.05393	0.37579	0.37376	0.09668	0.01038	0.00676	0.02042	0	0.05478	0.0075
V132	0.11514	0.00537	0.02821	0.01108	0.09599	0	0.62606	0.06933	0.02251	0.02631
V133	0.02473	0.0271	0.04314	0.1599	0.03177	0.14544	0.11342	0.41026	0.04424	0
V134	0.03092	0.07781	0.17135	0.05239	0.20604	0	0.16531	0	0.03369	0.2625
V135	0.02037	0.20116	0.18653	0.02504	0.04339	0.01084	0.02398	0	0.46745	0.02125
V136	0.00838	0.59823	0.02368	0.13501	0.00172	0	0.01945	0	0.03929	0.17424
V137	0.00051	0.00839	0.02851	0.01511	0.06008	0.33359	0.47173	0	0.06584	0.01624
V138	0.01623	0.02226	0.0081	0.01016	0.02322	0	0.53026	0	0.05605	0.33371
V139	0.56897	0.0331	0.06935	0.00042	0.0794	0.07645	0.01282	0	0.15412	0.00538
V140	0.08503	0.01983	0.33703	0.39379	0.04526	0.05034	0.01361	0	0.02385	0.03126
