Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0.01777	0.04418	0	0.00278	0.10593	0.00443	0.01871	0	0.01548	0.79072
V2	0.61256	0.02094	0.04727	0	0.02723	0.23947	0.05125	0.00127	0	0
V3	0.11491	0.1031	0.07766	0.0071	0.39167	0.01546	0.10435	0.1013	0.02427	0.06017
V4	0.00889	0.10158	0.02311	0	0.03573	0.08638	0.01922	0.00819	0.47136	0.24554
V5	0.01138	0.12226	0.00607	0.0554	0	0.06479	0.02378	0	0.01099	0.70533
V6	0.00897	0.13477	0.15692	0.01761	0.53862	0.03315	0.00722	0.03762	0.01802	0.04709
V7	0	0.57971	0	0.0105	0.24317	0.01053	0.07427	0.04463	0.02232	0.01486
V8	0.00036	0.62737	0.03927	0.01281	0.005	0.0236	0.03851	0.20235	0.04291	0.00782
V9	0.01659	5e-05	0.09152	0.09912	0.03448	0.02239	0.27704	0.39178	0.04158	0.02548
V10	0	0.14688	0	0	0.61054	0.07001	0.02359	0.09467	0.01058	0.04373
V11	0.0087	0.61606	0	0.00784	0.00525	0.04892	0.03882	0.18399	0.07025	0.02017
V12	0.04447	0.03712	0.18428	0.39408	0.01801	6e-05	0.10148	0	0.01699	0.2035
V13	0.09744	0.01417	0.11614	0.00862	0.04733	0.12191	0.45242	0.00389	0.10001	0.03809
V14	0.07804	0.48234	0.13008	0.06109	0.02803	0.0479	0.14061	0.00186	0.02499	0.00506
V15	0.30047	0.01885	0.16392	0.43699	0.01366	0.01706	0.02905	0.00109	0.01852	4e-04
V16	0.04999	0.07141	0.23258	0.4473	0.02372	0.04844	0.00195	0	0.1033	0.02132
V17	0.01601	0.13896	0	0	0	0.07263	0.05139	0.00193	0.01762	0.70146
V18	0.08707	0.0778	0.0536	0.21658	0	0.00794	0.00774	0	0.01146	0.53781
V19	0.00562	0	0	0.04076	0	0.0771	0.02242	0.0032	0.00758	0.84333
