CD19B	CD56NK	CD4MemoryT	CD14
V1	0.42321	0.06157	0.21375	0.30148
V2	0.16113	0.13071	0.1322	0.57596
V3	0.09312	0.50105	0.09646	0.30937
V4	0.66079	0.13115	0.08506	0.12301
V5	0.13232	0.40091	0.255	0.21177
V6	0.10582	0.67859	0.10102	0.11458
V7	0.15555	0.32278	0.14709	0.37458
V8	0.15544	0.07205	0.64018	0.13232
V9	0.21267	0.23578	0.11975	0.4318
V10	0.07705	0.07884	0.69747	0.14664
V11	0.19973	0.31754	0.379	0.10372
V12	0.07622	0.47698	0.3372	0.1096
V13	0.23315	0.56339	0.08833	0.11514
V14	0.10061	0.70781	0.09115	0.10042
V15	0.1377	0.48104	0.17168	0.20957
V16	0.69011	0.06868	0.10793	0.13328
V17	0.1137	0.67676	0.09543	0.11411
V18	0.43323	0.31289	0.12143	0.13245
V19	0.16396	0.63932	0.09042	0.1063
V20	0.16689	0.39185	0.10204	0.33922
V21	0.15512	0.10041	0.61341	0.13107
V22	0.07843	0.13876	0.23155	0.55126
V23	0.31774	0.0824	0.48967	0.11019
V24	0.72727	0.05189	0.11573	0.10512
V25	0.27703	0.2373	0.18013	0.30554
V26	0.30826	0.34379	0.10132	0.24663
V27	0.13025	0.10216	0.11414	0.65345
V28	0.06949	0.0871	0.73895	0.10445
V29	0.35404	0.07033	0.44245	0.13318
V30	0.12818	0.22564	0.27415	0.37203
V31	0.19435	0.20867	0.28583	0.31115
V32	0.1168	0.08369	0.12238	0.67713
V33	0.08937	0.41434	0.32447	0.17181
V34	0.15488	0.0859	0.62724	0.13198
V35	0.16537	0.56737	0.14572	0.12153
V36	0.0694	0.09754	0.4119	0.42116
V37	0.41318	0.1099	0.16178	0.31513
V38	0.3403	0.05825	0.21585	0.3856
V39	0.16667	0.4588	0.17763	0.19691
V40	0.12175	0.64277	0.14157	0.09392
V41	0.06078	0.5371	0.12069	0.28143
V42	0.21029	0.08771	0.23759	0.46442
V43	0.14974	0.30349	0.42047	0.1263
V44	0.07568	0.12209	0.57838	0.22385
V45	0.12394	0.47629	0.23595	0.16382
V46	0.60964	0.09856	0.18325	0.10855
V47	0.35073	0.19849	0.30791	0.14287
V48	0.61119	0.17727	0.09054	0.121
V49	0.55119	0.19377	0.08423	0.17081
V50	0.10045	0.65052	0.14773	0.1013
V51	0.26116	0.35043	0.26302	0.12539
V52	0.0842	0.14188	0.64271	0.13121
V53	0.5583	0.14056	0.20027	0.10086
V54	0.33645	0.20035	0.34212	0.12108
V55	0.20292	0.16247	0.25332	0.38128
V56	0.09711	0.08126	0.1552	0.66643
V57	0.12036	0.67152	0.10075	0.10737
V58	0.48529	0.05301	0.12553	0.33616
V59	0.33736	0.35832	0.16506	0.13927
V60	0.15271	0.18056	0.30821	0.35852
V61	0.60435	0.12673	0.09628	0.17264
V62	0.67079	0.0643	0.14708	0.11783
V63	0.06654	0.64646	0.17202	0.11498
V64	0.05938	0.66247	0.085	0.19316
V65	0.07815	0.07534	0.16392	0.68259
V66	0.19831	0.55134	0.10025	0.1501
V67	0.16526	0.2949	0.42873	0.1111
V68	0.16671	0.16964	0.11433	0.54932
V69	0.08106	0.28485	0.49351	0.14058
V70	0.41233	0.17098	0.21962	0.19708
V71	0.17557	0.12175	0.34202	0.36067
V72	0.434	0.17437	0.16069	0.23095
V73	0.16012	0.49269	0.18394	0.16325
V74	0.10395	0.22065	0.57482	0.10058
V75	0.53944	0.04594	0.23342	0.1812
V76	0.06328	0.1975	0.21603	0.5232
V77	0.08699	0.2751	0.09922	0.53868
V78	0.25856	0.15084	0.22187	0.36873
V79	0.06678	0.13585	0.62561	0.17176
V80	0.29634	0.06878	0.4618	0.17308
V81	0.10524	0.17733	0.60968	0.10775
V82	0.06774	0.10702	0.71398	0.11126
V83	0.15216	0.1961	0.14713	0.50461
V84	0.31749	0.09425	0.21012	0.37814
V85	0.1347	0.29262	0.35271	0.21996
V86	0.0998	0.09756	0.66418	0.13846
V87	0.07786	0.64389	0.12847	0.14978
V88	0.17646	0.11315	0.27415	0.43624
V89	0.08131	0.0833	0.2329	0.60249
V90	0.07303	0.68918	0.12918	0.1086
V91	0.08043	0.58154	0.21559	0.12244
V92	0.36389	0.07252	0.35779	0.2058
V93	0.67671	0.04678	0.08829	0.18821
V94	0.07049	0.38705	0.10482	0.43764
V95	0.22453	0.37194	0.19745	0.20608
V96	0.11357	0.13801	0.11897	0.62945
V97	0.52386	0.12907	0.23977	0.1073
V98	0.52735	0.27686	0.08457	0.11122
V99	0.61098	0.0768	0.20204	0.11017
V100	0.12108	0.08304	0.67061	0.12527
V101	0.08001	0.08615	0.10649	0.72736
V102	0.71204	0.07553	0.09379	0.11864
V103	0.077	0.10016	0.16262	0.66022
V104	0.07455	0.73369	0.09135	0.10041
V105	0.09157	0.71023	0.09685	0.10134
V106	0.13985	0.4253	0.30425	0.13059
V107	0.18829	0.20699	0.46282	0.14189
V108	0.15808	0.59403	0.15363	0.09427
V109	0.07456	0.18581	0.47755	0.26208
V110	0.09211	0.67681	0.11607	0.115
V111	0.70708	0.03306	0.14755	0.1123
V112	0.1544	0.11649	0.37593	0.35318
V113	0.18845	0.14635	0.21636	0.44884
V114	0.22459	0.09869	0.15409	0.52263
V115	0.06042	0.59407	0.24315	0.10237
V116	0.15715	0.29109	0.3324	0.21936
V117	0.50846	0.24216	0.11411	0.13528
V118	0.16619	0.47271	0.11167	0.24943
V119	0.14254	0.12433	0.13322	0.59991
V120	0.1196	0.11122	0.65219	0.11699
V121	0.44869	0.15303	0.16014	0.23814
V122	0.74452	0.03529	0.10031	0.11988
V123	0.06249	0.43135	0.12304	0.38313
V124	0.49895	0.27074	0.08285	0.14746
V125	0.31028	0.36136	0.21125	0.11711
V126	0.09135	0.17657	0.13215	0.59993
V127	0.17608	0.10465	0.26899	0.45028
V128	0.08794	0.08094	0.17497	0.65615
V129	0.43797	0.22834	0.20554	0.12814
V130	0.06211	0.5254	0.31011	0.10237
V131	0.06979	0.6892	0.08495	0.15605
V132	0.72056	0.03654	0.11551	0.12739
V133	0.69918	0.04658	0.13526	0.11899
V134	0.13369	0.34561	0.18054	0.34017
V135	0.12152	0.08704	0.21876	0.57267
V136	0.21682	0.35291	0.09654	0.33373
V137	0.49541	0.07836	0.26696	0.15927
V138	0.19779	0.35335	0.2103	0.23856
V139	0.28574	0.21736	0.22555	0.27135
V140	0.08779	0.13485	0.13552	0.64184
V141	0.10726	0.18475	0.44463	0.26336
V142	0.61302	0.04164	0.24213	0.10321
V143	0.33381	0.25445	0.14188	0.26986
V144	0.17429	0.18352	0.20861	0.43358
V145	0.05463	0.60165	0.2425	0.10122
V146	0.10347	0.07861	0.12304	0.69488
V147	0.69839	0.05239	0.10788	0.14135
V148	0.1533	0.12287	0.47339	0.25044
V149	0.23202	0.42921	0.23635	0.10242
V150	0.1228	0.23947	0.47573	0.162
V151	0.19269	0.50682	0.11047	0.19002
V152	0.21142	0.38225	0.23363	0.1727
V153	0.12681	0.58996	0.10017	0.18306
V154	0.2186	0.38828	0.26888	0.12425
V155	0.36795	0.16696	0.28754	0.17754
V156	0.08958	0.1712	0.54369	0.19554
V157	0.25862	0.18332	0.30122	0.25684
V158	0.08005	0.0744	0.11744	0.7281
V159	0.67685	0.08955	0.08665	0.14695
V160	0.5228	0.05264	0.1435	0.28106
V161	0.20381	0.07132	0.12246	0.6024
V162	0.10544	0.286	0.15145	0.45712
