CD19B	CD56NK	CD4MemoryT	CD14
V1	0.44086	0.05968	0.18703	0.31243
V2	0.12999	0.13451	0.08553	0.64997
V3	0.05384	0.56368	0.03996	0.34251
V4	0.72613	0.14836	0.03654	0.08897
V5	0.09714	0.44962	0.23478	0.21847
V6	0.06873	0.79004	0.04026	0.10096
V7	0.1269	0.35378	0.10336	0.41596
V8	0.12348	0.06398	0.70897	0.10358
V9	0.19488	0.25415	0.07163	0.47933
V10	0.02299	0.07034	0.78272	0.12395
V11	0.18016	0.35653	0.38826	0.07506
V12	0.02767	0.54844	0.33475	0.08914
V13	0.22477	0.6493	0.02882	0.09712
V14	0.06112	0.82945	0.02685	0.08258
V15	0.10529	0.5459	0.13139	0.21742
V16	0.75923	0.07962	0.0631	0.09805
V17	0.07702	0.7881	0.03447	0.10041
V18	0.46309	0.35363	0.07367	0.10961
V19	0.13925	0.74367	0.02791	0.08917
V20	0.14191	0.43465	0.04952	0.37392
V21	0.12278	0.0981	0.67571	0.10341
V22	0.03114	0.13971	0.2031	0.62605
V23	0.32604	0.08152	0.51932	0.07312
V24	0.80295	0.06168	0.07316	0.06222
V25	0.27348	0.25789	0.14451	0.32412
V26	0.31272	0.38281	0.04873	0.25573
V27	0.09188	0.10292	0.06419	0.74101
V28	0.01104	0.08035	0.8403	0.06831
V29	0.36919	0.06824	0.46126	0.10131
V30	0.09345	0.24093	0.25459	0.41102
V31	0.17157	0.22329	0.27011	0.33504
V32	0.07483	0.08255	0.07352	0.7691
V33	0.04445	0.46954	0.31837	0.16764
V34	0.12273	0.08095	0.69255	0.10377
V35	0.14035	0.65485	0.09877	0.10602
V36	0.01829	0.09171	0.41874	0.47126
V37	0.42998	0.11619	0.1248	0.32902
V38	0.34325	0.05471	0.18791	0.41413
V39	0.14146	0.51964	0.13901	0.1999
V40	0.08612	0.75049	0.09066	0.07273
V41	0.01168	0.60959	0.06818	0.31055
V42	0.18938	0.08467	0.21108	0.51487
V43	0.11859	0.34086	0.43733	0.10322
V44	0.02355	0.12005	0.62928	0.22713
V45	0.08829	0.54308	0.20977	0.15887
V46	0.66868	0.10905	0.1525	0.06977
V47	0.36467	0.21786	0.29905	0.11843
V48	0.6695	0.20019	0.04075	0.08956
V49	0.59811	0.21791	0.03329	0.15069
V50	0.06092	0.75921	0.09778	0.08208
V51	0.25719	0.39469	0.24476	0.10336
V52	0.03374	0.1466	0.71421	0.10545
V53	0.60997	0.15645	0.17181	0.06177
V54	0.34864	0.21871	0.34171	0.09094
V55	0.18159	0.16919	0.23184	0.41737
V56	0.05074	0.07755	0.11282	0.75888
V57	0.08595	0.78147	0.04064	0.09193
V58	0.51193	0.05499	0.08351	0.34957
V59	0.35123	0.40455	0.12473	0.11949
V60	0.1209	0.18887	0.29686	0.39336
V61	0.65826	0.14257	0.04913	0.15004
V62	0.73919	0.07336	0.10813	0.07932
V63	0.01801	0.75307	0.12789	0.10102
V64	0.01034	0.76499	0.02149	0.20319
V65	0.02963	0.07134	0.12132	0.77771
V66	0.18261	0.63373	0.0427	0.14096
V67	0.1366	0.33223	0.4465	0.08467
V68	0.13752	0.17946	0.06346	0.61956
V69	0.03141	0.31862	0.52744	0.12253
V70	0.43455	0.18536	0.19347	0.18661
V71	0.14781	0.1206	0.33852	0.39307
V72	0.45775	0.19098	0.12304	0.22823
