CD19B	CD56NK	CD4MemoryT	CD14
V1	0.41277	0.06472	0.22353	0.29897
V2	0.15125	0.13682	0.13509	0.57684
V3	0.08181	0.52226	0.08207	0.31386
V4	0.63502	0.1521	0.09429	0.11859
V5	0.12386	0.41548	0.24492	0.21574
V6	0.09431	0.70612	0.07995	0.11962
V7	0.14564	0.33538	0.14108	0.3779
V8	0.15734	0.06776	0.6397	0.1352
V9	0.20215	0.24729	0.11817	0.43238
V10	0.08148	0.0749	0.69344	0.15019
V11	0.1918	0.32999	0.3715	0.10672
V12	0.07181	0.49362	0.32003	0.11454
V13	0.21984	0.58751	0.07464	0.11801
V14	0.08904	0.73703	0.06822	0.10571
V15	0.12749	0.50078	0.15784	0.21389
V16	0.66442	0.08803	0.11896	0.1286
V17	0.10174	0.70478	0.07415	0.11933
V18	0.41771	0.33318	0.11741	0.13169
V19	0.15	0.66758	0.07158	0.11084
V20	0.15543	0.40901	0.09309	0.34247
V21	0.15611	0.09939	0.61074	0.13376
V22	0.07213	0.14048	0.23288	0.55451
V23	0.31213	0.08555	0.49197	0.11035
V24	0.70079	0.07098	0.12819	0.10004
V25	0.26635	0.24962	0.17749	0.30653
V26	0.2941	0.36267	0.09626	0.24697
V27	0.12177	0.10924	0.11595	0.65304
V28	0.07274	0.08307	0.73628	0.10791
V29	0.3481	0.07452	0.44496	0.13242
V30	0.12093	0.23228	0.27136	0.37543
V31	0.18557	0.21544	0.28519	0.3138
V32	0.10765	0.09027	0.12477	0.67731
V33	0.08358	0.42911	0.31108	0.17622
V34	0.15623	0.08401	0.62507	0.13469
V35	0.15377	0.5922	0.12838	0.12565
V36	0.06694	0.09301	0.41448	0.42557
V37	0.4005	0.12136	0.16578	0.31236
V38	0.33083	0.06063	0.22429	0.38425
V39	0.15625	0.47808	0.16503	0.20064
V40	0.1102	0.67068	0.11977	0.09935
V41	0.05161	0.55878	0.10351	0.2861
V42	0.2025	0.08855	0.24305	0.46589
V43	0.14616	0.31409	0.41007	0.12968
V44	0.07665	0.11921	0.57676	0.22738
V45	0.11516	0.4944	0.22211	0.16832
V46	0.58894	0.11553	0.1907	0.10482
V47	0.34088	0.21037	0.30629	0.14245
V48	0.58759	0.19852	0.09668	0.11722
V49	0.53028	0.2142	0.0884	0.16712
V50	0.08978	0.67756	0.12609	0.10657
V51	0.25088	0.36543	0.25628	0.12741
V52	0.08665	0.14217	0.63603	0.13516
V53	0.54011	0.15685	0.20455	0.09849
V54	0.32615	0.21207	0.34056	0.12121
V55	0.193	0.16789	0.25533	0.38378
V56	0.0898	0.08246	0.15977	0.66797
V57	0.10846	0.69893	0.08041	0.11221
V58	0.47203	0.06072	0.13527	0.33198
V59	0.32356	0.3781	0.15812	0.14022
V60	0.14614	0.18539	0.30689	0.36158
V61	0.58251	0.14455	0.10472	0.16822
V62	0.64664	0.08222	0.15764	0.11351
V63	0.05836	0.67093	0.15013	0.12058
V64	0.04969	0.68878	0.06278	0.19875
V65	0.07179	0.0769	0.16756	0.68375
V66	0.1842	0.5761	0.08563	0.15407
V67	0.16079	0.30559	0.41938	0.11424
V68	0.15585	0.17965	0.11395	0.55054
V69	0.07926	0.29335	0.48285	0.14454
V70	0.39987	0.18252	0.22206	0.19555
V71	0.16933	0.12258	0.34485	0.36323
V72	0.42057	0.1888	0.16172	0.22891
V73	0.1497	0.51328	0.16979	0.16724
V74	0.10347	0.22723	0.56563	0.10367
V75	0.52553	0.05238	0.2439	0.17819
V76	0.05736	0.20241	0.21418	0.52606
V77	0.07766	0.28631	0.0951	0.54093
V78	0.24904	0.15733	0.2242	0.36943
V79	0.07041	0.1355	0.61888	0.17521
