CD19B	CD56NK	CD4MemoryT	CD14
V1	0.44227	0.06168	0.19014	0.3059
V2	0.12679	0.14676	0.09466	0.6318
V3	0.04693	0.57417	0.03666	0.34224
V4	0.71082	0.14386	0.0524	0.09292
V5	0.0974	0.45953	0.21631	0.22676
V6	0.06103	0.78881	0.03315	0.11701
V7	0.12297	0.36515	0.1015	0.41037
V8	0.14161	0.06838	0.66925	0.12076
V9	0.19017	0.26491	0.0763	0.46862
V10	0.04311	0.07682	0.7383	0.14178
V11	0.18564	0.36272	0.36059	0.09105
V12	0.0302	0.55753	0.30444	0.10782
V13	0.21465	0.64656	0.02793	0.11085
V14	0.05365	0.82636	0.02058	0.09941
V15	0.10129	0.55323	0.12036	0.22512
V16	0.74406	0.07573	0.07857	0.10164
V17	0.06949	0.7864	0.02764	0.11647
V18	0.4539	0.35225	0.07636	0.11749
V19	0.13025	0.74141	0.02458	0.10375
V20	0.1357	0.44472	0.04954	0.37004
V21	0.13958	0.10298	0.63697	0.12048
V22	0.0332	0.15327	0.20035	0.61318
V23	0.33749	0.08279	0.49336	0.08636
V24	0.78702	0.05809	0.08753	0.06735
V25	0.27118	0.26532	0.14193	0.32157
V26	0.30491	0.38738	0.05218	0.25553
V27	0.08898	0.11777	0.07447	0.71877
V28	0.03021	0.0862	0.79534	0.08825
V29	0.37912	0.06902	0.43947	0.11239
V30	0.09476	0.25195	0.24419	0.4091
V31	0.17405	0.23168	0.25943	0.33484
V32	0.07264	0.09778	0.08364	0.74594
V33	0.04669	0.47953	0.2926	0.18118
V34	0.14013	0.08572	0.6533	0.12084
V35	0.13371	0.65689	0.08862	0.12079
V36	0.02659	0.1024	0.40158	0.46944
V37	0.42888	0.11963	0.1297	0.32179
V38	0.34476	0.05953	0.19067	0.40504
V39	0.13679	0.5271	0.12811	0.208
V40	0.08067	0.74919	0.07941	0.09072
V41	0.00638	0.61911	0.06028	0.31423
V42	0.1911	0.094	0.21039	0.50451
V43	0.12659	0.3472	0.4065	0.11971
V44	0.03748	0.1284	0.59511	0.23901
V45	0.08755	0.55021	0.19115	0.17109
V46	0.66027	0.10488	0.15804	0.07681
V47	0.36624	0.21934	0.28578	0.12864
V48	0.65535	0.19591	0.05465	0.09409
V49	0.58515	0.21531	0.04533	0.15421
V50	0.05521	0.75961	0.08525	0.09993
V51	0.25691	0.39784	0.22891	0.11634
V52	0.0508	0.15334	0.67144	0.12442
