CD19B	CD56NK	CD4MemoryT	CD14
V1	0.37948	0.10237	0.22236	0.29579
V2	0.12595	0.16623	0.14376	0.56406
V3	0.06319	0.52244	0.09808	0.31628
V4	0.59962	0.18155	0.10404	0.11478
V5	0.10911	0.42812	0.24765	0.21513
V6	0.07853	0.70469	0.09633	0.12046
V7	0.12397	0.34639	0.15267	0.37696
V8	0.14583	0.11339	0.60913	0.13166
V9	0.17636	0.26488	0.13006	0.4287
V10	0.07473	0.12021	0.6592	0.14586
V11	0.17746	0.35198	0.36417	0.10639
V12	0.06001	0.50706	0.31736	0.11558
V13	0.19981	0.5919	0.08936	0.11893
V14	0.07285	0.73433	0.08505	0.10777
V15	0.11064	0.50826	0.16691	0.21419
V16	0.62744	0.12361	0.12472	0.12424
V17	0.08564	0.70377	0.0903	0.12029
V18	0.39165	0.34973	0.12857	0.13005
V19	0.13189	0.66902	0.08709	0.112
V20	0.13332	0.4145	0.10917	0.34301
V21	0.14449	0.14185	0.58296	0.1307
V22	0.05427	0.17121	0.23126	0.54327
V23	0.29446	0.12829	0.46933	0.10793
V24	0.66152	0.10872	0.13174	0.09802
V25	0.24116	0.26939	0.18429	0.30516
V26	0.26835	0.37292	0.11096	0.24778
V27	0.09764	0.14189	0.1267	0.63377
V28	0.06703	0.12869	0.69918	0.10509
V29	0.32754	0.11643	0.42753	0.12851
V30	0.1033	0.25453	0.26845	0.37371
V31	0.16535	0.24077	0.28115	0.31272
V32	0.08542	0.12543	0.13388	0.65527
V33	0.07089	0.44309	0.30934	0.17667
V34	0.14456	0.12799	0.59607	0.13138
V35	0.13616	0.59764	0.13986	0.12634
V36	0.05462	0.13231	0.39333	0.41973
V37	0.36723	0.15229	0.17115	0.30932
V38	0.29943	0.0989	0.2227	0.37897
V39	0.13824	0.48753	0.17332	0.20091
V40	0.09497	0.67244	0.13185	0.10074
V41	0.03487	0.55798	0.11832	0.28883
V42	0.1778	0.12483	0.2395	0.45786
V43	0.13398	0.33831	0.39897	0.12873
V44	0.06715	0.15916	0.54782	0.22587
V45	0.10101	0.50476	0.22556	0.16867
V46	0.55611	0.14964	0.19208	0.10218
V47	0.31971	0.23871	0.30194	0.13964
V48	0.55427	0.22549	0.10657	0.11367
V49	0.49767	0.23908	0.09922	0.16403
V50	0.07462	0.67925	0.13772	0.10842
V51	0.23305	0.38202	0.25807	0.12686
V52	0.07815	0.17998	0.60944	0.13243
V53	0.50912	0.18764	0.20608	0.09716
V54	0.30594	0.24129	0.33412	0.11864
V55	0.17051	0.19599	0.25322	0.38028
V56	0.06817	0.1192	0.16491	0.64771
V57	0.09187	0.69807	0.09634	0.11371
V58	0.43296	0.09762	0.1417	0.32772
V59	0.30129	0.39192	0.16854	0.13825
V60	0.12751	0.21367	0.29945	0.35937
V61	0.54718	0.17482	0.1138	0.16419
V62	0.6115	0.11867	0.15996	0.10986
V63	0.04472	0.67333	0.16034	0.1216
V64	0.03357	0.68497	0.08099	0.20047
V65	0.05213	0.11504	0.17136	0.66147
V66	0.16429	0.58112	0.10064	0.15395
V67	0.1476	0.33151	0.40773	0.11317
V68	0.13032	0.20374	0.12586	0.54007
V69	0.06903	0.31994	0.46876	0.14227
V70	0.37212	0.2116	0.22348	0.19279
V71	0.14951	0.15657	0.334	0.35992
V72	0.38949	0.21596	0.16754	0.22701
V73	0.13232	0.52252	0.17748	0.16768
V74	0.0938	0.25917	0.54472	0.10231
V75	0.49328	0.09387	0.24049	0.17236
V76	0.04052	0.22573	0.2162	0.51756
V77	0.0584	0.29929	0.11034	0.53197
V78	0.22367	0.18634	0.22436	0.36562
V79	0.0621	0.17346	0.59174	0.1727
V80	0.27347	0.11173	0.44544	0.16936
V81	0.0966	0.21627	0.57856	0.10857
V82	0.06548	0.14758	0.67606	0.11088
V83	0.11989	0.22743	0.15437	0.49831
V84	0.27815	0.13264	0.21587	0.37334
V85	0.11401	0.3231	0.33906	0.22383
V86	0.09381	0.13771	0.63057	0.13791
V87	0.05253	0.67081	0.12099	0.15567
V88	0.14701	0.14861	0.27157	0.43281
V89	0.05746	0.11945	0.2334	0.58968
V90	0.04908	0.71574	0.11941	0.11578
V91	0.05769	0.61082	0.20258	0.1289
V92	0.33238	0.11469	0.35208	0.20085
V93	0.61131	0.102	0.10931	0.17737
V94	0.0415	0.40645	0.11161	0.44044
V95	0.19392	0.40019	0.19745	0.20843
V96	0.083	0.17435	0.12971	0.61294
V97	0.47872	0.17583	0.24267	0.10277
V98	0.47668	0.31767	0.09929	0.10635
V99	0.55793	0.12781	0.21035	0.10391
V100	0.11249	0.1257	0.63776	0.12405
V101	0.05194	0.12801	0.12153	0.69851
V102	0.64641	0.12968	0.11374	0.11017
V103	0.05069	0.13867	0.16873	0.64191
V104	0.04711	0.75977	0.08451	0.10861
V105	0.06503	0.73614	0.09062	0.10821
V106	0.11816	0.45642	0.29115	0.13426
V107	0.16847	0.24665	0.44299	0.14189
V108	0.1307	0.62372	0.14563	0.09995
V109	0.06145	0.22039	0.4525	0.26566
V110	0.06625	0.70471	0.10826	0.12077
V111	0.64269	0.09046	0.16261	0.10424
V112	0.13181	0.15109	0.36371	0.35339
V113	0.15446	0.18068	0.21928	0.44558
V114	0.18721	0.13761	0.16416	0.51101
V115	0.04114	0.62334	0.22634	0.10919
V116	0.13411	0.3217	0.32112	0.22307
V117	0.46161	0.28342	0.12462	0.13035
V118	0.13426	0.4975	0.1133	0.25495
V119	0.10947	0.1607	0.1445	0.58534
V120	0.11144	0.15245	0.61971	0.11639
V121	0.40302	0.19518	0.16796	0.23384
V122	0.6728	0.09697	0.12007	0.11016
V123	0.03524	0.45078	0.12603	0.38795
V124	0.45059	0.3116	0.0963	0.14152
V125	0.27659	0.39342	0.21158	0.11841
V126	0.06184	0.20787	0.14255	0.58774
V127	0.14633	0.13944	0.26777	0.44645
V128	0.06084	0.11911	0.18251	0.63753
V129	0.39837	0.26776	0.20869	0.12518
V130	0.04335	0.55672	0.29231	0.10762
V131	0.04373	0.71261	0.07964	0.16403
V132	0.65456	0.09718	0.13134	0.11692
V133	0.63659	0.10331	0.1503	0.1098
V134	0.10525	0.36985	0.18032	0.34458
V135	0.09406	0.12242	0.22196	0.56156
V136	0.17951	0.37755	0.10685	0.33609
V137	0.454	0.12532	0.26895	0.15174
V138	0.16633	0.38137	0.20927	0.24304
V139	0.25095	0.25117	0.22699	0.27089
V140	0.05906	0.1706	0.14566	0.62468
V141	0.09164	0.21978	0.42253	0.26606
V142	0.56044	0.09461	0.24688	0.09806
V143	0.29252	0.28783	0.15042	0.26923
V144	0.14227	0.21524	0.21146	0.43104
V145	0.03648	0.62904	0.22556	0.10892
V146	0.07301	0.12112	0.13533	0.67054
V147	0.63504	0.10971	0.12458	0.13067
V148	0.13545	0.161	0.45193	0.25163
V149	0.20408	0.46146	0.22903	0.10543
V150	0.109	0.27676	0.4524	0.16184
V151	0.15931	0.53533	0.11123	0.19413
V152	0.1815	0.41082	0.23128	0.17639
V153	0.09763	0.61526	0.09875	0.18836
V154	0.19286	0.4179	0.26242	0.12682
V155	0.33325	0.20777	0.28411	0.17487
V156	0.07893	0.20864	0.51612	0.19631
V157	0.22922	0.21916	0.29486	0.25676
V158	0.05246	0.11746	0.13073	0.69935
V159	0.61293	0.14459	0.10585	0.13663
V160	0.46955	0.09845	0.15831	0.27369
V161	0.16673	0.11124	0.13703	0.585
V162	0.07645	0.31138	0.15567	0.4565
V163	0.09906	0.43798	0.19988	0.26308
V164	0.24017	0.32001	0.17024	0.26959
V165	0.04221	0.28582	0.10572	0.56626
V166	0.04777	0.17717	0.15505	0.62001
V167	0.24724	0.10102	0.11896	0.53279
V168	0.21092	0.50099	0.14387	0.14423
V169	0.15107	0.14548	0.14018	0.56327
V170	0.11935	0.12372	0.4222	0.33474
V171	0.13588	0.27593	0.45215	0.13604
V172	0.50981	0.09603	0.28901	0.10515
V173	0.05712	0.20748	0.13851	0.59689
V174	0.04997	0.22318	0.15649	0.57036
V175	0.10247	0.11282	0.58678	0.19794
V176	0.04004	0.66122	0.18944	0.1093
V177	0.03438	0.7699	0.07986	0.11585
V178	0.03235	0.6248	0.0881	0.25475
V179	0.15131	0.11231	0.34198	0.3944
V180	0.04981	0.7169	0.1311	0.10219
V181	0.15476	0.20097	0.42712	0.21716
V182	0.23482	0.23689	0.38229	0.146
V183	0.14478	0.66166	0.08754	0.10602
V184	0.69566	0.09022	0.1157	0.09842
V185	0.39573	0.39651	0.10488	0.10289
V186	0.11603	0.43447	0.25392	0.19559
V187	0.66715	0.09719	0.13146	0.1042
V188	0.07317	0.26463	0.10675	0.55545
V189	0.55542	0.11068	0.12198	0.21191
V190	0.47104	0.1044	0.31922	0.10534
V191	0.16831	0.25326	0.44274	0.13569
V192	0.21677	0.42743	0.12805	0.22774
V193	0.41946	0.12551	0.26221	0.19282
V194	0.05191	0.74122	0.0855	0.12138
V195	0.0712	0.1288	0.68907	0.11093
V196	0.05018	0.15789	0.12287	0.66906
V197	0.28357	0.13853	0.13143	0.44646
V198	0.08645	0.45048	0.31532	0.14775
V199	0.14328	0.12633	0.2221	0.50829
V200	0.11176	0.48749	0.10499	0.29576
V201	0.10013	0.48386	0.20721	0.20879
V202	0.06963	0.12115	0.57665	0.23257
V203	0.14876	0.39946	0.33056	0.12122
V204	0.03357	0.46725	0.09965	0.39953
V205	0.07525	0.14682	0.65948	0.11846
V206	0.09303	0.17333	0.62488	0.10876
V207	0.11895	0.23953	0.14308	0.49845
V208	0.21641	0.15331	0.51629	0.11399
V209	0.21747	0.42717	0.14251	0.21286
V210	0.08747	0.62679	0.14561	0.14014
V211	0.29163	0.11088	0.13724	0.46025
V212	0.37146	0.13085	0.38026	0.11742
V213	0.43278	0.11872	0.18656	0.26194
V214	0.23627	0.22091	0.21085	0.33197
V215	0.20907	0.17587	0.12351	0.49155
V216	0.06239	0.11671	0.13067	0.69023
V217	0.06608	0.44166	0.23462	0.25763
V218	0.09907	0.4071	0.20208	0.29175
V219	0.09699	0.53822	0.09693	0.26787
V220	0.03373	0.66594	0.08619	0.21414
V221	0.55298	0.09478	0.11299	0.23925
V222	0.23835	0.20528	0.32677	0.2296
V223	0.06101	0.20979	0.56605	0.16315
V224	0.68515	0.0904	0.12595	0.0985
V225	0.0667	0.70472	0.12039	0.10819
V226	0.24793	0.16751	0.47142	0.11313
V227	0.55451	0.09378	0.24124	0.11047
V228	0.52462	0.14881	0.15533	0.17124
V229	0.0765	0.12699	0.6704	0.12611
V230	0.05188	0.12805	0.12999	0.69008
V231	0.04824	0.29807	0.17362	0.48006
V232	0.05648	0.54868	0.08681	0.30802
V233	0.38876	0.1689	0.23662	0.20572
V234	0.05356	0.72918	0.10174	0.11552
V235	0.28557	0.14848	0.43804	0.12791
V236	0.09089	0.15884	0.58672	0.16355
V237	0.13429	0.11257	0.14012	0.61303
V238	0.12432	0.48498	0.25105	0.13965
V239	0.07459	0.37757	0.11286	0.43498
V240	0.3561	0.12911	0.37499	0.13979
V241	0.07459	0.11934	0.64832	0.15774
V242	0.11751	0.6244	0.14572	0.11236
V243	0.20805	0.1373	0.4928	0.16184
V244	0.18878	0.10978	0.53047	0.17097
V245	0.40605	0.31508	0.1365	0.14236
V246	0.09507	0.21499	0.56545	0.12449
V247	0.16674	0.12158	0.60887	0.10281
V248	0.05622	0.1331	0.14452	0.66616
V249	0.06228	0.13996	0.64042	0.15734
V250	0.54135	0.09513	0.25843	0.10508
V251	0.65922	0.12288	0.11422	0.10369
V252	0.0399	0.67941	0.17873	0.10196
V253	0.25694	0.15708	0.21349	0.3725
V254	0.03566	0.74104	0.11372	0.10958
V255	0.05745	0.72904	0.0791	0.13441
V256	0.16002	0.25905	0.41044	0.17049
V257	0.29513	0.17882	0.25484	0.27121
V258	0.1571	0.29303	0.35433	0.19554
V259	0.07548	0.31232	0.47506	0.13714
V260	0.05472	0.30816	0.52827	0.10885
V261	0.42356	0.12346	0.23929	0.21369
V262	0.09764	0.14725	0.12625	0.62886
V263	0.04044	0.7578	0.08074	0.12102
V264	0.15175	0.13496	0.36598	0.34731
V265	0.06271	0.11333	0.19726	0.6267
