CD19B	CD56NK	CD4MemoryT	CD14
V1	0.4374	0.07987	0.18189	0.30084
V2	0.17675	0.15921	0.09447	0.56957
V3	0.09482	0.54659	0.05527	0.30332
V4	0.67663	0.14638	0.05075	0.12623
V5	0.13121	0.4421	0.21948	0.20721
V6	0.09942	0.72975	0.06034	0.1105
V7	0.16241	0.35945	0.10842	0.36972
V8	0.15028	0.10188	0.6193	0.12855
V9	0.22484	0.26818	0.08009	0.42689
V10	0.07006	0.11128	0.67649	0.14216
V11	0.1955	0.35423	0.34927	0.101
V12	0.06918	0.52294	0.30334	0.10454
V13	0.23207	0.60644	0.04983	0.11165
V14	0.09385	0.75947	0.0508	0.09588
V15	0.1369	0.52483	0.13311	0.20516
V16	0.70896	0.08107	0.0738	0.13616
V17	0.10717	0.72768	0.05496	0.1102
V18	0.44149	0.34289	0.08407	0.13155
V19	0.15833	0.6883	0.05085	0.10251
V20	0.1728	0.43049	0.06213	0.33458
V21	0.14992	0.13139	0.59138	0.12732
V22	0.09009	0.17073	0.19537	0.5438
V23	0.31811	0.10699	0.46506	0.10985
V24	0.74616	0.06349	0.08154	0.10881
V25	0.28498	0.26855	0.1436	0.30287
V26	0.31522	0.37725	0.06316	0.24437
V27	0.14919	0.13021	0.07528	0.64532
V28	0.0601	0.12042	0.7192	0.10028
V29	0.35814	0.09325	0.41639	0.13222
V30	0.13372	0.26	0.23912	0.36716
V31	0.19926	0.24064	0.2527	0.3074
V32	0.13647	0.11234	0.08324	0.66795
V33	0.08442	0.45794	0.29046	0.16717
V34	0.1497	0.11642	0.60566	0.12821
V35	0.16157	0.61461	0.10681	0.11701
V36	0.07461	0.12929	0.38062	0.41548
V37	0.42739	0.13231	0.1266	0.31369
V38	0.3546	0.0792	0.18303	0.38317
V39	0.16589	0.50199	0.13952	0.1926
V40	0.11465	0.69312	0.10199	0.09024
V41	0.06045	0.58516	0.07915	0.27524
V42	0.22309	0.11459	0.20251	0.45981
V43	0.14493	0.34178	0.39164	0.12165
V44	0.07162	0.15517	0.55359	0.21963
V45	0.11996	0.52072	0.19999	0.15934
V46	0.62229	0.11441	0.15175	0.11155
V47	0.35544	0.22593	0.27742	0.1412
V48	0.62439	0.19635	0.0557	0.12356
V49	0.56555	0.21507	0.04887	0.17051
V50	0.09288	0.70238	0.10805	0.09668
V51	0.26102	0.38557	0.23091	0.1225
V52	0.07705	0.17617	0.62029	0.12649
V53	0.56867	0.15906	0.16929	0.10299
V54	0.33818	0.2279	0.31348	0.12044
V55	0.21092	0.1924	0.21915	0.37753
V56	0.11573	0.10934	0.11725	0.65769
V57	0.11425	0.72241	0.06045	0.10289
V58	0.50443	0.07122	0.08947	0.33488
V59	0.34039	0.39302	0.12902	0.13757
V60	0.15789	0.21327	0.27431	0.35453
V61	0.62107	0.14417	0.06105	0.17371
V62	0.68813	0.07563	0.1159	0.12034
V63	0.05888	0.69896	0.13194	0.11022
V64	0.05481	0.71477	0.04356	0.18687
V65	0.0962	0.10439	0.12551	0.6739
V66	0.19732	0.59628	0.06106	0.14534
V67	0.16007	0.33225	0.40057	0.1071
V68	0.18194	0.2003	0.07496	0.54279
V69	0.07394	0.32486	0.46557	0.13563
V70	0.42128	0.19534	0.18759	0.19579
V71	0.18182	0.15072	0.31069	0.35677
V72	0.44563	0.19862	0.12507	0.23068
V73	0.15743	0.53721	0.14613	0.15923
V74	0.09654	0.25721	0.54986	0.09639
V75	0.55368	0.05994	0.20404	0.18235
V76	0.07314	0.23126	0.17943	0.51617
V77	0.09931	0.31094	0.05879	0.53096
V78	0.26807	0.1785	0.18755	0.36587
V79	0.06044	0.17007	0.60198	0.16751
V80	0.29958	0.09323	0.43593	0.17126
V81	0.09766	0.21237	0.58567	0.1043
V82	0.05855	0.14041	0.69394	0.1071
V83	0.16487	0.22776	0.1085	0.49886
V84	0.32964	0.11833	0.17596	0.37607
V85	0.13358	0.33059	0.32024	0.21559
V86	0.09277	0.13027	0.64233	0.13463
V87	0.07197	0.69552	0.08798	0.14452
V88	0.18611	0.14181	0.24097	0.43111
V89	0.09559	0.11193	0.19695	0.59554
V90	0.06526	0.74191	0.08851	0.10432
V91	0.07247	0.6321	0.1769	0.11853
V92	0.37162	0.0949	0.32981	0.20367
V93	0.69641	0.0597	0.05431	0.18957
V94	0.07681	0.42831	0.06409	0.43079
V95	0.22569	0.41047	0.16085	0.20298
V96	0.13165	0.16801	0.07918	0.62116
V97	0.5331	0.1482	0.20964	0.10906
V98	0.53785	0.30066	0.04845	0.11304
V99	0.6239	0.09118	0.17188	0.11303
V100	0.11429	0.11435	0.64976	0.1216
V101	0.10093	0.11585	0.06712	0.71611
V102	0.73073	0.08673	0.06064	0.12189
V103	0.09409	0.13002	0.12388	0.65201
V104	0.06666	0.78646	0.05046	0.09642
V105	0.08428	0.76281	0.05622	0.09668
V106	0.13452	0.46845	0.2711	0.12593
V107	0.18512	0.24068	0.43583	0.13838
V108	0.15206	0.64183	0.11535	0.09076
V109	0.07234	0.2218	0.448	0.25786
V110	0.08561	0.72938	0.07446	0.11054
V111	0.7249	0.04271	0.11695	0.11544
V112	0.15948	0.14611	0.34466	0.34975
V113	0.199	0.17608	0.18111	0.44381
V114	0.24025	0.12467	0.1166	0.51849
V115	0.05207	0.64472	0.20567	0.09754
V116	0.15651	0.328	0.29961	0.21588
V117	0.52028	0.26681	0.07707	0.13585
V118	0.16838	0.51537	0.07157	0.24468
V119	0.15878	0.15261	0.09532	0.59328
V120	0.11206	0.14334	0.63119	0.11342
V121	0.46131	0.17577	0.12512	0.23781
V122	0.76372	0.04566	0.06751	0.12312
V123	0.0662	0.47521	0.08162	0.37697
V124	0.51044	0.2958	0.04659	0.14717
V125	0.31099	0.39564	0.1778	0.11556
V126	0.10582	0.20884	0.09375	0.59159
V127	0.18629	0.13296	0.23542	0.44533
V128	0.10533	0.1088	0.13842	0.64745
V129	0.44495	0.25354	0.17348	0.12803
V130	0.05304	0.57378	0.27535	0.09782
V131	0.06471	0.74126	0.04361	0.15041
V132	0.74081	0.04744	0.08162	0.13013
V133	0.71708	0.05705	0.10425	0.12163
V134	0.1381	0.38456	0.1417	0.33564
V135	0.13593	0.11463	0.1836	0.56585
V136	0.22403	0.38883	0.0573	0.32984
V137	0.50642	0.09671	0.23745	0.15942
V138	0.19931	0.39172	0.17347	0.2355
V139	0.29186	0.24698	0.19191	0.26925
V140	0.10464	0.16585	0.09652	0.63299
V141	0.1069	0.21946	0.41452	0.25913
V142	0.62574	0.05434	0.21374	0.10619
V143	0.3419	0.28441	0.10511	0.26857
V144	0.18413	0.21507	0.17271	0.42808
V145	0.04565	0.65227	0.20489	0.09719
V146	0.12331	0.10709	0.08531	0.68429
V147	0.71736	0.06529	0.07393	0.14342
V148	0.15376	0.15346	0.44563	0.24716
V149	0.23009	0.46853	0.20176	0.09962
V150	0.1177	0.2767	0.44798	0.15761
V151	0.19305	0.55098	0.07032	0.18564
