CD19B	CD56NK	CD4MemoryT	CD14
V1	0.44233	0.07763	0.18074	0.2993
V2	0.17556	0.15884	0.09007	0.57553
V3	0.09321	0.55504	0.04773	0.30402
V4	0.6873	0.14976	0.04329	0.11965
V5	0.13008	0.44573	0.21887	0.20532
V6	0.09832	0.74394	0.05135	0.10639
V7	0.16158	0.3629	0.10413	0.37139
V8	0.15032	0.09283	0.6331	0.12375
V9	0.2252	0.27059	0.07488	0.42933
V10	0.06741	0.10122	0.69327	0.1381
V11	0.19662	0.3552	0.35243	0.09574
V12	0.06665	0.52852	0.30457	0.10025
V13	0.2341	0.61814	0.04061	0.10715
V14	0.09254	0.77507	0.0409	0.09148
V15	0.13601	0.53219	0.1285	0.20331
V16	0.7201	0.08331	0.06708	0.12951
V17	0.10608	0.74208	0.04574	0.1061
V18	0.44769	0.34858	0.0773	0.12642
V19	0.15867	0.702	0.04122	0.09812
V20	0.17247	0.43654	0.0556	0.33539
V21	0.14987	0.1237	0.60388	0.12255
V22	0.08687	0.1681	0.19517	0.54985
V23	0.32301	0.10135	0.47207	0.10357
V24	0.75822	0.06523	0.07513	0.10142
V25	0.28741	0.27001	0.14069	0.30189
V26	0.31874	0.3828	0.05612	0.24234
V27	0.14677	0.12971	0.07011	0.65341
V28	0.05713	0.11005	0.73792	0.09489
V29	0.36349	0.08821	0.42187	0.12643
V30	0.13238	0.2591	0.23981	0.36872
V31	0.19939	0.23956	0.25371	0.30734
V32	0.13366	0.11097	0.07849	0.67688
V33	0.08249	0.46159	0.29157	0.16435
V34	0.14969	0.10795	0.61892	0.12344
V35	0.16168	0.62529	0.10017	0.11287
V36	0.07145	0.12331	0.38644	0.41881
V37	0.43214	0.13214	0.12334	0.31238
V38	0.35789	0.07637	0.18215	0.38359
V39	0.1659	0.50865	0.13519	0.19027
V40	0.11386	0.70624	0.09449	0.08542
V41	0.05744	0.59423	0.07272	0.27561
V42	0.22323	0.11141	0.20246	0.4629
V43	0.14466	0.34202	0.39616	0.11715
V44	0.06885	0.14779	0.56531	0.21805
V45	0.11893	0.52706	0.19771	0.1563
V46	0.63217	0.11534	0.14784	0.10464
V47	0.36013	0.22564	0.27816	0.13607
V48	0.63421	0.20032	0.04816	0.1173
V49	0.57398	0.21929	0.04111	0.16562
V50	0.09161	0.71543	0.10084	0.09212
V51	0.26367	0.38887	0.22981	0.11764
V52	0.07471	0.16896	0.63426	0.12207
V53	0.57756	0.1603	0.16598	0.09616
V54	0.34306	0.22693	0.31541	0.1146
V55	0.2111	0.19054	0.21956	0.3788
V56	0.11229	0.10694	0.11435	0.66642
V57	0.11343	0.73635	0.05151	0.09871
V58	0.51037	0.07094	0.08496	0.33373
V59	0.34515	0.39815	0.12408	0.13261
V60	0.15694	0.21096	0.27632	0.35577
V61	0.6303	0.14694	0.05437	0.16839
V62	0.69925	0.07708	0.11022	0.11345
V63	0.0563	0.71151	0.12593	0.10625
V64	0.05191	0.72858	0.03413	0.18538
V65	0.09245	0.10177	0.12258	0.68321
V66	0.19844	0.60722	0.05261	0.14173
V67	0.16011	0.33264	0.40501	0.10223
V68	0.18096	0.20141	0.06938	0.54825
V69	0.07162	0.32374	0.4729	0.13173
V70	0.42668	0.19566	0.18572	0.19195
V71	0.18134	0.14656	0.31423	0.35787
V72	0.45106	0.20025	0.12119	0.2275
V73	0.15726	0.54491	0.14173	0.15609
V74	0.09505	0.25329	0.56061	0.09106
V75	0.56149	0.05821	0.20312	0.17718
V76	0.06968	0.23032	0.17841	0.52159
V77	0.09671	0.314	0.05263	0.53667
V78	0.26977	0.17732	0.18645	0.36645
V79	0.05759	0.16284	0.61523	0.16434
V80	0.30341	0.08732	0.44243	0.16684
V81	0.09628	0.20679	0.59801	0.09892
