CD19B	CD56NK	CD4MemoryT	CD14
V1	0.21194	0	0.78806	0
V2	0	0	0.98021	0.01979
V3	0	0.16639	0.83361	0
V4	0.50643	0	0.49357	0
V5	0	0	1	0
V6	0	0.32399	0.67601	0
V7	0	0	1	0
V8	0	0	1	0
V9	0	0	1	0
V10	0	0	1	0
V11	0	0	1	0
V12	0	0	1	0
V13	0	0.10686	0.89314	0
V14	0	0.39433	0.60567	0
V15	0	0.06958	0.93042	0
V16	0.59175	0	0.40825	0
V17	0	0.33128	0.66872	0
V18	4e-04	0	0.9996	0
V19	0	0.24494	0.75506	0
V20	0	0.02908	0.97092	0
V21	0	0	1	0
V22	0	0	1	0
V23	0.03698	0	0.96302	0
V24	0.68428	0	0.31572	0
V25	0	0	1	0
V26	0	0	1	0
V27	0	0	0.63722	0.36278
V28	0	0	1	0
V29	0.09453	0	0.90547	0
V30	0	0	1	0
V31	0	0	1	0
V32	0	0	0.50723	0.49277
V33	0	0	1	0
V34	0	0	1	0
V35	0	0.09571	0.90429	0
V36	0	0	1	0
V37	0.12152	0	0.87848	0
V38	0.04841	0	0.95159	0
V39	0	0.0159	0.9841	0
V40	0	0.24632	0.75368	0
V41	0	0.2442	0.7558	0
V42	0	0	1	0
V43	0	0	1	0
V44	0	0	1	0
V45	0	0	1	0
V46	0.45905	0	0.54095	0
V47	0	0	1	0
V48	0.3901	0	0.6099	0
V49	0.26531	0	0.73469	0
V50	0	0.27185	0.72815	0
V51	0	0	1	0
V52	0	0	1	0
V53	0.33618	0	0.66382	0
V54	0	0	1	0
V55	0	0	1	0
V56	0	0	0.61062	0.38938
V57	0	0.32328	0.67672	0
V58	0.31045	0	0.68955	0
V59	0	0	1	0
V60	0	0	1	0
V61	0.41148	0	0.58852	0
V62	0.56592	0	0.43408	0
V63	0	0.25736	0.74264	0
V64	0	0.38544	0.61456	0
V65	0	0	0.53682	0.46318
V66	0	0.13256	0.86744	0
V67	0	0	1	0
V68	0	0	1	0
V69	0	0	1	0
V70	0.07864	0	0.92136	0
V71	0	0	1	0
V72	0.09142	0	0.90858	0
V73	0	0.01348	0.98652	0
V74	0	0	1	0
V75	0.35205	0	0.64795	0
V76	0	0	1	0
V77	0	0.00084	0.99916	0
V78	0	0	1	0
V79	0	0	1	0
V80	0.02764	0	0.97236	0
V81	0	0	1	0
V82	0	0	1	0
V83	0	0	1	0
V84	0	0	1	0
V85	0	0	1	0
V86	0	0	1	0
V87	0	0.30694	0.69306	0
V88	0	0	1	0
V89	0	0	0.98307	0.01693
V90	0	0.35845	0.64155	0
V91	0	0.096	0.904	0
V92	0.0841	0	0.9159	0
V93	0.58467	0	0.41533	0
V94	0	0.13198	0.86802	0
V95	0	0	1	0
V96	0	0	0.75733	0.24267
V97	0.29843	0	0.70157	0
V98	0.20714	0	0.79286	0
V99	0.4686	0	0.5314	0
V100	0	0	1	0
V101	0	0.00363	0.22522	0.77115
V102	0.62954	0	0.37046	0
V103	0	0	0.65038	0.34962
V104	0	0.50612	0.49388	0
V105	0	0.40466	0.59534	0
V106	0	0	1	0
V107	0	0	1	0
V108	0	0.10749	0.89251	0
V109	0	0	1	0
V110	0	0.33153	0.66847	0
V111	0.63984	0	0.36016	0
