CD19B	CD56NK	CD4MemoryT	CD14
V1	0.33712	0.08221	0.21798	0.36269
V2	0.00589	0.16465	0.09799	0.73147
V3	0	0.57296	0.05385	0.37319
V4	0.62687	0.15558	0.11856	0.09899
V5	0	0.48531	0.25505	0.25964
V6	0	0.81636	0.08524	0.0984
V7	0.00651	0.37802	0.13525	0.48022
V8	0.0678	0.10314	0.67659	0.15248
V9	0.07125	0.27352	0.10577	0.54946
V10	0	0.1068	0.72487	0.16833
V11	0.09637	0.39168	0.40789	0.10406
V12	0	0.56988	0.32958	0.10054
V13	0.0981	0.69983	0.09571	0.10635
V14	0	0.85142	0.0698	0.07878
V15	0	0.58284	0.16381	0.25335
V16	0.65985	0.08912	0.13857	0.11246
V17	0	0.81971	0.08017	0.10013
V18	0.36063	0.37235	0.14502	0.122
V19	0.01995	0.79278	0.09145	0.09582
V20	0.01556	0.46085	0.09367	0.42993
V21	0.06565	0.13099	0.65359	0.14977
V22	0	0.1539	0.17038	0.67572
V23	0.24486	0.11287	0.52813	0.11414
V24	0.69667	0.07443	0.14669	0.08221
V25	0.15322	0.27931	0.18397	0.3835
V26	0.18569	0.40938	0.10848	0.29645
V27	0	0.13288	0.0667	0.80042
V28	0	0.114	0.77047	0.11552
V29	0.28081	0.10432	0.47838	0.13649
V30	0	0.26128	0.25621	0.4825
V31	0.06358	0.24916	0.2862	0.40107
V32	0	0.11072	0.07003	0.81925
V33	0	0.49122	0.31519	0.19359
V34	0.06665	0.11459	0.66642	0.15234
V35	0.02758	0.70455	0.14905	0.11882
V36	0	0.11079	0.36438	0.52483
V37	0.31776	0.13646	0.16392	0.38186
V38	0.22123	0.08435	0.21005	0.48437
V39	0.02944	0.5618	0.1755	0.23326
V40	0	0.79084	0.13013	0.07903
V41	0	0.59974	0.07515	0.32511
V42	0.08296	0.11145	0.21496	0.59064
V43	0.04463	0.37088	0.44601	0.13848
V44	0	0.14583	0.57863	0.27554
V45	0	0.58237	0.23442	0.18321
V46	0.5813	0.11951	0.2098	0.08939
V47	0.27814	0.23548	0.33304	0.15334
V48	0.57753	0.20314	0.12226	0.09707
V49	0.49977	0.22207	0.10908	0.16908
V50	0	0.78755	0.1282	0.08425
V51	0.16079	0.43262	0.28043	0.12616
V52	0	0.17671	0.67452	0.14877
V53	0.52095	0.16723	0.22765	0.08417
V54	0.25916	0.24556	0.37373	0.12155
V55	0.06955	0.19567	0.24399	0.4908
V56	0	0.10198	0.09205	0.80597
V57	0	0.81562	0.09049	0.0939
V58	0.39778	0.07201	0.12953	0.40068
V59	0.23995	0.43295	0.18764	0.13946
V60	0.02279	0.21612	0.29398	0.46711
V61	0.55997	0.15005	0.12026	0.16972
V62	0.64378	0.08724	0.17273	0.09624
V63	0	0.76798	0.13711	0.0949
V64	0	0.76746	0.03644	0.1961
V65	0	0.0918	0.09309	0.81511
V66	0.05716	0.68041	0.10582	0.15661
V67	0.06062	0.36533	0.46017	0.11388
V68	0.0093	0.20676	0.0845	0.69945
V69	0	0.33958	0.50731	0.15311
V70	0.34096	0.20327	0.23439	0.22137
V71	0.04919	0.15073	0.33349	0.4666
V72	0.35911	0.2051	0.16838	0.2674
V73	0.02393	0.60726	0.18425	0.18456
V74	0.00568	0.26875	0.61812	0.10745
V75	0.49149	0.06804	0.25254	0.18794
V76	0	0.209	0.15468	0.63632
V77	0	0.29868	0.04101	0.66031
V78	0.13555	0.18122	0.2148	0.46843
V79	0	0.15931	0.64014	0.20055
V80	0.21465	0.10018	0.48844	0.19673
V81	0.01056	0.22097	0.65154	0.11693
V82	0	0.13669	0.74322	0.12009
V83	0.00164	0.23353	0.11949	0.64534
V84	0.1986	0.11818	0.20515	0.47807
V85	0.0141	0.35588	0.35608	0.27393
V86	0.00968	0.13069	0.697	0.16263
V87	0	0.76103	0.09874	0.14023
V88	0.04109	0.14368	0.25554	0.5597
V89	0	0.09917	0.16718	0.73365
V90	0	0.81811	0.09539	0.0865
V91	0	0.6976	0.18989	0.11251
V92	0.28791	0.10156	0.37217	0.23837
V93	0.63565	0.06919	0.10936	0.1858
V94	0	0.41767	0.05133	0.53101
V95	0.1036	0.44995	0.2037	0.24275
V96	0	0.16346	0.0672	0.76934
V97	0.48705	0.1577	0.264	0.09126
V98	0.47313	0.32856	0.11131	0.087
V99	0.58268	0.09749	0.22719	0.09264
V100	0.0297	0.11424	0.71504	0.14101
V101	0	0.10785	0.04101	0.85114
V102	0.68037	0.09524	0.13065	0.09375
V103	0	0.11917	0.09073	0.79011
V104	0	0.86774	0.05756	0.0747
V105	0	0.84952	0.07277	0.07771
V106	0.01481	0.52736	0.31685	0.14098
V107	0.08772	0.25709	0.49377	0.16142
V108	0.01966	0.73851	0.15717	0.08466
V109	0	0.2127	0.46604	0.32126
V110	0	0.81083	0.09265	0.09652
V111	0.67799	0.05719	0.17435	0.09048
V112	0.03339	0.14607	0.36329	0.45725
V113	0.0472	0.17903	0.1954	0.57836
V114	0.08406	0.12955	0.12588	0.6605
V115	0	0.7114	0.20493	0.08367
V116	0.03603	0.35615	0.33527	0.27255
V117	0.4558	0.28195	0.13945	0.12281
V118	0.01883	0.5665	0.10592	0.30874
V119	0	0.15592	0.09259	0.75149
V120	0.03112	0.14625	0.69278	0.12986
V121	0.37399	0.18171	0.16718	0.27711
V122	0.70896	0.06145	0.13522	0.09437
V123	0	0.46725	0.07529	0.45746
V124	0.43218	0.32278	0.10675	0.13829
V125	0.21454	0.44097	0.2332	0.1113
V126	0	0.19275	0.07535	0.7319
V127	0.04054	0.13182	0.25024	0.57741
V128	0	0.10154	0.10799	0.79048
V129	0.38025	0.26972	0.22953	0.1205
V130	0	0.62956	0.28693	0.08351
V131	0	0.80753	0.04666	0.14581
V132	0.68821	0.06317	0.14422	0.1044
V133	0.66964	0.07212	0.16259	0.09565
V134	0	0.40316	0.16577	0.43107
V135	0	0.11025	0.17283	0.71692
V136	0.07593	0.41232	0.09206	0.41969
V137	0.44633	0.10179	0.28994	0.16194
V138	0.06655	0.4217	0.21656	0.29519
V139	0.17279	0.25071	0.23791	0.33858
V140	0	0.15304	0.07265	0.77432
V141	0	0.21964	0.44614	0.33422
V142	0.5845	0.06503	0.26155	0.08891
V143	0.21907	0.30201	0.14877	0.33015
V144	0.03048	0.21718	0.19077	0.56156
V145	0	0.71576	0.20243	0.08182
V146	0	0.10336	0.06536	0.83129
V147	0.66626	0.07571	0.13731	0.12072
V148	0.04303	0.1531	0.48661	0.31726
V149	0.1194	0.53264	0.25148	0.09648
V150	0.01692	0.29091	0.50587	0.1863
V151	0.05333	0.61613	0.11229	0.21825
V152	0.08901	0.46456	0.24802	0.19841
V153	0	0.70887	0.08971	0.20142
V154	0.10908	0.47764	0.28894	0.12434
V155	0.29074	0.20179	0.30981	0.19767
V156	0	0.20711	0.55822	0.23467
V157	0.15252	0.21696	0.31091	0.31961
V158	0	0.09634	0.05126	0.8524
V159	0.64186	0.11209	0.11698	0.12907
V160	0.45413	0.07226	0.14807	0.32554
V161	0.05403	0.10483	0.08798	0.75316
V162	0	0.31973	0.11094	0.56933
V163	0	0.4878	0.19197	0.32023
V164	0.15235	0.34228	0.17523	0.33013
V165	0	0.27715	0.02775	0.6951
V166	0	0.15692	0.08097	0.7621
V167	0.14372	0.09101	0.0802	0.68507
V168	0.12208	0.57393	0.15845	0.14554
V169	0.0378	0.14348	0.09203	0.72668
V170	0.02009	0.11213	0.43693	0.43085
V171	0.05071	0.28913	0.50804	0.15211
V172	0.51839	0.06821	0.31556	0.09784
V173	0	0.19267	0.07049	0.73684
V174	0	0.20629	0.09066	0.70305
V175	0.01783	0.10065	0.63962	0.2419
V176	0	0.75646	0.1643	0.07923
V177	0	0.87345	0.04767	0.07889
V178	0	0.68771	0.03863	0.27366
V179	0.04935	0.10314	0.33547	0.51205
V180	0	0.82291	0.10744	0.06965
V181	0.06602	0.20009	0.46485	0.26905
V182	0.17128	0.23968	0.42451	0.16453
V183	0.03471	0.78469	0.09242	0.08818
V184	0.73489	0.05231	0.13166	0.08114
V185	0.36766	0.42803	0.1198	0.08451
V186	0.00895	0.49617	0.2655	0.22938
V187	0.70322	0.06183	0.14651	0.08845
V188	0	0.26056	0.0403	0.69914
V189	0.5605	0.07894	0.12239	0.23818
V190	0.47502	0.0793	0.34573	0.09995
V191	0.08693	0.26347	0.49919	0.1504
V192	0.1236	0.47579	0.12998	0.27062
V193	0.39632	0.10558	0.2768	0.22129
V194	0	0.84839	0.06068	0.09093
V195	0	0.11544	0.76246	0.1221
V196	0	0.1377	0.04478	0.81752
V197	0.19614	0.12686	0.10622	0.57078
V198	0	0.50788	0.33498	0.15714
V199	0.03235	0.11739	0.18865	0.66161
V200	0	0.54956	0.08764	0.3628
V201	0	0.54689	0.21073	0.24238
V202	0	0.10661	0.60772	0.28568
V203	0.05767	0.46064	0.36035	0.12134
V204	0	0.48714	0.03926	0.4736
V205	0	0.13624	0.73257	0.1312
V206	0.00971	0.17308	0.69613	0.12109
V207	0.00108	0.24567	0.10925	0.644
V208	0.15356	0.14341	0.57955	0.12349
V209	0.1258	0.47979	0.14344	0.25097
V210	0	0.72683	0.13895	0.13422
V211	0.20553	0.09815	0.1098	0.58652
V212	0.34827	0.11383	0.41803	0.11987
V213	0.40598	0.09519	0.18488	0.31395
V214	0.15141	0.21929	0.2073	0.422
V215	0.10901	0.17057	0.08702	0.6334
V216	0	0.09714	0.05493	0.84793
V217	0	0.48023	0.21618	0.30359
V218	0	0.44814	0.19285	0.35901
V219	0	0.60894	0.0738	0.31726
V220	0	0.74025	0.04176	0.21799
V221	0.55689	0.06152	0.10892	0.27266
V222	0.16614	0.20284	0.34795	0.28307
V223	0	0.20625	0.61141	0.18234
V224	0.72391	0.05332	0.14078	0.08199
V225	0	0.81449	0.10488	0.08063
V226	0.18928	0.15573	0.5347	0.12029
V227	0.57831	0.06427	0.25475	0.10267
V228	0.532	0.12278	0.16371	0.18151
V229	0	0.11248	0.74524	0.14228
V230	0	0.10671	0.05087	0.84242
V231	0	0.29574	0.11512	0.58914
V232	0	0.60228	0.03923	0.35848
V233	0.35295	0.15572	0.24732	0.24402
V234	0	0.83494	0.07877	0.08629
V235	0.23098	0.13991	0.49003	0.13908
V236	0.00284	0.1526	0.65059	0.19397
V237	0.01417	0.10686	0.08702	0.79195
V238	0.02033	0.56054	0.27313	0.146
V239	0	0.39611	0.06546	0.53843
V240	0.32388	0.11437	0.40715	0.1546
V241	0	0.10584	0.71065	0.18351
V242	0.00075	0.74176	0.15722	0.10027
V243	0.13592	0.12421	0.55089	0.18899
V244	0.11097	0.09891	0.58729	0.20284
V245	0.38067	0.32901	0.14814	0.14219
V246	0.00719	0.21989	0.63479	0.13813
V247	0.09474	0.11258	0.68021	0.11247
V248	0	0.11323	0.06881	0.81795
V249	0	0.12394	0.69718	0.17888
V250	0.56205	0.06741	0.27292	0.09763
V251	0.69547	0.08689	0.13152	0.08612
V252	0	0.7761	0.15349	0.0704
V253	0.17171	0.14959	0.20244	0.47626
V254	0	0.8428	0.08409	0.07311
V255	0	0.83196	0.05687	0.11118
V256	0.07662	0.26841	0.45506	0.19991
V257	0.2273	0.17201	0.26212	0.33857
V258	0.06586	0.31638	0.3842	0.23357
V259	0	0.33208	0.51956	0.14835
V260	0	0.32023	0.57326	0.1065
V261	0.40063	0.10001	0.24489	0.25447
V262	0	0.13809	0.06704	0.79488
V263	0	0.86179	0.0509	0.08732
V264	0.05584	0.1257	0.36765	0.45081
V265	0	0.09287	0.12567	0.78146
V266	0.43385	0.37427	0.11608	0.07579
V267	0	0.22142	0.22387	0.5547
V268	0.18237	0.10616	0.18943	0.52204
V269	0	0.53634	0.3271	0.13657
V270	0.43536	0.09624	0.28564	0.18276
V271	0.5545	0.11775	0.13911	0.18865
V272	0	0.75236	0.06647	0.18116
V273	0	0.109	0.0697	0.8213
V274	0.47934	0.06902	0.24405	0.2076
V275	0	0.11492	0.76413	0.12095
V276	0.28197	0.3648	0.10805	0.24518
V277	0	0.24308	0.15417	0.60275
V278	0	0.13993	0.2405	0.61957
V279	0.46084	0.11611	0.1851	0.23795
V280	0	0.09634	0.05126	0.8524
V281	0.32291	0.10103	0.20142	0.37464
V282	0.00936	0.15322	0.66192	0.17551
V283	0.05685	0.5691	0.13537	0.23868
V284	0	0.82842	0.09542	0.07616
V285	0.02632	0.10846	0.74636	0.11887
V286	0.08722	0.54889	0.16978	0.19411
V287	0	0.81586	0.08267	0.10147
V288	0	0.31009	0.33463	0.35528
V289	0.15521	0.27423	0.38684	0.18371
V290	0.59984	0.19293	0.12986	0.07737
V291	0.32561	0.14519	0.41546	0.11374
V292	0.68327	0.06093	0.11678	0.13902
V293	0.18127	0.10375	0.56283	0.15215
V294	0	0.37299	0.05249	0.57453
V295	0	0.22038	0.16805	0.61156
V296	0.08252	0.19139	0.52794	0.19814
V297	0	0.0964	0.09388	0.80972
V298	0.18055	0.17239	0.52673	0.12032
V299	0	0.29866	0.05541	0.64593
V300	0	0.11082	0.18256	0.70662
V301	0.04322	0.18518	0.54204	0.22956
V302	0.43442	0.36512	0.11057	0.08989
V303	0	0.56784	0.31744	0.11472
V304	0.00356	0.11571	0.59637	0.28437
V305	0.02527	0.22917	0.38866	0.3569
V306	0.56817	0.14465	0.15642	0.13076
V307	0	0.85629	0.06157	0.08214
V308	0.08389	0.27956	0.29341	0.34314
V309	0.13217	0.34513	0.10967	0.41302
V310	0	0.33686	0.1617	0.50144
V311	0.3175	0.48883	0.1091	0.08458
V312	0	0.70968	0.17933	0.11099
V313	0	0.15966	0.04902	0.79132
V314	0	0.44435	0.12187	0.43378
V315	0	0.59875	0.09854	0.30271
V316	0.15993	0.20429	0.35965	0.27613
V317	0	0.64976	0.10008	0.25016
V318	0	0.50699	0.05424	0.43877
V319	0.01374	0.14433	0.68814	0.15378
V320	0.01247	0.21595	0.53573	0.23585
V321	0.42635	0.38253	0.11521	0.07591
V322	0.03495	0.35072	0.13306	0.48128
V323	0	0.11187	0.10045	0.78768
V324	0.44249	0.28784	0.16595	0.10372
V325	0.13169	0.63479	0.144	0.08952
V326	0	0.50844	0.1019	0.38965
V327	0	0.19483	0.10913	0.69604
V328	0	0.11494	0.59218	0.29288
V329	0.03163	0.18705	0.18621	0.59511
V330	0.20933	0.09442	0.32824	0.368
V331	0.14016	0.16235	0.1127	0.58478
V332	0	0.12602	0.15308	0.72089
V333	0.24517	0.15512	0.37653	0.22319
V334	0.18854	0.09538	0.33686	0.37922
V335	0	0.35991	0.41747	0.22262
V336	0.02799	0.67394	0.09884	0.19923
V337	0.13836	0.43212	0.30315	0.12638
V338	0	0.87894	0.05028	0.07079
V339	0.06347	0.10791	0.70545	0.12317
V340	0	0.2745	0.43439	0.29111
V341	0	0.11405	0.07729	0.80866
V342	0.13067	0.09614	0.52769	0.2455
V343	0.71623	0.06657	0.1312	0.086
V344	0.47714	0.19247	0.2444	0.08599
V345	0	0.1152	0.76777	0.11702
V346	0.08512	0.18625	0.27399	0.45464
V347	0	0.09876	0.12474	0.7765
V348	0	0.61135	0.15941	0.22924
V349	0.18885	0.22962	0.36593	0.21561
V350	0	0.75246	0.17286	0.07468
V351	0	0.11501	0.30188	0.58311
V352	0.00696	0.11554	0.68126	0.19624
V353	0.62775	0.07847	0.14481	0.14897
V354	0	0.66005	0.21286	0.1271
V355	0.14311	0.15721	0.40583	0.29384
V356	0	0.10896	0.101	0.79004
V357	0.00245	0.36592	0.26341	0.36821
V358	0.30241	0.16443	0.13594	0.39722
V359	0.32649	0.11863	0.12065	0.43423
V360	0.33701	0.44545	0.12702	0.09052
V361	0	0.45371	0.453	0.09329
V362	0	0.87229	0.05693	0.07078
V363	0.06038	0.1923	0.40028	0.34705
V364	0.07148	0.14586	0.56897	0.21369
V365	0.08412	0.11271	0.07999	0.72318
V366	0	0.63434	0.12382	0.24184
V367	0.32782	0.19364	0.09217	0.38638
V368	0	0.68622	0.13102	0.18276
V369	0	0.41475	0.48579	0.09945
V370	0.16039	0.32423	0.38261	0.13278
V371	0.03449	0.69874	0.11178	0.15499
V372	0.01976	0.14709	0.14586	0.68728
V373	0	0.20773	0.38966	0.40261
V374	0.57023	0.07168	0.2682	0.08989
V375	0	0.12213	0.13617	0.7417
V376	0	0.1147	0.10083	0.78447
V377	0.52981	0.05681	0.11089	0.30249
V378	0	0.11634	0.30394	0.57972
V379	0.132	0.2449	0.09064	0.53247
V380	0.02149	0.15899	0.20037	0.61915
V381	0.48397	0.08094	0.17267	0.26242
V382	0.03141	0.12229	0.72381	0.12248
V383	0.57847	0.06298	0.15123	0.20733
V384	0.32355	0.14652	0.19574	0.33419
V385	0.60893	0.07354	0.1752	0.14233
V386	0.12238	0.10302	0.17755	0.59705
V387	0.37031	0.20211	0.24435	0.18324
V388	0.17425	0.36569	0.20451	0.25556
V389	0.20803	0.52834	0.1106	0.15303
V390	0.16505	0.3022	0.43093	0.10182
V391	0.18647	0.17503	0.09927	0.53922
V392	0.21796	0.26179	0.22396	0.29629
V393	0.13309	0.27886	0.33562	0.25242
V394	0	0.26716	0.13695	0.59589
V395	0.0692	0.41607	0.22703	0.2877
V396	0	0.86079	0.05297	0.08624
V397	0.53961	0.14292	0.19172	0.12575
V398	0.21848	0.19886	0.16403	0.41863
V399	0.05103	0.55198	0.19081	0.20618
V400	0	0.52188	0.08351	0.3946
V401	0	0.22816	0.5843	0.18755
V402	0.57012	0.20336	0.14846	0.07807
V403	0	0.10666	0.08231	0.81103
V404	0.01795	0.25436	0.5176	0.21009
V405	0.06627	0.12161	0.18561	0.62651
V406	0.40158	0.28529	0.12095	0.19218
V407	0	0.87894	0.05028	0.07079
V408	0	0.29634	0.34177	0.36189
V409	0	0.10046	0.04938	0.85016
V410	0	0.80556	0.09333	0.10111
V411	0.21049	0.09017	0.07883	0.62052
V412	0.05384	0.15924	0.42217	0.36475
V413	0	0.46696	0.18321	0.34982
V414	0	0.49715	0.28603	0.21681
V415	0.23086	0.11	0.26315	0.39599
V416	0	0.15368	0.7325	0.11382
V417	0.19091	0.61901	0.10339	0.08668
V418	0	0.17348	0.14662	0.6799
V419	0	0.09653	0.05607	0.84739
V420	0	0.79094	0.05143	0.15763
V421	0.07165	0.1261	0.56969	0.23256
V422	0	0.1318	0.05018	0.81801
V423	0.0297	0.11424	0.71504	0.14101
V424	0	0.12754	0.47144	0.40102
V425	0	0.2872	0.49698	0.21582
V426	0.0333	0.13471	0.64822	0.18377
V427	0	0.39946	0.19327	0.40727
V428	0	0.7163	0.11369	0.17001
V429	0	0.09572	0.06059	0.8437
V430	0.50532	0.2079	0.12903	0.15775
V431	0.06427	0.1164	0.38721	0.43211
V432	0	0.16686	0.09071	0.74243
V433	0	0.67397	0.04325	0.28279
V434	0.13385	0.15755	0.11665	0.59196
