CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V1	0.13921	0.01811	0.64772	0	0.15173	0.04324
V2	0.44246	0.09465	0.08358	0.0757	0.22522	0.07839
V3	0.2554	0.05617	0.21902	0.00889	0.177	0.28353
V4	0.24866	0.29455	0.07806	0.06674	0.22563	0.08636
V5	0.09397	0.03812	0.04364	0.43153	0.35796	0.03478
V6	0.25082	0.02806	0.18862	0.03617	0.27438	0.22195
V7	0.13087	0.26549	0.06731	0.02613	0.46482	0.04539
V8	0.51628	0.04813	0.08894	0.08398	0.15888	0.10379
V9	0.28125	0.12337	0.06349	0.19145	0.18872	0.15172
V10	0.36628	0.03726	0.10144	0.23718	0.18008	0.07776
V11	0.18409	0.47741	0.0914	0.02215	0.17887	0.04609
V12	0.26879	0.03665	0.11338	0.02407	0.18899	0.36811
V13	0.16197	0.33859	0.27435	0.01588	0.16528	0.04393
V14	0.13148	0.01793	0.04963	0.58004	0.17973	0.04119
V15	0.3853	0.06699	0.07258	0.09064	0.29347	0.09101
V16	0.12521	0.01682	0.05643	0.29514	0.4107	0.09569
V17	0.25533	0.04279	0.18074	0.0125	0.1773	0.33133
V18	0.53068	0.1103	0.09595	0.02009	0.15318	0.0898
V19	0.44389	0.05176	0.20479	0.00645	0.21124	0.08187
V20	0.46615	0.05784	0.13655	0.08147	0.1579	0.1001
V21	0.27487	0.04427	0.08597	0.02484	0.21444	0.35561
V22	0.19859	0.052	0.07133	0.05837	0.55418	0.06554
V23	0.11164	0.02031	0.3068	0.00897	0.51341	0.03887
V24	0.17476	0.02369	0.06263	0.09317	0.57898	0.06676
V25	0.37253	0.19464	0.07476	0.0984	0.18581	0.07386
V26	0.25464	0.03028	0.07685	0.01239	0.56895	0.05689
V27	0.236	0.02819	0.20141	0.01823	0.18404	0.33212
V28	0.17548	0.18144	0.17415	0.16399	0.18708	0.11786
V29	0.17194	0.38152	0.13778	0.05635	0.16502	0.0874
V30	0.2445	0.15112	0.14828	0.00915	0.31169	0.13526
V31	0.48296	0.03376	0.20742	0.02007	0.14996	0.10583
V32	0.09351	0.01798	0.29846	0.37153	0.16584	0.05269
V33	0.25362	0.27028	0.23076	0.01758	0.1575	0.07026
V34	0.07086	0.01043	0.43015	0.01126	0.43668	0.04062
V35	0.0955	0.04491	0.1817	0.37222	0.25589	0.04978
V36	0.17054	0.31846	0.15219	0.01576	0.29174	0.05131
V37	0.11472	0.01756	0.61327	0	0.1583	0.09615
V38	0.25331	0.02206	0.17561	0.01385	0.17985	0.35533
V39	0.43916	0.0421	0.07594	0.19597	0.15966	0.08716
V40	0.16297	0.32494	0.07584	0.11318	0.24496	0.0781
V41	0.51176	0.03664	0.10126	0.01415	0.16427	0.17191
V42	0.24363	0.02572	0.44873	0	0.18419	0.09772
V43	0.23238	0.26881	0.07772	0.03129	0.31261	0.07719
V44	0.1893	0.4829	0.08792	0.01829	0.17017	0.05142
V45	0.35343	0.21939	0.10992	0.02429	0.17175	0.12121
V46	0.14207	0.01951	0.06802	0.20728	0.41023	0.15289
V47	0.15527	0.27745	0.06907	0.10897	0.32184	0.0674
V48	0.1508	0.38339	0.20133	0.00881	0.21572	0.03995
V49	0.17924	0.46047	0.08519	0.01717	0.21237	0.04557
V50	0.08175	0.0123	0.26057	0.01143	0.56808	0.06587
V51	0.06889	0.01433	0.06694	0.02258	0.78659	0.04067
V52	0.15108	0.34899	0.24294	0.02907	0.18287	0.04505
V53	0.16595	0.01789	0.13157	0.0299	0.60871	0.04598
V54	0.13096	0.09265	0.4631	0.02737	0.21387	0.07206
V55	0.07293	0.03903	0.14811	0.03012	0.67083	0.03898
V56	0.07712	0.03436	0.60038	0.07088	0.1848	0.03246
V57	0.22417	0.243	0.10214	0.01227	0.25351	0.1649
V58	0.08853	0.01601	0.68035	0.00063	0.15973	0.05475
V59	0.11852	0.01112	0.03703	0.59611	0.20021	0.03701
V60	0.38533	0.02435	0.06764	0.29101	0.16154	0.07013
