CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V1	0.14609	0.01719	0.67669	0.0331	0.07046	0.05647
V2	0.42339	0.10369	0.08743	0.10821	0.1775	0.09978
V3	0.27722	0.04795	0.23069	0.03191	0.0945	0.31772
V4	0.23361	0.31348	0.07099	0.10152	0.18218	0.09821
V5	0.08203	0.04894	0.02964	0.45094	0.35099	0.03747
V6	0.26622	0.02035	0.19148	0.06107	0.21341	0.24746
V7	0.11612	0.27739	0.03938	0.05779	0.46114	0.04818
V8	0.50101	0.0538	0.10307	0.11582	0.09432	0.13198
V9	0.27595	0.1293	0.06796	0.21906	0.13725	0.17048
V10	0.35007	0.04389	0.10935	0.26897	0.13257	0.09515
V11	0.15697	0.52475	0.0775	0.06146	0.13029	0.04904
V12	0.29932	0.02314	0.12874	0.04046	0.10185	0.4065
V13	0.14628	0.36651	0.27314	0.05835	0.10656	0.04917
V14	0.11588	0.03183	0.05	0.6001	0.15664	0.04555
V15	0.37023	0.07186	0.07205	0.12006	0.25528	0.11053
V16	0.12378	0.02108	0.0432	0.31375	0.39435	0.10385
V17	0.28261	0.03151	0.19367	0.03203	0.09073	0.36944
V18	0.51519	0.1218	0.1076	0.05253	0.08469	0.11819
V19	0.43209	0.05631	0.21356	0.03983	0.15175	0.10646
V20	0.45278	0.06349	0.14935	0.11479	0.09364	0.12595
V21	0.30174	0.03205	0.09857	0.04125	0.13346	0.39293
V22	0.18928	0.05433	0.04697	0.08442	0.54972	0.07528
V23	0.11108	0.01952	0.28207	0.04218	0.49911	0.04605
V24	0.16757	0.02533	0.03694	0.11713	0.57719	0.07583
V25	0.35319	0.2107	0.07627	0.13382	0.13536	0.09066
V26	0.24172	0.03144	0.05325	0.03866	0.56592	0.06902
V27	0.26566	0.01541	0.21374	0.0383	0.09789	0.36899
V28	0.17401	0.18925	0.17275	0.19788	0.13621	0.12989
V29	0.15661	0.40935	0.13235	0.09507	0.11028	0.09634
V30	0.24434	0.15439	0.14172	0.03819	0.26867	0.1527
V31	0.4756	0.03582	0.2244	0.05308	0.07622	0.13489
V32	0.09139	0.02507	0.29748	0.40752	0.11932	0.05922
