CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V1	0.1416	0.02698	0.64104	0.00328	0.14028	0.04682
V2	0.44504	0.10194	0.08527	0.08271	0.20796	0.07708
V3	0.25198	0.06679	0.22148	0.02026	0.16254	0.27695
V4	0.24756	0.29919	0.08217	0.07557	0.20902	0.08649
V5	0.09654	0.05114	0.05275	0.42196	0.34246	0.03515
V6	0.24978	0.04025	0.19151	0.04603	0.25572	0.2167
V7	0.13361	0.27038	0.07236	0.03761	0.44003	0.04601
V8	0.51726	0.05765	0.08955	0.08994	0.14473	0.10088
V9	0.27999	0.1338	0.0693	0.19242	0.17537	0.14911
V10	0.36788	0.0489	0.105	0.23468	0.16664	0.0769
V11	0.18296	0.47616	0.09493	0.03435	0.16354	0.04806
V12	0.26501	0.04918	0.11876	0.03398	0.17466	0.35842
V13	0.15993	0.34044	0.27492	0.02848	0.14956	0.04667
V14	0.13126	0.03196	0.05942	0.5647	0.17077	0.04189
V15	0.38796	0.07716	0.07559	0.09661	0.27388	0.08881
V16	0.12812	0.0301	0.06485	0.29138	0.39143	0.09412
V17	0.25135	0.05454	0.18435	0.02339	0.16319	0.32317
V18	0.53136	0.11609	0.09534	0.03065	0.13853	0.08803
V19	0.44522	0.06092	0.20182	0.01832	0.19317	0.08056
V20	0.4669	0.0673	0.13639	0.08804	0.14339	0.09797
V21	0.27149	0.05657	0.09188	0.03464	0.19943	0.346
V22	0.20463	0.06268	0.07645	0.06738	0.52472	0.06415
V23	0.11793	0.03033	0.30561	0.02219	0.48424	0.03969
V24	0.18156	0.03535	0.06861	0.10013	0.54931	0.06503
V25	0.37354	0.20029	0.07748	0.10456	0.17063	0.07351
V26	0.26218	0.0409	0.08049	0.02405	0.53684	0.05554
V27	0.23194	0.04031	0.20493	0.02891	0.16976	0.32414
V28	0.17281	0.19013	0.17896	0.16779	0.17292	0.11739
V29	0.16892	0.38422	0.14165	0.06629	0.15045	0.08846
V30	0.24516	0.15817	0.15123	0.02089	0.29166	0.13289
V31	0.48309	0.04352	0.20415	0.03084	0.13486	0.10355
V32	0.09208	0.03034	0.30312	0.3653	0.15496	0.05419
V33	0.25245	0.27339	0.23098	0.02959	0.14232	0.07127
V34	0.07572	0.02065	0.42616	0.02491	0.4106	0.04195
V35	0.09544	0.05651	0.18883	0.36663	0.2417	0.0509
V36	0.17044	0.32123	0.15516	0.02791	0.27261	0.05264
V37	0.11446	0.02649	0.60648	0.01026	0.14471	0.0976
V38	0.24933	0.03458	0.17948	0.02458	0.1658	0.34622
V39	0.4407	0.05337	0.07882	0.19522	0.14614	0.08575
V40	0.16114	0.32994	0.08148	0.11991	0.2286	0.07893
V41	0.51107	0.04666	0.10154	0.0247	0.14952	0.16651
V42	0.24461	0.0356	0.44381	0.00881	0.16926	0.09791
V43	0.23298	0.27288	0.0819	0.0421	0.29305	0.07709
V44	0.1883	0.48053	0.09168	0.03076	0.15529	0.05342
V45	0.35266	0.22392	0.11193	0.03502	0.1569	0.11956
V46	0.14359	0.0332	0.07595	0.20776	0.38983	0.14966
V47	0.15505	0.2831	0.07484	0.11595	0.30328	0.06778
V48	0.14932	0.38501	0.20313	0.02175	0.19845	0.04234
V49	0.17828	0.46046	0.08864	0.02943	0.19605	0.04714
V50	0.08838	0.02296	0.26169	0.02438	0.5377	0.0649
V51	0.08047	0.02552	0.0729	0.03451	0.74746	0.03915
V52	0.14867	0.35205	0.24407	0.04079	0.16699	0.04744
V53	0.17376	0.02963	0.13472	0.04098	0.57557	0.04534
V54	0.13031	0.0999	0.46005	0.03962	0.19679	0.07333
V55	0.0815	0.04927	0.15211	0.0417	0.6369	0.03852
V56	0.07781	0.04239	0.59367	0.08149	0.16867	0.03596
V57	0.22259	0.2485	0.10656	0.02379	0.23615	0.16241
V58	0.08918	0.02418	0.6695	0.01551	0.1443	0.05733
V59	0.11858	0.0254	0.04723	0.58025	0.19079	0.03775
V60	0.38763	0.03634	0.07201	0.28535	0.14932	0.06936
V61	0.30399	0.11215	0.07998	0.13075	0.19451	0.17863
V62	0.39814	0.05309	0.12754	0.09632	0.20258	0.12234
V63	0.19306	0.33061	0.08631	0.07504	0.1643	0.1507
V64	0.09033	0.09344	0.0715	0.02673	0.67887	0.03914
V65	0.41513	0.11574	0.10216	0.03575	0.17429	0.15693
V66	0.37101	0.05164	0.16026	0.03181	0.31486	0.07042
V67	0.14204	0.12122	0.2814	0.17529	0.15547	0.12458
V68	0.57707	0.04942	0.09506	0.0481	0.13671	0.09364
V69	0.44704	0.05713	0.08772	0.02598	0.16858	0.21356
V70	0.10734	0.02488	0.21383	0.40856	0.20597	0.03942
V71	0.14475	0.18789	0.09206	0.0901	0.38057	0.10464
V72	0.43244	0.10812	0.1319	0.03365	0.18016	0.11373
V73	0.12167	0.01928	0.11876	0.51359	0.18563	0.04107
V74	0.10542	0.11543	0.05998	0.5112	0.17305	0.03491
V75	0.17128	0.48029	0.08405	0.04425	0.17344	0.04669
V76	0.08496	0.01923	0.56674	0.02593	0.26272	0.04042
V77	0.16038	0.11152	0.13007	0.36749	0.15979	0.07076
V78	0.39441	0.10763	0.11458	0.10173	0.15458	0.12707
V79	0.20968	0.3444	0.09193	0.02605	0.15481	0.17313
