CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V1	0.14612	0.01704	0.64792	0.00965	0.13129	0.04797
V2	0.46333	0.09307	0.07707	0.08096	0.19938	0.08618
V3	0.27769	0.05516	0.20965	0.01543	0.14712	0.29496
V4	0.24977	0.30453	0.06753	0.07653	0.20855	0.09308
V5	0.08774	0.04664	0.03823	0.43775	0.35367	0.03596
V6	0.27355	0.02853	0.18066	0.04217	0.24181	0.23328
V7	0.12251	0.28165	0.05455	0.04165	0.45209	0.04756
V8	0.54011	0.04509	0.08369	0.08569	0.1322	0.11322
V9	0.29508	0.12717	0.05681	0.19007	0.16997	0.16089
V10	0.38503	0.03805	0.09834	0.23346	0.16099	0.08413
V11	0.16641	0.50027	0.07905	0.03781	0.16746	0.049
V12	0.29723	0.03574	0.10558	0.02566	0.15535	0.38043
V13	0.1508	0.3498	0.26996	0.03271	0.15036	0.04638
V14	0.12748	0.02541	0.04827	0.57771	0.17788	0.04324
V15	0.40685	0.06748	0.06568	0.09523	0.2663	0.09847
V16	0.1309	0.02261	0.05063	0.29828	0.3957	0.10188
V17	0.28007	0.04211	0.17082	0.01704	0.14575	0.34422
V18	0.55231	0.10572	0.08917	0.02699	0.12612	0.09969
V19	0.4643	0.0495	0.19767	0.01682	0.18159	0.09013
V20	0.48772	0.05557	0.1308	0.08491	0.13226	0.10873
V21	0.30196	0.04378	0.07793	0.02654	0.18048	0.36931
V22	0.20988	0.0565	0.06199	0.07042	0.53059	0.07062
V23	0.11682	0.02226	0.30507	0.02762	0.48645	0.04179
V24	0.18562	0.02773	0.0538	0.10479	0.55648	0.0716
V25	0.38468	0.19781	0.06662	0.10424	0.16589	0.08076
V26	0.27169	0.0324	0.06778	0.0255	0.54027	0.06234
V27	0.26126	0.02774	0.19159	0.02262	0.15214	0.34465
V28	0.17863	0.18825	0.1685	0.16918	0.17156	0.12387
V29	0.16167	0.39562	0.12887	0.06906	0.15182	0.09296
V30	0.25768	0.15384	0.1399	0.01987	0.28522	0.14348
V31	0.50504	0.0302	0.20058	0.0278	0.12138	0.11499
V32	0.09155	0.02262	0.30157	0.37236	0.15664	0.05526
V33	0.25464	0.27539	0.22408	0.0313	0.13909	0.0755
V34	0.0729	0.01209	0.43093	0.0314	0.40939	0.0433
V35	0.09191	0.05112	0.18194	0.37625	0.24654	0.05224
V36	0.16192	0.33289	0.1431	0.03129	0.27673	0.05407
V37	0.12329	0.01623	0.60898	0.01509	0.13478	0.10162
V38	0.2806	0.02154	0.16591	0.01744	0.14681	0.3677
V39	0.45987	0.042	0.07157	0.19278	0.13872	0.09508
V40	0.15404	0.3409	0.06482	0.12431	0.23305	0.08288
V41	0.53658	0.033	0.09443	0.01905	0.13334	0.18359
V42	0.25843	0.02467	0.44348	0.01049	0.15864	0.10429
