CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V1	0.1202	0.01774	0.65998	0.04769	0.07966	0.07473
V2	0.45434	0.09882	0.07331	0.1178	0.16009	0.09564
V3	0.25361	0.02427	0.22062	0.04824	0.08261	0.37063
V4	0.22913	0.3328	0.06656	0.10632	0.16422	0.10097
V5	0.07314	0.04732	0.0254	0.45942	0.34927	0.04545
V6	0.24896	0	0.18396	0.0758	0.20106	0.29022
V7	0.10722	0.28964	0.05094	0.06599	0.44195	0.04426
V8	0.53921	0.044	0.08057	0.12649	0.07615	0.13357
V9	0.27758	0.12573	0.05539	0.22622	0.12217	0.19291
V10	0.37447	0.03652	0.09144	0.27691	0.12054	0.10011
V11	0.14515	0.55685	0.07903	0.0652	0.11257	0.0412
V12	0.26561	0	0.11555	0.05703	0.08439	0.47742
V13	0.1281	0.39292	0.26794	0.06418	0.09734	0.04953
V14	0.10876	0.03212	0.03307	0.61684	0.15069	0.05851
V15	0.39435	0.06212	0.06193	0.13072	0.23913	0.11175
V16	0.1143	0.0079	0.04229	0.32149	0.39101	0.12301
V17	0.25374	0.00266	0.18265	0.04912	0.07683	0.43501
V18	0.55124	0.11836	0.08708	0.06504	0.06507	0.1132
V19	0.45773	0.04683	0.19727	0.05472	0.13819	0.10525
V20	0.48248	0.05506	0.12934	0.12512	0.07848	0.12952
V21	0.27632	0.00093	0.08725	0.05842	0.11467	0.46242
V22	0.19528	0.04104	0.0555	0.09733	0.5335	0.07735
V23	0.10114	0.01034	0.28877	0.05787	0.48915	0.05274
V24	0.17196	0.00963	0.04623	0.12966	0.56256	0.07996
V25	0.3713	0.22029	0.06381	0.13939	0.11763	0.08759
V26	0.25675	0.01598	0.0608	0.05457	0.5456	0.06629
V27	0.22547	0	0.20201	0.05398	0.08394	0.43461
V28	0.1556	0.19737	0.16715	0.20429	0.12666	0.14893
V29	0.13947	0.43473	0.12981	0.09875	0.09612	0.10112
V30	0.23775	0.14969	0.13943	0.05112	0.25421	0.16779
V31	0.50205	0.02478	0.20232	0.06743	0.06332	0.1401
V32	0.06776	0.02412	0.2938	0.41447	0.12055	0.07929
V33	0.23472	0.30965	0.22356	0.06423	0.0833	0.08454
V34	0.05274	0.00241	0.41513	0.06375	0.40474	0.06123
V35	0.07246	0.05339	0.17023	0.4079	0.22714	0.06889
V36	0.14216	0.36116	0.13943	0.05968	0.24364	0.05393
V37	0.09468	0.0073	0.6221	0.05251	0.08092	0.1425
V38	0.2393	0	0.1765	0.0479	0.07532	0.46099
V39	0.4538	0.04088	0.06667	0.23621	0.09068	0.11177
V40	0.13252	0.36868	0.06359	0.15143	0.19469	0.08909
V41	0.53403	0.0191	0.09607	0.05652	0.06985	0.22443
V42	0.2391	0.01428	0.45088	0.04851	0.11058	0.13665
V43	0.21388	0.29872	0.06494	0.07198	0.26324	0.08725
V44	0.15004	0.56431	0.07555	0.06094	0.10028	0.04888
V45	0.35072	0.24084	0.10205	0.06665	0.09097	0.14877
V46	0.13445	0	0.05716	0.23715	0.37828	0.19296
V47	0.12887	0.31063	0.05525	0.14687	0.28404	0.07434
V48	0.11456	0.44286	0.19117	0.05453	0.15706	0.03981
V49	0.14285	0.53403	0.07184	0.05962	0.15192	0.03974
V50	0.07073	0	0.24159	0.05745	0.54443	0.08579
V51	0.06329	0	0.04596	0.06276	0.78088	0.04711
V52	0.11623	0.40325	0.23537	0.07583	0.11932	0.04999
V53	0.16281	0.00383	0.11334	0.07253	0.59237	0.05512
V54	0.10955	0.09566	0.46189	0.08082	0.15197	0.10011
