CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V1	0.12979	0	0.41891	0	0.4513	0
V2	0.53908	0	0	0.08147	0.23692	0.14253
V3	0.3239	0	0.06656	0	0.1485	0.46104
V4	0.32575	0.36191	0	0.1674	0.02321	0.12173
V5	0.16087	0	0	0.21059	0.62854	0
V6	0.28435	0	0.05365	0	0.33773	0.32426
V7	0.20397	0.27078	0	0	0.50559	0.01966
V8	0.57058	0	0	0.07667	0.16491	0.18783
V9	0.44395	0.01071	0	0.21271	0.09614	0.23649
V10	0.44075	0	0	0.14499	0.32466	0.0896
V11	0.11062	0.78803	0	0.06125	0	0.0401
V12	0.33024	0	0	0	0.02692	0.64283
V13	0.23862	0.43751	0.04482	0.08241	0.17112	0.02551
V14	0.22393	0	0	0.41387	0.3622	0
V15	0.45603	0	0	0.0244	0.37558	0.14399
V16	0.19005	0	0	0.06031	0.68899	0.06065
V17	0.31345	0	0.02657	0	0.0995	0.56048
V18	0.63669	0.00884	0	0.09099	0.08332	0.18015
V19	0.48035	0	0	0	0.39018	0.12947
V20	0.53277	0	0	0.06143	0.23054	0.17526
V21	0.33514	0	0	0	0.03119	0.63367
V22	0.22683	0	0	0	0.74337	0.0298
V23	0.07887	0	0.13624	0	0.78489	0
V24	0.18335	0	0	0	0.8	0.01664
V25	0.48266	0.15915	0	0.17716	0.06202	0.11901
V26	0.24588	0	0	0	0.73509	0.01902
V27	0.28129	0	0.05876	0	0.12119	0.53877
V28	0.34104	0.10556	0	0.17499	0.22763	0.15079
V29	0.20236	0.5423	0	0.1398	0	0.11554
V30	0.37239	0.0433	0	0	0.36664	0.21767
V31	0.50691	0	0.01318	0	0.29908	0.18083
V32	0.18389	0	0.08795	0.1346	0.59356	0
V33	0.3501	0.29768	0.00541	0.08894	0.16641	0.09146
V34	0.0275	0	0.2408	0	0.7317	0
V35	0.19949	0	0	0.17621	0.6243	0
V36	0.23746	0.39098	0	0.06364	0.25971	0.04821
V37	0.14476	0	0.40957	0	0.41407	0.03161
V38	0.29102	0	0.04036	0	0.07494	0.59368
V39	0.50496	0	0	0.1646	0.20076	0.12968
V40	0.24057	0.42297	0	0.2036	0.04999	0.08286
V41	0.52929	0	0	0.00654	0.15289	0.31128
V42	0.27114	0	0.24682	0	0.40124	0.0808
V43	0.31808	0.2925	0	0.0862	0.20102	0.1022
V44	0.10083	0.80283	0	0.04127	0	0.05507
V45	0.44097	0.2142	0	0.10781	0.0247	0.21232
V46	0.19665	0	0	0	0.6204	0.18295
V47	0.24868	0.30892	0	0.14459	0.23679	0.06103
V48	0.19997	0.53803	0	0.10142	0.14006	0.02052
V49	0.13214	0.74494	0	0.0846	0	0.03832
V50	0.05815	0	0.11101	0	0.83084	0
V51	0	0	0	0	1	0
V52	0.22165	0.46244	0.01113	0.10262	0.17612	0.02604
V53	0.13791	0	0	0	0.86209	0
V54	0.23373	0	0.28741	0	0.45769	0.02117
V55	0.03385	0	0	0	0.96615	0
V56	0.08611	0	0.37603	0	0.53786	0
V57	0.31627	0.24729	0	0.05945	0.10264	0.27436
V58	0.08795	0	0.45387	0	0.45818	0
V59	0.19609	0	0	0.41114	0.39277	0
V60	0.45421	0	0	0.19185	0.28001	0.07393
V61	0.44043	0	0	0.1228	0.13596	0.3008
V62	0.4393	0	0	0.02255	0.33965	0.19849
V63	0.22227	0.44632	0	0.09809	0	0.23333
V64	0.07006	0	0	0	0.92994	0
V65	0.53116	0	0	0.0588	0.12099	0.28905
V66	0.3965	0	0	0	0.52277	0.08073
V67	0.30774	0	0.09378	0.10293	0.35007	0.14548
V68	0.6029	0	0	0.04281	0.16502	0.18927
V69	0.4855	0	0	0.01883	0.10125	0.39443
V70	0.17789	0	0	0.17212	0.64999	0
V71	0.26495	0.09368	0	0.03609	0.46995	0.13534
V72	0.53645	0	0	0.02923	0.22623	0.20809
V73	0.19642	0	0	0.31264	0.49094	0
V74	0.27209	0	0	0.48787	0.24004	0
