CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V1	0.13348	0.02256	0.55808	0.02258	0.18907	0.07423
V2	0.4003	0.11398	0.04429	0.09308	0.25099	0.09737
V3	0.21713	0.07679	0.16265	0.03962	0.18341	0.32041
V4	0.21281	0.32377	0.03688	0.07418	0.23831	0.11405
V5	0.08759	0.06019	0.00772	0.40018	0.38781	0.05652
V6	0.21774	0.04835	0.13488	0.06049	0.27943	0.25912
V7	0.10923	0.28825	0.02727	0.03337	0.47556	0.06633
V8	0.46239	0.07092	0.0496	0.10415	0.1874	0.12555
V9	0.24646	0.14628	0.02472	0.19284	0.20779	0.1819
V10	0.33414	0.05827	0.05972	0.23776	0.21305	0.09707
V11	0.14776	0.50458	0.05147	0.03279	0.1899	0.07349
V12	0.2233	0.06554	0.06877	0.05364	0.18729	0.40146
V13	0.13455	0.36266	0.22332	0.02897	0.18095	0.06954
V14	0.12065	0.04269	0.01432	0.5373	0.22194	0.06311
V15	0.34898	0.08685	0.03396	0.10472	0.31496	0.11054
V16	0.1146	0.0398	0.01829	0.27961	0.42662	0.12108
V17	0.21365	0.06789	0.12663	0.04433	0.17849	0.36901
V18	0.47226	0.13092	0.05766	0.04855	0.17903	0.11159
V19	0.4014	0.06824	0.155	0.03535	0.23765	0.10236
V20	0.4193	0.07786	0.09352	0.10136	0.18563	0.12233
V21	0.22795	0.07332	0.04492	0.05338	0.2102	0.39022
V22	0.1809	0.07006	0.03105	0.07146	0.56079	0.08574
V23	0.10848	0.03258	0.24181	0.03206	0.52204	0.06303
V24	0.16064	0.04452	0.02424	0.10193	0.58189	0.08678
V25	0.33308	0.219	0.03509	0.10964	0.20796	0.09523
V26	0.23281	0.04909	0.03642	0.03388	0.57244	0.07537
V27	0.19761	0.05264	0.14515	0.04925	0.18592	0.36942
V28	0.14938	0.20039	0.12705	0.16855	0.20614	0.14849
V29	0.13859	0.40947	0.09412	0.06392	0.17602	0.11788
V30	0.21499	0.16789	0.10115	0.02942	0.32163	0.16491
V31	0.43234	0.05259	0.15689	0.05005	0.17848	0.12965
V32	0.08676	0.03331	0.23959	0.3551	0.20547	0.07976
V33	0.22062	0.29406	0.18148	0.03445	0.17334	0.09606
V34	0.07472	0.02063	0.35069	0.03563	0.44918	0.06914
V35	0.08682	0.06196	0.13314	0.35468	0.28969	0.07371
V36	0.14217	0.34552	0.10661	0.02638	0.30445	0.07488
V37	0.10848	0.02325	0.52277	0.02859	0.18668	0.13023
V38	0.21164	0.04965	0.12164	0.04649	0.17998	0.3906
V39	0.39774	0.0637	0.03763	0.20187	0.19232	0.10673
V40	0.13212	0.35644	0.03425	0.11439	0.25721	0.10559
V41	0.4471	0.06194	0.06029	0.04666	0.18504	0.19898
V42	0.22223	0.03506	0.37684	0.02712	0.21223	0.12652
V43	0.19952	0.29587	0.03643	0.04168	0.32472	0.10177
V44	0.15168	0.51007	0.04862	0.02943	0.17976	0.08045
V45	0.31062	0.2425	0.06743	0.04415	0.18638	0.14892
V46	0.12709	0.04323	0.02842	0.20283	0.41731	0.18112
V47	0.12809	0.30603	0.02818	0.11035	0.33647	0.09088
V48	0.12148	0.41022	0.15487	0.01935	0.22923	0.06485
V49	0.14379	0.48886	0.04594	0.02702	0.22271	0.07168
V50	0.08203	0.02689	0.19875	0.03338	0.56687	0.09208
V51	0.07464	0.03591	0.02729	0.03976	0.75817	0.06423
V52	0.12387	0.37477	0.1941	0.03879	0.19776	0.07071
V53	0.15587	0.03623	0.084	0.0476	0.61003	0.06628
V54	0.11895	0.09771	0.3939	0.05039	0.23815	0.10091
V55	0.0745	0.05504	0.09821	0.04611	0.66434	0.0618
V56	0.0769	0.03858	0.51423	0.08945	0.21815	0.06269
V57	0.18942	0.26773	0.05898	0.02997	0.25997	0.19394
V58	0.08875	0.01946	0.57917	0.03291	0.1914	0.0883
V59	0.10968	0.03723	0.00358	0.54781	0.24245	0.05925
V60	0.35117	0.04707	0.02943	0.28634	0.19814	0.08785
V61	0.26661	0.12342	0.03531	0.13568	0.22318	0.2158
V62	0.35649	0.06169	0.08197	0.10718	0.2421	0.15058
V63	0.16118	0.35456	0.04054	0.0749	0.18647	0.18235
V64	0.07804	0.10104	0.02604	0.02946	0.70432	0.06109
V65	0.36581	0.12848	0.05793	0.05075	0.20618	0.19085
V66	0.33421	0.05816	0.11305	0.04477	0.35776	0.09206
V67	0.12526	0.1246	0.22354	0.17753	0.19289	0.15617
V68	0.51305	0.06298	0.05824	0.0673	0.18121	0.11721
V69	0.38668	0.07252	0.04522	0.04623	0.19696	0.25239
V70	0.10038	0.03022	0.15839	0.3933	0.25585	0.06185
V71	0.12186	0.20087	0.044	0.088	0.41344	0.13184
V72	0.3859	0.11968	0.08833	0.04876	0.21728	0.14004
V73	0.1133	0.02878	0.06935	0.4889	0.23704	0.06263
V74	0.0934	0.12395	0.01356	0.49201	0.22216	0.05493
V75	0.13705	0.50849	0.04134	0.04153	0.19984	0.07176
V76	0.08438	0.01628	0.48471	0.03925	0.30729	0.06809
V77	0.14361	0.11772	0.08039	0.36114	0.20414	0.09299
V78	0.35294	0.11885	0.06973	0.11156	0.19066	0.15626
V79	0.17357	0.36572	0.0473	0.03006	0.17384	0.20951
V80	0.16767	0.381	0.0412	0.0338	0.18471	0.19161
V81	0.4442	0.11062	0.09326	0.04586	0.18915	0.11692
V82	0.13113	0.47093	0.04155	0.04852	0.23396	0.0739
V83	0.16488	0.12875	0.03014	0.27574	0.29713	0.10336
V84	0.26891	0.0452	0.07847	0.29536	0.2172	0.09487
V85	0.49552	0.05928	0.10226	0.04937	0.17924	0.11433
V86	0.22923	0.05909	0.10594	0.21788	0.20009	0.18778
V87	0.09087	0.04091	0.01832	0.55987	0.22564	0.06439
V88	0.14864	0.05594	0.01733	0.35149	0.24051	0.18609
V89	0.14508	0.13145	0.31511	0.03071	0.1782	0.19944
V90	0.14522	0.41724	0.11234	0.02683	0.21765	0.08071
V91	0.09515	0.04005	0.04958	0.0941	0.65085	0.07026
V92	0.07878	0.07589	0.03038	0.03581	0.71057	0.06858
V93	0.20743	0.08317	0.03343	0.09379	0.35594	0.22625
V94	0.08168	0.02828	0.18454	0.43518	0.2128	0.05752
V95	0.07239	0.03068	0.22335	0.0959	0.51868	0.05899
V96	0.13497	0.26913	0.03653	0.05201	0.37153	0.13583
V97	0.07416	0.04052	0.02988	0.07212	0.72354	0.05978
V98	0.10297	0.07766	0.00988	0.47293	0.2768	0.05976
V99	0.08914	0.04105	0.00763	0.57166	0.23283	0.05768
V100	0.08251	0.02466	0.32621	0.18794	0.29716	0.08152
V101	0.10128	0.24927	0.31437	0.07859	0.18568	0.07081
