CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V1	0.14811	0.03963	0.60197	0.03159	0.13282	0.0459
V2	0.44599	0.11254	0.06708	0.10412	0.19265	0.07761
V3	0.24595	0.07767	0.19344	0.04085	0.14863	0.29345
V4	0.25323	0.30742	0.0633	0.09508	0.19231	0.08867
V5	0.11179	0.0639	0.0331	0.45356	0.30102	0.03663
V6	0.24872	0.05228	0.16644	0.06606	0.2339	0.23258
V7	0.14495	0.28297	0.05428	0.05506	0.41652	0.04621
V8	0.51257	0.06812	0.0716	0.11195	0.13214	0.10361
V9	0.2813	0.1438	0.04972	0.21377	0.15377	0.15764
V10	0.37011	0.06071	0.08476	0.2607	0.14541	0.0783
V11	0.19179	0.47752	0.07761	0.05509	0.15338	0.04462
V12	0.25375	0.0606	0.09649	0.05405	0.15799	0.37713
V13	0.16907	0.34652	0.25065	0.0503	0.13977	0.04369
V14	0.14415	0.0455	0.03934	0.5935	0.1343	0.0432
V15	0.39133	0.08822	0.05681	0.11802	0.25381	0.09181
V16	0.13945	0.04335	0.04482	0.31886	0.35236	0.10116
V17	0.24274	0.06563	0.15779	0.04402	0.14797	0.34185
V18	0.52683	0.12551	0.07811	0.05084	0.13001	0.0887
V19	0.44494	0.07164	0.18143	0.03855	0.18185	0.08159
V20	0.46414	0.0779	0.1165	0.11055	0.1303	0.1006
V21	0.26062	0.06747	0.07167	0.05417	0.18069	0.36537
V22	0.21536	0.07508	0.05739	0.08688	0.49749	0.0678
V23	0.12906	0.0428	0.28373	0.04398	0.45979	0.04064
V24	0.19234	0.04797	0.04987	0.1219	0.51863	0.06929
V25	0.37603	0.20956	0.0594	0.12576	0.15576	0.07349
V26	0.27259	0.05266	0.06223	0.04103	0.51347	0.05802
V27	0.22441	0.05228	0.17666	0.04976	0.15411	0.34277
V28	0.18013	0.19932	0.15425	0.19054	0.15291	0.12285
V29	0.1773	0.3873	0.12118	0.08671	0.13772	0.08979
V30	0.24931	0.16891	0.12979	0.03891	0.27199	0.1411
V31	0.47818	0.05426	0.18275	0.0525	0.1257	0.10661
V32	0.10528	0.04397	0.27115	0.39478	0.12883	0.05599
V33	0.25706	0.28138	0.20759	0.05075	0.13249	0.07074
V34	0.08711	0.03338	0.39924	0.04943	0.38778	0.04306
V35	0.10981	0.06932	0.16342	0.39585	0.20898	0.05263
V36	0.18012	0.33097	0.13534	0.04717	0.25494	0.05146
V37	0.12096	0.03947	0.56565	0.03743	0.13503	0.10147
V38	0.23957	0.04677	0.15301	0.04542	0.1501	0.36513
V39	0.43971	0.06447	0.06004	0.22	0.12848	0.08731
V40	0.1709	0.33716	0.06232	0.14105	0.20812	0.08045
V41	0.50042	0.05705	0.08305	0.04481	0.13933	0.17534
V42	0.24727	0.04752	0.41306	0.0319	0.15849	0.10175
V43	0.24026	0.28306	0.06354	0.06039	0.27397	0.07878
V44	0.19642	0.482	0.0744	0.05131	0.14558	0.0503
V45	0.35194	0.23195	0.09261	0.0546	0.1451	0.1238
V46	0.15243	0.04619	0.05543	0.23129	0.35329	0.16137
V47	0.16573	0.29314	0.05581	0.13711	0.27914	0.06907
V48	0.15947	0.39087	0.18216	0.0421	0.18626	0.03914
V49	0.18786	0.46364	0.07138	0.04944	0.1838	0.04388
V50	0.09973	0.0357	0.23942	0.0455	0.50995	0.0697
V51	0.09322	0.03801	0.05491	0.05375	0.71757	0.04254
V52	0.15881	0.35813	0.22105	0.06223	0.1549	0.04488
V53	0.18524	0.04176	0.11592	0.06039	0.54934	0.04735
V54	0.13884	0.1114	0.42769	0.0645	0.18261	0.07496
V55	0.09437	0.06192	0.13278	0.06215	0.6083	0.04047
V56	0.08852	0.05501	0.55414	0.1114	0.156	0.03493
V57	0.22593	0.25593	0.08689	0.04179	0.21904	0.17043
V58	0.09794	0.03716	0.62631	0.04518	0.13565	0.05776
V59	0.13284	0.03911	0.02779	0.60891	0.15221	0.03914
V60	0.38873	0.04832	0.05265	0.31287	0.12718	0.07024
V61	0.30262	0.12226	0.0602	0.15107	0.17392	0.18994
V62	0.39695	0.06417	0.1068	0.11809	0.1854	0.12858
V63	0.19808	0.3344	0.06741	0.09433	0.14922	0.15655
V64	0.10319	0.10635	0.05343	0.04429	0.65137	0.04136
V65	0.40971	0.12525	0.08316	0.05518	0.16121	0.16549
V66	0.37575	0.0629	0.14086	0.05152	0.29682	0.07215
V67	0.14993	0.13214	0.25148	0.19962	0.13611	0.13071
V68	0.57059	0.05969	0.07761	0.06936	0.12776	0.09499
V69	0.4352	0.06734	0.0695	0.04541	0.15591	0.22664
V70	0.12116	0.03849	0.18686	0.43874	0.17433	0.04041
V71	0.15457	0.1998	0.07184	0.10975	0.35292	0.11112
V72	0.43031	0.1184	0.1122	0.05381	0.16751	0.11777
V73	0.13525	0.03309	0.09555	0.54339	0.15039	0.04234
V74	0.12004	0.12569	0.03986	0.54033	0.13887	0.03521
V75	0.18059	0.482	0.06698	0.06504	0.16212	0.04327
V76	0.09529	0.032	0.5324	0.0536	0.24658	0.04013
V77	0.17086	0.12244	0.10652	0.39531	0.13223	0.07264
V78	0.39241	0.11769	0.09456	0.12306	0.13956	0.13272
V79	0.21209	0.34565	0.07374	0.04488	0.14294	0.1807
V80	0.20709	0.35926	0.06776	0.05033	0.15192	0.16364
V81	0.49385	0.10847	0.11593	0.04873	0.1389	0.09413
V82	0.17481	0.44434	0.06765	0.07337	0.19249	0.04735
V83	0.19536	0.13202	0.0568	0.30704	0.22499	0.08379
V84	0.30089	0.04933	0.10402	0.32449	0.14522	0.07605
V85	0.54939	0.0582	0.12468	0.04925	0.12665	0.09183
V86	0.25888	0.0635	0.13355	0.2395	0.1412	0.16337
V87	0.11245	0.04362	0.04352	0.62111	0.13619	0.04311
V88	0.17476	0.05803	0.04308	0.38891	0.17267	0.16255
V89	0.16908	0.13964	0.3463	0.04002	0.1355	0.16945
V90	0.18499	0.39581	0.13995	0.04881	0.17657	0.05387
V91	0.11776	0.04456	0.08002	0.11614	0.59106	0.05047
V92	0.1021	0.08129	0.05855	0.05057	0.65889	0.0486
V93	0.24175	0.08429	0.0592	0.10752	0.30466	0.20257
V94	0.10002	0.03683	0.21368	0.48483	0.12959	0.03505
V95	0.0885	0.04038	0.26401	0.119	0.45213	0.03598
V96	0.17104	0.26104	0.06486	0.07215	0.31904	0.11187
V97	0.09352	0.04369	0.05811	0.09194	0.67442	0.03831
V98	0.12846	0.07997	0.03569	0.52531	0.19016	0.04042
V99	0.11033	0.04305	0.03219	0.6362	0.14179	0.03643
V100	0.09839	0.03817	0.36335	0.21745	0.22593	0.05672
V101	0.12893	0.2472	0.33989	0.10209	0.13608	0.0458
