CD56NK	CD4MemoryT	CD19B	CD14
V1	0.56687	0	0.14507	0.28806
V2	0.13701	0.03988	0.04457	0.77854
V3	0.06659	0.57207	0.00956	0.35178
V4	0.9092	0.07695	0	0.01384
V5	0.12403	0.43934	0.25854	0.17809
V6	0.09294	0.87424	0.01967	0.01315
V7	0.15279	0.29045	0.07203	0.48473
V8	0.13153	0.01136	0.82422	0.03289
V9	0.24249	0.16569	0.02932	0.5625
V10	0.02408	0.01489	0.90645	0.05459
V11	0.23655	0.31773	0.445	0.00073
V12	0.03431	0.57224	0.38595	0.00749
V13	0.30223	0.68158	0.00374	0.01244
V14	0.08815	0.90174	0.01011	0
V15	0.13691	0.57674	0.11278	0.17358
V16	0.95201	0.01813	0.00807	0.02178
V17	0.10544	0.86831	0.01286	0.01339
V18	0.64246	0.2992	0.029	0.02934
V19	0.18296	0.80573	0.00577	0.00554
V20	0.18136	0.39981	0.01314	0.4057
V21	0.13207	0.03192	0.80481	0.0312
V22	0.02064	0.04425	0.18518	0.74993
V23	0.40678	0.02342	0.56566	0.00414
V24	0.96079	0.01979	0.01941	0
V25	0.37665	0.17451	0.11397	0.33487
V26	0.43797	0.33097	0.0099	0.22116
V27	0.08663	0.02248	0.0269	0.86399
V28	0.02723	0.04503	0.9195	0.00824
V29	0.47178	0.00964	0.49233	0.02625
V30	0.10203	0.14927	0.2706	0.4781
V31	0.21431	0.13331	0.29349	0.35888
V32	0.06977	0.00726	0.03806	0.88491
V33	0.0521	0.46987	0.37553	0.10249
V34	0.13117	0.01943	0.81755	0.03185
V35	0.18912	0.71638	0.07332	0.02117
V36	0.00886	0.01074	0.459	0.52141
V37	0.57322	0.03094	0.07679	0.31905
V38	0.42246	0	0.14851	0.42903
V39	0.19033	0.54011	0.12179	0.14777
V40	0.12201	0.8071	0.07089	0
V41	0.01838	0.63628	0.04072	0.30461
V42	0.21634	0.0026	0.18608	0.59497
V43	0.14741	0.29387	0.53235	0.02638
V44	0.01627	0.04052	0.76004	0.18317
V45	0.11375	0.57519	0.22285	0.08821
V46	0.85914	0.04163	0.09871	0.00052
V47	0.50847	0.13799	0.31068	0.04286
V48	0.85958	0.12769	0	0.01274
V49	0.78852	0.13716	0	0.07432
V50	0.0813	0.84142	0.07728	0
V51	0.35783	0.36511	0.25467	0.0224
V52	0.03033	0.07428	0.86258	0.03282
V53	0.78501	0.08653	0.12846	0
V54	0.47781	0.14265	0.36419	0.01535
V55	0.21796	0.07469	0.22833	0.47902
V56	0.03998	0.00192	0.07871	0.87938
V57	0.11663	0.85764	0.02027	0.00546
V58	0.64671	0	0.02834	0.32495
V59	0.49736	0.36916	0.09317	0.04032
V60	0.13424	0.09561	0.32283	0.44733
V61	0.86354	0.06082	0.00129	0.07435
V62	0.93004	0.01379	0.04905	0.00712
V63	0.02833	0.8434	0.11448	0.01379
V64	0.02252	0.83808	0.00256	0.13684
V65	0.01862	0	0.09327	0.88811
V66	0.2492	0.67614	0.01481	0.05985
V67	0.17244	0.2837	0.53491	0.00895
V68	0.15115	0.08583	0.02148	0.74153
V69	0.02849	0.26099	0.66162	0.0489
V70	0.60713	0.1008	0.16577	0.12629
V71	0.16245	0.03277	0.36899	0.43579
V72	0.63655	0.104	0.07736	0.1821
V73	0.17863	0.60155	0.13337	0.08646
V74	0.06735	0.18664	0.74486	0.00116
V75	0.74839	0	0.1659	0.0857
V76	0.00765	0.10669	0.16861	0.71705
V77	0.04342	0.21524	0.01098	0.73036
V78	0.32053	0.06401	0.17128	0.44418
V79	0.01008	0.06045	0.83574	0.09372
V80	0.37175	0.00283	0.53947	0.08595
V81	0.06246	0.12223	0.80868	0.00663
V82	0.01553	0.05141	0.92146	0.0116
V83	0.1311	0.11192	0.06382	0.69317
V84	0.40455	0.01368	0.14507	0.4367
V85	0.11952	0.26156	0.42539	0.19353
V86	0.04722	0.02972	0.88025	0.04282
V87	0.04712	0.84078	0.04985	0.06225
V88	0.15895	0.0228	0.25305	0.56521
V89	0.0211	0	0.18522	0.79369
V90	0.0402	0.90143	0.05253	0.00584
V91	0.04653	0.7449	0.18569	0.02287
V92	0.48748	0.00317	0.37165	0.1377
V93	0.91023	0.00047	0	0.0893
V94	0.02531	0.37568	0.02015	0.57886
V95	0.2968	0.39326	0.14974	0.1602
V96	0.06734	0.05246	0.03012	0.85008
V97	0.74892	0.06736	0.18342	0.00031
V98	0.74401	0.25038	0	0.00561
V99	0.85298	0.02331	0.12293	0.00079
V100	0.08105	0.01929	0.8752	0.02446
V101	0.02725	0.02006	0.0307	0.92199
V102	0.96361	0.02888	0	0.00752
V103	0.0173	0.01889	0.08679	0.87702
V104	0.04782	0.94071	0.01144	3e-05
V105	0.07601	0.90795	0.01604	0
V106	0.13706	0.49491	0.33375	0.03428
V107	0.20555	0.15084	0.59612	0.04749
V108	0.17776	0.73646	0.08578	0
V109	0.01728	0.10539	0.61387	0.26346
V110	0.07004	0.88188	0.03481	0.01327
V111	0.94695	0	0.05102	0.00203
V112	0.12576	0.02646	0.42579	0.42199
V113	0.18728	0.056	0.16224	0.59448
V114	0.23673	0.01269	0.06978	0.6808
V115	0.01972	0.75504	0.22524	0
V116	0.15781	0.26083	0.38842	0.19294
V117	0.74931	0.20074	0.02077	0.02917
V118	0.18602	0.54284	0.0284	0.24275
V119	0.10565	0.03522	0.04658	0.81254
V120	0.08116	0.04521	0.85854	0.0151
V121	0.65449	0.07814	0.07636	0.19101
V122	0.98781	0	0.00412	0.00807
V123	0.01644	0.45156	0.04125	0.49075
V124	0.71669	0.23655	0	0.04677
V125	0.4464	0.37738	0.16343	0.01278
V126	0.03993	0.08991	0.04803	0.82213
V127	0.15804	0.01616	0.24118	0.58463
V128	0.03061	0	0.10291	0.86648
V129	0.65344	0.1809	0.14428	0.02139
V130	0.01716	0.64867	0.3337	0.00048
V131	0.04072	0.8844	0.00233	0.07255
V132	0.97096	0	0.01449	0.01456
V133	0.95485	0.0027	0.03492	0.00753
V134	0.12038	0.33162	0.1214	0.4266
V135	0.07064	0.00065	0.16464	0.76407
V136	0.26642	0.34025	0.00591	0.38742
V137	0.70528	0.01358	0.22173	0.05941
V138	0.24247	0.35496	0.17442	0.22815
V139	0.39232	0.14983	0.18593	0.27192
V140	0.03108	0.04685	0.05385	0.86822
V141	0.06479	0.10479	0.56464	0.26578
V142	0.82123	0.00164	0.17713	0
V143	0.48124	0.20054	0.05634	0.26188
V144	0.16667	0.09827	0.156	0.57906
V145	0.01213	0.76294	0.22482	0.00011
V146	0.05313	0.00552	0.0413	0.90005
V147	0.95597	0.00631	0.00793	0.0298
V148	0.13117	0.04048	0.59393	0.23443
V149	0.30075	0.48855	0.2107	0
V150	0.09333	0.19233	0.63282	0.08151
V151	0.23954	0.60232	0.028	0.13014
V152	0.27142	0.41065	0.21861	0.09932
V153	0.125	0.74167	0.0164	0.11693
V154	0.28057	0.42721	0.26956	0.02265
V155	0.5321	0.09744	0.27546	0.095
V156	0.03557	0.09342	0.73205	0.13896
V157	0.33584	0.10618	0.30984	0.24814
V158	0.02632	0.00778	0.04262	0.92328
V159	0.92506	0.03744	0	0.0375
V160	0.71319	0	0.0478	0.23901
V161	0.19662	0	0.03276	0.77061
V162	0.07019	0.22924	0.07401	0.62656
V163	0.11164	0.4545	0.16509	0.26877
V164	0.38422	0.25068	0.09535	0.26975
V165	0.0196	0.20068	0.0103	0.76943
V166	0.01644	0.05411	0.06965	0.85979
V167	0.33256	0	0.00995	0.65748
V168	0.33127	0.54874	0.06912	0.05087
V169	0.17975	0.02086	0.03664	0.76275
V170	0.10083	0.00453	0.51872	0.37593
V171	0.14283	0.19384	0.62565	0.03768
V172	0.75801	0	0.24005	0.00194
V173	0.03176	0.09151	0.0426	0.83413
V174	0.02358	0.10583	0.07165	0.79894
V175	0.0609	0.00839	0.79577	0.13495
V176	0.02032	0.81637	0.16331	0
V177	0.02865	0.9563	0.00662	0.00843
V178	0.019	0.74226	0.0063	0.23244
V179	0.15423	0	0.36679	0.47898
V180	0.04869	0.87762	0.07369	0
V181	0.17204	0.0889	0.56348	0.17558
V182	0.33565	0.13484	0.4733	0.05621
V183	0.20737	0.78597	0.00666	0
V184	0.98611	0.00917	0.00472	0
V185	0.62658	0.3679	0.00552	0
V186	0.13634	0.45422	0.27042	0.13902
V187	0.98007	0.00128	0.01674	0.00191
V188	0.06187	0.17052	0.00874	0.75887
V189	0.8495	0.00202	0.00788	0.14059
V190	0.70231	0.00402	0.29149	0.00218
V191	0.20586	0.1611	0.59584	0.0372
V192	0.34491	0.42237	0.04109	0.19163
V193	0.65053	0.01067	0.21694	0.12186
V194	0.0524	0.92399	0.00906	0.01455
V195	0.02439	0.03015	0.93329	0.01217
V196	0.02121	0.04342	0.02946	0.9059
V197	0.41039	0.01797	0.02086	0.55078
V198	0.07495	0.48384	0.38498	0.05623
V199	0.15635	0.00304	0.15883	0.68178
V200	0.14577	0.52163	0.01477	0.31782
V201	0.11397	0.53394	0.18931	0.16278
V202	0.01642	0.01172	0.77991	0.19195
V203	0.18854	0.39747	0.39859	0.0154
V204	0.01767	0.4737	0.00747	0.50116
V205	0.02619	0.04253	0.91372	0.01755
V206	0.0531	0.07259	0.86589	0.00842
V207	0.13231	0.12862	0.0479	0.69117
V208	0.26561	0.04443	0.6783	0.01167
V209	0.34714	0.42587	0.05877	0.16821
V210	0.1026	0.77056	0.08512	0.04172
V211	0.41164	0	0.02737	0.56099
V212	0.5479	0.0215	0.41389	0.01672
V213	0.67499	0.00567	0.0911	0.22825
V214	0.35513	0.10769	0.15171	0.38547
V215	0.2869	0.05099	0.0174	0.64471
V216	0.04028	0.00459	0.03995	0.91519
V217	0.05384	0.45531	0.23528	0.25557
V218	0.11078	0.40216	0.16399	0.32307
V219	0.12334	0.60232	0.00892	0.26543
V220	0.0191	0.81355	0.00672	0.16063
V221	0.82403	0	0	0.17597
V222	0.34783	0.08964	0.36632	0.19621
V223	0.01069	0.10018	0.80629	0.08284
V224	0.97876	0.00573	0.01551	0
V225	0.07266	0.87538	0.05196	0
V226	0.32885	0.05765	0.60278	0.01073
V227	0.82789	0	0.16448	0.00763
V228	0.83424	0.03331	0.04749	0.08495
V229	0.02579	0.02305	0.9244	0.02676
V230	0.0242	0.01536	0.03951	0.92094
V231	0.02248	0.20776	0.10241	0.66735
V232	0.05614	0.61194	6e-04	0.33133
V233	0.62007	0.05091	0.18179	0.14723
V234	0.0512	0.91358	0.02929	0.00593
V235	0.40398	0.03955	0.52998	0.02649
V236	0.04396	0.04475	0.82869	0.0826
V237	0.14543	0	0.03665	0.81792
V238	0.15083	0.53959	0.26594	0.04364
V239	0.07266	0.33413	0.01832	0.57488
V240	0.52782	0.01909	0.4098	0.0433
V241	0.02267	0.01382	0.88985	0.07366
V242	0.15097	0.75962	0.0847	0.0047
V243	0.2511	0.0252	0.64592	0.07778
V244	0.20819	0.00446	0.69846	0.0889
V245	0.67168	0.24405	0.03573	0.04854
V246	0.0584	0.11477	0.80516	0.02166
V247	0.17986	0.02454	0.79207	0.00352
V248	0.02612	0.01492	0.05517	0.90378
V249	0.00731	0.03096	0.88785	0.07388
V250	0.80611	0	0.19216	0.00173
V251	0.97286	0.02542	0	0.00171
V252	0.02659	0.82733	0.14608	0
V253	0.37424	0.0338	0.14677	0.44519
V254	0.02661	0.92673	0.04666	0
V255	0.06264	0.90093	0.00364	0.03278
V256	0.19346	0.16739	0.54801	0.09115
V257	0.45642	0.05958	0.22128	0.26271
V258	0.19691	0.21651	0.44642	0.14015
V259	0.03834	0.25185	0.67115	0.03866
