Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V1	0.39931	0.10808	0.2284	0.13017	0.13404
V2	0.14423	0.67943	0.04339	0	0.13295
V3	0.08129	0.02381	0.4067	0.38185	0.10636
V4	0	0.09867	0.25976	0.21129	0.43028
V5	0	0.09802	0.07435	0.30277	0.52486
V6	0.39682	0.01412	0.24567	0.21792	0.12548
V7	0.00318	0.09914	0.43482	0.16397	0.29888
V8	0.0161	0.04562	0.81015	0.04987	0.07826
V9	0.06705	0.00352	0.2325	0.57102	0.12591
V10	0.53577	0	0.41789	0	0.04635
V11	0.0277	0.11339	0.1168	0.25061	0.49151
V12	0.09508	0.05068	0.21099	0.37086	0.27238
V13	0.15746	0.06794	0.01804	0.4758	0.28076
V14	0.18376	0	0.04225	0.60775	0.16623
V15	0.0255	0.00027	0	0.79736	0.17686
V16	0.63288	0.00793	0	0.26863	0.09055
V17	0.09793	0.29842	0.01134	0.18327	0.40905
V18	0.14685	0.35894	0.23427	0.15619	0.10375
V19	0.01464	0.10618	0.01101	0.32447	0.5437
V20	0.00234	0.02664	0.68126	0.19612	0.09363
V21	0.04418	0.28653	0.12944	0.23418	0.30567
V22	0.88014	0.01365	0.04553	0	0.06067
V23	0.08328	0.09843	0.02274	0.31384	0.48171
V24	0.54752	0.11203	0.00232	0.09857	0.23956
V25	0.02003	0.07586	0.00693	0.52669	0.37049
V26	0.56842	0.16629	0.04195	0.05296	0.17038
V27	0.20072	0.45175	0.17575	0	0.17178
V28	0.04035	0.06899	0.1763	0.57084	0.14352
V29	0.00298	0.00366	0.30702	0.55373	0.1326
V30	0.81169	0.05178	0.00751	0.01987	0.10915
V31	0.49582	0.10238	0	0.23168	0.17012
V32	0.92718	0	0	0	0.07282
V33	0.03497	0.25969	0.01448	0.25718	0.43369
V34	0.21609	0.69224	0	0	0.09166
V35	0.17208	0.50914	0.23826	0	0.08052
V36	0.0419	0.22864	0.17508	0.19742	0.35696
V37	0.79882	0	0	0.03855	0.16263
V38	0.15125	0.04663	0.44998	0.20475	0.14739
V39	0.39846	0.04516	0.31913	0.04765	0.1896
V40	0.32289	0.50867	0	0.04939	0.11905
V41	0.14163	0.72141	0.00564	0	0.13133
V42	0.91238	0	0	0.00021	0.08741
V43	0.55766	0.07661	0.31024	0	0.05549
V44	0.07103	0.26805	0.53741	0	0.1235
V45	0.11434	0.58302	0.08308	0.08666	0.1329
V46	0.20857	0.63639	0.05516	0	0.09988
V47	0.00364	0.0433	0.8732	0	0.07987
V48	0.21194	0.11923	0.19553	0.31686	0.15645
V49	0.54126	0.09442	0.19426	0.09565	0.07442
V50	0.0302	0.05326	0.84794	0	0.0686
V51	0.15322	0.27768	0.19368	0.11494	0.26048
V52	0.14812	0.75013	0.00254	0	0.09922
V53	0.0478	0.1285	0	0.66775	0.15595
